reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Guam,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51820
Guam,"Hong Kong, China",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14641,32950,28970
Guam,France,0,0,0,0,0,0,0,0,0,0,14309,12282,11049,11295,10339,12177,4171,4005,8531,21381
Guam,Germany,0,0,0,0,0,0,0,0,0,0,0,4057,5533,5047,7100,6983,4123,10866,7225,11271
Guam,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,7435,1815,4404
Guam,Canada,0,0,0,0,0,0,0,0,0,0,0,1571,2035,1838,2538,3901,1763,1294,2087,1663
Guam,South Africa,0,0,0,0,0,0,0,0,0,0,0,15,42,3,9,13,45,257,85,127
Guam,Chile,0,59,6,16,36,44,8,9,118,4,53,124,32,242,294,859,318,559,216,105
Guam,Costa Rica,0,0,0,0,0,0,0,0,0,0,46,56,28,26,20,27,22,2,43,8
Guam,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,8,0,0
Guam,Belgium,662,383,384,735,274,1147,2255,2439,2163,557,822,1140,889,730,714,688,405,750,905,0
Guam,Guatemala,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0
Guam,Curaçao,,,,,,,,,,,,,,0,84,0,0,,,
Guam,Lao People's Democratic Republic,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,,
Guam,United Arab Emirates,,0,,0,0,,,,0,0,0,0,0,3082,3151,809,0,0,0,
Guam,Papua New Guinea,0,,,,,,,0,0,,,,,,,14,20,27,,
Guam,Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,5,
Guam,Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,
Guam,Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,96,49,111,76,33,0,2,
Guam,Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Guam,Fiji,0,0,0,0,0,0,0,0,0,0,0,253,192,447,232,114,152,188,147,
Guam,Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Guam,Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,547,0,1653,703,0,0,
Guam,Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,
Guam,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Guam,Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,85,174,261,176,112,421,
Guam,Panama,0,0,0,0,0,0,237,1214,0,0,0,0,0,0,0,0,0,0,16,
Guam,Trinidad and Tobago,0,0,0,0,47,0,76,25,65,0,0,0,0,0,0,97,249,154,18,
Guam,Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
Guam,Russian Federation,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,0,22,,
