reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Guinea-Bissau,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,676,585,654,10043
Guinea-Bissau,Netherlands,467,154,19,184,218,0,4,6,29,2,3251,563,162,51,731,140,401,178,2980,2844
Guinea-Bissau,Türkiye,0,0,0,164,88,0,0,0,604,130,572,1543,1588,897,108,652,1180,4889,422,2511
Guinea-Bissau,Ecuador,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1666
Guinea-Bissau,"Korea, Republic of",1383,1566,1280,1170,390,314,24,38,258,36,276,358,1435,1640,2558,2468,2241,2555,1261,1623
Guinea-Bissau,Japan,485,56,33,0,8,0,7,0,0,7,612,580,0,2,103,0,0,0,0,1240
Guinea-Bissau,Malaysia,0,0,1,2,489,4,556,238,64,56,137,2,0,21,43,1,5,3,0,691
Guinea-Bissau,United States of America,28052,126,492,41,169,44,887,272,81,3224,58,52,177,22,198,1998,924,128,18,631
Guinea-Bissau,Brazil,0,0,2,0,0,34,0,13076,5186,0,77,504,1292,0,1768,851,606,469,362,432
Guinea-Bissau,Germany,130,63,38,0,96,0,289,3,0,0,0,46,0,0,150,2,0,78,750,363
Guinea-Bissau,Ukraine,0,0,0,0,73,133,0,1,0,242,0,0,0,0,0,0,0,26,3,252
Guinea-Bissau,Portugal,984,1239,1462,692,855,1923,515,363,51,244,281,258,277,295,658,884,2135,183,236,228
Guinea-Bissau,France,7,0,59,111,41,121,102,42,1266,64,565,129,25,2950,168,351,51,335,72,198
Guinea-Bissau,Croatia,4,4,4,5,0,1,20,0,50,0,0,0,0,0,0,0,0,162,0,173
Guinea-Bissau,Slovenia,0,0,0,0,14,0,0,1,1,101,2,7,1,1,184,0,1,0,198,172
Guinea-Bissau,Lithuania,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,156
Guinea-Bissau,Belgium,0,0,31,0,4,241,20,877,198,8,0,13,887,1,1113,69768,841,1593,89,94
Guinea-Bissau,Cabo Verde,0,0,0,3,319,186,240,203,214,100,66,72,59,58,70,153,82,69,117,84
Guinea-Bissau,Italy,4261,2602,2016,173,741,273,29,2,115,113,76,1129,339,0,113,123,672,103,48,79
Guinea-Bissau,United Kingdom,0,2,167,0,47,20,10,2,72,0,0,1,23,317,184,461,0,1,23,20
Guinea-Bissau,New Zealand,0,0,0,0,1,0,1,2,0,0,0,0,2,0,0,2,0,1,0,9
Guinea-Bissau,Norway,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,203,1,52,8
Guinea-Bissau,"Bolivia, Plurinational State of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Guinea-Bissau,Singapore,0,0,0,5,67,140,1,0,0,0,91,727,550,1,1,223,1,1,1,7
Guinea-Bissau,Canada,0,3,0,4,2,29,14,3,8,2,1,2,15,17,20,53,19,10,17,6
Guinea-Bissau,Australia,0,2,0,0,0,3,0,2,0,0,2,1,0,2,2,3,0,11,0,5
Guinea-Bissau,Spain,52,34,46,493,8,588,6407,4337,5821,1360,2,175,81,13,982,642,207,139,100,4
Guinea-Bissau,China,29,0,0,173,1243,1617,3863,4113,6633,16828,49956,17812,161,402,7639,8402,5,1,3,2
Guinea-Bissau,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,2
