reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Guinea,China,14795,3002,12281,92357,25303,6240,54997,15567,10995,84092,41345,26709,649479,1549831,2246148,2456090,2438851,2792446,4529563,6438216
Guinea,Switzerland,93602,124957,149554,101175,278350,270138,248,101,300660,223338,43811,28787,181211,28359,27733,127213,276974,240505,346965,241066
Guinea,Spain,128396,149044,135295,163124,242416,220352,174320,226604,195410,179614,182805,179790,106157,125597,178312,221305,197362,191908,245181,185771
Guinea,Ireland,87348,88698,76363,100410,101887,97149,132421,124459,128701,129326,141407,162482,152630,147124,148231,145211,140002,115401,106088,99009
Guinea,Netherlands,383,4560,2623,35916,1518,1181,1338,8955,10306,2620,2767,5458,13145,3098,10116,17928,19363,41907,37597,98939
Guinea,Germany,62840,73320,81713,140793,164040,111281,87615,116657,132476,111616,122694,149243,105637,95911,115304,128238,149036,111931,172721,65836
Guinea,Canada,19505,24037,29709,35054,65650,55172,46786,58669,72532,48425,45935,45936,38592,48197,33095,36991,45705,62756,53628,59728
Guinea,"Korea, Republic of",116548,164917,132451,132081,8742,37097,51590,10323,10803,180027,739714,29742,64896,61161,53618,53352,76839,59040,53134,45581
Guinea,Türkiye,33,179,397,717,6038,922,2655,1954,4803,12343,5407,3820,6367,18109,66393,4865,162017,12503,21221,43427
Guinea,Malaysia,51,180,104,1867,7880,1217,5224,3092,6432,2579,2823,2101,3326,11865,11240,3418,22335,16525,13220,33586
Guinea,United States of America,79620,89697,115372,138970,139583,94695,113514,121793,145193,138070,120480,108261,11425,23470,6889,9895,10593,11138,8350,14148
Guinea,France,58709,84261,117747,139288,102624,49625,53981,90695,103424,81237,106622,89439,145986,101426,89507,52300,56521,50487,26989,13407
Guinea,Japan,1361,1169,697,318,262,1489,453,333,461,195,290,135,1120,1391,1705,344,1137,5963,11362,13236
