reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Haiti,United States of America,263108,263584,341466
Haiti,Dominican Republic,569,6094,3153
Haiti,Canada,6962,6776,13285
Haiti,France,4479,4529,4779
Haiti,Mexico,1512,364,1625
Haiti,Belgium,5599,1915,2718
Haiti,Germany,2023,3088,2278
Haiti,United Kingdom,1377,1592,1674
Haiti,Spain,4724,1805,1625
Haiti,Switzerland,1108,1100,2337
Haiti,Italy,1443,1151,1159
Haiti,India,4,36,142
Haiti,"Taipei, Chinese",14,68,54
Haiti,Nicaragua,35,10,1
Haiti,Japan,477,466,608
Haiti,Australia,9,22,597
Haiti,Thailand,1,40,78
Haiti,"Korea, Republic of",0,3,43
Haiti,Estonia,2,2,0
Haiti,China,27,4,20
Haiti,Brazil,13,57,159
Haiti,Serbia and Montenegro,18,69,
Haiti,Netherlands,1528,75,174
Haiti,Austria,79,40,126
Haiti,Ireland,2,42,64
Haiti,Trinidad and Tobago,167,154,97
Haiti,Barbados,196,32,100
Haiti,Poland,0,0,0
Haiti,Jamaica,16,64,50
Haiti,Honduras,30,36,1
Haiti,Viet Nam,204,0,833
Haiti,Chile,0,4,0
Haiti,New Zealand,5,1,6
Haiti,Turks and Caicos Islands,133,87,79
Haiti,Bahamas,8,184,51
Haiti,Ethiopia,0,0,50
Haiti,Argentina,18,13,16
Haiti,Slovakia,30,2,2
Haiti,Guatemala,7,40,160
Haiti,Mauritius,15,42,33
Haiti,"Venezuela, Bolivarian Republic of",18,3,0
Haiti,Cuba,23,8,351
Haiti,Saint Lucia,11,32,44
Haiti,Costa Rica,660,0,8
Haiti,Algeria,2,17,6
Haiti,Finland,12,17,22
Haiti,Saint Vincent and the Grenadines,17,25,24
Haiti,Czech Republic,9,21,15
Haiti,Greece,5,10,0
Haiti,Sweden,15,18,34
Haiti,Pakistan,,,1
Haiti,Croatia,3,0,36
Haiti,Slovenia,0,1,4
Haiti,Yemen,,,
Haiti,Suriname,0,,
Haiti,Colombia,66,6,51
Haiti,Mozambique,0,0,0
Haiti,El Salvador,56,112,79
Haiti,Ghana,2,,21
Haiti,Grenada,10,34,40
Haiti,Mali,8,0,0
Haiti,South Africa,6,1,4
Haiti,Denmark,6,1,1
Haiti,Ecuador,42,35,1
Haiti,Indonesia,3,3,10
Haiti,Dominica,6,0,0
Haiti,Panama,1,4,4
Haiti,Peru,2,4,1
Haiti,Guyana,0,0,5
Haiti,Hungary,10,7,67
Haiti,Ukraine,1,0,3
Haiti,Bosnia and Herzegovina,,,4
Haiti,Bulgaria,0,1,2
Haiti,Benin,0,3,0
Haiti,"Hong Kong, China",89,744,385
Haiti,Lebanon,25,13,22
Haiti,Türkiye,0,1,1
Haiti,French Polynesia,0,0,1
Haiti,Norway,61,29,73
Haiti,Botswana,0,0,0
Haiti,Romania,0,0,0
Haiti,Russian Federation,1,1,6
Haiti,Guinea,1,0,
Haiti,Andorra,30,0,0
Haiti,"Bolivia, Plurinational State of",7,0,0
Haiti,Belize,13,0,0
Haiti,Cyprus,0,0,0
Haiti,Gabon,1,0,1
Haiti,Israel,0,51,0
Haiti,Kazakhstan,0,1,0
Haiti,Kenya,23,4,1
Haiti,Kuwait,0,5,1
Haiti,Latvia,0,0,0
Haiti,Lithuania,1,0,0
Haiti,Luxembourg,0,0,0
Haiti,Madagascar,3230,16,0
Haiti,Malaysia,0,0,0
Haiti,Morocco,47,0,0
Haiti,Namibia,1,0,0
Haiti,New Caledonia,0,1,0
Haiti,Niger,0,78,0
Haiti,Philippines,577,8,172
Haiti,Portugal,1,0,0
Haiti,Saint Kitts and Nevis,3,2,4
Haiti,Saudi Arabia,0,0,41
Haiti,Senegal,0,0,36
Haiti,Singapore,126,14,0
Haiti,Togo,0,0,3
Haiti,Tunisia,0,0,0
Haiti,Uganda,3,0,0
Haiti,"Macedonia, North",0,0,1
Haiti,"Tanzania, United Republic of",1,0,0
Haiti,Burkina Faso,0,48,0
Haiti,Uruguay,0,0,0
Haiti,Zambia,0,9,0
Haiti,Nigeria,28,0,18
Haiti,Anguilla,0,48,1
