reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Honduras,United States of America,3078422,3253814,3693276,4462039,4845601,3384032,4606444,6166366,5714670,5373025,5960551,5216351,4827613,5068358,5593598,5419480,4202536,6392901,8133436,6793661
Honduras,China,123140,133805,223679,274280,323609,212158,322142,421889,1056653,799037,686539,858663,722209,847678,988836,940460,922864,1584844,1560053,1832836
Honduras,Guatemala,347543,394043,308700,592963,736829,606383,700083,813672,795462,790979,885488,903373,913908,967261,935177,1003363,1023562,1399024,1585229,1631232
Honduras,El Salvador,205520,484876,414779,455079,600197,519518,579376,698129,760987,787886,756818,729957,727084,747182,838522,879510,737367,1037008,1184754,1059187
Honduras,Costa Rica,185634,220059,105127,284473,309188,263799,292187,336175,349380,322830,319392,332821,334816,365978,394185,394847,371709,478311,517326,598223
Honduras,Germany,126455,189628,84729,127700,130747,79580,119957,165384,178129,156143,168406,155541,134770,136900,192995,160542,116026,210513,194118,257275
Honduras,Brazil,90058,139545,141589,131034,134591,80784,75004,96584,92554,83198,113341,102263,100953,116150,114933,107357,103275,158931,214012,205016
Honduras,Japan,91187,93667,105481,146814,129425,42855,88569,123792,111444,68770,66606,72385,77746,87424,94263,85665,61905,125436,161449,177184
Honduras,"Korea, Republic of",143890,119650,138907,131584,130729,80617,106253,136636,156404,124053,114904,117094,117049,125862,117605,125178,108094,135461,141352,163528
Honduras,Argentina,32333,47575,85697,61477,27557,16678,12086,24086,33621,30712,34440,13690,20775,69479,67052,56194,41347,62227,94574,146482
Honduras,Thailand,20194,25247,36640,61454,92910,34177,71003,60939,103600,84286,76715,85428,83005,60206,63962,53964,47596,81616,94026,134500
Honduras,Colombia,37057,46417,43552,58045,61060,49043,173326,293073,185381,216426,89931,82567,78832,110473,95676,94585,84753,124907,125772,131088
Honduras,Spain,72431,63744,64724,88766,82880,60854,53128,100866,74386,85194,134631,129556,81288,113959,112299,97288,74179,128297,123210,121326
Honduras,Italy,28153,27490,48895,72523,48025,30404,53919,52354,44934,47799,76409,67519,50258,58818,74962,72001,53648,122136,111238,111053
Honduras,"Taipei, Chinese",33307,32817,35977,42976,59390,41437,53431,46324,44762,69285,74309,91691,78787,72037,86170,74296,57887,68335,63328,71016
Honduras,Netherlands,24312,25066,36337,31348,33730,45726,36129,46774,34814,48754,34653,39576,46308,44352,49987,51313,39106,79550,68795,67447
Honduras,Peru,10945,11581,13823,15919,18881,48176,48952,28872,25125,51751,38966,40356,39394,33649,42442,61853,29126,38637,44454,66961
Honduras,"Hong Kong, China",80714,53128,50651,41553,46745,37366,46184,52026,59218,53689,77766,93820,89636,62058,80145,76197,62916,65250,39119,58751
Honduras,Belgium,15286,11104,10704,12066,12647,14336,21109,31410,23534,26065,29768,48379,51246,21452,23335,23330,21507,30205,80521,56584
Honduras,Chile,57396,54406,58109,43383,56954,25528,33518,33878,38874,42988,43672,44377,45569,37825,43876,32584,31586,30927,42499,51075
Honduras,Ecuador,8057,6886,16525,18269,214520,60861,76326,185082,143807,105783,26299,11225,16896,21463,76157,79488,20882,20226,24756,42943
Honduras,Canada,19328,36668,32895,48267,81999,32051,39616,49661,38676,42455,40535,31347,28235,33201,40351,24888,28449,44130,35521,42587
Honduras,Türkiye,2908,3755,6311,2817,8046,5299,4606,5468,12882,10044,8524,8527,7070,13827,27336,16389,40554,66370,28637,31656
Honduras,Malaysia,17583,9625,9031,18428,19155,12707,15339,17520,26577,26078,31607,31767,24120,16848,25502,17013,12435,25666,24278,30051
Honduras,France,22181,22536,23074,27893,32661,14873,19347,14736,21351,20853,46040,23506,18036,24832,21188,39226,17331,35568,33225,26192
Honduras,Switzerland,15157,10816,16092,21285,22670,15068,18847,18575,16885,13709,9421,13478,13894,14666,16703,19341,14697,20011,21949,25695
Honduras,South Africa,744,842,431,901,1117,823,710,2018,12554,10788,1514,651,4716,3956,4483,3114,2148,4603,16788,19296
Honduras,Portugal,1359,2538,2205,693,1035,1567,2356,3432,2619,4197,6408,3288,4123,5236,6924,6591,5327,13453,12728,18311
Honduras,Austria,4375,4833,3691,4033,5674,3667,4064,11145,15485,31206,22469,6221,14538,6438,11988,10850,8274,13282,10847,17940
Honduras,Belize,1378,379,857,97,2,449,101,339,333,272,193,2887,3740,8159,5062,5092,5719,9651,19903,14179
Honduras,United Kingdom,19691,17778,14238,19417,15910,12238,16749,14076,16160,18475,18783,18590,15317,14150,15367,13164,9973,20031,41258,13992
Honduras,Sweden,20712,35212,39355,72226,91586,35534,23091,21481,9608,9968,23365,10546,22526,16576,17710,17899,14381,11139,16262,13474
Honduras,Czech Republic,2478,1806,2108,3063,4100,2980,5093,11524,14421,14343,10353,10829,9420,12831,7022,4930,6676,11583,20006,12928
Honduras,Hungary,194,141,469,361,482,209,1187,3134,3339,3305,2276,2933,3935,5161,3318,2945,2097,3761,6343,9469
Honduras,Denmark,6781,5941,4113,5431,8101,7468,8365,12037,12988,12347,6709,11198,6863,9004,6508,7313,9778,6744,9018,9024
Honduras,Singapore,6630,7629,9723,5809,9769,10325,10682,16577,19229,9251,6178,3816,2455,4494,5027,3341,11154,4408,11104,7178
Honduras,Finland,125559,7809,22293,11269,15121,5535,4080,2774,2540,4274,5840,5391,25405,2327,1583,2340,4057,3016,2484,5021
Honduras,Bulgaria,720,514,427,457,229,325,74,11,72,121,329,318,903,1060,678,1073,2043,3403,3563,4618
Honduras,Poland,2912,2338,1646,1387,6745,2583,697,1540,4585,2870,2140,1646,3078,5296,8623,4187,3598,5390,5002,3910
Honduras,Malta,8,5,0,0,0,0,0,0,0,1182,0,0,0,320,766,0,0,0,1,3330
Honduras,Serbia,,,31,0,0,20,0,0,0,36,0,0,0,164,200,55,123,42,1435,3176
Honduras,Slovenia,111,75,63,82,27,144,34,65,66,51,16,174,322,2174,52,735,1072,709,3584,3132
Honduras,Luxembourg,374,6087,27,338,79,533,11,19,160,697,1183,418,1021,0,803,2520,400,1458,4532,2559
Honduras,Australia,3508,4513,6160,11234,5134,3004,1685,2590,1950,1619,1748,738,436,1368,978,1712,614,2064,598,2418
Honduras,Ireland,1410,1284,850,752,2010,945,844,4282,4197,2913,2796,3240,1563,970,3804,3764,5308,795,1099,2283
Honduras,New Zealand,648,462,1990,602,2376,7159,1518,5399,679,725,1032,4844,369,888,1447,304,1759,1319,6667,2151
Honduras,Romania,1129,982,812,0,129,43,193,324,89,19,72,60,45,195,184,248,703,4078,1212,1833
Honduras,Latvia,0,44,86,121,161,318,244,239,281,447,378,614,886,984,699,997,904,1432,1147,1603
Honduras,Paraguay,62,73,104,104,140,58,120,91,161,168,426,598,758,1078,1393,1258,1047,1275,1571,1417
Honduras,Greece,605,1190,643,173,513,284,286,933,163,158,404,1001,2107,907,2546,2213,1608,1958,1127,1087
Honduras,Cyprus,0,0,0,0,0,0,1,2,0,4,0,1272,589,30,5,256,22,91,2354,1064
Honduras,Lithuania,8,9,14,13,72,25,12,13,6,4,0,20,191,490,76,628,1158,535,845,1008
Honduras,Norway,1280,1122,1025,10114,11311,17602,934,1022,1442,739,1797,1722,1532,2087,2239,1227,2139,1523,32769,787
Honduras,Slovakia,1213,900,1040,1198,2281,1610,1200,1960,643,730,337,652,345,752,803,1286,640,402,301,704
Honduras,"Bolivia, Plurinational State of",165,128,206,294,313,142,281,296,148,98,157,237,217,130,365,3616,238,997,187,332
Honduras,Ukraine,21034,7663,9594,11002,49501,3695,3979,4306,13661,116,5706,10,30,79,149,51,9551,7140,41,190
Honduras,Estonia,2,0,117,12,993,34,16,37,61,453,5182,3220,241,221,346,311,784,1886,105,140
Honduras,Croatia,278,242,16,4,0,5,22,28,31,0,0,24,0,0,76,14,18,66,22,32
Honduras,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,257,0,0,0
Honduras,Iceland,8,11,24,4,0,0,1,22,0,5,0,0,0,12,0,8,0,57,37,0
Honduras,Madagascar,0,122,0,0,0,0,0,0,3,0,38,0,0,0,0,0,0,15,0,0
Honduras,Uzbekistan,,,,,,,,,,,,,,0,0,0,0,68,84,
Honduras,Curaçao,,,,,,,,,,,,,,1333,1467,1534,74,,,
Honduras,"Congo, Democratic Republic of the",,,,,,,,,,,,0,0,0,8,10,0,0,0,
Honduras,Haiti,,,,,,,,,,599,149,264,500,683,,,,,,
Honduras,Bermuda,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,
Honduras,Sudan,,,,,,,,,494,109,16,17,133,203,30,,,,,
Honduras,Myanmar,,,,,,,0,0,0,0,0,3,897,0,0,0,0,0,0,
