reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Hungary,Germany,16665205,17618927,19749854,24825354,24763769,19182679,21714193,25341993,23736708,25855565,29184595,26365011,27679122,29802977,32331752,31982877,31450377,34860583,35608517,39840205
Hungary,United States of America,2643145,2632314,2645457,2868799,3191820,2267476,2545327,3013471,3268284,3842813,5369828,5807390,5435305,5169516,5170987,5398693,5389658,7220082,7892666,10995487
Hungary,Italy,3069167,3505452,4249702,5548598,5580886,4246576,4763142,5059542,4524198,5139520,5380854,4943471,5091078,5960887,6218422,5899598,5771230,7508792,8177830,9176931
Hungary,Romania,1033850,1337700,1688551,4902176,6302594,4604423,5382663,6650037,6319118,6048725,6100287,5552453,5601779,6379743,6717082,6808332,6748851,7991184,8650789,8543801
Hungary,Slovakia,998003,1228833,1952593,3040803,3599399,2609521,2758714,3164674,2813404,3590362,3919445,3626485,3538419,3931207,4357694,4842661,3972848,3790644,5381147,7380624
Hungary,Czech Republic,1397440,1675700,2267418,3358696,3866685,2356825,2733596,3341922,3308285,3450980,3576458,3334566,3331131,3871606,4422939,4256369,4446370,5386142,5393194,6896781
Hungary,Poland,1661976,1836569,2699439,3449830,3747065,2804717,3056782,3693670,3156863,3392844,3378110,3120386,3381027,3747964,4310791,4041370,4052654,5098008,5172035,6675600
Hungary,France,2656097,2987502,3465362,4351168,4763262,3906761,4233195,4953137,4217988,4329735,4542131,4184690,4599743,4779836,5103873,4962024,4802104,5688184,5945740,6446118
Hungary,United Kingdom,2894717,3292522,3967020,4873666,4716660,4865411,6024898,4995389,4101508,4070407,4008782,3859901,3630098,3572622,3752443,3835951,3361099,3190033,5740243,6144700
Hungary,Austria,3388178,3062734,3229015,3848389,4742020,3266552,4149819,5085484,4706407,4822939,5062316,3827699,3893439,4466331,4942895,4797503,4415649,5537066,5622886,6006107
Hungary,China,475591,365529,699306,1210080,1382204,1466426,2197692,2452217,2323098,2715148,3259900,2871271,3462511,4082280,4338742,3745020,4282898,5566041,5049297,4735552
Hungary,Netherlands,1658091,1779897,1707845,2405964,2952912,2573430,2855193,2578013,2469852,2590167,2215641,2265449,2292125,2584730,2952264,3177285,3483467,4142405,4601227,4733989
Hungary,Belgium,1037382,1215065,1484625,1651132,1998002,1323659,1433846,1599288,1540357,1573326,1802057,1903654,1957919,2308097,2842439,3210082,2864544,3128790,3371877,4119755
