reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Iran,Japan,5021857,4738170,7448692
Iran,China,2423971,2346269,3307360
Iran,Italy,2113532,1774863,2145281
Iran,"Korea, Republic of",2099269,1335416,1844699
Iran,South Africa,1035631,921113,1246971
Iran,"Taipei, Chinese",889229,765723,1883580
Iran,Türkiye,839800,920972,1860683
Iran,France,716018,795384,1197346
Iran,Greece,967037,461156,973563
Iran,Spain,845354,713040,1068544
Iran,Singapore,570875,595990,753807
Iran,Philippines,795780,444899,620244
Iran,Netherlands,216299,280195,445573
Iran,Germany,361912,296388,326162
Iran,Sri Lanka,233550,183611,249593
Iran,Sweden,563336,330730,641046
Iran,India,266942,254158,267689
Iran,Saudi Arabia,109783,80381,148733
Iran,Pakistan,,,301742
Iran,Morocco,282141,290038,45329
Iran,Malaysia,149133,131358,100146
Iran,Syrian Arab Republic,95663,172970,158525
Iran,Kuwait,127233,144250,189715
Iran,United States of America,143385,162587,166977
Iran,Switzerland,105554,102820,126936
Iran,Portugal,90852,143109,57680
Iran,"Hong Kong, China",56448,103283,159635
Iran,Uruguay,3,174,1
Iran,Belgium,34802,22686,29018
Iran,Russian Federation,34515,50885,63006
Iran,Bangladesh,62245,31846,48257
Iran,Austria,14975,17180,17153
Iran,United Kingdom,51153,76858,52506
Iran,Armenia,72843,58036,66921
Iran,Indonesia,132055,66724,96999
Iran,Lebanon,32939,29687,37446
Iran,Canada,28811,34988,45224
Iran,Azerbaijan,55425,57933,50608
Iran,Oman,46161,22483,31777
Iran,Viet Nam,13834,20005,23577
Iran,Thailand,76378,61937,72395
Iran,Sudan (before 2012),9810,16467,34659
Iran,New Zealand,14932,44290,37685
Iran,Bahrain,30095,32894,31769
Iran,Australia,14654,21792,36956
Iran,Zimbabwe,535,977,121
Iran,Slovakia,2876,4508,8982
Iran,Poland,15039,24594,51325
Iran,Denmark,9415,8768,10908
Iran,Georgia,6314,8096,6995
Iran,Qatar,25148,18809,18010
Iran,Czech Republic,7248,7691,12027
Iran,Kazakhstan,10950,12355,12803
Iran,Chile,2274,6514,13527
Iran,Yemen,,,
Iran,Ethiopia,7785,7555,15662
Iran,Romania,7173,4305,8201
Iran,Madagascar,1982,3701,83814
Iran,Egypt,10612,12404,5724
Iran,Ukraine,3401,7122,8663
Iran,Norway,6705,7633,8301
Iran,Jordan,11805,12392,15079
Iran,Mauritius,6875,5780,675
Iran,Kyrgyzstan,6660,4344,5949
Iran,Hungary,6398,8167,7860
Iran,Algeria,1007,6340,5532
Iran,Ireland,3517,4838,2820
Iran,Luxembourg,5112,10040,4812
Iran,Serbia and Montenegro,1824,1977,
Iran,"Tanzania, United Republic of",5326,3911,2473
Iran,Mexico,8760,4555,4267
Iran,Angola,,,
Iran,Lithuania,3343,3652,4766
Iran,Belarus,817,734,935
Iran,Finland,2442,2526,3091
Iran,Croatia,1072,2427,2923
Iran,Brazil,3504,10057,15207
Iran,Niger,112,937,1032
Iran,Cuba,1408,1578,1881
Iran,Cyprus,2545,1728,2582
Iran,Uganda,1357,1212,1881
Iran,Bulgaria,652,1419,1895
Iran,Slovenia,1423,1895,1798
Iran,Namibia,107,109,571
Iran,Estonia,399,833,1595
Iran,Albania,422,1253,2337
Iran,Latvia,380,809,1297
Iran,"Macedonia, North",2512,3752,1648
Iran,Argentina,2262,18,500
Iran,Bosnia and Herzegovina,,,821
Iran,Tunisia,5390,2658,9055
Iran,Senegal,894,356,1083
Iran,Guinea,102,396,
Iran,Peru,367,584,683
Iran,Mayotte,98,507,17
Iran,Côte d'Ivoire,518,387,1734
Iran,Zambia,926,529,343
Iran,Mozambique,738,684,728
Iran,Colombia,254,411,1060
Iran,Ghana,12057,,247
Iran,Seychelles,0,1,1
Iran,Cameroon,1642,1276,2087
Iran,Mali,332,237,414
Iran,Rwanda,621,393,327
Iran,Fiji,,129,90
Iran,Burkina Faso,62,92,195
Iran,"Venezuela, Bolivarian Republic of",185,401,510
Iran,Cambodia,0,4,4
Iran,Brunei Darussalam,427,663,523
Iran,Iceland,125,150,198
Iran,Burundi,891,35,0
Iran,Malta,271,296,377
Iran,Trinidad and Tobago,41,264,132
Iran,Gabon,259,0,645
Iran,"Macao, China",4,18,27
Iran,"Moldova, Republic of",46,90,224
Iran,Jamaica,2,0,57
Iran,Barbados,56,36,62
Iran,Honduras,64,167,25
Iran,Benin,181,433,377
Iran,Andorra,254,69,30
Iran,Ecuador,317,190,52
Iran,Botswana,568,152,19
Iran,French Polynesia,61,83,82
Iran,Israel,53,31,39
Iran,New Caledonia,42,59,62
Iran,Papua New Guinea,6,7,57
Iran,Faroe Islands,132,89,54
Iran,Guatemala,0,48,7
Iran,Saint Vincent and the Grenadines,0,27,9
Iran,Malawi,29,205,174
Iran,Grenada,18,3,8
Iran,Togo,1018,429,67
Iran,Saint Lucia,7,2,1
Iran,Dominican Republic,0,0,0
Iran,"Bolivia, Plurinational State of",12,40,28
Iran,Maldives,26,7,0
Iran,Suriname,0,,
Iran,Costa Rica,27,37,7
Iran,Guyana,114,114,12
Iran,Mongolia,0,,0
Iran,Bahamas,71,18,0
Iran,Mauritania,23,84,0
Iran,Nicaragua,125,52,10
Iran,Samoa,16,15,0
Iran,Belize,7,20,2
Iran,Comoros,121,2,0
Iran,Dominica,0,0,1
Iran,El Salvador,38,0,15
Iran,Gambia,15,0,0
Iran,Greenland,0,0,59
Iran,Kenya,10338,2692,32680
Iran,Panama,9,0,0
Iran,Paraguay,18,0,11
Iran,Saint Kitts and Nevis,3,5,0
Iran,Eswatini,0,0,21
Iran,Nepal,,,607
Iran,Eritrea,,,433
Iran,Sierra Leone,,485,
Iran,Central African Republic,0,31,32
Iran,Lesotho,0,0,1
Iran,Nigeria,982,2770,783
