reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Iran,Germany,1688774,2096952,3040110
Iran,France,1025237,1444755,2313007
Iran,Italy,1042015,1690122,2200363
Iran,China,888580,1393303,2315162
Iran,"Korea, Republic of",874876,1227232,1778217
Iran,Russian Federation,903970,757054,1312556
Iran,India,253276,492185,892990
Iran,Brazil,441954,491501,869101
Iran,Japan,797974,775480,1120866
Iran,Sweden,216101,331394,637115
Iran,United Kingdom,1480655,1127216,780618
Iran,Türkiye,360536,333962,533786
Iran,Kazakhstan,208925,309882,411129
Iran,Belgium,255665,321751,488847
Iran,Netherlands,241490,306124,414869
Iran,Spain,276896,307767,456091
Iran,Singapore,252077,319336,394398
Iran,Switzerland,698584,566958,439029
Iran,Thailand,131922,177236,296265
Iran,Ukraine,160907,165075,295611
Iran,Austria,221894,209317,352852
Iran,Malaysia,178346,229508,328218
Iran,"Taipei, Chinese",163433,196366,252352
Iran,Saudi Arabia,117781,219194,199644
Iran,Oman,454836,520018,217308
Iran,Denmark,53000,79917,110553
Iran,Indonesia,121498,128586,185022
Iran,Finland,88024,68219,167719
Iran,Canada,320934,106842,168003
Iran,Azerbaijan,9144,29884,49129
Iran,Australia,388834,335228,171528
Iran,Pakistan,,,82122
Iran,Chile,60253,25770,56319
Iran,United States of America,8084,31811,98923
Iran,Slovenia,28627,57007,69394
Iran,Poland,49338,31526,70203
Iran,New Zealand,27590,46639,62788
Iran,Norway,18890,12698,24071
Iran,Qatar,3950,24231,10502
Iran,Romania,42820,63678,84221
Iran,Sri Lanka,29446,35022,35207
Iran,South Africa,57998,34987,39958
Iran,Jordan,9222,11411,26710
Iran,"Hong Kong, China",30944,26559,37553
Iran,Czech Republic,29473,40403,75935
Iran,Uruguay,24344,38087,15842
Iran,Tunisia,47345,35538,41291
Iran,Bangladesh,36861,46251,30526
Iran,Morocco,25606,26403,31499
Iran,Philippines,2383,2452,13107
Iran,Belarus,37890,16636,20496
Iran,Armenia,31455,29298,21654
Iran,Luxembourg,3919,6205,14557
Iran,Kuwait,21506,25657,22878
Iran,Portugal,9998,10142,23659
Iran,Greece,19086,8074,10420
Iran,Lebanon,5123,1072,8514
Iran,Hungary,45489,41001,16165
Iran,Viet Nam,9555,10383,14056
Iran,Ireland,7053,16618,19079
Iran,Latvia,16494,4105,4402
Iran,Mexico,29019,30948,21610
Iran,Syrian Arab Republic,4892,8898,6526
Iran,Bulgaria,16621,5802,18977
Iran,Peru,15658,24753,13780
Iran,Slovakia,4357,3010,4089
Iran,Bahrain,47201,43176,51164
Iran,Serbia and Montenegro,12353,6114,
Iran,Jamaica,0,0,0
Iran,Cuba,10422,38639,8568
Iran,Georgia,4282,3298,3421
Iran,Croatia,3616,4623,3892
Iran,Kyrgyzstan,8249,4736,2149
Iran,Yemen,,,
Iran,Colombia,38,5640,3176
Iran,Côte d'Ivoire,107,118,2184
Iran,Bosnia and Herzegovina,,,1165
Iran,Cyprus,5098,1361,1083
Iran,Kenya,5266,132,1000
Iran,Egypt,4297,4842,10447
Iran,Argentina,417868,338876,46506
Iran,Lithuania,315,145,927
Iran,"Venezuela, Bolivarian Republic of",4,98,52
Iran,Malawi,95,21,220
Iran,Malta,62,183,126
Iran,Zimbabwe,24,2822,4808
Iran,Ethiopia,0,0,0
Iran,"Macedonia, North",2097,790,1514
Iran,Botswana,1,107,58
Iran,Namibia,0,16,2
Iran,Estonia,432,101,115
Iran,Ghana,0,,7
Iran,Albania,2,20,31
Iran,Iceland,2,48,25
Iran,Costa Rica,0,51,0
Iran,Cameroon,0,0,0
Iran,Cambodia,0,0,0
Iran,Ecuador,6,14,2555
Iran,"Moldova, Republic of",2,0,0
Iran,Algeria,74,1235,17526
Iran,Papua New Guinea,0,21,0
Iran,Trinidad and Tobago,0,34,0
Iran,Sudan (before 2012),107,1145,0
Iran,Guyana,40,20,28
Iran,Senegal,0,0,0
Iran,Mauritius,0,0,0
Iran,"Tanzania, United Republic of",54,165,153
Iran,Honduras,0,333,230
Iran,Mongolia,0,,85
Iran,Guinea,0,4165,
Iran,Suriname,0,,
Iran,Fiji,,0,1
Iran,Madagascar,6,0,16
Iran,El Salvador,6,4,1461
Iran,Uganda,0,12,3
Iran,Andorra,0,0,0
Iran,Barbados,103,0,0
Iran,Brunei Darussalam,0,3,0
Iran,Benin,132,0,0
Iran,Dominican Republic,0,0,49
Iran,Guatemala,0,5535,0
Iran,Israel,4,0,0
Iran,"Macao, China",3,7,16
Iran,Mali,0,3,0
Iran,Mozambique,808,9,45
Iran,Nicaragua,0,437,0
Iran,Paraguay,0,0,0
Iran,Seychelles,39,233,10
Iran,Togo,0,8,0
Iran,Zambia,6,61,1061
Iran,Nepal,,,1
