reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Iraq,Syrian Arab Republic,0,0,348318
Iraq,Türkiye,0,0,829058
Iraq,Pakistan,,,3609
Iraq,United States of America,46206,31607,309895
Iraq,Jordan,533834,603970,542517
Iraq,"Iran, Islamic Republic of",143023,184115,437594
Iraq,Germany,298640,373814,231598
Iraq,Australia,427540,363811,159456
Iraq,France,591143,447062,175529
Iraq,Lebanon,68008,71117,121777
Iraq,Italy,324641,316844,162458
Iraq,Russian Federation,187319,366702,167545
Iraq,Kuwait,0,242,179987
Iraq,Viet Nam,405473,439881,151260
Iraq,Thailand,57734,75625,108366
Iraq,United Kingdom,87263,70636,211757
Iraq,China,394941,420819,56056
Iraq,"Korea, Republic of",73196,86466,35625
Iraq,India,160529,263068,75405
Iraq,Netherlands,30860,29940,37468
Iraq,Belgium,88363,109003,56667
Iraq,Sweden,72656,57373,19745
Iraq,Ukraine,293074,122747,13353
Iraq,Switzerland,44110,79728,28544
Iraq,Japan,191481,284259,76546
Iraq,Brazil,6033,70583,42366
Iraq,Malaysia,33029,74247,12522
Iraq,Egypt,90559,66988,51948
Iraq,Oman,20735,69881,24339
Iraq,Austria,76685,83768,22366
Iraq,Spain,92930,69039,51584
Iraq,Denmark,39281,31669,22082
Iraq,Indonesia,82967,62793,12372
Iraq,Saudi Arabia,70285,69745,11500
Iraq,Argentina,52997,50023,15447
Iraq,Tunisia,77695,87989,23174
Iraq,Canada,4309,8711,3876
Iraq,Finland,9296,7989,24584
Iraq,Czech Republic,36,449,4745
Iraq,Poland,319,1060,6686
Iraq,Romania,12559,29731,10693
Iraq,Cyprus,14771,8820,1782
Iraq,South Africa,3164,1295,3959
Iraq,Hungary,3545,2595,6477
Iraq,Sri Lanka,19061,22709,8723
Iraq,Yemen,,,
Iraq,Croatia,241,4341,2572
Iraq,Serbia and Montenegro,3590,705,
Iraq,Greece,5861,44464,8141
Iraq,Bulgaria,5383,1379,679
Iraq,Ireland,303,1132,1220
Iraq,Malta,0,0,1576
Iraq,Slovakia,1138,415,1032
Iraq,Israel,0,0,456
Iraq,Norway,57,0,578
Iraq,Azerbaijan,0,3,1479
Iraq,Uruguay,22,0,0
Iraq,Slovenia,73,3259,10489
Iraq,Algeria,40179,49911,16700
Iraq,Qatar,0,166,3915
Iraq,Portugal,925,337,356
Iraq,"Hong Kong, China",1470,1511,64
Iraq,Mexico,3,7713,3197
Iraq,Bahrain,11230,5220,6243
Iraq,"Moldova, Republic of",0,0,0
Iraq,Belarus,26093,32620,8056
Iraq,Namibia,0,0,0
Iraq,Georgia,66,0,263
Iraq,"Taipei, Chinese",277,455,520
Iraq,Colombia,11,0,3
Iraq,Philippines,8,0,7
Iraq,Morocco,35252,13539,633
Iraq,Latvia,0,179,40
Iraq,Dominican Republic,0,0,0
Iraq,Bosnia and Herzegovina,,,108
Iraq,Kyrgyzstan,35,138,141
Iraq,Armenia,0,0,0
Iraq,Ethiopia,0,0,0
Iraq,Paraguay,0,0,0
Iraq,New Zealand,0,493,4
Iraq,Bangladesh,2163,14,0
Iraq,Luxembourg,261,3794,129
Iraq,Lithuania,8,15,91
Iraq,Madagascar,0,2,2
Iraq,Kenya,0,0,87
Iraq,"Macedonia, North",446,0,8
Iraq,Estonia,1850,7537,0
Iraq,Kazakhstan,0,6261,331
Iraq,Brunei Darussalam,0,0,1
Iraq,Ghana,0,,8
Iraq,Guinea,8,4,
Iraq,Bahamas,0,0,20
Iraq,Cambodia,0,5,25
Iraq,Benin,132,0,0
Iraq,Ecuador,0,22,0
Iraq,Honduras,0,0,2
Iraq,Mozambique,0,0,68
Iraq,New Caledonia,0,0,0
Iraq,Peru,0,3,0
Iraq,Singapore,1723,657,0
Iraq,Zimbabwe,0,0,101
Iraq,Sudan (before 2012),0,215,57
Iraq,"Venezuela, Bolivarian Republic of",0,0,0
