reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Ireland,United States of America,18499249,22534882,25865048
Ireland,United Kingdom,13846753,14603781,16634721
Ireland,Germany,14005284,12767809,15716036
Ireland,Belgium,5009803,13888980,13128540
Ireland,France,5328868,6140761,7489707
Ireland,Italy,3217179,3432931,4616403
Ireland,Netherlands,3411803,3485159,4494785
Ireland,Japan,3634710,3204086,3554290
Ireland,Switzerland,3160753,3306283,3564613
Ireland,Spain,2145161,2434126,2957328
Ireland,Sweden,1176095,1176817,1371457
Ireland,Australia,674195,860632,1080818
Ireland,Canada,930139,1106703,1363604
Ireland,Austria,748671,912470,832755
Ireland,China,612508,689456,951493
Ireland,"Hong Kong, China",614529,463243,815638
Ireland,Singapore,432582,641586,667052
Ireland,"Korea, Republic of",742540,754463,664378
Ireland,Denmark,541105,632380,679149
Ireland,Türkiye,377753,476614,501277
Ireland,Mexico,550754,614166,794455
Ireland,Norway,488992,501019,558743
Ireland,South Africa,348536,290544,375131
Ireland,Malaysia,1000444,700338,655067
Ireland,Ireland,603908,477375,490323
Ireland,Finland,362601,343654,436128
Ireland,Portugal,238826,271973,350417
Ireland,Poland,283488,313351,355061
Ireland,Greece,249423,200416,370101
Ireland,"Taipei, Chinese",249215,264952,316236
Ireland,Saudi Arabia,294667,286339,371366
Ireland,Israel,297434,251615,252288
Ireland,Czech Republic,207745,335130,282425
Ireland,Philippines,282110,567298,301126
Ireland,Brazil,251286,209939,228426
Ireland,Russian Federation,154337,198924,234695
Ireland,Hungary,187162,201297,225172
Ireland,Thailand,165062,124986,140840
Ireland,Morocco,29142,55703,141966
Ireland,Romania,58571,69360,100399
Ireland,India,70150,105006,100481
Ireland,Luxembourg,52068,33699,91174
Ireland,Slovakia,51790,56809,95495
Ireland,Indonesia,41929,41961,44679
Ireland,New Zealand,64291,68388,79655
Ireland,"Iran, Islamic Republic of",24001,27707,66036
Ireland,Croatia,35101,57922,65582
Ireland,Iceland,25665,31061,66737
Ireland,Kuwait,56890,64617,73579
Ireland,Slovenia,31701,30189,44856
Ireland,Colombia,40962,38696,42301
Ireland,Algeria,24303,47547,55407
Ireland,Serbia and Montenegro,20433,30859,
Ireland,Egypt,77969,46826,34431
Ireland,Lebanon,52760,58221,60114
Ireland,Argentina,78531,30688,41529
Ireland,Bulgaria,19432,20049,23606
Ireland,Chile,42818,39794,46616
Ireland,Senegal,26244,28375,28780
Ireland,Costa Rica,8884,16270,10343
Ireland,Tunisia,22090,20232,25487
Ireland,Estonia,34436,26284,29830
Ireland,Jordan,24486,28833,27778
Ireland,Cyprus,29009,29682,31485
Ireland,Syrian Arab Republic,0,0,13965
Ireland,"Venezuela, Bolivarian Republic of",39286,28118,32902
Ireland,Latvia,19792,19180,23037
Ireland,Ukraine,27941,24246,26583
Ireland,Kazakhstan,12587,19950,15187
Ireland,Oman,38553,28138,1781
Ireland,Lithuania,24953,31331,33085
Ireland,Malta,16846,16817,20507
Ireland,Qatar,17185,16554,20412
Ireland,Trinidad and Tobago,21191,23254,21297
Ireland,Ghana,7717,,9533
Ireland,Pakistan,,,15660
Ireland,Belarus,5430,7175,7761
Ireland,Côte d'Ivoire,11719,12861,15393
Ireland,Cameroon,10227,11214,10540
Ireland,Viet Nam,5252,12154,15668
Ireland,Bosnia and Herzegovina,,,3596
Ireland,Bahrain,15769,14999,12836
Ireland,"Tanzania, United Republic of",5238,8341,9630
Ireland,Faroe Islands,3056,6097,5113
Ireland,Peru,12450,12044,10837
Ireland,"Macedonia, North",9333,5349,5193
Ireland,Eswatini,92,4855,12
Ireland,Sudan (before 2012),5772,5478,9460
Ireland,Jamaica,12731,21181,7817
Ireland,Ethiopia,5191,7411,9037
Ireland,Zimbabwe,3729,3244,1461
Ireland,Angola,,,
Ireland,Azerbaijan,2363,1644,3965
Ireland,Mali,6970,9805,10445
Ireland,Uganda,2104,1670,3632
Ireland,French Polynesia,2417,4288,5866
Ireland,Albania,3828,4511,2263
Ireland,Sri Lanka,5867,7735,7376
Ireland,Panama,5994,6241,6875
Ireland,Mauritius,5823,5262,6752
Ireland,Zambia,2953,3243,5385
Ireland,Benin,1796,2117,2956
Ireland,Uruguay,4636,3315,5350
Ireland,Ecuador,1844,5162,7035
Ireland,Barbados,2765,1859,2825
Ireland,Botswana,3690,6399,7746
Ireland,Malawi,963,1353,1542
Ireland,Andorra,1152,2565,2868
Ireland,Yemen,,,
Ireland,Dominican Republic,2983,3457,8625
Ireland,El Salvador,1297,1622,3200
Ireland,Cuba,2217,946,1282
Ireland,"Moldova, Republic of",1898,1362,1037
Ireland,New Caledonia,2132,1637,2307
Ireland,Maldives,120,271,1087
Ireland,Georgia,758,656,1641
Ireland,Burkina Faso,1530,2937,1626
Ireland,"Macao, China",1902,3586,1644
Ireland,Cambodia,2541,1185,1787
Ireland,Nicaragua,1142,1263,2243
Ireland,Bangladesh,1417,3779,3692
Ireland,Guatemala,5771,3402,5145
Ireland,Honduras,1377,2596,2413
Ireland,Madagascar,672,381,939
Ireland,Namibia,3292,3653,2696
Ireland,Seychelles,1148,1175,1161
Ireland,Brunei Darussalam,600,1071,1495
Ireland,Mayotte,702,2057,2125
Ireland,Niger,781,1223,550
Ireland,Saint Vincent and the Grenadines,829,588,1236
Ireland,Mongolia,4,,123
Ireland,Mozambique,10080,2697,2542
