reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Ireland,United Kingdom,26185609,29981708,32227165,35877224,34916424,24448034,25675543,27988006,25520953,28376124,29319080,25499052,22901408,25139523,28284977,27795976,27551728,29065675,36303915,34120817
Ireland,United States of America,7551531,8446714,8515296,9010736,8652873,7516394,7274602,7655739,7391887,6631969,7805934,8930614,9565391,10707688,10744480,9052318,9575272,13784560,15968585,16948710
Ireland,Germany,5418012,6015708,7327781,8667364,8152599,5095426,5498849,6212882,5976270,7241394,6904586,6480337,6458046,8897231,13564906,8938683,8837997,9244617,11467481,10412067
Ireland,Netherlands,3295678,3441783,3882378,4795216,4888137,3628290,3689318,3989569,3714989,4459886,5031555,3797306,3827769,4218068,4793489,5014744,5508974,7229755,7570017,10204308
Ireland,France,3213403,3470630,3379988,4007658,3973295,3047080,2777470,2958803,2875343,3219501,3065079,2901499,3198820,3279160,3795495,3768819,3831170,5336885,6903994,7894357
Ireland,Belgium,2300743,3563827,2949879,3007993,2869411,1987872,2262662,2435035,1891304,2181123,2216141,1953144,2200871,2273975,2731841,2748355,3225455,4341012,4598367,5442441
Ireland,China,2140223,3184340,3918248,4439066,4324169,1979341,1992057,2166075,2098343,2477167,2801682,2825002,2789797,2908818,3651707,3294171,3995892,5321332,5725882,4485179
Ireland,Italy,1698598,1780105,2170767,2383191,2084641,1284373,1194582,1275454,1257861,1306973,1482532,1392840,1919570,2650179,2119934,2044013,2277297,3161665,3049409,4145602
Ireland,Spain,1109654,1179828,1315516,1428422,1315567,820504,959139,966074,907207,1120624,1477510,1576973,2092902,1727517,1907192,1856098,1980280,2411413,3027679,3680391
Ireland,Japan,1984229,1932116,1637408,1600390,1276562,750546,895059,893381,882362,1044923,1664179,1105986,761293,819969,1076135,908916,890777,1011211,2499661,1760690
Ireland,Switzerland,764126,727635,722278,834772,782620,576923,626538,991765,755303,905661,1285197,1006522,1026863,1000981,1412166,1061099,1355091,1305864,1400058,1693873
Ireland,Poland,217529,291690,360110,517121,779792,515441,582402,542601,594199,665354,671213,677399,713235,876226,1178512,1015941,1036795,1607993,1419986,1604935
Ireland,Czech Republic,249068,352115,401141,414911,329896,216533,280264,366797,402891,474430,501130,618583,666782,658722,1280793,965693,1074347,1525441,1550943,1553302
Ireland,Austria,787066,274894,422678,432589,394613,324656,262502,290244,486161,1124620,367937,270581,263760,311743,361209,383584,347946,486602,480135,1551616
Ireland,Singapore,1069115,1212513,1776535,1360011,1999765,1159545,886784,349328,395558,579084,439223,431053,388973,233536,317840,359696,547325,566913,767655,1242755
Ireland,Hungary,232363,184614,334029,562982,438787,343369,257985,198126,190422,205775,217561,184776,198408,180395,413622,305083,342043,417107,576879,955508
Ireland,Türkiye,433559,404607,575374,637455,663903,294769,339265,354004,347199,383576,476319,466754,494938,527039,754126,620013,654718,958701,1085178,947675
Ireland,"Taipei, Chinese",543935,491173,453214,419430,308204,156294,144595,183224,213623,165026,221047,232091,255283,195184,239516,336688,393698,574123,810507,857468
Ireland,Denmark,1132198,1169158,1189330,1550411,1380346,1058465,989731,925093,715827,1012021,783020,669233,974821,687635,682439,700321,640010,793419,776934,817360
Ireland,"Korea, Republic of",677214,650851,545264,888195,662815,424335,380774,355679,377640,369016,463135,366371,565198,693217,649352,650088,924099,989730,822781,804549
Ireland,Sweden,732828,719741,852778,927504,947236,610488,606131,825496,740995,749670,940900,702119,784292,590368,666471,516503,552454,852822,810524,705799
Ireland,Norway,1089318,1853041,2156443,2200802,1747554,1162401,1398162,1746710,1651229,1604086,1294337,1520393,1393031,1186381,1295475,735474,574232,852839,630610,636954
Ireland,Portugal,214868,204767,228787,249954,344145,165710,133744,177674,175199,204505,251442,263518,371210,366996,399239,463432,558822,488168,674409,585770
Ireland,Canada,354664,347221,335335,324487,439043,472035,320481,374721,317256,416539,458516,471341,374417,453354,615858,635413,502029,621393,706889,537814
Ireland,Thailand,382475,440434,583867,553517,537809,290780,262731,295758,343228,424391,444153,490246,444643,349302,392794,298135,472095,389750,558302,490774
Ireland,Argentina,45971,61302,93211,115763,158681,73650,118272,206601,216779,252821,242172,231860,231488,277207,304644,311491,422204,437595,561868,485937
Ireland,Slovakia,63849,56080,94560,136649,142220,43346,64043,91156,109099,115463,136111,142175,149308,163366,164371,150545,161909,219490,239311,312472
Ireland,Greece,58144,49180,85167,81706,100151,64072,37176,36131,28828,48525,44305,92064,92462,133809,157724,165379,114193,218513,263836,295843
