reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Italy,Germany,41349910,43911295,55238627
Italy,France,25427013,27620714,33195095
Italy,Netherlands,13543997,13527578,16073566
Italy,Spain,10481154,11863502,15570813
Italy,Belgium,10994864,11715693,13663496
Italy,United Kingdom,12342335,12926098,14189653
Italy,Switzerland,9304661,11003829,12045683
Italy,Russian Federation,7401528,7442133,8514861
Italy,United States of America,9921979,10065407,10569486
Italy,Austria,5666937,6186679,8011241
Italy,China,3991938,4827785,6652754
Italy,Japan,4814306,4492177,5501133
Italy,Syrian Arab Republic,7740518,8875798,7831490
Italy,Algeria,4316547,3911254,4725646
Italy,Romania,2853966,3488530,4288322
Italy,Ireland,2965929,3397500,4239514
Italy,Türkiye,2342204,2375994,3194797
Italy,Sweden,2690411,3067901,3645384
Italy,Poland,1931138,2239847,3057668
Italy,"Korea, Republic of",2063284,2217502,2560593
Italy,"Iran, Islamic Republic of",2067154,1884423,2364590
Italy,Kazakhstan,956196,904222,1013098
Italy,Hungary,1905356,1984089,2498320
Italy,"Hong Kong, China",2051289,2080141,2478401
Italy,Brazil,1807575,1814512,2205737
Italy,Czech Republic,1358823,1810859,2165282
Italy,Tunisia,1534738,1466913,1770543
Italy,Norway,1266950,2236983,2395839
Italy,Denmark,1594762,1609564,1942294
Italy,Slovenia,1157628,1251437,1673614
Italy,India,1267819,1268738,1581420
Italy,Croatia,1106529,1114986,1651020
Italy,Finland,1543844,1434723,2093048
Italy,Slovakia,1124920,1558427,1647356
Italy,"Taipei, Chinese",1254627,1257550,1458657
Italy,Ukraine,839722,839326,1284866
Italy,Azerbaijan,1324065,1082720,1345948
Italy,Portugal,1070405,1182162,1523462
Italy,Greece,878373,878746,1468541
Italy,Canada,1067126,948962,1236286
Italy,Chile,830236,869098,909170
Italy,Thailand,673318,701882,957878
Italy,Bulgaria,765339,886150,1057468
Italy,South Africa,788517,743035,913149
Italy,Australia,1139225,1111941,1034211
Italy,"Venezuela, Bolivarian Republic of",179914,168870,127535
Italy,Egypt,378555,498707,757750
Italy,Argentina,852167,847238,930828
Italy,Indonesia,622258,720900,844604
Italy,Luxembourg,495153,480386,592973
Italy,Israel,766226,693464,772538
Italy,Malaysia,469074,479315,622078
Italy,Serbia and Montenegro,311721,330125,
Italy,Singapore,424831,397618,413374
Italy,Morocco,409241,425143,451852
Italy,Pakistan,,,401922
Italy,Albania,216503,236833,334917
Italy,Viet Nam,237899,264641,330941
Italy,Colombia,196156,221641,285174
Italy,Bangladesh,226885,209304,258808
Italy,Ecuador,197865,289252,377438
Italy,Côte d'Ivoire,156169,189501,188643
Italy,Saudi Arabia,189468,197340,236170
Italy,New Zealand,230522,215991,258535
Italy,Peru,139455,174619,188297
Italy,Cameroon,472405,343773,303236
Italy,Bosnia and Herzegovina,,,144487
Italy,Mexico,269633,192674,276114
Italy,Lithuania,92330,153216,155605
Italy,Sri Lanka,61097,71885,116139
Italy,Belarus,85411,130059,135252
Italy,"Moldova, Republic of",45448,56822,82435
Italy,"Macedonia, North",91196,81933,95414
Italy,Philippines,134580,107148,125483
Italy,Senegal,46658,22711,95880
Italy,Uruguay,70908,88226,89041
