reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Japan,China,94326727,100407681,115672581,133950504,150600041,130937525,176736084,194567856,177832336,162245573,162920512,143092949,145771152,165494647,180401786,171768696,174655179,205523715,184496995,160577404
Japan,United States of America,133551797,141861457,152244040,149423010,143351759,98401031,123762733,132558803,150447023,142136718,137503838,135106465,135071179,139725457,145685070,146922199,122470639,139112448,154445767,151580612
Japan,"Korea, Republic of",46144462,48403127,51926275,56250095,60956291,49427291,64295813,68319877,64362822,60015980,53775979,45854370,47454088,55133802,54605035,47575433,46024958,54636756,54711795,47656468
Japan,"Taipei, Chinese",43822145,45991424,46359830,45932479,46407666,36209194,52094405,52254745,47723747,43184368,41619512,38641270,40595647,41986597,44147244,44060592,46105764,56276635,54449814,44309023
Japan,"Hong Kong, China",32963134,33035535,34722405,37352123,39178395,31063949,40903170,43309980,42350208,38824402,38859524,35252446,33514513,35714180,34881254,33721096,33468746,37234364,35370630,34077944
Japan,Thailand,22381170,26049684,25842606,30032903,33759543,25023287,37856129,42162112,49579946,41082107,35710527,31124459,30858889,32360839,35450691,33650472,27825440,35689940,34648183,31251720
Japan,Germany,26232760,27025351,30161029,32996181,35703442,27256699,31391416,34885269,29961882,27492037,26500610,22377628,24267202,25896658,28016813,26756331,24451220,27758736,26708874,27607445
Japan,Singapore,19093622,19246683,20024799,21801729,26416238,18896154,24626944,27029661,23646711,20390886,20110800,18597498,19866746,20471052,22175352,19373703,18118609,21819549,26720916,21199983
Japan,Australia,12881768,13765147,13711754,15907701,18049343,13476040,17526279,18577829,19408977,18057040,15120324,14661163,14565833,15990826,16778374,14901414,12086838,15176361,16993783,17311061
Japan,Malaysia,16944509,16578957,17341034,18866751,19453713,15430301,20704520,21346068,20181275,17888705,16731372,13802748,13765631,14805199,15749962,15351881,14532350,17794100,18951096,15574005
Japan,Canada,10400000,12220229,13521424,14447453,14404327,10860575,13054187,13193768,15038601,13342175,12046255,11579535,11927760,13508337,13004113,12419114,10102570,12329779,13148135,15299827
Japan,United Kingdom,21604010,22433951,20932711,21995254,20709058,14379757,16463606,19936132,13828517,10966684,10491214,10198965,12996369,13109804,12917863,13021989,10172941,9588355,13255128,14811089
Japan,Netherlands,8403693,7594491,8138938,9859575,13986401,10113626,12295674,14052865,12766185,11191470,11058519,7901565,7715170,8729237,9254345,9070638,8446338,9394916,9481201,13875991
Japan,Belgium,9079589,9065566,9459123,10513367,12516855,9184912,10874049,10319813,9149524,9184777,9745347,8534668,9281806,9928181,11004099,12512753,10930404,11008355,11084772,10957493
Japan,France,13272246,12889946,12909259,13987373,13998663,10767919,11719338,13276347,11861579,10936019,10441183,9360440,10355510,11205739,12047349,11660015,9632651,11146409,9847513,10570696
Japan,Switzerland,2461124,2350036,2579990,3106699,4333599,6503028,3537323,4675767,5045648,4026584,3989517,3623027,4013856,6088395,4774319,4489093,5317637,5355309,5715402,7467368
Japan,Italy,6862264,6187852,6831133,7328429,7380160,5438855,5681876,5868619,4103418,3406895,3590569,3462343,4444577,4724802,4448625,4605404,4162362,5268130,5534121,5863679
Japan,Türkiye,2684287,3109218,3216725,3703442,4026764,2781971,3297796,4263730,3601427,3753678,3481908,3140057,3943602,4281472,4124170,3647888,3742695,4389184,4641674,5466806
Japan,Brazil,3015244,3572488,4047838,4839228,7158296,5583605,7291543,8234720,8042900,7363312,6155684,4877204,3566368,3762634,4355618,4094053,4191338,5145679,5299771,5128067
Japan,Spain,7138952,7362971,7433389,8350122,7566182,4422106,4599589,4466579,3800177,3237173,3498741,3571542,4036274,4441336,4883850,4876359,3323719,3511440,4133442,3983614
Japan,New Zealand,2587673,2872262,2407554,2911166,2802550,1895097,2245579,2921300,2473652,2530474,2833251,2402233,2550948,2960227,3045737,2764838,2100961,3192478,3346266,3327497
Japan,Poland,1711185,1992199,2076783,3171156,4381193,2957052,3567150,3676762,2809345,2842251,3123992,2613014,2867729,3615588,4172228,4361302,4630944,5076926,5119384,3116339
Japan,South Africa,3257012,3715886,4458144,5249379,4882611,3093702,4238987,4736166,4607030,4078938,3773847,3163048,2560360,2833892,2877471,2806403,1909979,2604866,2840656,2703911
Japan,Czech Republic,2275920,2400265,2827818,3850855,4718409,3290740,3070799,3109600,2852355,2655495,2548899,2283778,2481355,2878825,3143969,3074020,2885800,4259319,3976041,2518566
Japan,Chile,925654,1230168,1331085,1968070,3535215,1644573,2929083,2419557,2095428,1899201,1801104,1664652,1587396,1664385,2030797,2453170,1067341,2026460,2816008,2225974
Japan,Ireland,2703980,2617868,2173350,2234745,1683137,912866,1058468,1106958,942054,1385142,2342487,2021650,1367928,1367226,1712842,1357274,1546452,1692449,3333211,2224796
Japan,Hungary,1818631,2249290,2208737,2640383,2808759,1949696,1895901,1588346,1271525,1241946,1232289,1256089,1372580,1421113,1506607,1648167,1362155,1657098,1473491,1820734
Japan,Austria,2457271,2343226,2439622,2560961,2769715,2104961,2354790,2712339,2282042,2224930,2277721,2058066,2169384,2340695,2625702,2493937,2250808,2642629,2608111,1704701
Japan,Norway,1639352,1757918,1726657,1782930,1946925,1694647,1693984,1974496,2047971,1934147,2020254,1658473,1699718,1703529,1632860,1624154,1609442,1765283,1621389,1699447
