partner,reporter,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Japan,China,73509042,83986277,91622673,102062496,116132455,97910966,121043965,148268708,151626581,150132589,149391340,135896918,129450377,137368622,147235099,143244518,142596625,165822965,172927436,157584021
Japan,United States of America,53568570,54679311,59647551,62663665,66573422,51178320,60469046,65791777,69971995,65213790,66825973,62387810,63247049,67603375,75149289,74497004,63756412,74564692,80317146,76165162
Japan,Australia,16314189,21703964,24446820,26801196,42731585,30014166,40088027,52088076,36704497,31380575,27530319,20513321,26126547,23588895,26254707,24449585,19092549,29776841,49272456,36503550
Japan,"Taipei, Chinese",13222517,14480297,16283756,15879349,17501896,14465168,18016269,18198289,18843139,19166034,19864703,19256264,19474518,20596669,22816205,23305107,23526084,29289739,33622978,31423291
Japan,"Korea, Republic of",21701330,24027420,26533922,26370189,28252423,21770815,28176255,39679480,38795946,34693728,32247849,25596263,24356592,26827473,30574271,28412058,25092517,30063124,30606277,29000615
Japan,Thailand,13457061,15029432,16542485,18133187,20077626,15731838,20415711,24070267,23495120,22235592,21820597,19771635,20420004,22242302,24717571,24472836,22678467,24633451,24493028,24381827
Japan,Germany,15788338,16610514,17424016,17913466,18950651,15461099,17686179,21397447,22236864,22872493,22779313,18826075,20252781,22091562,24118012,23137108,19855207,21574992,21602790,21884597
Japan,Singapore,11560622,12551337,14857375,14387841,16659803,12283093,16410345,18373433,18098945,17628163,16739800,15230858,14567641,17047595,20009056,17635243,17871037,18366164,20795886,19342858
Japan,Malaysia,12762911,13340230,14244768,16203924,21186469,15462309,20611236,26134473,26997638,25115837,25276973,19011633,15286460,17431058,17125944,15753503,14686769,18170240,22357885,18827225
Japan,Canada,6587074,7578135,8306151,8603085,10464782,7299595,8932610,10776245,10350578,10325007,9725092,7662240,8094030,9126507,10002483,9507517,9252289,11575900,13836177,11682901
Japan,"Hong Kong, China",13914859,15303871,15534597,15341074,15606577,14119893,16496752,17425680,18567228,17479092,17103149,15945604,15055656,16513328,16533395,15472840,14094767,15347404,13108702,10808588
Japan,Italy,5354369,5611632,5628879,5909929,6251746,5180850,5279306,6559392,7240167,7996573,7112261,6104324,6663467,7404924,7639885,8632719,8129701,8929576,8505420,8604619
Japan,Switzerland,5126739,5287651,5556889,5827517,6919160,6777398,6473997,7509215,7647770,6925773,6984573,6855490,7623790,7584292,7941986,8113908,7512436,8445486,9829024,8539436
Japan,France,6646943,6732357,7152506,7916481,8254690,6648768,7793299,9080339,9506511,9026263,9062450,6978159,6915391,7180608,7819647,8638961,6486759,7707114,6692242,7193112
Japan,Chile,3710583,4549007,6053752,7142669,7361591,4585520,7114159,9188582,8444672,7770702,7776185,5487014,5042029,5768757,6837042,6434812,5988085,7076757,7759382,6859771
Japan,United Kingdom,7110905,7103262,7515739,7698685,7096363,5285602,6664162,7164625,7265956,7039625,7129033,6589815,6404653,7369537,8380560,8340855,7260280,7549464,7202303,6851333
Japan,Brazil,2766993,3452620,3893907,4320342,6111848,4269527,7140402,9471866,7954951,7963909,6717455,4844959,4604339,5263291,4334337,5408841,4127277,5539500,6603070,6615790
Japan,South Africa,4110387,5149334,6226977,7039332,8119609,4096141,6405002,7625111,5686868,5571898,4885580,4018105,3467404,4176767,4503693,4309142,3784090,8236937,8601491,5756746
Japan,Netherlands,2720952,2755465,2771986,3488903,4339437,3321182,4230972,4749863,4551537,4220964,4410483,3833905,3679152,4194096,5215661,5071232,5455100,5076659,5497230,5687109
Japan,Belgium,3377041,3436053,3208736,3353165,3098137,3173350,4094414,4752789,4916215,4621836,4080859,3671632,3943719,3661296,3790288,4048879,3638192,8928970,11021217,5287728
Japan,Ireland,2900088,2776802,2486119,2381981,2512404,2423622,2320374,2425491,2680001,2247232,2352225,4316129,3195529,2634566,3926972,4882825,3966766,3211037,4413864,4098993
Japan,Spain,1422624,1431219,1586826,1788321,2150616,1692561,1877325,2534672,2694402,2992374,3471826,2738315,2660956,2758417,2989922,3050375,2879415,3473096,3401117,3023153
Japan,New Zealand,2280507,2298790,2303622,2478412,2575786,1773348,2434231,3440528,2600279,2322789,2442374,2067586,2074292,2277043,2408754,2295225,2304595,2538244,2620975,2234231
Japan,Peru,554160,604498,1230787,2180551,1860025,1376462,1792249,2174663,2571432,2226153,1583984,1118559,1262586,1880078,2177050,1929320,1724174,2780239,2824671,2215389
Japan,Sweden,2274178,1986755,2289513,2069175,2028691,1648461,1943891,2298293,2478472,2192508,2016466,1772463,2055517,2248390,2492400,2566105,2448845,2770310,2700528,2014814
Japan,Austria,1304356,1274250,1384409,1546610,1471114,1077191,1355749,1748236,1638673,1688012,1675567,1385558,1352252,1476537,1759681,1778021,1589607,1916055,1772228,1920788
Japan,Denmark,1979372,1582378,1537812,1517966,1764447,1391159,1437242,1552419,1615801,1525126,1564142,1384619,1506378,1468862,1459307,1553901,1361609,1505622,1383708,1257249
Japan,Finland,1223497,917564,1055513,1610024,1745429,1032096,849888,1039957,1111849,1166402,1130560,1000550,933890,1073720,1181875,1297768,1014079,1434009,1428172,1160429
Japan,Czech Republic,228737,328392,407425,499542,549717,425253,530320,578925,710311,870457,1021215,854309,921441,777530,911612,986650,900629,1425408,1275068,1089428
Japan,Norway,1018778,1017569,1192871,1310336,1440784,1260796,1584097,1844880,1512614,1240650,1611288,1232917,1221026,1196084,1455105,1207812,908415,1079649,1003677,919178
Japan,Poland,170889,180092,189919,294565,395478,302941,458377,564802,566398,675281,660965,571721,591250,558448,671577,719966,691496,830165,783930,897163
Japan,Hungary,322205,361310,380134,398699,492511,476917,610964,598661,575633,595683,705056,827478,794946,724879,710508,699852,702447,825307,962880,866771
Japan,Romania,47766,78997,104286,116091,117492,112209,186502,237626,273266,308872,282593,233928,239186,262690,296108,305698,505738,465602,696688,824044
Japan,Colombia,262078,330181,323750,395288,371562,336296,511058,527963,360240,387855,420904,519899,427631,557359,474064,466280,402401,467829,606107,676855
Japan,"Bolivia, Plurinational State of",68404,135140,377962,407198,214374,303543,460298,540026,441840,417721,432335,407223,417296,591350,669557,720930,527390,916097,967003,671264
Japan,Argentina,404784,284753,398009,666244,519301,493393,853778,842993,1207486,1391731,748396,572329,662586,638724,486214,452885,317462,721944,794414,658805
Japan,Türkiye,190117,234227,263084,246910,330462,232841,272219,296413,331762,417352,380662,334814,354568,411531,479384,510076,441134,529691,664044,645384
Japan,Portugal,112347,103088,131225,394629,243670,119873,168510,267159,244446,184535,165457,161296,153240,164530,190443,169328,277368,351589,262130,415503
Japan,Slovakia,89199,87909,111907,128467,137537,36026,57047,91728,144259,179876,138908,79103,112164,133942,159461,194195,227499,306879,292722,387372
Japan,Costa Rica,40686,60149,48373,78191,91600,63522,84764,89556,85640,90929,92185,97306,112862,171936,240770,243810,258154,258321,255573,379839
Japan,Greece,67168,54545,74209,177622,130987,51786,49532,50626,67058,60639,59350,68074,61374,106630,142982,212991,405757,293230,327748,331720
Japan,Madagascar,15239,17471,13671,8708,7081,7405,5187,9832,6130,74269,143090,107767,115239,106493,212345,165973,61715,239799,421697,273833
Japan,Ecuador,76497,72245,122514,104981,107116,109239,401977,348854,653694,570418,326006,330893,319576,389479,320697,349504,339520,260485,501331,227119
Japan,Malta,98544,98299,153511,226403,232287,81362,138063,135630,140369,262147,141138,121441,160314,159860,278853,180355,182771,172892,250136,201597
Japan,Slovenia,20413,22776,23953,27341,34582,23366,22295,38485,37077,50878,43036,58008,126162,140389,130987,88559,92000,94776,135744,179559
Japan,Guatemala,24462,38463,41777,59245,113180,107941,146830,187508,178431,189114,162586,185385,169684,153701,114253,122965,165195,135130,151550,146872
Japan,Estonia,17231,25571,55855,58268,57775,54258,64400,89142,87410,88743,81813,75167,81141,79682,84661,90294,108709,137774,158660,122282
Japan,Iceland,86774,99577,71401,199825,234620,75367,117191,133203,103384,93638,91874,95186,99757,93844,115504,62868,39787,102009,162270,120827
Japan,Lithuania,12590,15493,16270,17039,19655,17744,18610,25853,34491,46800,48893,53878,143877,133116,363814,202659,93529,92266,109429,97602
Japan,Bulgaria,13851,17200,26321,36272,26508,20243,21806,31880,31116,37668,37836,44733,45260,47315,50576,56550,58234,64188,80072,94937
Japan,Serbia,,,1143,1205,2089,1013,1554,2336,4196,6327,6753,42463,55275,49835,69468,57469,94960,117196,94173,89201
Japan,Luxembourg,43556,42998,30774,44990,48591,42733,53679,57409,82558,74972,75898,69158,68599,10,88727,93784,81187,97531,81309,80804
Japan,Croatia,56641,50713,95227,68843,60800,61817,48585,73875,65827,59093,48492,51462,35550,55281,64649,44439,46547,46299,55245,63352
Japan,Latvia,43260,53273,42513,39182,32164,34919,44560,48869,44474,58809,43778,43909,53692,57218,62913,62804,57223,90940,88768,61102
Japan,Paraguay,17021,16199,24345,30159,87220,44042,38414,51991,29224,84415,105218,79161,39793,41178,31109,30355,59885,46072,15804,49949
Japan,Ukraine,99177,82009,98587,91039,115670,111164,104804,152523,320517,458439,209561,235568,185239,217927,231866,249944,181725,347242,107804,35050
Japan,El Salvador,7627,16840,17631,15509,18816,19149,18673,49485,32380,36603,15881,20542,14873,13699,11238,9059,13408,12951,15698,11477
Japan,Cyprus,23056,23297,15909,19345,29781,771,668,424,1130,872,27563,1322,713,980,678,981,1496,1573,1498,1963
Japan,Belize,1739,3654,2657,1957,4439,6022,8177,7534,12573,3874,1896,1360,1241,1320,1412,2197,1488,1689,1247,1476
Japan,Bosnia and Herzegovina,16,110,199,299,1308,425,435,283,687,627,1499,824,707,318,128,173,76,212,772,1295
Japan,Cabo Verde,0,120,108,53,153,18,43,124,1,0,0,0,12,32,7,0,0,0,0,0
Japan,Liberia,,,,,,,,,,,,,,1115,0,26,125,743,0,
Japan,Uzbekistan,,,,,,,,,,,,,,659,2172,13855,4812,7150,9766,
