reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Kazakhstan,China,2286271,2909355,3607273,6431909,7727828,6255600,11108591,15349866,14675447,16050838,9741822,5840304,4793614,6342399,8529554,7864755,8598922,10262825,14819247,16324026
Kazakhstan,United Kingdom,160238,206706,1511050,632062,391867,403383,253012,687501,937615,508501,287569,710758,727582,760741,446655,452293,742062,4065034,7826346,14283101
Kazakhstan,Germany,2516045,3159744,4119970,4899793,6376947,3121362,4852874,5954187,5024004,5933935,5805576,3036882,3137906,3929053,4286517,3521227,2670405,4214711,7280207,5860127
Kazakhstan,Italy,924146,2326893,3451908,2972197,3906858,1853558,3138205,4898194,6025158,4894499,3218268,2579021,1620283,1518251,2067752,2362923,1441393,1399760,3935669,5126937
Kazakhstan,Netherlands,301964,319053,432531,841999,1641878,403867,1227293,2241928,1951540,1251944,500503,211922,229802,251727,231403,62307,105991,539009,867687,4156178
Kazakhstan,France,1497003,2262729,2505508,2835356,3316757,3375600,4246123,7173086,6749323,7077308,5536213,3639048,2701491,3991474,3507757,3544328,1797848,2430624,4609146,3955013
Kazakhstan,Switzerland,214265,278666,552073,875036,1913420,1235029,1075571,2179443,1458943,1877011,1035762,199817,234975,487485,703361,475434,125654,77078,2952437,3715869
Kazakhstan,Greece,130247,406878,683072,1013419,1414681,786469,1412155,1255732,1636697,1887273,3220221,1581159,1398336,1283391,1926094,1799447,1797137,2627112,2799288,3670590
Kazakhstan,"Korea, Republic of",204029,241605,275882,256767,350457,166409,333934,375799,308199,249070,560771,305118,285295,1000298,1362078,1561484,1090196,2442129,4869471,3568112
Kazakhstan,Türkiye,442193,558900,993728,1284049,1861131,959455,1392528,1995115,2056086,1758429,1222772,1109832,1093897,1463158,1470257,1403956,1180549,1595313,3514907,3501132
Kazakhstan,Romania,587925,1315955,1640782,1357652,3801604,1907883,1799669,3186883,2910727,2380305,3079700,1116252,911226,1241462,1587770,1868860,1272298,59914,1775661,2952607
Kazakhstan,United States of America,568557,1164340,998447,1290189,1650994,1598221,1934960,1714209,1608874,1459593,1459478,850869,766837,829127,1439209,1270124,938682,1783929,2737380,2317166
Kazakhstan,Spain,538587,637117,1045371,844805,1006920,369672,443287,1096422,1042659,2132433,2214221,1330227,797482,1761842,2527123,1576121,1313771,1863878,2959083,2132900
Kazakhstan,Austria,567415,635988,823587,1085631,1577931,1308828,1157248,1949854,1822828,1760817,2169190,952033,728608,1059806,1715636,1689868,1002920,1622641,1668881,1860977
Kazakhstan,Poland,446263,500204,304291,411760,511642,301987,425454,514345,392709,590082,1718702,948132,538171,921174,2127638,1458115,1116109,957739,1516194,1019456
Kazakhstan,Japan,246010,334379,334258,401628,849381,331299,602116,761983,582434,643812,753994,810751,592774,1257895,1561748,1050471,741375,724130,856664,672609
Kazakhstan,Czech Republic,120878,164262,287822,178641,553023,283664,422216,580269,482911,535421,682722,341079,103656,440902,653628,597983,330443,781474,638026,669859
Kazakhstan,Canada,37048,30405,32743,87087,218589,1488921,2219032,2884538,3189766,2518795,458584,409497,524013,370952,315297,349903,299295,727586,900975,448650
Kazakhstan,Singapore,300,174,1518,1706,947,430,346,3907,2180,37157,921,32109,3552,80173,228424,199029,47392,451099,237183,378882
Kazakhstan,Hungary,58401,66295,57293,76910,111111,59818,90254,111211,89164,51253,39911,19221,73478,403605,537519,326078,165957,269306,236497,358303
Kazakhstan,Serbia,,,50806,73897,24424,19038,30427,110770,415253,888174,198049,143341,55451,60652,5475,3964,104226,235826,10441,354411
Kazakhstan,Croatia,188,82,111,268,5060,669,3306,4584,4311,417201,68721,104,92399,163263,79310,8899,11552,48348,78487,280743
Kazakhstan,Ukraine,394794,186433,965678,1686552,3118846,2033942,766218,1675947,1494884,683564,375795,377578,434290,317954,459955,450390,424414,846598,509696,265691
Kazakhstan,Belgium,38567,34333,54725,173964,199333,23428,24419,56440,405688,302620,455054,219410,77132,147297,578437,518939,220320,206321,222960,203717
Kazakhstan,Latvia,3501,20855,49293,53537,127665,31102,54041,40438,83538,51533,42595,12052,6715,8377,10994,12294,2560,8510,67379,152693
Kazakhstan,Lithuania,9629,31221,49870,83417,199663,53078,68368,82170,163892,200017,717322,317526,337354,1009777,975683,761403,684802,1286467,589696,142617
Kazakhstan,Estonia,44163,57546,134595,139126,170358,111920,157042,188969,142744,70304,98088,61052,48042,59552,62054,48155,28495,127822,295334,102605
Kazakhstan,Thailand,69988,52244,18697,20014,36375,11366,29418,25129,43004,19871,3477,11175,14315,43832,40516,9781,13462,17395,76714,100775
Kazakhstan,"Taipei, Chinese",109047,17168,36565,50872,74559,50277,18449,67994,39456,38454,47059,55618,76248,101569,88647,84151,73725,111178,46139,84749
Kazakhstan,Slovakia,0,10508,18800,33887,29812,8738,25740,30387,18993,18080,17006,3833,8727,45990,75930,49414,86984,39718,82801,80287
Kazakhstan,Sweden,24246,49361,69628,81431,191166,50527,41043,18692,16501,17633,28718,12566,12665,12960,10313,11922,15522,21882,85539,77001
Kazakhstan,Brazil,5955,9976,38164,13793,12938,13907,46922,89262,92960,75682,116926,139134,46140,53190,80306,63743,78952,140400,163042,71539
Kazakhstan,Denmark,69582,47201,54102,19229,51909,46095,74707,39287,19711,31304,28115,17635,23831,3722,586,1181,8257,11570,22587,35758
Kazakhstan,Argentina,14006,7,18137,10694,14336,22683,16457,10029,400,4533,17133,7077,2917,3100,2945,824,10333,20348,30771,33436
Kazakhstan,"Hong Kong, China",15,849,2739,1881,612,6531,2480,1151,70779,73968,5328,31610,5718,1817,1811,1069,1166,2412,39133,17701
Kazakhstan,South Africa,17,27,9364,78,2766,200,4844,2183,5587,2221,7171,4814,12416,6717,24901,20070,9100,18750,38559,12181
Kazakhstan,Norway,1708,6239,4430,10535,14793,28668,9563,19647,25916,13364,12302,6541,11508,6389,18513,14743,5554,6940,39305,11174
Kazakhstan,"Bolivia, Plurinational State of",0,0,37,18,342,334,39,0,0,0,0,0,0,23,1,1,4,62,5,10781
Kazakhstan,Iceland,0,0,0,0,0,0,0,0,8,23,19,15,12,11,0,0,275,18,7167,10695
Kazakhstan,Bosnia and Herzegovina,83,4,614,49,474,197,6089,2672,2489,3541,2652,1935,1662,4318,2178,3416,2985,34384,28718,10014
Kazakhstan,Slovenia,9389,16806,20658,19161,31748,6051,23326,23970,35342,16791,9804,9554,14585,15050,5116,26890,6545,18951,17084,9110
Kazakhstan,Bulgaria,147599,194548,18931,172973,620577,433805,9548,97632,49977,59498,48767,27657,18984,15817,5362,3621,15966,2308,30927,8886
Kazakhstan,Australia,3420,6900,7578,6948,26773,5865,14137,6886,5689,1476,2053,2568,1468,1761,2468,4351,16945,5299,9303,8176
Kazakhstan,Portugal,315116,316173,414626,430677,555608,223254,848100,1189166,976605,730625,1081422,628864,335566,574801,954114,236706,5061,32439,109,7406
