reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Kazakhstan,China,2211814,3896752,4750481,7445856,9824510,7748172,9320401,9566530,11001238,12545124,12709849,8427397,8243298,11632542,11326581,12729101,11703035,13960383,16355236,24698453
Kazakhstan,Germany,1107773,1294176,1830969,2707818,2480704,1889117,1900596,2519782,2669846,2949803,2356472,1367149,1198856,1426728,1665795,1616577,1660225,1698754,2908832,3484683
Kazakhstan,Türkiye,355590,459946,696823,1079887,890568,633417,818900,947822,1068625,1155814,1086995,750109,624500,746244,695265,900182,985685,1288305,1607585,2971100
Kazakhstan,"Korea, Republic of",313950,272558,323815,545978,347736,307993,604390,756882,885387,1074811,906148,454696,364234,532740,797829,2657131,1997766,769198,1655098,1968393
Kazakhstan,Poland,154583,211946,347124,472625,438982,446465,412259,493509,568184,597030,570729,401577,325821,477930,521737,556441,923026,789431,1007087,1298193
Kazakhstan,France,764993,586890,842115,643264,745713,662489,354867,366838,622110,898684,885634,1043352,504516,360559,408375,474290,678052,551570,905245,1186357
Kazakhstan,United States of America,320399,538287,645982,753009,985507,599471,730287,827133,883647,1150149,1008954,510475,1111379,552347,729341,740216,508939,807810,1085030,1160435
Kazakhstan,Italy,414618,508161,790997,789841,983009,1617082,1441542,1208800,1022321,968919,935577,862673,929112,711530,1283843,1218369,642906,588059,870592,1152527
Kazakhstan,Netherlands,293294,333639,395635,539552,498456,455826,477062,566151,627851,582957,541820,413081,405018,389553,485277,550666,637366,474905,759599,975871
Kazakhstan,Czech Republic,49802,92182,113313,139752,192648,127243,168058,213033,345909,394432,420023,223994,178481,217811,289114,320101,379217,229830,692412,898540
Kazakhstan,Japan,185315,175872,250571,216108,207836,148294,220416,340934,543990,697484,662406,240404,190757,274221,387592,417781,362969,349623,683172,847208
Kazakhstan,Lithuania,84515,109128,216953,331667,269146,282744,313082,443463,443981,586117,544749,430100,316559,472679,443399,482218,447156,420532,896150,745477
Kazakhstan,Belgium,146868,101742,150466,156610,184869,143081,180669,222343,269818,373253,307006,230895,171078,200879,233286,194719,232925,417533,686687,554828
Kazakhstan,Switzerland,84434,67725,173898,153408,167324,158497,168276,318080,239888,210390,235699,171712,149735,184004,215286,198326,262316,280066,372293,412630
Kazakhstan,Spain,60164,39554,51765,84896,94041,74733,63306,138812,216283,394690,268035,152369,270348,183994,141045,127646,137165,137140,212319,393342
Kazakhstan,Latvia,29067,17690,23839,45344,44292,39458,37495,68595,60411,80020,64433,46843,44260,41682,48169,62683,48575,56465,126451,387231
Kazakhstan,United Kingdom,252298,281057,389429,604873,389067,409151,366857,850145,813991,804737,591658,512539,335249,296311,401150,459851,261079,330045,308271,373138
Kazakhstan,Austria,118381,146990,197302,289059,370348,277134,255449,272222,321776,381565,336983,241472,142288,166315,161311,165784,156652,200714,244084,324148
Kazakhstan,Finland,188073,218366,281491,460309,560943,356992,245338,235467,219252,208504,226753,141397,126135,103077,128768,155322,89785,120675,259734,296323
Kazakhstan,"Hong Kong, China",10370,7104,10838,19521,20568,22747,37372,46091,47115,86113,108159,62806,71674,145483,204713,187770,226609,284667,311021,284539
Kazakhstan,Ukraine,621489,667142,828009,1433486,1832482,1418406,1300501,1857546,2459251,2120101,1073154,712740,400100,372078,376508,366994,336077,438413,296737,265119
Kazakhstan,Sweden,128577,164736,218106,265165,234020,153488,154772,373775,174926,147752,92381,81531,147078,103455,89870,100065,92866,131104,163717,255144
Kazakhstan,Hungary,69021,100796,159225,275362,403286,118000,149068,200939,156419,209989,167332,143736,115080,141159,132072,104425,165165,151866,192764,204884
Kazakhstan,Slovenia,32570,41660,63983,59594,63422,63909,62086,71847,86506,101348,88026,69978,74399,85353,62551,95819,65858,60177,82853,179269
Kazakhstan,Ecuador,234,284,817,1804,3185,2825,4388,5564,8604,13439,12600,16538,19487,17715,20739,21819,16746,21032,103658,133222
Kazakhstan,"Taipei, Chinese",7699,11840,19682,36279,26609,26527,46717,61748,101870,148245,65577,53275,28355,34566,31368,36243,38251,40251,89956,118108
Kazakhstan,Romania,26275,35548,35816,90667,81969,72338,110229,175263,110758,52561,84350,47495,64472,31990,54345,73482,55080,19374,54338,115506
Kazakhstan,Estonia,10104,32524,29525,45746,71482,62134,150118,111491,169648,169555,138223,47495,38076,53283,51657,38236,42567,33069,122620,115449
Kazakhstan,Slovakia,0,31065,50469,74974,61769,44561,42443,73924,79261,111689,124382,48719,14210,29274,33065,30119,43609,63325,92284,111628
Kazakhstan,Canada,56877,95695,107458,170496,241353,186588,136710,154032,101798,165841,117932,91814,60726,109364,87731,119153,56707,70121,98273,103133
Kazakhstan,Malaysia,10048,48361,21004,18033,26426,26196,106625,60074,50932,54780,53759,35719,43680,69229,89300,64591,102502,88309,129144,102283
Kazakhstan,Denmark,37365,21893,31539,51977,83598,41623,45572,57261,70260,45603,47226,33632,23074,42341,35177,31169,44807,29140,56879,96907
Kazakhstan,Bulgaria,11803,10867,23733,62200,30876,24687,27460,31058,39320,44673,46173,26519,20863,28492,31817,37817,37778,45967,58968,93884
Kazakhstan,Norway,10650,19865,14510,88582,624772,376740,87657,90845,40856,40545,51415,43879,60628,51078,53050,58710,52233,78200,110890,88868
Kazakhstan,Serbia,,,5395,11434,11773,9792,4576,9869,11425,11555,16846,24391,24390,29370,15230,13185,11363,7295,46898,84240
Kazakhstan,Ireland,4900,9579,16244,29272,20257,28407,29971,38109,48486,64758,68144,74968,51726,38620,27821,33935,36815,82891,76152,76551
Kazakhstan,Thailand,10368,14829,26835,40239,34783,37257,37510,60394,50967,58911,58343,35743,37411,50009,51087,71926,29739,48881,61827,75185
Kazakhstan,Singapore,12446,18158,18238,27361,30277,31496,35265,44984,35634,58326,43214,33055,13525,16637,22472,37797,15151,13522,61949,67552
Kazakhstan,Croatia,7804,12134,11295,10501,12357,10430,12454,15670,15052,23426,22635,10162,9244,15878,11429,9053,21025,22050,22286,52660
Kazakhstan,Brazil,13281,31704,39893,41065,44690,25481,47913,112768,120152,109637,56120,8107,2187,4932,35742,113586,9365,12528,27258,49635
Kazakhstan,Australia,4666,8178,5581,11315,20596,10737,18134,23337,37060,37613,16998,14633,11402,8969,12002,17713,12119,12947,23707,32870
Kazakhstan,Greece,6782,10054,9781,14356,13301,15309,12935,9876,6960,7239,9447,11513,14041,10739,11172,9651,10304,14734,18956,27608
Kazakhstan,South Africa,3704,1118,9110,17403,5702,5447,13819,10394,5463,4292,5019,11500,35487,13842,13236,16880,14165,15167,22956,27585
Kazakhstan,Chile,159,29,262,521,987,966,871,3660,1753,2164,5116,2708,2710,4128,3337,5452,8283,10136,23639,26330
Kazakhstan,Luxembourg,5538,8777,4520,10125,6913,7494,18163,9651,8226,8384,6436,8534,13395,0,6398,2770,7966,6548,16002,22654
Kazakhstan,Colombia,0,99,186,137,159,513,658,447,344,639,485,1033,1040,1412,1880,2355,2248,2882,7227,16463
Kazakhstan,Portugal,772,1029,1477,2546,1405,1748,2160,3025,3985,7928,6008,7351,5287,8376,10311,6542,5177,5709,9262,15586
Kazakhstan,Argentina,1495,3252,16930,15978,32020,42097,10212,18505,37959,52565,20035,14056,7561,11917,15713,20841,13706,6947,5514,9514
Kazakhstan,Cyprus,1143,1082,1306,1997,1859,1786,1676,1812,2191,2394,4298,1986,955,2460,967,2586,6157,686,1891,3359
Kazakhstan,New Zealand,1650,1759,3447,471,502,583,682,2547,1528,1190,1002,2719,1951,1566,635,835,491,1437,2328,2487
Kazakhstan,Iceland,0,0,1,173,284,221,296,3,77,164,1270,889,2069,1397,1969,4074,1075,5977,566,1789
Kazakhstan,Bosnia and Herzegovina,6,2342,55,143,26,282,3,124,341,329,134,269,294,298,358,211,337,418,1582,1570
Kazakhstan,Peru,13,0,42,60,35,46,44,152,138,62,26,14,76,19,526,339,162,513,1075,1229
Kazakhstan,Malta,25,0,12444,1325,1330,563,87,104,123,87,63,35,506,99,7,93,127,60,545,287
Kazakhstan,Paraguay,0,76,194,0,11,0,545,3301,11399,11790,15822,12693,4700,4352,7768,1449,231,748,20,219
Kazakhstan,Costa Rica,0,0,0,0,0,0,0,4,0,0,0,264,0,4,13,9,11,0,5,2
Kazakhstan,El Salvador,0,0,62,0,14,0,0,0,0,2,0,0,0,0,5,0,0,0,0,2
Kazakhstan,Madagascar,0,0,0,0,2,7,0,0,0,0,6,0,1,2,0,0,0,0,2,2
Kazakhstan,"Bolivia, Plurinational State of",0,0,1224,29,14,4,1,2,0,0,163,0,125,0,0,158,4057,20746,3652,1
Kazakhstan,Guatemala,0,0,0,0,0,0,1,1,0,1804,127357,101159,40012,10322,0,0,35,0,0,0
Kazakhstan,Uzbekistan,,,,,,,,,,,,,,977256,1219611,1237315,732315,1023478,1251475,
Kazakhstan,"Congo, Democratic Republic of the",,,,,,,,,,,,0,0,0,0,0,0,0,2,
Kazakhstan,Tajikistan,,,,,,,,,,,177619,146452,194860,324338,299974,218379,152214,360311,483915,
Kazakhstan,Haiti,,,,,,,,,,0,0,0,0,5,,,,,,
Kazakhstan,Sudan,,,,,,,,,7,0,4,5,0,0,0,,,,,
Kazakhstan,Myanmar,,,,,,,0,0,0,0,0,32,154,76,214,245,2,0,52,
Kazakhstan,Lao People's Democratic Republic,,,,,,,0,0,0,0,0,0,0,0,0,7,0,0,,
Kazakhstan,Nepal,,,,,,1,141,419,66,35,2,9,16,13,25,15,0,0,7,
Kazakhstan,Afghanistan,,,,,339,106,942,1119,247,964,9279,10845,3988,3411,4443,2904,,,,
Kazakhstan,Congo,,,,0,8,0,0,7,2,20,381,1652,507,998,478,15,394,84,2,
Kazakhstan,"Palestine, State of",,,,0,0,0,0,1,0,0,0,0,0,156,0,2,0,798,868,
Kazakhstan,Montenegro,,,0,716,0,139,0,0,0,250,145,0,73,50,0,12,116,1,127,
Kazakhstan,Nigeria,,,0,0,0,0,2,379,0,0,10,353,0,44,0,0,0,58,24,
Kazakhstan,United Arab Emirates,,288553,,659821,288924,,,,380768,149845,167928,105964,95053,273821,247660,287766,238994,644882,1692573,
Kazakhstan,Lesotho,,0,0,0,0,0,0,0,0,0,0,0,0,99,2,0,0,0,0,
Kazakhstan,Andorra,0,,2,0,0,0,0,0,0,1,9,3,6,7,9,5,4,4,18,
Kazakhstan,Kuwait,64,,648,2235,0,32,232,979,1939,1705,297,507,6,10,366,221,8,167,835,
Kazakhstan,Mauritania,0,0,,0,0,0,0,0,262,180,0,70,5,0,0,0,0,0,0,
Kazakhstan,Comoros,0,0,,0,0,0,22,0,65,0,0,0,0,0,0,0,0,0,,
Kazakhstan,Cuba,10570,0,0,,,,,,,,,,8182,29896,205,82,31,196,98,
Kazakhstan,Seychelles,0,0,0,,143,115,194,263,321,217,313,235,151,0,0,0,0,0,4,
Kazakhstan,Mongolia,157,553,1681,614,,,1514,2575,3530,573,4856,2064,709,2437,3527,6235,1391,2174,7823,
Kazakhstan,Angola,118,6,0,0,,0,0,0,0,0,0,1074,223,563,220,27,18,17,14,
Kazakhstan,Saint Lucia,0,0,0,0,0,,,,0,0,0,0,0,1,0,0,0,,,
Kazakhstan,Mali,0,0,0,0,0,,2,0,0,,,,0,0,0,0,8,0,10,
Kazakhstan,Bangladesh,909,2403,1117,340,1000,301,97,295,283,599,,2183,,,,,,,,
Kazakhstan,Qatar,0,55,893,419,438,110,1099,1050,403,4685,82,1583,,1021,981,0,1092,27,97,
Kazakhstan,Sri Lanka,2451,2624,3286,4611,3910,3925,6387,5242,5575,5835,5462,4815,2817,4582,,3718,3717,4961,4883,
Kazakhstan,Albania,11,0,0,0,32,1152,265,0,10,2899,0,39,0,178,337,2,340,209,0,
Kazakhstan,Azerbaijan,9418,17166,105656,127594,290249,142149,44591,58281,52870,64234,29840,17958,26274,34273,46600,24023,25920,39894,104031,
Kazakhstan,Bahrain,0,74,146,0,45,8,0,5,152,161,105,0,689,0,0,116,0,26,254,
Kazakhstan,Armenia,1745,2508,3918,7023,2830,2349,2799,4397,3958,7263,6868,4858,5267,4916,9778,5385,6587,10999,18399,
Kazakhstan,Botswana,0,0,0,15,0,0,10,0,0,0,0,0,1,3,0,0,0,0,0,
Kazakhstan,Cambodia,0,1,0,86,485,217,510,497,0,0,0,1,0,0,61,13,340,17,103,
Kazakhstan,Benin,168,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,125,0,
Kazakhstan,Dominican Republic,27,0,15,25,45,0,0,9,4,39,5,0,0,0,0,0,0,0,689,
Kazakhstan,Ethiopia,0,3,0,0,1,0,21,1,2,9,8,5,0,12,7,10,1,0,18,
Kazakhstan,Fiji,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,
Kazakhstan,French Polynesia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Kazakhstan,Georgia,7555,9711,15426,34292,22026,20455,50057,156867,62236,103598,88589,43461,30424,30340,42695,50907,36195,68528,73079,
Kazakhstan,Indonesia,3265,4248,1314,5850,9704,15180,10092,8168,8438,6657,8276,3202,7177,15303,33562,207136,19787,13348,105851,
Kazakhstan,"Iran, Islamic Republic of",37813,51546,71202,78666,69356,57825,68500,84519,134988,215118,208313,137864,173524,167986,131403,129633,167539,187180,188124,
Kazakhstan,Israel,38489,48036,64243,99771,158571,57105,62428,93745,77207,87070,114420,59704,46434,31221,44038,34053,122254,32596,58512,
Kazakhstan,Côte d'Ivoire,0,0,0,0,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0,
Kazakhstan,Jamaica,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,
Kazakhstan,Jordan,503,385,359,1585,667,416,422,962,368,590,630,515,494,483,134,407,478,82,286,
Kazakhstan,Kenya,8721,16207,16833,22291,31637,30258,36207,41200,44740,50458,37153,29143,29843,33203,29109,31643,35555,34625,46579,
Kazakhstan,Kyrgyzstan,87311,116135,162638,204582,184074,119246,181685,289705,404931,382453,508658,347722,274997,297194,247225,337532,293863,374747,410873,
Kazakhstan,Lebanon,1826,262,138,1278,575,212,332,568,479,883,421,457,177,175,139,115,109,202,263,
Kazakhstan,"Macao, China",0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kazakhstan,Malawi,13,1622,2513,1561,2094,289,93,539,669,1660,1180,167,198,828,2045,30,939,876,1005,
Kazakhstan,Maldives,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,
Kazakhstan,Mauritius,0,53,58,7,79,45,10,12,0,2,119,12,15,0,24,18,0,0,0,
Kazakhstan,Mexico,3547,60493,75800,31178,79765,44980,47455,22293,25696,30609,37229,40938,4219,9323,15957,8913,6066,66,626,
Kazakhstan,"Moldova, Republic of",15424,17298,24164,45542,44509,26455,30547,45450,50302,39250,45309,58620,13183,17041,16119,9952,13842,13978,28543,
Kazakhstan,Morocco,0,2,0,238,603,296,317,1513,2167,1233,1441,927,254,541,489,1481,992,143,1028,
Kazakhstan,Mozambique,0,0,0,0,317,87,287,215,1606,4,798,0,7,7,695,466,0,0,0,
Kazakhstan,Oman,12613,9438,21992,37960,24583,17298,18307,17728,6173,1238,74,529,30,139,65,242,34,448,617,
Kazakhstan,Namibia,0,13,6,1,0,4,11,0,3,0,0,1,1,4,4,0,2,6,14,
Kazakhstan,Nicaragua,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,
Kazakhstan,Pakistan,8888,9968,8517,6287,6061,4217,5921,5770,4240,5416,6652,12844,24529,70550,87442,83454,59108,193666,153008,
Kazakhstan,Philippines,103,18,245,44,561,757,343,1125,777,484,999,346,134,486,1570,1425,4571,971,2213,
Kazakhstan,Rwanda,0,0,0,0,0,0,0,1,2,20701,0,0,2305,6640,40153,7417,6992,9010,1,
Kazakhstan,Saudi Arabia,928,810,315,827,89,1068,1743,2898,6684,5841,2265,18663,3981,854,5215,1255,1507,2608,1575,
Kazakhstan,Senegal,0,0,0,0,17,0,0,47,0,0,27,0,24,2,0,0,0,0,0,
Kazakhstan,India,90694,90256,86616,93739,131587,133932,146212,236117,262961,275732,237906,166621,125011,118533,138875,193684,225724,207456,436542,
Kazakhstan,Viet Nam,796,1466,1925,5355,14006,13972,15476,36257,72169,154309,219050,154028,141928,201459,209359,241236,262563,439290,406076,
Kazakhstan,Zimbabwe,1711,600,545,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kazakhstan,Trinidad and Tobago,0,0,0,10,196,25,23,0,2,5,20,53,6,287,605,0,0,0,15,
Kazakhstan,Tunisia,115,29,56,511,99,20,1348,189,110,173,148,363,454,281,286,16,134,6,261,
Kazakhstan,Uganda,0,0,0,3,0,0,129,11,145,0,26,27,0,10,0,2,1,0,0,
Kazakhstan,"Macedonia, North",275,289,455,610,245,99,267,153,825,328,68,116,388,2,565,1333,75,93,179,
Kazakhstan,Egypt,586,1845,2058,2027,6295,6114,13002,8143,12714,6751,12745,5274,4012,37819,48380,68684,66161,61938,100627,
