reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Kenya,United States of America,374271,368146,374701,342450,360293,292757,325074,397009,404502,466430,609179,594305,570507,587914,660024,685469,584434,709758,924678,918515
Kenya,Netherlands,275381,301911,347756,416097,495153,465141,451788,518421,477557,498429,522534,446627,471948,526571,572929,538962,552964,660443,580796,747877
Kenya,United Kingdom,390228,391835,446938,501635,554113,525901,505050,530427,470926,430132,407814,404455,398881,405565,453563,380947,419378,538724,527739,502208
Kenya,Germany,104063,112283,117266,136210,175161,144492,119821,169554,143594,152962,185360,180976,186257,177456,158488,155291,177498,203073,219487,230072
Kenya,China,16969,17652,24416,28112,34723,29662,39208,59691,52408,52783,77039,98662,97101,166791,174200,178907,150595,226537,269340,227088
Kenya,France,104705,114463,115784,98626,122793,93421,100511,120622,99533,110363,98930,104351,98683,115147,127246,123706,149366,159175,150379,156469
Kenya,Japan,36262,31817,28955,29429,38107,43350,40205,45306,47029,46108,60968,70011,58478,60732,68346,71418,68120,77475,68401,85578
Kenya,Switzerland,34428,29475,26238,30481,22087,20667,28091,36532,43338,37781,43265,46484,45682,53932,52694,64437,65423,103580,87218,83698
Kenya,Spain,24468,26776,32295,36835,54694,32785,36755,39904,34994,26879,38946,41419,33239,37786,47802,46399,57452,67473,71806,71824
Kenya,Norway,8851,12447,10879,11945,29995,34139,39703,53397,52525,52991,57739,54219,53525,59709,58493,61495,57022,64268,63780,65613
Kenya,Belgium,32180,35773,50079,80230,74767,64175,57590,58553,54010,54054,60587,48899,55058,51062,55168,99133,99286,56781,113554,59728
Kenya,"Korea, Republic of",2428,4360,5115,7793,5739,5573,9237,17604,27809,29223,28125,28675,104460,40042,50633,43603,36933,46836,75736,53434
Kenya,Italy,60024,69068,68560,89373,76039,41188,58089,115525,107118,90247,111292,99154,57593,61119,55879,43234,28417,51496,54658,53020
Kenya,Ireland,15728,15894,20601,18584,16113,16625,18139,20932,24299,23229,26547,47714,21547,25728,27999,26266,23302,24048,43730,51062
Kenya,Canada,11609,13219,12924,15627,14409,14968,17576,22700,21151,21983,25599,24155,24386,26630,25557,27150,21722,35807,31340,34367
Kenya,Australia,11302,12295,13460,14309,9874,9830,18063,13490,14667,28632,31323,32332,22631,24184,27585,27106,22791,29470,34222,30007
Kenya,Thailand,8750,16457,14451,14301,32960,10661,14351,15951,20629,18322,17264,25515,16164,24131,25467,34675,18127,20034,29554,29116
Kenya,Sweden,15310,20341,19439,27176,29730,33428,45187,47337,67741,44724,39794,32292,31216,29844,28577,23058,23676,30268,30887,27370
Kenya,Poland,12692,14638,16860,14800,18120,18393,20780,32058,18216,23295,24718,31364,27328,32709,34474,34849,32375,34646,45128,24629
Kenya,Malaysia,5197,6731,12106,12491,11057,23898,5879,6103,4324,5255,5546,7207,12593,7536,6051,43119,85417,29061,23411,23179
Kenya,Türkiye,1600,1722,3990,12328,12575,5813,13378,14749,17877,14547,17001,13241,13164,17114,18797,17310,24066,19350,20575,22399
Kenya,South Africa,50769,31612,24154,29267,36745,31868,25253,24186,29241,25173,33732,19004,19833,17582,21190,18974,20136,36279,27098,20223
Kenya,"Hong Kong, China",48546,37780,42506,41371,52912,44437,53298,60953,81343,96007,87804,63588,55328,54865,57819,27616,15430,20512,18802,17515
Kenya,Ukraine,213,582,795,1688,2797,4432,6865,8066,9436,11331,8361,5969,6463,7954,8572,9386,12942,18044,10809,14754
Kenya,Finland,10131,19722,14800,17925,22637,26850,30739,23538,22637,17730,19040,26131,30162,23493,21038,23676,23335,22102,25266,14076
Kenya,Denmark,4167,3257,4911,6829,4509,2209,1605,3598,3896,4100,4764,3397,3677,4948,5166,5938,8392,11788,12124,10681
Kenya,Singapore,7184,10023,10805,9755,40730,21202,55203,28468,9513,12119,7592,6359,6640,10082,10404,10504,8214,10879,12437,10507
Kenya,Portugal,10766,3540,7833,9038,11088,5728,5575,6515,4781,5799,5957,5502,6241,5575,6550,9628,6943,8414,8153,8941
Kenya,"Taipei, Chinese",932,661,2146,4113,5187,14345,4789,5214,4429,7117,18151,34171,37916,37382,55170,18456,16209,32818,9816,8605
Kenya,Greece,5266,4814,2611,5341,4302,2893,4402,2968,2940,3406,3896,2110,2986,5672,3982,4100,4417,4105,5656,6443
Kenya,Madagascar,7343,5208,10988,8544,6792,10120,10082,5531,4826,2600,3365,5800,2236,3144,3866,10644,1831,3629,9067,6443
Kenya,Romania,1794,1954,2763,2225,2201,2889,2226,3896,3699,2849,7456,5332,4831,2471,4660,4934,5093,14151,20951,5868
Kenya,Cyprus,327,723,1295,1726,1115,1707,3341,4537,2605,2207,2637,2342,2309,2869,3570,2369,2736,3478,3409,5662
Kenya,Serbia,,,93,104,75,214,397,578,491,674,622,845,1132,1616,1094,1375,1584,2546,3079,4052
Kenya,Bulgaria,119,170,245,544,413,370,2444,3254,541,1192,268,647,435,748,568,259,127,544,437,3973
Kenya,New Zealand,1391,1825,1867,2471,2169,2498,2530,2738,2007,3745,2747,2619,2546,2956,4076,2690,3013,3275,3187,2884
Kenya,Peru,9,2,4,2,21,104,105,167,40,65,96,98,120,230,848,548,498,2723,4583,2793
Kenya,Chile,655,1037,1912,795,1282,1114,1933,1504,2850,1720,4493,8102,4291,4822,8177,1562,5578,8342,5337,2523
Kenya,Iceland,206,376,321,396,374,266,279,453,467,709,785,814,762,871,974,1259,1210,1328,1907,2055
Kenya,Brazil,9,214,668,3541,5410,1828,1037,897,1488,1541,1957,1799,595,1350,1546,1310,1100,737,1263,1705
Kenya,Hungary,161,112,269,678,201,623,41,45,478,798,139,235,1428,804,2017,1598,4971,861,7072,1661
Kenya,Guatemala,8,117,227,64,9,15,2,305,26,641,34,5,16,9,37,45,10,119,1671,1454
Kenya,Colombia,9938,96,268,0,161,1124,1358,1126,1245,1212,1817,1827,1780,1745,2331,2233,1983,1346,1425,1424
Kenya,Czech Republic,1057,1523,2154,3209,4516,5108,4653,6898,4738,4459,5794,6198,7528,6038,5296,5274,5605,7164,9929,1340
Kenya,Lithuania,9,6,2,3,3,25,9,25,228,121,301,80,238,582,789,432,775,1515,3773,1218
Kenya,Ecuador,781,1126,6,11,12,20,565,826,607,567,827,542,816,598,391,545,758,1219,2223,1185
Kenya,Austria,4843,3688,6244,14261,23274,4625,5279,11452,9729,10650,12283,9504,8210,11174,13725,13191,10338,12859,15135,989
Kenya,Bosnia and Herzegovina,2,14,17,11,62,153,135,325,239,279,282,240,260,677,865,464,349,370,477,665
Kenya,Slovenia,331,176,383,529,157,175,169,600,320,292,327,1170,1842,2151,2975,2513,1647,2749,2370,611
Kenya,Argentina,178,205,278,406,487,351,241,464,84,303,51,102,157,137,211,385,384,541,669,602
Kenya,Malta,43,421,2677,2235,1567,1616,759,565,368,242,315,451,672,303,221,198,329,468,406,595
Kenya,Slovakia,386,484,472,632,650,1006,496,647,830,473,632,553,380,462,766,1690,1391,2927,3872,453
Kenya,Luxembourg,2985,4117,4522,343,517,393,382,542,740,800,1325,1828,1260,1261,2020,2076,1720,2353,1940,339
Kenya,El Salvador,398,238,25,6,178,22,10,29,97,28,44,3,0,5,0,3,0,5,109,334
Kenya,Estonia,171,79,165,216,291,894,587,210,1528,572,259,421,649,611,717,964,1073,1561,2427,225
Kenya,Croatia,175,336,374,559,1028,1090,547,973,693,52,108,30,55,135,2746,247,264,234,313,215
Kenya,Latvia,2,0,165,116,225,30,1,24,28,59,49,15,96,125,139,60,126,82,50,177
Kenya,Costa Rica,97,18,39,20,26,80,48,237,62,122,59,68,66,81,113,126,70,145,420,165
Kenya,Cabo Verde,0,0,0,121,19,0,0,5,0,1,1,43,287,268,217,112,0,303,456,62
Kenya,"Bolivia, Plurinational State of",4,11,0,5,6,14,13,21,36,20,5,14,3,10,71,22,5,10,21,52
Kenya,Belize,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,6,0,0
Kenya,Paraguay,49,0,0,0,7,0,0,7,4,11,4,29,1,0,16,21,6,3,62,0
Kenya,Cayman Islands,,,,,,,,,,,,,,,,,1,0,,
Kenya,Liberia,,,,,,,,,,,,,,172,303,446,103,213,275,
Kenya,Uzbekistan,,,,,,,,,,,,,,4571,2817,6313,5478,4663,4087,
Kenya,Curaçao,,,,,,,,,,,,,,14,0,20,0,,,
Kenya,"Congo, Democratic Republic of the",,,,,,,,,,,,99230,64896,65373,58064,52693,41745,95983,104307,
Kenya,Tajikistan,,,,,,,,,,,393,222,344,646,215,434,206,494,710,
Kenya,Sierra Leone,,,,,,,,,,,44,1695,375,200,437,,,,,
Kenya,Iraq,,,,,,,,,,,31,,,,,,,,,
Kenya,Haiti,,,,,,,,,,1,111,58,505,93,,,,,,
Kenya,Palau,,,,,,,,,0,,59,44,13,175,5,,,,,
Kenya,Bermuda,,,,,,,,,2,7,1,1,50,32,5,5,14,7,21,
Kenya,Sudan,,,,,,,,,49394,66341,74553,54374,62508,69925,66053,,,,,
Kenya,Myanmar,,,,,,,24,177,332,471,813,363,389,720,763,2049,489,382,244,
Kenya,Lao People's Democratic Republic,,,,,,,8,5,0,9,2,0,0,0,34,0,6,74,,
Kenya,Nepal,,,,,,169,104,52,264,1,174,204,576,118,1923,142,644,998,445,
Kenya,Djibouti,,,,,,1796,,,,,,,,,,,,,,
Kenya,Afghanistan,,,,,16588,4856,21807,60480,148359,26616,76624,77142,47257,76930,82231,56081,,,,
Kenya,"Libya, State of",,,,0,0,0,21,,,,,0,0,459,300,1217,,,,
Kenya,Congo,,,,16,194,219,216,4094,1276,1053,1179,806,273,2775,1247,1732,987,137,3828,
Kenya,"Palestine, State of",,,,20,66,77,59,280,360,247,66,106,50,60,175,132,107,268,411,
Kenya,Vanuatu,,,2,0,,0,0,0,,,,,,,,,,,,
Kenya,Montenegro,,,1,5,0,2,34,133,145,172,155,177,133,64,208,144,115,325,363,
Kenya,Central African Republic,,,0,1139,210,371,1208,34,125,284,209,2519,1106,699,338,1519,2571,1702,915,
Kenya,Nigeria,,,25529,31863,10315,0,0,0,673,50939,27219,25258,32762,22630,19220,23954,45149,39900,122522,
Kenya,Antigua and Barbuda,,1,,0,,0,0,0,0,0,0,1,6,2,3,2,0,27,10,
Kenya,United Arab Emirates,,52769,,119743,194783,,,,368335,256005,119699,109298,131062,300918,348911,360680,299472,391614,639145,
Kenya,Lesotho,,0,0,0,0,0,134,60,124,947,382,963,859,4656,83,185,192,531,388,
Kenya,Bhutan,,0,0,0,39,0,8,0,4,,,,,,,,,,,
Kenya,Netherlands Antilles,,41,21,32,1,,,,,,,,,,,,,,,
Kenya,Papua New Guinea,22,,,,,,,9,88,,,,,,,63,291,145,,
Kenya,Andorra,5,,0,1,0,0,1,0,0,85,0,0,10,0,1,6,1,4,2,
Kenya,Kuwait,1530,,1098,2815,459,4444,4548,5065,9616,10872,11648,3701,4142,4349,4908,7980,14425,14497,25453,
Kenya,Timor-Leste,0,0,,,,,,,,19,,,,0,0,613,843,46,0,
Kenya,Guinea-Bissau,0,0,,,,,,,,9,40,9,28,68,0,,,,,
Kenya,Suriname,285,133,,0,,0,0,0,38,0,0,0,0,0,0,0,0,3,0,
