reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
"Korea, Dem. People's Rep.",China,799500,1081104,1232323,1392492,2032431,1887741,2277347,3164704,3532383,3630075,3519651,2947443,2929120,3330975,2218140,2573790,490968,259607,894040,2012318
"Korea, Dem. People's Rep.",Peru,2908,959,22974,15160,179142,3183,7867,30269,562,498,1041,21187,66,9661,1521,3137,1226,53,2,18547
"Korea, Dem. People's Rep.",Netherlands,120513,34974,21958,13642,19479,5535,2077,1941,1826,1557,2764,2326,2421,886,1158,972,269,447,2418,1166
"Korea, Dem. People's Rep.","Hong Kong, China",11088,9668,7931,15397,8997,26091,19327,11980,57009,26370,7924,4988,6289,1409,1600,1370,684,1370,1364,678
"Korea, Dem. People's Rep.",Poland,1677,4052,3121,508,4743,423,820,1370,261,412,270,1154,156,245,89,1215,305,122,600,464
"Korea, Dem. People's Rep.",United States of America,23750,5757,3,1728,52151,903,2867,9406,11952,6583,24029,4752,118,0,0,0,0,0,0,187
"Korea, Dem. People's Rep.",Greece,485,1252,1387,434,736,216,1255,58,179,68,38,383,193,44,38,90,19,103,0,181
"Korea, Dem. People's Rep.",Spain,8679,9553,6917,2092,25208,2000,682,1739,1877,908,168,278,788,941,484,30,167,318,285,138
"Korea, Dem. People's Rep.",Denmark,11182,11044,4861,6120,4351,3648,11602,1005,1106,75,0,345,2343,192,30,0,16,0,0,111
"Korea, Dem. People's Rep.",Brazil,169940,66291,60274,112500,198816,82627,21466,14237,3428,16459,23324,2482,2052,1174,7287,19859,93,0,0,98
"Korea, Dem. People's Rep.",Thailand,238987,206951,215614,183564,46556,30425,29685,24120,40309,99789,107251,73810,46822,1820,810,589,1743,1605,77,76
"Korea, Dem. People's Rep.",Italy,10814,11955,11825,9551,35016,39264,43562,25140,7077,1254,1202,1642,1242,266,293,140,167,39,189,45
"Korea, Dem. People's Rep.",Belgium,17559,10797,12895,2605,4975,4839,2002,632,13764,247,1133,333,3918,150,333,534,0,17,113,34
"Korea, Dem. People's Rep.",Cyprus,0,0,0,0,0,0,0,13,0,41,31,720,0,0,0,332,0,0,0,15
"Korea, Dem. People's Rep.",Canada,23651,17926,15332,18858,21575,20943,11953,5355,465,83,85,0,0,179,105,0,0,0,0,4
