reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Kuwait,United States of America,902390,1014659,1507267
Kuwait,Germany,658200,775594,986497
Kuwait,Saudi Arabia,377980,500980,746727
Kuwait,Japan,658951,864617,1049065
Kuwait,United Kingdom,515056,466431,629114
Kuwait,Italy,386781,417335,501257
Kuwait,China,192256,262978,674987
Kuwait,"Korea, Republic of",178489,183805,293631
Kuwait,India,200189,218858,300039
Kuwait,France,255003,258768,302383
Kuwait,Australia,249722,287389,361727
Kuwait,Netherlands,147036,181604,235818
Kuwait,Türkiye,104769,139037,165941
Kuwait,Syrian Arab Republic,163336,371007,179188
Kuwait,Switzerland,106413,148103,181888
Kuwait,Spain,112940,135226,154346
Kuwait,"Iran, Islamic Republic of",94203,116659,101671
Kuwait,Belgium,84503,97103,145409
Kuwait,Brazil,65474,58979,73146
Kuwait,Sweden,42279,59644,87072
Kuwait,Malaysia,63292,71002,89776
Kuwait,Finland,32896,56735,59327
Kuwait,"Taipei, Chinese",62814,72715,79138
Kuwait,Thailand,64994,66844,82464
Kuwait,Qatar,12600,32895,32666
Kuwait,Singapore,66617,67094,89416
Kuwait,Denmark,43061,42210,74103
Kuwait,Pakistan,,,76916
Kuwait,Austria,27874,39927,75119
Kuwait,Bahrain,42016,40148,62364
Kuwait,Lebanon,27845,32419,50793
Kuwait,Indonesia,74510,74261,73079
Kuwait,Canada,40270,54239,58792
Kuwait,Ireland,57020,46097,54280
Kuwait,Yemen,,,
Kuwait,Jordan,36945,36249,39687
Kuwait,"Hong Kong, China",50135,51320,50196
Kuwait,Oman,25376,26230,3270
Kuwait,Algeria,1862,15227,187
Kuwait,Hungary,17689,9090,26025
Kuwait,Portugal,8000,8858,26009
Kuwait,Argentina,26455,17191,26143
Kuwait,Egypt,16755,19814,20112
Kuwait,South Africa,15080,9448,20395
Kuwait,Slovakia,943,955,7880
Kuwait,New Zealand,18654,19418,28577
Kuwait,Czech Republic,7039,10246,12913
Kuwait,Ukraine,1319,9993,16192
Kuwait,Romania,7031,25905,18467
Kuwait,Philippines,11776,11360,15272
Kuwait,Greece,9088,8206,13020
Kuwait,Poland,5867,8990,8235
Kuwait,Chile,5119,4364,7648
Kuwait,Sri Lanka,9096,9678,9967
Kuwait,Serbia and Montenegro,771,316,
Kuwait,Norway,5476,7719,6410
Kuwait,Bangladesh,1575,2427,4030
Kuwait,Croatia,217,38,3815
Kuwait,Cyprus,6008,5602,4673
Kuwait,Luxembourg,1455,3041,4989
Kuwait,Viet Nam,2653,2611,6917
Kuwait,Morocco,2651,1991,3313
Kuwait,Slovenia,963,2673,2238
Kuwait,Bulgaria,475,1053,2231
Kuwait,Malta,886,1555,4262
Kuwait,Guatemala,2896,2674,2709
Kuwait,Colombia,779,477,558
Kuwait,Mexico,10804,3216,3162
Kuwait,Latvia,12,133,475
Kuwait,Russian Federation,96415,82216,3252
Kuwait,Peru,546,312,665
Kuwait,Bosnia and Herzegovina,,,681
Kuwait,Mongolia,441,,787
Kuwait,Uruguay,75,151,246
Kuwait,Tunisia,1618,1136,465
Kuwait,Sudan (before 2012),223,454,1327
Kuwait,Lithuania,81,417,412
Kuwait,Paraguay,0,0,0
Kuwait,Cameroon,90,314,218
Kuwait,Estonia,238,251,261
Kuwait,Niger,0,0,0
Kuwait,Kazakhstan,172,51,0
Kuwait,Kenya,413,445,753
Kuwait,Ecuador,81,154,72
Kuwait,Iceland,53,22,27
Kuwait,"Tanzania, United Republic of",36,0,131
Kuwait,Côte d'Ivoire,114,18,35
Kuwait,"Venezuela, Bolivarian Republic of",63,93,87
Kuwait,Gabon,28,15,313
Kuwait,Israel,423,381,77
Kuwait,Belarus,1904,0,195
Kuwait,Albania,0,2,0
Kuwait,Senegal,0,4,1
Kuwait,"Macao, China",31,17,40
Kuwait,Uganda,4,0,76
Kuwait,Namibia,0,0,0
Kuwait,Costa Rica,49,45,83
Kuwait,Ethiopia,0,1,53
Kuwait,Malawi,1,2,0
Kuwait,Mauritius,19,23,25
Kuwait,Madagascar,0,137,0
Kuwait,"Macedonia, North",0,13,37
Kuwait,Botswana,0,0,15
Kuwait,Cambodia,0,31,18
Kuwait,El Salvador,76,3,3
Kuwait,Zimbabwe,7,126,23
Kuwait,Armenia,3,6,0
Kuwait,Zambia,0,10,79
Kuwait,Brunei Darussalam,6,30,13
Kuwait,Angola,,,
Kuwait,"Moldova, Republic of",0,0,0
Kuwait,Rwanda,0,0,0
Kuwait,Fiji,,0,2
Kuwait,Ghana,17,,29
Kuwait,"Bolivia, Plurinational State of",12,0,2
Kuwait,Dominican Republic,9,10,0
Kuwait,Georgia,0,2,12
Kuwait,Guyana,0,0,29
Kuwait,Honduras,0,0,5
Kuwait,Maldives,0,0,0
Kuwait,Saint Lucia,0,3,0
Kuwait,Seychelles,122,134,0
Kuwait,Eswatini,0,0,31
Kuwait,Trinidad and Tobago,2,1,0
Kuwait,Nepal,,,13
Kuwait,Central African Republic,0,0,32
