reporfer,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Kyrgyzstan,China,764059,1020502,1924000,2290623,5038815,3500921,6708788,9175205,10467165,9586638,10004964,7483125,6362441,8930633,15359441,13447475,10734989,17755281,26509941,17159019
Kyrgyzstan,"Korea, Republic of",3831950,5976995,8133477,8746780,12128801,7991513,10850149,16959617,18297149,18748643,16906981,8963904,7249909,9606487,12789534,10761946,5827701,8260131,12401897,9658962
Kyrgyzstan,Japan,5747311,7638187,9098588,9916430,15298876,8964201,10291708,13113864,15267774,13450332,12335912,6411729,4249519,5916014,7256097,6892885,4564024,6630230,10043229,9152968
Kyrgyzstan,"Taipei, Chinese",2779437,4308138,5006503,5734674,8033878,4559594,6146325,7720637,8642135,8402307,6660205,3954014,2923949,3581518,5128180,4306603,2537255,4557863,7007820,4714967
Kyrgyzstan,United Kingdom,798560,640721,1635671,2116781,1800658,1074514,1481871,2239084,2238869,2470365,2209207,1111471,859229,969151,674998,798156,293667,649373,2467581,3302372
Kyrgyzstan,France,474371,1026637,1002817,1428590,1832602,483517,394549,200020,796339,1221961,1002728,666458,424277,377878,518162,239490,169281,466553,1838214,2242880
Kyrgyzstan,Singapore,3158824,3685493,4512475,5073708,6540509,2763478,2648813,3593008,4796266,3457075,3415127,2669247,2409898,3225947,4078292,2168352,1505948,560997,440937,1829352
Kyrgyzstan,United States of America,3473083,4613933,4182203,4313115,7400149,3969194,5586994,8010061,13346041,12941385,11728607,4882946,3482845,3023077,2126163,1446460,741061,1098221,2126582,1780807
Kyrgyzstan,Netherlands,1114078,1805126,2427190,2420084,3065436,1641738,2326612,3208029,3020984,2999131,2662061,2090795,986098,1414292,1605193,1932001,413532,350530,293006,785274
Kyrgyzstan,Germany,78770,28947,40925,62267,210930,125018,89110,131918,349404,492335,182352,67350,12457,55251,47592,86600,32751,28880,55532,753033
Kyrgyzstan,Thailand,308493,309004,286509,160354,286693,401785,514505,775489,808064,970321,917434,802398,470199,556787,943143,856733,569131,687832,1201962,679265
Kyrgyzstan,Belgium,19196,100170,31815,51050,83970,124925,135220,109184,135245,195902,145144,56468,46511,42651,35252,39246,67019,402374,256783,631696
Kyrgyzstan,Spain,93539,56790,67932,71236,360219,317477,198047,370059,337524,66638,148051,90281,62169,91846,84830,64429,62987,63972,139685,619177
Kyrgyzstan,Malaysia,67346,272441,308279,599301,509695,289927,458801,570552,886827,649370,1496683,784830,449173,261194,478221,198041,187586,227460,760487,618437
Kyrgyzstan,Italy,49362,150401,90664,166223,221780,105799,142622,111025,127866,188562,243441,204238,1027921,1363211,438095,61905,15643,39274,376503,573329
Kyrgyzstan,Brazil,22637,35061,654,119085,22585,313,260035,405207,996796,1057588,1257434,430741,287403,135394,212937,97960,3573,50550,331380,403398
Kyrgyzstan,Canada,103,56597,56267,1591,14375,32788,32061,57298,19832,121437,3434,12257,11066,7678,30197,243,207,12141,303776,309502
Kyrgyzstan,Poland,15,441,117145,40,232,489,1799,1148,3639,3652,3357,423,1402,2093,4967,5598,6385,11403,15532,291991
Kyrgyzstan,Ireland,98,838,692,455,555,58566,678,734,485,706,281,199,130,62,310070,247,211,18566,230251,290623
Kyrgyzstan,Iceland,0,0,0,0,0,5559,0,0,1,0,0,30,2,0,2,0,10954,10404,125039,236838
Kyrgyzstan,South Africa,53253,49378,19312,1259,34244,23171,87247,29584,51311,17899,212287,283824,32920,2128,2656,9747,42079,86414,698242,234753
Kyrgyzstan,Denmark,470,46354,28928,79213,97646,43270,71849,125184,68826,61299,53618,29574,4323,373,646,36616,43335,34191,112282,205633
Kyrgyzstan,Sweden,16505,823,707,403,691,923,1079,481,635,445,961,610,275,60746,30122,44842,29094,30373,175102,174519
Kyrgyzstan,Türkiye,25694,41604,56038,90488,80638,184219,214515,270446,278464,353461,255097,141425,110703,169403,144372,146805,53385,109172,283003,104453
Kyrgyzstan,Ukraine,0,593,519,207,1118,1136,307,605,157,276,1815,45,37,1728,5237,8056,785,2053,1448,96530
Kyrgyzstan,Norway,67,1580,2437,1398,1367,4006,5541,6595,2505,9993,2237,2027,602,2480,1024,880,126,115,996,88287
Kyrgyzstan,"Hong Kong, China",413000,220597,208089,71321,65108,82575,147601,115024,93082,109766,87705,46022,36686,98820,61715,47145,41139,23094,65065,62848
Kyrgyzstan,Romania,350,469,0,137,1042,148,1294,5521,4351,5143,378,89,2772,37,291,848,89,542,562,59378
Kyrgyzstan,Greece,17315,3546,42566,1692,1029,9833,5306,52996,24367,28352,34433,21418,19776,2459,2279,1516,1187,2629,3458,57114
Kyrgyzstan,Portugal,36392,19481,266,57244,17531,13325,33256,4715,51426,8164,30119,15461,10285,76781,107658,36439,13820,57044,23968,39132
Kyrgyzstan,Switzerland,39078,46693,65063,56979,127217,33603,71714,28574,13216,63428,29085,57452,68896,74880,55286,39097,7180,14691,13226,21200
Kyrgyzstan,Argentina,5536,18,10395,19641,8,3,1968,7170,30746,0,8085,1836,14818,15075,10888,9,270,15724,76161,12021
Kyrgyzstan,Madagascar,6736,105,1977,10,29,85898,81951,32829,155,121,141,3513,73965,18300,114877,28933,172,5866,35212,7514
Kyrgyzstan,New Zealand,15548,92681,112712,45977,116487,112799,165502,549487,187274,358678,409461,116902,2825,23869,9529,4084,6100,53648,17128,7404
Kyrgyzstan,Paraguay,0,0,0,48,0,0,2165,980,0,6042,6500,0,0,35,0,0,0,0,41882,5062
Kyrgyzstan,Austria,204,442,370,734,1641,638,824,3266,316631,307841,338331,23571,885,1437,2957,3558,2329,2173,5328,3444
Kyrgyzstan,Slovenia,1555,1056,730,544,383,18462,28566,34326,2949,2922,43028,1880,2217,3120,2733,2808,3127,4389,4896,3084
Kyrgyzstan,Cyprus,2007,14594,17481,14767,42257,31291,30108,67827,43847,4191,3051,3030,4472,2308,2730,1557,1098,1584,2180,2306
Kyrgyzstan,Bulgaria,342,151,224,1276,2503,527,740,1110,3133,1860,1324,210,295,2602,167,3698,2016,2828,3179,1599
Kyrgyzstan,Australia,87721,193335,171057,257452,429091,50702,350538,442264,48233,107660,12667,8923,14857,31997,39420,19461,243,481,174582,1344
Kyrgyzstan,Bosnia and Herzegovina,15,77,117,120,432,129,1280,1953,2011,1902,1455,200,468,293,614,727,718,1371,1311,1181
Kyrgyzstan,Luxembourg,840,5598,0,0,0,6,58,3,1364,1,2,193,3,134,2,11,18,76,14,928
Kyrgyzstan,El Salvador,0,4,1,2,11,0,0,116,0,0,214,7,0,0,0,0,6,14,855,592
Kyrgyzstan,Hungary,989,114,91,26,128,249,97,53,18942,4859,8102,4634,6387,145,366,1880,1677,2056,1762,455
Kyrgyzstan,Czech Republic,377,619,2237,499,1587,2462,4283,2391,1349,1532,756,445,671,828,1899,1590,1662,5052,4249,229
Kyrgyzstan,Latvia,0,0,1,1,108,0,0,81,54,4731,1185,347,752,2631,5571,5412,1216,730,11,215
Kyrgyzstan,Serbia,,,1065,582,1072,418,1137,1809,1472,1197,1450,569,1714,448,665,248,215,333,496,196
Kyrgyzstan,Croatia,179,270,404,916,1601,1083,3087,3996,3939,23,8,15,6,5,8,48,46,2,96,161
Kyrgyzstan,Lithuania,0,0,1,3,1,1510,0,0,6,5,5,38,6,31,1569,866,276,628,37728,157
Kyrgyzstan,Finland,52,470,529,416,61,200,15578,97,130,192,177,12,16,28,136,334,23206,205,17465,146
Kyrgyzstan,Costa Rica,0,0,1,29,2,0,0,30,28,2,387,28,7,25,7,0,48,372,56,73
Kyrgyzstan,Estonia,0,2,0,0,0,0,0,0,284,2490,228,184,6,0,0,4,0,16,39801,52
Kyrgyzstan,Colombia,0,0,11,17,55,52,395,3884,0,3298,677,12,93,1,5,0,1,817,216,47
Kyrgyzstan,Slovakia,5,227,0,17,40,44,141,858,4,282,57,180,205,340,671,1115,198,1083,1169,25
Kyrgyzstan,Malta,1053,43,89,19,91,225,89,13745,301,38,29,12,15,4,8,22,10,13,19,23
Kyrgyzstan,Chile,9,0,0,0,0,3,1,1,1,15526,15,3,270,2,2,312,8,48,31,21
Kyrgyzstan,Ecuador,0,1,11,0,21,0,0,86,611,54,18,37,47,7,0,31,13,51,71,15
Kyrgyzstan,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Kyrgyzstan,Guatemala,0,3,0,0,0,0,2,90,79,0,268,0,2,0,0,0,0,0,92,2
Kyrgyzstan,"Bolivia, Plurinational State of",0,0,0,0,7,1,684,0,8,0,0,260,1,37,0,10,0,74,0,0
Kyrgyzstan,Cabo Verde,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,126,0
Kyrgyzstan,Peru,0,22349,0,2,0,25,610,0,0,1,0,0,58,1,193,5,3,1576,1922,0
Kyrgyzstan,Cayman Islands,,,,,,,,,,,,,,,,,2,0,,
Kyrgyzstan,Liberia,,,,,,,,,,,,,,279,740,319,302,832,131,
Kyrgyzstan,Uzbekistan,,,,,,,,,,,,,,41,113,79,22,6,6,
Kyrgyzstan,"Congo, Democratic Republic of the",,,,,,,,,,,,4277,8790,806,149,325,1432,24174,176292,
Kyrgyzstan,Tajikistan,,,,,,,,,,,41,144,0,0,0,25,91,0,0,
Kyrgyzstan,Sierra Leone,,,,,,,,,,,63,174,144,121,312,,,,,
Kyrgyzstan,Iraq,,,,,,,,,,,230488,,,,,,,,,
