reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Kuwait,China,484051,628472,861311,1345995,1751301,1542683,1848592,2128415,2089319,2675509,3428725,3775940,3064320,3115497,3321341,3836320,3547784,4368468,4969911,5232973
Kuwait,United States of America,1519287,1974876,2134943,2485207,2719360,1951751,2774767,2749652,2681907,2597569,3648587,2740651,3295942,5097990,2974435,3170867,2218620,3037952,3398285,2918917
Kuwait,Japan,934641,1183905,1191702,1664810,2097729,1230834,1422341,1348460,1881244,1881423,1901722,1865207,1698435,1426416,1780578,1717992,1409575,1475404,1594836,1946462
Kuwait,Germany,1410342,1510007,1200064,1436575,1903980,1360750,1592660,1485180,1576226,1776921,1913353,1452073,1548668,1472665,1508079,1611171,1172572,1199316,1156296,1215444
Kuwait,Italy,585047,522174,687247,1122626,1081181,873547,925484,804284,1073681,1052919,986621,857569,1211913,1305918,1257877,1134854,1062210,1802025,2129501,968952
Kuwait,Netherlands,297111,297172,328846,488605,461197,429674,443222,460486,503460,645133,585346,691933,579162,601546,699664,683885,614469,649145,662538,943006
Kuwait,United Kingdom,652009,793649,821040,915477,999660,709385,820077,812921,920164,831814,894652,884871,684322,797041,732030,688636,505137,706687,689352,819586
Kuwait,France,386770,444917,479112,646914,778223,832613,647888,451744,491298,1139507,665186,1235544,413608,488893,636010,588686,981495,642600,991111,815139
Kuwait,Switzerland,190987,225623,282953,342511,460453,302022,436200,358560,389187,471071,438657,466110,461236,472749,475037,486221,428073,524348,549964,712734
Kuwait,Türkiye,266090,210349,219017,221292,493035,211242,395051,297207,290582,343104,407282,482553,431386,439863,533895,557563,556181,691396,672949,583611
Kuwait,"Korea, Republic of",418934,458073,669623,1305750,744245,744108,1048482,1431970,1584164,1132899,1975586,924800,1405305,1162563,1253195,956265,660359,349136,401510,558443
Kuwait,Singapore,76575,101507,120728,248303,259742,175809,180260,147445,178522,318899,196779,175925,199893,212026,172245,170706,134813,206695,253387,398448
Kuwait,Thailand,94432,153318,194269,225043,320054,343034,286117,340790,414438,418628,458710,394294,330916,290421,326399,324055,257010,298309,327990,365630
Kuwait,Belgium,152579,164930,195052,253182,239175,221355,255692,207613,256860,218787,205081,238155,259138,301160,285235,290070,258399,362255,390955,355907
Kuwait,Australia,380523,360081,395313,444139,421558,383758,466526,633684,432798,495601,523899,464295,521012,391307,283086,309439,277101,422216,470357,316735
Kuwait,Spain,173047,165287,183281,254987,291709,208374,218549,277159,276238,353506,505522,409097,393767,460525,484213,416354,359213,469861,414505,278638
Kuwait,Brazil,127918,191660,167412,230702,632001,373209,339319,356754,312803,306098,226099,239534,197832,222542,227277,209334,183899,193663,303886,268614
Kuwait,Slovakia,22867,15066,27059,19870,48174,37846,26905,36035,51221,72098,72442,72374,59376,82530,142924,117038,80816,84810,135209,255215
