reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Libya,Italy,1157616,1241436,1544784
Libya,Germany,481936,482744,593483
Libya,"Korea, Republic of",201887,323093,135912
Libya,United Kingdom,269170,323648,393891
Libya,Tunisia,248573,327715,352160
Libya,Türkiye,67473,165112,254741
Libya,France,234849,269895,307391
Libya,China,40981,111531,174735
Libya,Greece,39362,93245,79356
Libya,Japan,63939,306347,194831
Libya,Netherlands,132022,157123,142628
Libya,Switzerland,66177,88612,91407
Libya,Syrian Arab Republic,91381,192426,187306
Libya,Belgium,112250,133042,104693
Libya,Spain,80809,91166,143041
Libya,Russian Federation,18356,24577,54314
Libya,Brazil,35174,29677,52551
Libya,Thailand,17283,30489,60040
Libya,Malta,37542,74334,58773
Libya,Sweden,56352,53644,111630
Libya,Austria,40332,56834,47925
Libya,Canada,13235,30216,47943
Libya,Saudi Arabia,8421,19382,15558
Libya,India,8346,18409,11101
Libya,Egypt,45293,69819,109430
Libya,Argentina,23940,18351,21777
Libya,United States of America,9009,18270,226
Libya,Denmark,9561,11715,24671
Libya,Morocco,58459,68330,46225
Libya,Ukraine,104233,32303,17995
Libya,Malaysia,3860,9403,20645
Libya,Oman,18118,18679,24115
Libya,Jordan,30398,22798,18841
Libya,Singapore,15753,17505,22320
Libya,Qatar,1,1063,656
Libya,Algeria,565,9144,10656
Libya,Ireland,7087,5973,3926
Libya,"Taipei, Chinese",7166,11498,12752
Libya,Belarus,0,4164,711
Libya,Portugal,2375,4074,2891
Libya,Lebanon,2877,4273,4246
Libya,Romania,10424,9095,19242
Libya,Australia,20696,47847,6069
Libya,Czech Republic,3424,2274,9792
Libya,Croatia,2852,1885,2601
Libya,Bahrain,7330,28798,2491
Libya,Poland,4584,3839,7650
Libya,Finland,4434,10174,8917
Libya,Indonesia,3211,5833,5481
Libya,South Africa,4209,6558,5739
Libya,Bulgaria,2352,1380,3110
Libya,Viet Nam,93,231,625
Libya,Cyprus,4342,3021,3785
Libya,Norway,3045,1895,1994
Libya,Serbia and Montenegro,795,689,
Libya,"Iran, Islamic Republic of",5509,7989,10809
Libya,Yemen,,,
Libya,Slovenia,6198,5213,4002
Libya,Hungary,4928,3038,5148
Libya,Sri Lanka,37020,10152,34012
Libya,New Zealand,867,376,1716
Libya,Pakistan,,,2668
Libya,Sudan (before 2012),167,169,171
Libya,Bosnia and Herzegovina,,,2770
Libya,"Hong Kong, China",2378,2188,1654
Libya,Niger,773,672,1310
Libya,Luxembourg,546,572,10
Libya,Slovakia,2714,4555,2964
Libya,Bangladesh,137,118,603
Libya,"Macedonia, North",394,699,68
Libya,Mexico,5275,9,97
Libya,Seychelles,0,0,0
Libya,Côte d'Ivoire,834,90,1
Libya,Kuwait,262,47,1457
Libya,"Moldova, Republic of",0,0,0
Libya,Estonia,93,1023,652
Libya,Ethiopia,0,0,0
Libya,Peru,0,0,17
Libya,Kazakhstan,0,0,0
Libya,Ghana,56,,15
Libya,Philippines,258,16,436
Libya,Latvia,0,185,696
Libya,Israel,0,0,0
Libya,Lithuania,0,19,59
Libya,Zimbabwe,0,1533,156
Libya,Uruguay,155,0,0
Libya,Chile,1029,1150,1384
Libya,Gabon,0,9,50
Libya,Burkina Faso,45,0,16
Libya,Colombia,0,50,0
Libya,Kenya,9,2,12
Libya,Uganda,0,0,27
Libya,Senegal,48,15,134
Libya,Namibia,0,0,0
Libya,Malawi,0,0,14
Libya,Zambia,1,0,6
Libya,Kyrgyzstan,0,0,0
Libya,Albania,0,10,16
Libya,Mali,0,31,3
Libya,Guinea,0,0,
Libya,Nicaragua,0,1,0
Libya,Azerbaijan,0,0,1351
Libya,Brunei Darussalam,0,93,6
Libya,Cameroon,296,0,0
Libya,Cuba,0,0,60
Libya,Benin,0,8,0
Libya,Ecuador,23,0,0
Libya,Georgia,23,0,0
Libya,Guatemala,73,0,0
Libya,Madagascar,11,0,0
Libya,Mozambique,0,0,0
Libya,Panama,0,0,72
Libya,Paraguay,0,0,37
Libya,Togo,0,0,1
Libya,"Tanzania, United Republic of",0,0,7
Libya,"Venezuela, Bolivarian Republic of",518,8,4
Libya,Central African Republic,50,0,0
