reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Kyrgyzstan,Russian Federation,61863,74200,104445
Kyrgyzstan,China,42221,55718,69141
Kyrgyzstan,Switzerland,110190,71340,111583
Kyrgyzstan,Kazakhstan,33455,31803,54753
Kyrgyzstan,Türkiye,6307,17623,10906
Kyrgyzstan,Spain,595,6440,1102
Kyrgyzstan,United States of America,3331,5480,11699
Kyrgyzstan,"Iran, Islamic Republic of",14893,9386,7060
Kyrgyzstan,Saudi Arabia,0,0,13052
Kyrgyzstan,Ukraine,2589,4313,4300
Kyrgyzstan,Romania,1994,2294,5297
Kyrgyzstan,Germany,95644,3340,4157
Kyrgyzstan,Belarus,6409,2816,3380
Kyrgyzstan,"Korea, Republic of",616,416,352
Kyrgyzstan,Czech Republic,5160,3593,3186
Kyrgyzstan,Indonesia,256,127,1668
Kyrgyzstan,Kuwait,0,0,910
Kyrgyzstan,Poland,1694,1379,1984
Kyrgyzstan,France,1043,1159,1091
Kyrgyzstan,Estonia,593,1354,696
Kyrgyzstan,Belgium,239,2910,3557
Kyrgyzstan,Italy,2006,1225,996
Kyrgyzstan,Portugal,0,305,723
Kyrgyzstan,Serbia and Montenegro,99,33,
Kyrgyzstan,Azerbaijan,1357,679,790
Kyrgyzstan,Mongolia,994,,968
Kyrgyzstan,United Kingdom,53,425,252
Kyrgyzstan,Bulgaria,142,146,229
Kyrgyzstan,Slovakia,380,829,1323
Kyrgyzstan,Georgia,230,187,293
Kyrgyzstan,Japan,698,9849,17138
Kyrgyzstan,"Macedonia, North",0,4,32
Kyrgyzstan,Egypt,0,60,0
Kyrgyzstan,India,564,489,471
Kyrgyzstan,"Moldova, Republic of",887,588,757
Kyrgyzstan,Sweden,2130,1275,267
Kyrgyzstan,Albania,0,0,30
Kyrgyzstan,"Taipei, Chinese",111,7,0
Kyrgyzstan,Slovenia,181,240,117
Kyrgyzstan,Bosnia and Herzegovina,,,21
Kyrgyzstan,Lebanon,329,60,94
Kyrgyzstan,Netherlands,206,157,371
Kyrgyzstan,Austria,199,382,105
Kyrgyzstan,Greece,0,35,34
Kyrgyzstan,Latvia,166,396,311
Kyrgyzstan,Lithuania,127,226,169
Kyrgyzstan,Andorra,0,0,7
Kyrgyzstan,Viet Nam,0,16,74
Kyrgyzstan,Hungary,745,1203,292
Kyrgyzstan,Thailand,98,79,395
Kyrgyzstan,Australia,124,57,39
Kyrgyzstan,Croatia,43,51,4
Kyrgyzstan,Canada,137,56,12885
Kyrgyzstan,South Africa,165,120,3
Kyrgyzstan,Norway,0,11,11
Kyrgyzstan,Ecuador,0,0,5
Kyrgyzstan,Mexico,41,48,5
Kyrgyzstan,Malaysia,101,4174,1579
Kyrgyzstan,Tunisia,0,1,1
Kyrgyzstan,Peru,0,1,3
Kyrgyzstan,Costa Rica,0,0,0
Kyrgyzstan,"Macao, China",0,0,0
Kyrgyzstan,Dominican Republic,0,0,0
Kyrgyzstan,Denmark,4,5,2184
Kyrgyzstan,Colombia,0,0,0
Kyrgyzstan,Malawi,1,26,0
Kyrgyzstan,Cyprus,0,6,65
Kyrgyzstan,"Hong Kong, China",0,1,15
Kyrgyzstan,Finland,92,1,1
Kyrgyzstan,Ghana,0,,0
Kyrgyzstan,Luxembourg,2,0,41
Kyrgyzstan,Faroe Islands,1,1,4
Kyrgyzstan,Namibia,0,0,0
Kyrgyzstan,Armenia,62,9,9
Kyrgyzstan,Morocco,0,56,18
Kyrgyzstan,New Caledonia,0,0,0
Kyrgyzstan,New Zealand,0,0,0
Kyrgyzstan,Pakistan,,,2
Kyrgyzstan,Argentina,13,21,1
Kyrgyzstan,Bangladesh,0,593,6242
Kyrgyzstan,Brazil,24,3,11
Kyrgyzstan,Cuba,0,0,1
Kyrgyzstan,El Salvador,16,0,0
Kyrgyzstan,Guatemala,0,4,0
Kyrgyzstan,Guyana,0,0,2
Kyrgyzstan,Honduras,0,22,3
Kyrgyzstan,Ireland,7,3,4
Kyrgyzstan,Israel,5,2,0
Kyrgyzstan,Kenya,0,0,82
Kyrgyzstan,Mozambique,0,3,0
Kyrgyzstan,Nicaragua,0,1,0
Kyrgyzstan,Singapore,0,9,0
Kyrgyzstan,Uganda,0,17,0
Kyrgyzstan,Samoa,0,0,1
Kyrgyzstan,Zambia,2,2,0
