reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Kyrgyzstan,Switzerland,101624,56697,145667,72539,386978,317256,90,140,344045,363769,425519,438565,58631,337120,1639,3956,7109,1207157,85248,1201046
Kyrgyzstan,Türkiye,13384,14113,27455,45020,47974,31446,30900,52123,45226,106805,119998,76858,101067,143794,47342,77244,91159,86461,119553,273967
Kyrgyzstan,"Hong Kong, China",7,0,285,656,35,358,581,120,85,432,170,82,511,248,496,826,344,21852,370,127631
Kyrgyzstan,China,109546,105050,112916,113693,121328,48450,72069,98121,89021,62350,55424,56787,71229,86992,54359,66041,34801,79732,81661,83132
Kyrgyzstan,Italy,1733,1455,1042,2960,2184,241,682,881,538,1204,18836,970,1102,15558,1692,2194,898,2715,6706,29556
Kyrgyzstan,Germany,4189,3953,6126,9108,15569,8143,8896,17713,19884,15957,15987,14323,17155,15716,16134,19726,21509,23412,32297,21229
Kyrgyzstan,Romania,4234,2070,804,951,528,443,398,506,574,685,721,513,417,478,481,802,1040,320,2135,20826
Kyrgyzstan,Serbia,,,1897,5609,4672,6856,3792,4797,6356,5654,4814,4811,4104,3259,3738,2079,3046,6540,13541,13187
Kyrgyzstan,United States of America,11441,5287,4569,1917,2663,6229,4060,2765,9451,3674,2473,15995,3460,6757,7811,5580,6195,6340,10064,12906
Kyrgyzstan,Slovakia,818,315,50,12,58,6,12,6,1895,35,61,60,670,305,289,700,67,14,23924,12628
Kyrgyzstan,France,2006,1326,2082,5054,2586,23434,248671,43129,29646,44068,19257,1782,938,1172,605,597,394,2432,13284,11764
Kyrgyzstan,Poland,2169,2454,1530,2214,1488,1046,851,1094,492,1715,5168,3887,1829,3196,2720,1710,1164,579,17675,9143
Kyrgyzstan,Belgium,1792,1523,867,452,3198,1157,2456,2368,7675,14068,5680,1248,809,502,613,680,1405,1021,2830,8594
Kyrgyzstan,Latvia,220,228,450,866,776,142,54,144,240,390,1681,3371,5416,2587,3159,1283,1834,760,7709,7178
Kyrgyzstan,Netherlands,300,259,1283,1120,1531,1963,626,808,775,1349,1478,1657,3518,1543,1576,1148,674,423,790,3771
Kyrgyzstan,South Africa,89,296,138,723,100,44,656,851,595,64,60,86,18,136,15,23,893,67,1338,3200
Kyrgyzstan,Lithuania,172,68,45,72,118,348,1336,2774,1393,13006,18172,16969,10786,12820,53815,76882,46657,50133,48419,3184
Kyrgyzstan,Estonia,1886,901,183,28,6792,12,22,86,47,26,8,5,61,452,486,267,845,849,2806,3024
Kyrgyzstan,Ukraine,5229,5696,5354,6331,9119,4012,6175,7493,6521,11779,4305,5802,1774,3001,1521,2008,1702,2276,3136,2505
Kyrgyzstan,"Korea, Republic of",3011,1590,1318,1372,2640,1197,2711,2110,211,549,8462,1154,556,456,420,598,508,432,541,2221
Kyrgyzstan,Singapore,0,0,0,0,0,0,0,55,3022,169,37,18,84,69,289,41,20,1614,72,2194
Kyrgyzstan,Japan,501,362,302,350,1073,216,188,2073,1044,790,1190,2687,353,1363,37303,549,598,571,1736,2127
Kyrgyzstan,United Kingdom,1214,938,303,112,349,153,184,198,86,303,276,377,30493,129293,657407,796897,811469,237557,798,1678
Kyrgyzstan,Bulgaria,951,217,521,4621,2995,4562,3150,3981,5316,6725,3128,4563,4281,3275,5227,6242,4716,2672,1356,1670
Kyrgyzstan,Czech Republic,2830,2402,2667,1896,1867,334,1893,151,180,198,10508,2060,535,664,2405,754,772,1350,1668,1230
Kyrgyzstan,Austria,272,399,202,270,64,66,24,249,192,1201,884,269,328,1432,252,256,340,1575,2044,754
Kyrgyzstan,Spain,12045,3745,366,412,169,1182,150,466,11,377,252,458,9,130,115,118,155,559,179,704
Kyrgyzstan,Norway,88,27,21,0,12,0,6,84,2,12,54,56,23,55,23,73,54,56,56,595
Kyrgyzstan,Slovenia,365,151,104,219,49,47,133,276,206,294,246,234,267,169,350,531,230,381,246,420
Kyrgyzstan,Greece,245,478,394,697,1180,981,303,496,803,592,1186,856,332,412,443,695,1642,733,2061,361
Kyrgyzstan,Canada,96,17737,834,18,956,428,539,182,906,134,208,195,153,275,286,345,467,639,335,269
Kyrgyzstan,Malaysia,49,47,92,208,202,91,183,71,183,161,151,158,50,48,71,39,44,106,164,267
Kyrgyzstan,Sweden,386,7,783,902,1938,16,83,4,317,266,369,248,284,266,142,1218,446,293,5843,262
Kyrgyzstan,Croatia,137,60,3,144,25,30,98,144,115,149,54,94,123,76,129,99,211,166,373,251
Kyrgyzstan,Bosnia and Herzegovina,347,186,166,549,277,292,223,491,874,707,706,444,599,533,462,555,679,598,396,236
Kyrgyzstan,Finland,5,74,3,15,6,504,601,284,666,37,691,498,76,6,32,141,74,95,159,180
Kyrgyzstan,Brazil,0,0,290,321,243,21,208,227,4,2,2,5,84,75,0,2,10,25,16,169
Kyrgyzstan,Thailand,141,173,18,49,12511,619,11,5217,539,2507,11,14,5,13,4,20,795,37393,2719,147
Kyrgyzstan,Australia,137,104,246,364,1125,72,42,190,149,73,236,124,40,224,188,423,28,95,84,104
Kyrgyzstan,Colombia,15,17,9,0,37,12,88,537,0,0,7,10,0,4,0,52,46,0,6,88
Kyrgyzstan,Ireland,0,0,57,0,59,0,2,0,74,1,37,5,951,6,76,443,0,22,4,88
Kyrgyzstan,Denmark,18,9,11,1,15,66,62,62,94,80,42,77,94,124,159,23,5,49,28,68
Kyrgyzstan,Peru,34,62,160,110,75,0,13,158,4,0,0,0,50,0,205,9,0,0,65,62
Kyrgyzstan,Hungary,154,98,110,54,0,338,126,28,17,45,175,98,168,9,174,92,57,73,614,48
Kyrgyzstan,New Zealand,1,0,0,2,0,7,12,1,84,11,17,89,3,114,33,45,6,3,28,47
Kyrgyzstan,"Taipei, Chinese",369,153,365,8706,3684,26,34,116,122,190,134,368,414,106,524,138,81,166,217,22
Kyrgyzstan,Portugal,1619,1840,1900,1845,40,74,134,0,0,97,190,0,95,0,0,16,84,10,39,20
Kyrgyzstan,Madagascar,0,0,0,0,20,0,0,9,17,0,0,0,0,0,0,0,0,0,0,9
Kyrgyzstan,Chile,0,66,0,0,1,85,0,1,1,0,1,0,13,4,0,0,0,0,0,3
Kyrgyzstan,Malta,0,0,2,0,0,1,14,0,5,1,214,1,0,2,0,2,1,7,5,3
Kyrgyzstan,Costa Rica,24,10,0,0,0,0,0,0,2,0,7,0,0,0,0,0,5,1,7,2
Kyrgyzstan,Ecuador,84,0,0,0,38,42,0,0,0,9,0,13,0,4,12,0,11,0,0,2
Kyrgyzstan,El Salvador,0,19,0,0,3,0,0,0,0,3,2,0,0,1,0,0,0,0,4,2
Kyrgyzstan,Cyprus,7,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,1
Kyrgyzstan,Luxembourg,4,0,5,55,4,787,1696,0,0,0,0,0,0,0,3,4,2,1,2,1
Kyrgyzstan,Argentina,0,0,4,6,6,78,6,140,3,0,0,1,2,3,0,4,5,9,84,0
Kyrgyzstan,"Bolivia, Plurinational State of",0,0,0,0,0,2,0,0,4,0,6,0,0,0,3,4,0,0,214,0
Kyrgyzstan,Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kyrgyzstan,Iceland,0,0,0,0,0,0,1,0,0,0,0,0,1,0,12,7,0,9,0,0
Kyrgyzstan,Paraguay,0,0,0,0,0,0,22,0,0,3,7,0,0,0,0,0,0,0,0,0
Kyrgyzstan,Liberia,,,,,,,,,,,,,,0,2,1,5,0,0,
Kyrgyzstan,Uzbekistan,,,,,,,,,,,,,,72605,126747,124215,138032,157086,217779,
Kyrgyzstan,"Congo, Democratic Republic of the",,,,,,,,,,,,0,0,0,6,0,0,0,27,
Kyrgyzstan,Tajikistan,,,,,,,,,,,25616,18734,16909,37496,48488,41442,27115,20638,13788,
Kyrgyzstan,Palau,,,,,,,,,0,,0,9,0,0,0,,,,,
Kyrgyzstan,Sudan,,,,,,,,,0,2,85,0,0,138,0,,,,,
Kyrgyzstan,Myanmar,,,,,,,0,0,0,1,0,0,56,210,198,236,114,25,51,
Kyrgyzstan,Lao People's Democratic Republic,,,,,,,0,0,0,0,0,0,0,0,0,32,31,0,,
Kyrgyzstan,Nepal,,,,,,0,0,6,0,0,1,2,0,0,0,0,0,0,0,
Kyrgyzstan,Afghanistan,,,,,5170,0,37,0,716,3767,1881,2982,84,267,483,233,,,,
Kyrgyzstan,Congo,,,,0,289,1,1,0,0,0,0,0,2,0,0,0,0,0,0,
Kyrgyzstan,"Palestine, State of",,,,0,0,0,0,0,0,0,0,82,0,79,1,0,6,0,2,
Kyrgyzstan,Montenegro,,,59,140,212,214,163,192,213,310,377,385,802,553,642,730,443,678,679,
Kyrgyzstan,Nigeria,,,0,0,0,0,0,0,0,2,52,5,0,0,16,1,5,18,0,
Kyrgyzstan,United Arab Emirates,,26,,134,396,,,,360,182594,93970,89022,30966,58120,6990,5399,62785,162217,192969,
Kyrgyzstan,Kiribati,,0,,0,0,0,0,0,0,0,0,0,0,0,9,,0,0,,
Kyrgyzstan,Papua New Guinea,0,,,,,,,309,371,,,,,,,0,2,0,,
Kyrgyzstan,Andorra,157,,8,0,0,0,0,0,0,0,0,0,0,5,0,0,73,7,0,
Kyrgyzstan,Kuwait,2188,,0,51,0,0,49,572,236,466,74,61,136,49,237,267,410,225,512,
Kyrgyzstan,Timor-Leste,0,0,,,,,,,,0,,,,0,0,0,0,0,128,
Kyrgyzstan,Guinea-Bissau,0,0,,,,,,,,0,0,0,5,0,0,,,,,
Kyrgyzstan,Mauritania,0,0,,0,0,0,0,0,0,0,0,33,0,0,0,3,0,3,0,
Kyrgyzstan,Togo,0,0,,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,
