reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Lao PDR,China,12654,25545,49647,85919,134259,367319,601490,827588,787758,1010079,1777883,1316053,1346768,1567098,2029603,2157000,2088438,2673961,3342452,3753394
Lao PDR,Thailand,114517,226804,499805,470066,620361,462708,749411,1129721,1238286,1360045,1410559,1470764,1887024,2237224,2626599,2568803,2987324,3256017,3345139,2995517
Lao PDR,Australia,472,6822,18422,5207,782,1644,2004,6188,45888,50824,2244,2875,8443,11960,17139,17189,90132,358936,349740,365162
Lao PDR,United States of America,3632,4481,9365,21140,44380,45805,61866,60370,25733,32427,34615,47826,57483,98792,146482,152870,106820,225627,283569,314713
Lao PDR,Germany,31622,34843,42025,50302,50398,57390,65350,87900,79944,98152,91114,82674,82573,89782,109329,120545,119854,155046,187125,189287
Lao PDR,Japan,8004,8036,12328,11995,18071,26964,37734,97325,123553,107217,115087,97377,115476,149448,155540,158859,129169,129998,190118,164746
Lao PDR,"Korea, Republic of",1438,2110,17760,70335,52965,17529,19990,4325,11346,12482,18036,28418,22741,27329,30128,39121,43867,48726,85237,92891
Lao PDR,Switzerland,3300,3986,1603,2526,1276,638,1282,1996,4402,4743,4325,4648,56786,8590,29576,57243,50243,138406,99352,84739
Lao PDR,United Kingdom,36080,45078,55909,46714,62571,79501,80692,112707,106768,80307,65870,50663,51286,27395,24486,27939,27218,28137,59124,66747
Lao PDR,"Hong Kong, China",24,37,374,102,2982,2547,3422,4485,2935,15720,3147,8689,4977,4475,9241,9559,5102,65045,64320,63769
Lao PDR,Denmark,768,656,1334,1410,4402,4640,4912,6350,8420,10708,8926,11289,14349,18350,23507,27507,37585,40860,68597,52093
Lao PDR,France,54072,52013,41060,40004,33815,23762,25518,26585,17646,19037,22980,20811,20451,24765,33173,30787,36916,50155,45399,49906
Lao PDR,Netherlands,11833,14277,14390,10191,8565,13550,14923,15434,38578,37573,41173,14943,13023,8223,10057,16580,18778,23392,33962,46827
Lao PDR,Belgium,15711,17868,18606,12288,19556,16384,18881,17871,17411,35478,18920,16140,18813,10561,16171,31298,51463,37727,44964,32599
Lao PDR,Czech Republic,1197,1869,1776,1559,659,793,711,1138,1677,1933,1731,2960,3876,3605,5276,19795,29585,42607,30990,29334
Lao PDR,Singapore,648,1464,573,1270,920,252,2824,471,5411,5764,15441,13343,5349,6503,8502,8346,93730,25299,131377,27876
Lao PDR,Sweden,2713,1239,382,1674,578,204,1363,908,1242,3164,10390,21719,19166,27615,25712,30326,25788,30906,39743,26003
Lao PDR,Canada,6706,5769,4859,6185,4671,5933,7869,6638,9970,10845,14914,18615,19344,24219,50414,35857,22584,27092,30266,25453
Lao PDR,Spain,4347,5379,5459,7113,8562,6251,7548,10471,13304,11821,7724,9180,5287,4970,5551,4721,8272,17828,31545,23233
Lao PDR,Romania,430,156,92,22,1038,90,383,871,1034,7809,47,1,3002,0,138,69,183,0,2,22775
Lao PDR,"Taipei, Chinese",6166,9019,39673,25154,17032,6005,7054,11230,7898,13171,15787,14059,17276,15554,14523,13103,12512,15720,15418,18286
Lao PDR,Malaysia,148,12913,49143,35538,2944,111,2267,752,439,1259,1269,2881,12390,5503,5961,10017,11331,21541,41159,16778
Lao PDR,Portugal,543,876,799,1416,2807,1675,870,2837,2959,2592,14129,2702,2508,17418,2238,2295,7556,15940,18344,16459
