reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Lao PDR,Thailand,580809,768878,1022082,1313711,1772333,1642618,2135935,2789524,3609793,3758454,4032554,4177432,3968501,3941417,4091187,3837883,3323143,3931435,4499818,4599593
Lao PDR,China,100883,103377,168717,177937,268114,376650,483623,476255,937094,1722577,1839475,1212287,1005864,1420409,1455739,1762454,1491278,1666652,2339910,3355359
Lao PDR,Japan,14063,19496,20518,37615,62201,75966,62301,77650,137728,121301,138582,104541,116303,116175,133174,95828,147388,128603,103021,115070
Lao PDR,"Korea, Republic of",8982,13930,23328,55653,53187,55760,112252,154462,165040,187050,156047,170365,126414,92202,83959,75006,49799,70522,64325,101193
Lao PDR,Singapore,38348,39966,41093,39256,25427,36476,22972,34719,30091,26342,122533,59741,46639,31931,43782,53370,26708,63208,95954,68374
Lao PDR,United States of America,5878,9808,6959,13360,18347,20447,12645,26085,33494,24400,28485,24584,30878,25672,16069,17073,24557,33494,40269,46609
Lao PDR,Germany,25442,10263,11022,31655,23317,16614,21628,39188,154166,52841,115052,45095,35074,34018,34921,23507,57467,32549,37677,44156
Lao PDR,Malaysia,2479,6248,5671,9298,8648,6853,15092,13751,12899,22868,24878,14959,18594,14501,10153,8091,13387,27343,215402,29502
Lao PDR,Brazil,211,149,126,31,73,9,146,273,633,379,104,206,695,1563,2781,1620,969,304,1372,27896
Lao PDR,Belgium,10632,11287,6483,9298,13213,27536,18586,31121,34059,29168,28780,23316,26435,22072,29018,19696,11583,183028,17160,21376
Lao PDR,France,9367,10754,10252,11432,18364,56063,55113,136270,39584,35659,60438,11841,11914,11047,8956,10898,11041,14359,16946,19432
Lao PDR,Italy,1806,1381,924,1712,6086,15269,15246,12654,11278,8893,10761,9889,14953,19040,10614,13421,9550,12790,13331,16090
Lao PDR,Australia,16822,18038,18595,21850,14596,8414,22691,24360,27960,35323,32255,20345,17105,19466,20283,18860,19562,26778,26287,15905
Lao PDR,"Hong Kong, China",7229,7535,14067,13420,21299,16767,27182,29495,24975,30961,41720,22851,19308,22044,25437,20563,16984,19670,16459,14444
Lao PDR,Netherlands,843,964,394,1223,554,1148,1631,1907,2186,6258,3081,2675,3803,4501,3864,3958,6724,10079,11104,13568
Lao PDR,Canada,569,696,809,675,16802,3017,2707,7135,9521,6190,10669,4542,8657,4728,2643,2143,1907,6658,3168,13546
Lao PDR,Poland,852,160,194,3287,2661,1038,31,1245,332,349,1067,594,1508,4209,2893,2786,6689,2834,1964,10318
Lao PDR,Spain,126,395,152,497,539,659,594,987,1010,1796,1906,1036,2388,2982,5544,2402,3305,7754,8835,7760
Lao PDR,United Kingdom,2227,2842,1673,6720,1429,1829,5252,13164,5493,7074,5865,9758,7760,11836,11635,14038,2905,14037,10793,6862
Lao PDR,"Taipei, Chinese",2550,2021,2512,1707,2954,3256,3925,2242,3168,3807,3674,3282,3861,6739,5959,10116,6026,8636,6016,6335
Lao PDR,Switzerland,1071,1557,1764,1739,2755,2072,1276,1219,4631,34949,9671,3506,4154,4398,5332,5323,7519,6339,5711,5948
Lao PDR,Türkiye,713,0,233,22,260,395,1243,3996,2917,5953,4838,1437,2244,1355,8283,7758,1922,1189,1692,5637
Lao PDR,Austria,712,34,22,532,420,1480,2737,4804,7418,7189,8044,17718,9655,54401,32883,10704,12060,6940,8759,5445
Lao PDR,Finland,14927,290,477,705,7777,408,659,4685,32567,765,1955,1269,1973,13301,1987,1285,4581,1246,1692,2745
Lao PDR,Czech Republic,639,58,30,15,98,64,651,406,257,569,370,3207,5894,41333,28919,7759,1150,415,1379,2226
Lao PDR,Denmark,526,3989,315,2182,2137,2241,348,17905,1206,2951,1079,565,1386,1294,1072,708,1238,3133,2979,2108
Lao PDR,Slovenia,94,0,69,22,194,24,3299,33,195,533,213,149,471,16,1375,23,25,4,2280,1803
Lao PDR,Sweden,4190,1801,1577,4068,12011,1909,1154,685,8260,618,678,511,278,8173,2174,1011,5566,662,928,1010
Lao PDR,Norway,237,732,1352,851,1991,498,223,174,82,113,1664,163,94,303,619,232,48,276,20,954
Lao PDR,Slovakia,29141,7,340,279,1,0,0,48,0,110,3516,39,17,28,124,469,399,1077,2688,908
Lao PDR,Serbia,,,7,4,0,0,0,0,0,3,0,0,0,0,0,140,22,0,3242,899
Lao PDR,Portugal,0,0,23,46,219,23,0,1,187,0,4,7,364,58,131,161,468,478,35,886
Lao PDR,Greece,0,1,0,0,0,0,0,4,0,2,51,12,397,0,1,4,2,47,4941,689
Lao PDR,Luxembourg,34,50,80,148,2879,116,56,124,188,123,448,242,42,0,237,126,336,526,545,510
Lao PDR,South Africa,3442,2812,2627,416,2501,122,130,549,629,608,518,324,579,296,377,274,62,168,286,494
Lao PDR,Ireland,4951,1511,1590,2277,3341,777,2173,2974,988,3903,991,5999,4040,4555,2753,5,21,30,1918,489
Lao PDR,New Zealand,771,163,354,557,523,2456,807,3248,787,1020,1349,835,678,568,518,564,750,664,635,444
Lao PDR,Chile,0,7,187,68,246,242,646,2580,1442,451,311,289,385,1317,556,660,193,237,316,300
Lao PDR,Lithuania,0,0,0,0,0,0,0,0,23,121,223,34,2,0,38,169,8,11,15,98
Lao PDR,Hungary,19,0,0,24,0,2,4913,13,22,74,403,317,1312,2789,7168,351,12553,5523,2981,91
Lao PDR,Cyprus,0,0,3,0,0,0,0,0,0,0,1,0,10,23,2,5,7,6,3,37
Lao PDR,Latvia,9,24,39,85,19,14,0,0,2,47,4,19,231,158,574,112,264,302,26,23
Lao PDR,Romania,264,0,0,0,0,0,24,6300,5,801,0,647,1,1253,204,295,1506,282,994,22
Lao PDR,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,2,0,0,15
Lao PDR,Croatia,0,0,0,1,3,0,0,0,0,2,6,20,28,203,0,14,19,12,0,9
Lao PDR,Ukraine,0,0,0,11,12,13336,59,49,62,156,313,1616,2385,174,180,726,827,254,0,8
Lao PDR,Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Lao PDR,Colombia,10,0,0,0,0,0,3,0,0,0,0,0,1,239,2,2,7,4,7,5
Lao PDR,Bulgaria,0,0,9,18,0,90,10,304,125,0,12,94,109,131,29,119,4,10,7,4
Lao PDR,Argentina,56,0,0,43,0,11,5,12,13,0,2,153,143,232,113,151,291,594,0,0
Lao PDR,"Bolivia, Plurinational State of",0,0,0,0,0,269,4,0,0,10,0,0,40,0,0,0,0,0,0,0
Lao PDR,Costa Rica,0,0,4,0,0,0,0,0,0,0,0,0,90,0,313,0,3,0,11,0
Lao PDR,El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Lao PDR,Estonia,74,0,0,6,0,2,4,334,2,103,202,0,2,121,72,13,0,26,7,0
Lao PDR,Guatemala,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0
Lao PDR,Iceland,0,0,18,0,0,0,0,4,0,0,0,0,0,0,0,2,7,2,0,0
Lao PDR,Madagascar,33,11,31,0,30,0,25,0,0,3,5,1,0,0,0,0,7,0,0,0
Lao PDR,Malta,0,0,0,0,0,0,0,0,11,3560,0,0,4,0,1,1,0,0,0,0
Lao PDR,Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
Lao PDR,Peru,1,15,7,0,28,70,12,0,0,0,0,0,0,0,7,0,0,0,0,0
Lao PDR,Uzbekistan,,,,,,,,,,,,,,493,0,0,291,0,61,
Lao PDR,"Congo, Democratic Republic of the",,,,,,,,,,,,1286,0,0,0,95,53,0,0,
Lao PDR,Bermuda,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,
Lao PDR,Sudan,,,,,,,,,0,0,635,0,96,0,0,,,,,
Lao PDR,Myanmar,,,,,,,4,16,142,400,606,474,41,83,17,532,331,330,51,
Lao PDR,Nepal,,,,,,0,0,0,811,486,0,3,2,0,0,0,2,37,24,
Lao PDR,Tonga,,,,,0,0,0,0,6,0,0,,,0,0,0,0,1,0,
Lao PDR,Nigeria,,,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,
Lao PDR,Antigua and Barbuda,,0,,0,,0,0,0,0,0,4,0,0,0,0,0,0,0,0,
Lao PDR,United Arab Emirates,,107,,687,1016,,,,211,488,402,201,558,1549,1365,4430,43723,2808,3737,
Lao PDR,Lesotho,,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,
Lao PDR,Netherlands Antilles,,58,0,0,0,,,,,,,,,,,,,,,
Lao PDR,Papua New Guinea,68,,,,,,,0,0,,,,,,,0,0,0,,
Lao PDR,Andorra,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Lao PDR,Kuwait,8,,0,0,0,41,0,0,0,0,0,0,0,2,1,2,0,0,0,
Lao PDR,Mauritania,0,0,,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,
Lao PDR,Togo,0,0,,0,441,0,0,0,0,124,0,0,0,0,0,0,31,0,0,
Lao PDR,Cuba,5,4,3,,,,,,,,,,0,0,4,0,0,0,0,
Lao PDR,Mongolia,0,0,0,0,,,14,7,197,0,0,0,2,0,41,3,50,2,0,
Lao PDR,Angola,83,0,0,0,,0,0,0,0,0,0,13,148,18,129,0,0,0,0,
Lao PDR,Mali,0,0,0,0,0,,0,0,0,,,,0,0,0,0,1,0,0,
Lao PDR,Bangladesh,0,55,57,117,17,57,43,24,71,84,,179,,,,,,,,
Lao PDR,Qatar,0,0,0,0,0,0,0,0,0,16,0,0,,0,0,0,0,0,0,
Lao PDR,Sri Lanka,0,112,16,37,0,0,8,96,86,86,23,4,2144,219,,2,6,114,9,
Lao PDR,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,
Lao PDR,Azerbaijan,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lao PDR,Bahrain,76,0,1,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,
Lao PDR,Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,
Lao PDR,Barbados,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,
Lao PDR,Botswana,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lao PDR,Brunei Darussalam,33,2,116,34,0,37,9,94,1,0,23,15,42,6,20,2,0,0,0,
Lao PDR,Burundi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Lao PDR,Cambodia,412,206,276,624,845,361,884,1233,1853,576,109,5454,5379,5695,7368,2463,1368,2716,2607,
Lao PDR,Benin,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lao PDR,Dominican Republic,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,
