reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Latvia,United Kingdom,407829,558999,696439
Latvia,Sweden,374976,456842,470748
Latvia,Germany,408026,410808,500240
Latvia,Lithuania,98100,122851,155472
Latvia,United States of America,144483,209809,402143
Latvia,France,160313,66981,86609
Latvia,Estonia,85490,96952,132585
Latvia,Denmark,172157,162690,232060
Latvia,Russian Federation,121261,151334,181426
Latvia,Poland,30641,34929,41359
Latvia,Norway,55015,64487,111109
Latvia,Finland,58284,65073,86877
Latvia,Netherlands,99057,70326,86786
Latvia,Belgium,55379,42019,44905
Latvia,Belarus,36143,36070,44315
Latvia,Italy,44902,58865,71141
Latvia,Spain,25270,20913,46595
Latvia,Singapore,65,25804,589
Latvia,Ukraine,35936,35221,56131
Latvia,Ireland,23856,27525,53251
Latvia,Iceland,8636,11439,28063
Latvia,Portugal,18935,20796,27378
Latvia,Japan,13548,17526,26707
Latvia,Kazakhstan,9258,14051,13341
Latvia,Austria,18177,19040,21492
Latvia,Argentina,6733,27137,665
Latvia,China,5049,5235,19207
Latvia,Peru,18602,21770,26185
Latvia,Czech Republic,13678,13442,13350
Latvia,Brazil,252595,62229,3414
Latvia,Hungary,4134,4712,8114
Latvia,Colombia,1,1841,15422
Latvia,Morocco,1012,1787,40
Latvia,Switzerland,7823,7105,5817
Latvia,Slovakia,8598,7576,8373
Latvia,Ecuador,7551,4856,0
Latvia,Canada,11696,8354,8979
Latvia,Egypt,8793,1401,1781
Latvia,Chile,10857,16266,434
Latvia,Slovenia,2566,3448,4559
Latvia,Mongolia,286,,1415
Latvia,Israel,2366,2459,4182
Latvia,Greece,12184,8418,3689
Latvia,"Korea, Republic of",840,659,1723
Latvia,"Moldova, Republic of",1685,2050,3246
Latvia,Georgia,984,923,4039
Latvia,Azerbaijan,560,574,882
Latvia,Romania,363,543,1268
Latvia,Bulgaria,578,1026,1536
Latvia,Pakistan,,,879
Latvia,Thailand,135,202,665
Latvia,Uruguay,1301,8,15
Latvia,Algeria,14128,4740,5507
Latvia,Kuwait,398,791,1046
Latvia,Armenia,614,583,1161
Latvia,Kyrgyzstan,584,925,905
Latvia,Cyprus,184,133,252
Latvia,Croatia,140,1180,1425
Latvia,Saudi Arabia,848,2051,2353
Latvia,Australia,1814,1383,1356
Latvia,Nicaragua,4640,2201,608
Latvia,Türkiye,154,220,1249
Latvia,"Taipei, Chinese",190,1974,555
Latvia,Lebanon,188,473,724
Latvia,Serbia and Montenegro,90,217,
Latvia,India,730,2769,750
Latvia,South Africa,2421,4128,1373
Latvia,Tunisia,26,115,321
Latvia,New Zealand,221,216,310
Latvia,Viet Nam,183,136,48
Latvia,Jordan,331,340,81
Latvia,Guatemala,909,336,99
Latvia,Malaysia,9088,5287,913
Latvia,Yemen,,,
Latvia,"Hong Kong, China",4375,282,2860
Latvia,Mali,0,16,12
Latvia,Mauritius,26,321,390
Latvia,Oman,0,16,0
Latvia,Bangladesh,0,0,7
Latvia,Mexico,1000,375,4813
Latvia,Malta,39,14,92
Latvia,Indonesia,0,3355,708
Latvia,Trinidad and Tobago,63,31,95
Latvia,Faroe Islands,130,105,130
Latvia,Paraguay,0,0,0
Latvia,Luxembourg,1220,1147,490
Latvia,Costa Rica,3300,81,187
Latvia,Ethiopia,0,0,24
Latvia,Angola,,,
Latvia,Bosnia and Herzegovina,,,107
Latvia,Sri Lanka,58,154,158
Latvia,Benin,0,0,0
Latvia,New Caledonia,21,50,64
Latvia,Cuba,31,32,898
Latvia,Qatar,8,16,0
Latvia,Ghana,0,,1
Latvia,"Macao, China",1,6,32
Latvia,Zimbabwe,0,0,1
Latvia,Andorra,0,0,7
Latvia,Zambia,0,0,0
Latvia,French Polynesia,0,1,4
Latvia,"Bolivia, Plurinational State of",0,1,1
Latvia,Cambodia,0,0,0
Latvia,Mozambique,0,0,2
Latvia,"Macedonia, North",5,1,7
Latvia,Côte d'Ivoire,0,0,0
Latvia,Panama,0,0,0
Latvia,Albania,0,0,533
Latvia,Bahrain,15,55,18
Latvia,Barbados,2,4,0
Latvia,Botswana,0,0,2
Latvia,Dominican Republic,0,155,0
Latvia,Greenland,0,0,128
Latvia,"Iran, Islamic Republic of",2207,111,0
Latvia,Jamaica,45,0,0
Latvia,Namibia,0,9,64
Latvia,Philippines,0,0,1
Latvia,Syrian Arab Republic,0,0,565
