reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Lesotho,United States of America,215282,343113,419485
Lesotho,Belgium,8958,6175,4552
Lesotho,Canada,6448,3310,6390
Lesotho,Madagascar,0,1,0
Lesotho,Saudi Arabia,107,30,377
Lesotho,United Kingdom,2784,1849,1308
Lesotho,France,3742,1951,2308
Lesotho,Eswatini,669,550,166
Lesotho,Mauritius,0,2,2
Lesotho,Guinea,0,1593,
Lesotho,Japan,106,262,743
Lesotho,Sweden,0,8,2
Lesotho,Germany,287,37,53
Lesotho,Netherlands,32,284,172
Lesotho,South Africa,0,176,22
Lesotho,"Hong Kong, China",16,39,406
Lesotho,Mexico,89,191,120
Lesotho,Botswana,337,289,317
Lesotho,Spain,0,0,17
Lesotho,Ethiopia,8,4,0
Lesotho,Italy,302,0,32
Lesotho,Australia,19,0,42
Lesotho,Algeria,54,0,0
Lesotho,Zimbabwe,19,0,70
Lesotho,Namibia,1,0,17
Lesotho,"Korea, Republic of",0,13,124
Lesotho,"Taipei, Chinese",11,9,10
Lesotho,Czech Republic,0,1,1
Lesotho,Zambia,155,183,33
Lesotho,Poland,0,0,0
Lesotho,India,0,5,0
Lesotho,Uganda,0,0,11
Lesotho,Chile,0,1,0
Lesotho,New Zealand,0,0,0
Lesotho,Thailand,0,407,28
Lesotho,Russian Federation,0,0,0
Lesotho,Peru,0,0,0
Lesotho,"Macedonia, North",101,0,0
Lesotho,Brazil,0,0,0
Lesotho,Mozambique,0,18,16
Lesotho,Colombia,0,1,0
Lesotho,Paraguay,0,0,0
Lesotho,China,1129,0,1
Lesotho,Malawi,0,0,429
Lesotho,Nicaragua,0,0,0
Lesotho,Slovakia,0,0,0
Lesotho,Slovenia,0,11,0
Lesotho,Uruguay,0,0,0
Lesotho,Serbia and Montenegro,0,2,
Lesotho,Faroe Islands,0,0,1
Lesotho,Austria,0,62,7
Lesotho,Bangladesh,7,0,0
Lesotho,Barbados,2,0,0
Lesotho,Belarus,39,75,0
Lesotho,Croatia,0,0,5
Lesotho,Cyprus,0,0,0
Lesotho,Benin,3,0,0
Lesotho,Denmark,0,0,0
Lesotho,Dominican Republic,0,1,48
Lesotho,El Salvador,0,179,0
Lesotho,Grenada,0,0,17
Lesotho,Honduras,0,1,0
Lesotho,Ireland,37,5,1
Lesotho,Côte d'Ivoire,25,0,0
Lesotho,Kenya,0,0,0
Lesotho,Lebanon,3,1,1
Lesotho,Malaysia,0,6,171
Lesotho,Niger,1,0,0
Lesotho,Philippines,248,80,132
Lesotho,Romania,2,0,0
Lesotho,Saint Lucia,0,28,0
Lesotho,Singapore,3,3,0
Lesotho,Switzerland,0,0,0
Lesotho,Togo,3,3,11
Lesotho,Türkiye,0,20,0
Lesotho,Egypt,40,10,0
Lesotho,Samoa,0,1,0
Lesotho,Nigeria,306,224,149
