reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Lithuania,Russian Federation,1694753,1695388,2165281
Lithuania,Germany,1089126,1416905,1818293
Lithuania,Poland,723073,900417,1291619
Lithuania,Italy,330162,406949,560271
Lithuania,Ukraine,140353,197441,237615
Lithuania,Latvia,162327,190789,237201
Lithuania,Sweden,186265,272189,351744
Lithuania,France,212588,262671,354274
Lithuania,Belarus,275804,256736,264982
Lithuania,Finland,205063,249863,297580
Lithuania,Netherlands,162128,202092,273256
Lithuania,United States of America,99830,102819,162319
Lithuania,Denmark,228243,250954,284300
Lithuania,China,58895,98231,170517
Lithuania,Estonia,143265,179395,226384
Lithuania,United Kingdom,197663,227379,307921
Lithuania,Belgium,148599,171145,207499
Lithuania,Czech Republic,126061,160354,212756
Lithuania,Austria,53856,67531,128466
Lithuania,Türkiye,32586,53723,85668
Lithuania,Spain,135188,154133,130663
Lithuania,Hungary,58435,58301,77670
Lithuania,Norway,60257,63088,72032
Lithuania,Switzerland,44867,49087,70569
Lithuania,"Korea, Republic of",18443,39851,63409
Lithuania,Slovakia,25537,39888,63656
Lithuania,"Taipei, Chinese",18017,22367,31792
Lithuania,Bosnia and Herzegovina,,,100
Lithuania,Japan,13616,26032,27182
Lithuania,Slovenia,24996,34418,35075
Lithuania,India,7192,9050,15471
Lithuania,Luxembourg,6819,11995,10594
Lithuania,Iceland,8052,15652,16888
Lithuania,"Hong Kong, China",8999,11693,14830
Lithuania,Brazil,9404,11124,11807
Lithuania,Morocco,9325,10404,11551
Lithuania,Thailand,2659,5225,13628
Lithuania,Kazakhstan,8390,3625,5121
Lithuania,Canada,3563,6288,12667
Lithuania,Portugal,10373,11819,11725
Lithuania,Bulgaria,7539,8283,10710
Lithuania,Argentina,4320,5327,10519
Lithuania,Pakistan,,,6247
Lithuania,Greece,7358,8223,7807
Lithuania,Peru,25397,18490,7028
Lithuania,Malaysia,4802,6500,5914
Lithuania,Ireland,18202,16450,15423
Lithuania,Chile,2461,3222,6601
Lithuania,Romania,1652,2558,3917
Lithuania,Israel,3873,5061,4543
Lithuania,Singapore,3502,4828,8208
Lithuania,Australia,2369,1174,4846
Lithuania,Viet Nam,733,5447,4283
Lithuania,Uruguay,530,413,4320
Lithuania,Croatia,4769,4258,7074
Lithuania,Azerbaijan,1240,3121,4872
Lithuania,Indonesia,5311,5656,6024
Lithuania,New Zealand,2569,2255,5034
Lithuania,South Africa,214,638,711
Lithuania,Sri Lanka,2368,2764,2469
Lithuania,Faroe Islands,818,418,203
Lithuania,"Moldova, Republic of",3226,6024,5252
Lithuania,"Iran, Islamic Republic of",813,1090,1127
Lithuania,Jordan,1657,0,2233
Lithuania,Cyprus,917,424,588
Lithuania,Mexico,323,883,1163
Lithuania,Serbia and Montenegro,385,1841,
Lithuania,Georgia,2933,1628,722
Lithuania,Philippines,141,82,216
Lithuania,Syrian Arab Republic,0,0,650
Lithuania,Colombia,125,83,484
Lithuania,"Macedonia, North",146,18,67
Lithuania,Egypt,192,252,264
Lithuania,Namibia,94,50,17
Lithuania,Bangladesh,0,0,588
Lithuania,Ecuador,1042,17,46
Lithuania,Panama,0,0,15
Lithuania,Armenia,66,55,135
Lithuania,Benin,0,0,39
Lithuania,Lebanon,20,63,0
Lithuania,Tunisia,0,47,105
Lithuania,Kyrgyzstan,779,62,148
Lithuania,Mozambique,0,0,49
Lithuania,Paraguay,0,0,23
Lithuania,Malawi,0,0,118
Lithuania,Ghana,0,,0
Lithuania,Cuba,0,0,3714
Lithuania,Mauritius,0,36,39
Lithuania,Zimbabwe,0,1233,15
Lithuania,Malta,12,11,47
Lithuania,Gabon,0,0,0
Lithuania,Suriname,0,,
Lithuania,Dominican Republic,0,0,31
Lithuania,Guatemala,0,0,0
Lithuania,Greenland,0,0,0
Lithuania,Kenya,0,0,0
Lithuania,Kuwait,0,0,752
Lithuania,"Venezuela, Bolivarian Republic of",0,2,1
Lithuania,Fiji,,6,0
Lithuania,Mongolia,0,,0
Lithuania,Algeria,0,59,2859
Lithuania,Andorra,2331,50,18
Lithuania,"Bolivia, Plurinational State of",26,0,73
Lithuania,Cambodia,0,1,0
Lithuania,Cameroon,0,12,0
Lithuania,Costa Rica,0,80,0
Lithuania,El Salvador,28,0,0
Lithuania,Trinidad and Tobago,57,0,0
Lithuania,Zambia,0,0,0
