reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Luxembourg,Germany,2733359,3198689,3611423,4457543,4891900,3675617,3553268,4096139,3505067,3937878,3994736,3537654,3409447,3607543,4014797,3619958,3163431,3928445,4030831,3815938
Luxembourg,France,2029059,1918033,2049412,2456698,2751473,1874644,1983275,2280307,1849024,1771667,1883068,1619801,1647845,1808739,1830120,1788765,1714385,2106188,2089677,1932822
Luxembourg,Belgium,2105308,2098360,2167214,2816547,3149680,2624547,2791657,3170799,3064235,3020336,3316755,3108235,2983757,2858596,2429907,1855676,1828042,2328112,2072262,1921231
Luxembourg,Netherlands,797971,870790,1066791,1355136,1767858,998127,858860,1033357,906868,981941,1012348,867710,1038874,1005354,1185163,1053269,926012,1416615,1529266,1399738
Luxembourg,Italy,1420048,1587616,1567056,2304643,2256772,1437207,1398622,1180123,1305093,1449809,1236860,1031227,966808,719596,639072,774540,609933,855157,929461,1108175
Luxembourg,"Hong Kong, China",20456,41211,180601,153527,126409,65098,153237,121853,93803,173195,91558,81477,98784,34877,149747,291461,222869,593568,827475,961442
Luxembourg,Spain,393853,454794,536113,568619,682623,351201,597626,672809,352236,402831,545056,479598,449584,481646,529614,592260,386138,517452,602819,771846
Luxembourg,United States of America,308723,409868,558499,553061,558346,456084,473419,513178,573601,664709,785118,662801,520318,515846,573154,660484,507124,613732,773550,718278
Luxembourg,United Kingdom,1548711,1662315,2862757,1367334,2331860,991425,885644,2108553,1189398,567159,857723,741890,577013,510668,553041,758642,492020,424041,599352,715636
Luxembourg,Austria,185229,250971,228412,284056,257675,189383,246154,306044,307060,285278,333328,287944,287943,353125,413868,373662,322331,409796,447043,623067
Luxembourg,Poland,140694,166599,218386,254527,330540,195425,242170,414223,370876,393279,406818,312730,267479,399744,515938,274426,315811,408708,420268,466757
Luxembourg,Czech Republic,144118,189218,223990,261816,301261,156703,215012,324978,293074,318029,324535,270232,202112,201039,239682,147675,140718,227708,239540,381780
Luxembourg,Switzerland,217648,346041,347405,423721,368188,312140,248470,269792,233227,396841,595744,230925,280790,499945,298664,249026,226854,295577,275494,319608
Luxembourg,Sweden,393479,518965,663945,783210,825443,462161,354756,376436,342288,358530,379787,306476,296246,322381,361524,407158,236017,254776,289981,283353
Luxembourg,China,129083,150767,169343,251751,293989,204684,257868,309228,262580,256661,303804,309532,305537,307522,312210,282202,275927,410949,327689,267034
Luxembourg,Türkiye,533159,122199,94305,150884,125320,79460,114342,162527,145858,142033,157944,224346,134490,124388,152433,114563,139746,136014,180499,237825
Luxembourg,Denmark,201965,277400,324840,332399,365612,223799,139061,175872,157756,168753,203619,207756,194975,173511,195069,196668,163439,198770,248480,193664
Luxembourg,Finland,49698,54393,62933,68318,82662,55584,78442,93559,63748,68201,74572,67356,66997,86073,87564,89417,76480,106314,129020,147991
Luxembourg,Slovakia,22213,23072,35990,59247,80872,51496,58808,54719,56091,71301,79096,74807,73429,95051,104422,99656,74523,101380,108895,143810
Luxembourg,Canada,58925,73191,84304,100012,91560,121585,92689,115881,147368,155275,148498,144627,117448,118984,126198,124328,128086,168766,125526,141164
Luxembourg,Romania,19507,23729,37914,100642,118425,67439,62527,69968,88686,134893,114087,76074,121022,153792,167210,115705,103034,139527,159560,131436
Luxembourg,Hungary,82758,72732,74653,112619,112529,82153,105021,93345,102951,77905,85318,91074,90640,89541,89252,131959,110616,171266,141704,126307
Luxembourg,Portugal,147441,152018,193310,224005,263912,135971,71617,89157,103116,106494,145846,127546,117519,108867,98343,86835,82131,97497,127413,114925
Luxembourg,Norway,37984,50521,64816,71210,67476,58333,83951,119057,107431,95986,104531,78983,91969,79730,79522,89784,86122,103826,126916,104829
Luxembourg,Ireland,30079,36924,53937,50900,67393,37405,36720,93322,60459,67388,51413,44474,33811,31527,72596,45316,45983,67627,65250,82842
Luxembourg,Slovenia,39005,39826,37992,47399,61738,54761,72113,73197,78308,66044,36058,31295,34626,37973,42217,44954,42366,51426,54399,76076
Luxembourg,Greece,242745,324310,376141,383319,250075,241837,208965,136186,153107,116709,91816,150644,67177,79060,66397,47333,78465,114389,137727,75137
Luxembourg,Japan,51359,42850,32891,46101,43310,36614,51810,60472,66796,67573,80584,71953,73213,73265,90463,89093,82875,102061,84097,73943
Luxembourg,"Korea, Republic of",55394,71183,79680,62238,73870,42307,41820,39562,52707,43470,39944,50055,82085,69042,68693,67725,75447,104118,91039,72251
Luxembourg,Singapore,13526,26698,19926,23881,28150,23575,34943,41814,55084,64884,43509,50223,64161,52066,99402,98928,112699,34914,151053,70254
Luxembourg,Lithuania,26725,11636,11345,21340,39505,12775,13277,21753,20633,24774,22744,17876,73884,31966,27989,53014,22896,78581,33592,58698
Luxembourg,South Africa,28189,36643,32287,25627,36225,25912,36965,58160,44737,53980,48590,55310,48492,50434,55036,41106,32095,40280,50784,48055
Luxembourg,Brazil,20445,42677,41684,50473,49011,29207,322032,56296,52694,94483,77351,88769,126012,40889,59583,33197,39596,65185,51719,46842
Luxembourg,Serbia,,,3103,8729,11020,6312,7609,13230,17553,26036,25663,21615,16164,15086,16356,16043,16343,19408,26341,37938
Luxembourg,Bulgaria,5385,6512,9271,26845,27207,14573,17456,20069,26728,62844,100848,88328,96593,104445,59288,48496,44183,65242,71007,37724
Luxembourg,"Taipei, Chinese",39289,35587,22017,23811,41736,12117,24488,32388,15536,16461,15391,14521,19030,22411,21683,26556,31793,46890,40696,37146
Luxembourg,Estonia,6321,6995,9838,14406,20971,16033,7175,10759,9797,9516,11810,8625,10961,10035,11127,10384,8640,11222,12000,22274
Luxembourg,Australia,1672,2032,10267,21507,20566,27890,26374,25550,29626,43710,16619,18483,16223,23758,21942,23108,18878,25028,27697,21994
Luxembourg,Latvia,4615,6128,21566,24581,21440,13534,15561,14253,14043,25901,15624,14798,26939,16681,19138,8679,7472,10925,24827,16354
Luxembourg,Chile,13613,14563,11861,8523,11379,9245,13482,18767,27411,17504,7085,7315,6850,10828,13069,22524,14505,18222,17223,16121
Luxembourg,Croatia,11368,8979,10836,12656,18597,13877,12361,13029,10183,18203,19456,11005,13649,14900,17016,19528,17631,15913,15149,14601
Luxembourg,Thailand,5527,5394,7222,7452,12534,14286,7260,45961,35805,19541,20073,15271,17590,17799,18620,21196,14882,21440,19680,13594
Luxembourg,Ukraine,15104,21625,28185,21350,22954,16403,29115,46621,30751,25504,30204,57729,61476,62747,82408,53131,17117,20286,10983,13490
Luxembourg,Argentina,7588,4691,10913,7487,9695,7809,4656,13913,12850,9580,13431,10259,7675,12595,12140,9096,7775,12940,11702,12760
Luxembourg,Colombia,823,2803,1996,3075,4597,2614,6233,4375,7402,9680,11738,7430,6353,9747,13712,8144,6317,7269,8593,7374
Luxembourg,Malaysia,7770,7874,9607,17510,9691,6632,12762,27045,32812,44104,23228,20641,21912,16288,19531,19251,14051,11804,11629,7347
Luxembourg,Bosnia and Herzegovina,2751,2141,4542,4008,3326,6525,6178,4674,5091,3907,4298,4151,4062,4187,3683,3572,3499,3693,4846,6375
Luxembourg,Ecuador,11011,78,30,47,2092,4338,3417,5619,8433,17260,21232,661,759,5852,9144,13002,998,3446,2781,6102
Luxembourg,Cyprus,2268,2951,3201,4848,5602,4038,6040,2393,8248,4460,3921,2717,24129,7272,5977,6105,4643,13663,5136,5638
Luxembourg,Iceland,9103,11483,14467,10823,9533,2892,1079,1437,1881,2375,1609,4601,8161,4254,7664,7122,4649,7820,13142,4456
Luxembourg,New Zealand,8003,7216,5915,7491,6080,3559,4942,7536,5062,5314,5245,5311,4978,5498,5613,4548,4409,8711,5913,4265
Luxembourg,Guatemala,0,194,0,103,284,301,554,1155,495,5937,4715,8931,9740,4873,11918,12685,1284,184,1544,3678
Luxembourg,Malta,544,525,979,3850,2094,2297,933,931,352,851,320,626,914,1659,8643,901,236460,30038,9524,2318
Luxembourg,Peru,620,1618,1395,3034,2554,1783,5068,7393,3907,4901,7313,10022,5953,3248,4538,5996,4955,17215,3405,2172
Luxembourg,Madagascar,218,105,232,245,380,342,1967,196,438,650,462,3686,1740,666,1262,3606,2270,3991,2559,1886
Luxembourg,El Salvador,6,1293,2307,870,569,257,9,69,24,70,157,140,107,587,232,42,1332,280,437,1378
Luxembourg,Costa Rica,0,39,0,0,2555,848,624,776,9347,1113,966,1048,9905,25964,14207,1492,2924,4016,2318,1046
Luxembourg,Paraguay,0,0,0,6,71,216,29,1835,3248,1181,470,421,211,144,3164,4153,1139,281,2499,959
Luxembourg,"Bolivia, Plurinational State of",2,42,451,35,42,9,13,72,72,131,104,180,144,418,404,365,535,208,298,307
Luxembourg,Cabo Verde,1033,1230,991,901,46,1603,2094,34,103,121,163,179,98,3298,265,348,138,276,1241,287
Luxembourg,Belize,0,0,0,0,0,0,0,0,0,109,0,0,0,198,1145,345,0,0,0,0
Luxembourg,Luxembourg,0,0,0,0,0,0,0,0,0,0,10853,85566,136745,178683,207417,0,268580,442120,358101,0
Luxembourg,Cayman Islands,,,,,,,,,,,,,,,,,1,11,,
Luxembourg,Liberia,,,,,,,,,,,,,,653,528,543,297,316,2219,
Luxembourg,Uzbekistan,,,,,,,,,,,,,,369,3301,7109,9645,3427,6505,
Luxembourg,Curaçao,,,,,,,,,,,,,,0,15,21,0,,,
Luxembourg,"Congo, Democratic Republic of the",,,,,,,,,,,,2734,8869,2605,1974,1728,568,2279,1636,
Luxembourg,Tajikistan,,,,,,,,,,,188,732,2105,0,416,65,15,24,112,
Luxembourg,Sierra Leone,,,,,,,,,,,73,176,67,74,0,,,,,
Luxembourg,Haiti,,,,,,,,,,1202,1023,372,507,286,,,,,,
Luxembourg,Bermuda,,,,,,,,,1,3,3,0,1,11,6,19,38,62,54,
Luxembourg,Sudan,,,,,,,,,0,82,23,362,123,1476,57,,,,,
Luxembourg,Myanmar,,,,,,,0,0,12,0,1,0,0,545,98,71,337,1041,315,
Luxembourg,Lao People's Democratic Republic,,,,,,,83,4,45,2,2,0,12,77,170,37,63,55,,
Luxembourg,Nepal,,,,,,0,326,495,181,931,461,144,68,272,453,375,98,196,274,
Luxembourg,Tonga,,,,,0,0,0,0,0,0,0,,,0,0,0,10,0,0,
Luxembourg,Afghanistan,,,,,0,0,0,50,279,2,0,0,0,5,3,203,,,,
Luxembourg,"Libya, State of",,,,2,85,1131,1169,,,,,697,1289,577,458,602,,,,
Luxembourg,Congo,,,,4243,261,752,813,4072,592,793,21425,76230,34819,104,174,1400,59,212,503,
Luxembourg,"Palestine, State of",,,,28,191,496,68,320,737,1079,81,1269,467,2293,454,46,114,115,7,
