reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Luxembourg,Belgium,6032901,6711808,6864824,7425166,8830327,6359891,7100510,8526883,7729895,7873818,7413679,6067990,5915533,6695783,7745715,7792925,6496068,8163755,9346164,8412470
Luxembourg,Germany,4344105,4843556,5544779,6299727,7167773,5989625,7042683,8256768,6929686,7017861,6886149,5760586,5910857,6530244,7074521,6407508,6282080,7776808,8024601,6957331
Luxembourg,France,2295198,2008535,2222150,2598805,2920600,2200673,2650235,2730800,2615568,2763275,3251756,2201336,2226149,2462283,3226388,2806993,2227683,3268163,3222869,3138468
Luxembourg,Netherlands,1143597,1313742,1536543,1601032,1765882,1336508,1825067,1942150,1687905,1299274,1446396,1158355,1123815,1278881,1444158,1617555,1503636,1855005,2347622,2406500
Luxembourg,United States of America,639852,711383,579848,1002743,1065030,1292117,1439674,1585845,1903125,1848773,1516207,1393819,1446279,1078266,1084259,1921647,1351922,1531482,1669090,2365373
Luxembourg,Italy,790853,675393,733515,813407,681890,602567,671559,724110,644140,682271,637592,580547,529953,607514,720578,747115,713209,784842,831244,840582
Luxembourg,United Kingdom,497075,405421,3046076,550053,376497,299666,317479,506855,335776,367019,351830,335030,283201,341779,322382,302610,299677,706543,679139,634773
Luxembourg,Poland,77528,85911,80886,165482,422580,152583,165792,281291,220704,229215,223951,233201,242644,349471,487244,419339,396972,507687,610896,625536
Luxembourg,Japan,214961,224414,201954,193913,176104,51150,195814,216652,255353,145147,201451,447984,361333,586108,613374,469229,379047,583514,662393,580341
Luxembourg,Spain,233227,201715,225805,326069,342343,276565,225719,251347,204793,284047,349507,317212,276735,317466,304555,376152,473515,439469,375154,484511
Luxembourg,China,917517,2039604,2015941,2053025,3554492,3049991,987463,1595051,1956195,1807834,1948754,2325442,1255227,700187,855142,1550201,949473,1441898,526282,435185
Luxembourg,Czech Republic,99254,111770,119171,141236,207907,125737,157704,175809,181326,148467,214797,169153,175036,232498,266549,272799,307958,343649,378414,401925
Luxembourg,Switzerland,320962,605703,322875,353104,417631,376998,284261,365052,516889,409502,262922,259980,329940,579807,499721,387876,317002,419816,369492,363377
Luxembourg,Singapore,36987,189729,211298,47223,52424,51874,38325,34060,32830,76895,552717,82742,76846,66837,102081,127756,161532,122572,262228,314931
Luxembourg,"Hong Kong, China",72754,114270,138494,121568,69655,72029,69209,92954,107141,100037,114907,169310,98697,49187,71917,111850,120887,172963,363892,282858
Luxembourg,Austria,352480,216680,210359,229387,191796,137478,174806,214449,234187,253744,216788,175842,165782,185043,214524,204095,212581,229365,236672,250485
Luxembourg,Hungary,40768,35471,30804,79428,101121,84885,87968,93037,99718,99036,102840,90023,112000,86538,117642,112148,136543,163247,734295,196785
Luxembourg,Türkiye,19547,27733,23549,73870,56388,19458,25758,53757,51870,60985,70329,36587,59924,35728,66606,70733,97613,76929,129155,185965
Luxembourg,Portugal,40666,41945,51807,142539,92302,74372,75178,84769,77334,89690,96217,95537,108172,129168,139445,127636,123265,138149,142196,146190
Luxembourg,Slovakia,33941,37363,39465,40072,39161,35203,65050,84305,74176,81859,82439,81952,85921,94980,113502,121498,129775,92084,82595,128711
Luxembourg,Denmark,48088,59789,46919,57656,65803,50834,55961,63317,54982,50341,50076,45860,56382,54693,81872,79343,110449,95647,125886,105040
Luxembourg,Ireland,127547,231749,220002,223470,213669,195138,100260,77791,79642,78767,107121,73665,74287,140117,174310,92658,179759,97736,96133,102752
Luxembourg,Sweden,69231,91833,97836,114704,114943,104141,95858,147556,101429,121528,109705,102358,104222,130790,118009,111840,99537,123759,102998,94997
Luxembourg,Greece,10069,5085,5353,5408,17573,7758,15965,23181,9324,4608,6166,8548,10254,13104,19720,25307,17279,33653,183529,83523
