reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
"Macao SAR, China","Hong Kong, China",1247815,1597272,1861966,2241933,2546510,2325407,2831018,4152518,4726628,5909755,6296811,6021042,5303968,5497575,6298214,6745270,5347781,8336707,7753834,9657067
"Macao SAR, China",China,1617599,1605066,2185386,2641028,2602115,1851544,2140801,2355273,2708244,3170786,3592858,4615021,3259428,3186302,3097867,3010512,2207646,3185505,4276604,3750803
"Macao SAR, China",United States of America,85514,101576,200226,226447,306743,209189,225189,291500,345461,351203,433271,542389,632020,501227,601508,572014,183074,219557,250447,526414
"Macao SAR, China",Japan,112666,122275,141176,233474,239728,180807,228565,228480,262272,297414,314740,330427,301446,429001,609593,341051,296305,356079,466661,470545
"Macao SAR, China",France,16867,14573,38850,50008,39490,51552,83221,138286,140596,158496,197508,154407,154327,167804,194663,481789,237136,445817,460581,417987
"Macao SAR, China",Italy,19117,15538,17473,21471,64362,76520,40476,78494,100467,141050,196324,180867,173218,195331,289070,302323,288688,432210,355584,349111
"Macao SAR, China",Singapore,15598,22168,22921,35059,65085,58375,102579,93987,83146,126087,122820,113637,154448,241396,363698,199933,143564,220514,227961,301874
"Macao SAR, China",United Kingdom,27961,31449,38569,35296,40027,40037,48718,59101,81127,102054,88201,70549,56252,68923,82786,116970,148094,258835,306368,280965
"Macao SAR, China",Germany,50785,61012,44950,78998,75832,43473,46024,72964,76955,221728,113432,302560,169458,79075,116224,163592,83611,352063,244869,168707
"Macao SAR, China","Taipei, Chinese",298764,303390,262168,378916,402329,302661,300755,212199,163653,134386,143544,142834,129806,112112,120107,97999,92092,110808,111036,104143
"Macao SAR, China",Switzerland,4574,10264,15784,40027,44638,20516,28297,55855,67806,43820,48364,51996,33738,46178,61648,59982,36282,100658,85451,83265
