reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Madagascar,United States of America,494353,342056,298163,357605,342198,266513,113209,90801,114379,183715,219674,324927,453969,753423,906349,859511,625997,690106,936345,737440
Madagascar,France,440925,361866,391742,444783,436420,393322,347451,449237,431910,507442,504223,446748,525362,701509,740841,629970,560152,616949,729910,648295
Madagascar,Japan,34560,28614,29022,23654,24371,35421,14088,22383,20649,94012,133380,137628,100901,161764,243946,216213,119613,181707,456148,369763
Madagascar,China,14081,13997,23810,29662,65172,54822,105382,103389,114443,173906,118076,174754,159083,225586,214707,204362,138652,331900,625026,282185
Madagascar,"Korea, Republic of",1095,1247,1653,1898,1558,1767,1629,1823,3599,75543,123088,85617,71516,78250,87371,116531,54785,15965,116894,221854
Madagascar,Germany,106574,98710,89763,91671,99180,87209,92461,115677,126368,151381,168637,181763,240517,261670,341662,213141,217940,224219,213828,162451
Madagascar,South Africa,1622,1752,1953,6034,14941,18575,21953,44045,71694,105046,127081,128399,111192,96191,106907,103463,82285,128565,184624,158411
Madagascar,Netherlands,7278,6309,11172,14915,27326,19682,17401,19510,22948,88566,113023,92888,61648,67418,69060,48333,89474,105019,76537,148536
Madagascar,Canada,21492,11840,14160,17101,19069,36534,48950,64195,86089,94243,84063,62609,58933,76954,101658,94141,88075,154364,131289,129723
Madagascar,"Taipei, Chinese",993,1409,861,1063,1565,1032,1401,2035,1432,4759,20809,36902,48163,45853,52351,63411,52152,56388,187044,103058
Madagascar,Singapore,29611,18481,21044,22966,31003,37753,18794,120856,102392,42068,31888,29455,81203,89229,58514,28581,23252,36549,83560,87748
Madagascar,Türkiye,1444,109,1120,1276,1659,2552,1915,2413,2145,7742,13985,5833,4876,5109,4165,9784,14627,18305,23018,80800
Madagascar,United Kingdom,66173,29485,46099,67533,54243,47711,49773,55225,37002,49505,69205,61388,45703,45398,52050,50335,36193,35964,73276,76624
Madagascar,Spain,18381,19818,35453,39007,49312,36636,54358,61934,70317,75981,74946,79523,81698,78260,57190,56963,46816,29796,44280,55518
