reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Madagascar,China,152079,182640,222563,329780,602593,395383,396791,503376,542414,642961,752678,869659,964132,1017693,1015756,1072546,997650,1283179,1455128,1398470
Madagascar,France,266318,289347,256597,350273,400724,275496,309731,387959,383471,393470,390282,362480,355584,399109,438117,423226,357708,412006,441087,444112
Madagascar,South Africa,89395,85005,73254,162350,228902,122372,177805,162911,171745,169889,154516,146070,156038,197996,207224,182170,110801,177184,299142,204286
Madagascar,Türkiye,11787,9354,8963,10607,22268,19296,27013,51213,56817,59809,54372,53746,59338,73245,80437,72081,73862,65826,78505,121671
Madagascar,Malaysia,9528,13372,11285,23251,31047,67701,45234,59358,56116,49842,75913,69617,79994,100374,92439,81290,83016,138476,125432,113906
Madagascar,Belgium,57675,44001,40646,50134,104149,83827,38704,52565,70442,105908,92288,73540,77333,108852,105575,80376,59066,61991,87730,95220
Madagascar,Germany,33998,33328,32701,43115,86589,93314,51023,43685,44240,51995,57947,40255,33642,47368,46402,58844,38665,43389,44959,62715
Madagascar,United States of America,35649,28205,44737,31959,70939,165869,115994,56284,64275,64008,46800,54554,41967,53260,116794,66679,35990,56223,84858,61590
Madagascar,Brazil,12514,12586,6528,9235,23963,21187,27954,21901,33130,18240,23970,22734,30392,63053,19087,25725,38025,42791,48553,52058
Madagascar,Italy,26351,25377,24856,33723,31852,28094,26247,32406,30511,30724,38573,31950,33200,34104,36005,37854,43433,32838,46213,48355
Madagascar,Poland,1224,883,900,637,3553,6596,907,538,999,806,1673,1479,1875,3302,4053,4259,3837,2505,15318,40296
Madagascar,Spain,24664,18525,22785,22073,24031,22100,33480,28211,65971,58979,43475,33230,30216,46701,34813,40873,32345,33188,43895,37079
Madagascar,"Korea, Republic of",14786,14389,16039,27408,76951,60725,47289,25394,26938,120185,26241,24216,31441,61859,28352,29985,33640,39706,35730,36847
Madagascar,Netherlands,8027,6820,7734,54840,48039,23039,14930,23543,18821,21848,32700,22732,25398,44459,59657,54455,25333,32761,40949,31349
Madagascar,"Hong Kong, China",103369,86183,88180,124243,108764,54453,29276,36036,45451,31604,34540,38214,37036,39776,40894,31164,24966,34833,24652,24310
Madagascar,Thailand,26383,33104,20483,32482,48727,479250,38936,47855,55856,50407,58776,34014,23988,40484,38484,31747,22663,22141,22781,23847
Madagascar,Australia,5004,3198,3610,8652,7422,18603,24085,15657,17959,13223,14424,7065,7493,14899,15680,11680,10879,23779,14397,20066
Madagascar,"Taipei, Chinese",26541,23754,22339,22537,22885,18122,9818,9492,10196,8495,13285,14418,16691,18214,25291,31133,24572,23121,24937,19252
Madagascar,Japan,25994,17617,20816,52029,61747,15713,13699,10866,10271,13085,16853,14793,12600,14314,15707,78886,8767,13007,16384,18878
Madagascar,United Kingdom,16984,11961,7760,14371,26778,20521,19466,31889,19520,19015,13860,16424,20096,33929,13803,13674,8003,11508,18538,16209
Madagascar,Canada,1002,714,2456,10225,14476,61520,82451,24144,20287,21331,12996,18238,8768,12434,13102,13729,8411,8853,19019,12496
Madagascar,Switzerland,2614,8344,2271,2964,5320,2668,2773,3660,3976,4913,4041,5113,4937,7450,6330,6036,7181,6121,9185,11970
Madagascar,Argentina,21128,13532,14420,30561,38150,5221,4181,4322,4525,11816,13959,14025,13635,16421,13852,29875,15672,45765,13013,11028
Madagascar,Latvia,41,371,39,0,4,267,525,1191,1619,1092,1828,1455,256,248,1359,1897,8941,2641,3225,10443
Madagascar,Singapore,43637,40600,35455,47930,46492,119699,112219,142561,77920,34401,24692,46049,17965,15395,43139,37710,9167,13217,69514,7937
Madagascar,Denmark,4068,4972,3905,3845,7786,5018,871,2555,3456,4816,2978,2549,4115,5349,4214,3594,4984,5539,9750,7777
Madagascar,Sweden,2176,1490,10154,5664,24973,7691,2424,6958,6404,4826,12113,11671,5866,3064,3575,6220,14791,4395,3648,5997
Madagascar,Portugal,2669,275,2575,454,2305,1894,1816,4256,4015,4520,3184,5806,7846,10007,8714,6941,3890,6326,3874,4880
Madagascar,Paraguay,0,0,0,15,5747,1637,0,864,8870,0,1616,1317,125,5,5711,4308,8950,5,6,4837
Madagascar,Malta,2,127,74,19,85,64,0,27,18,27,27,245,675,703,852,552,493,445,5736,3930
Madagascar,Austria,494,971,1013,2239,5501,3451,1224,1179,1465,1305,1360,1093,1576,1970,2412,2951,2200,2861,3717,3904
Madagascar,Romania,526,206,517,559,995,859,5053,1783,4787,2464,3923,3842,4046,3086,2473,3311,1161,1691,5551,3356
Madagascar,New Zealand,1576,2018,1777,137,79488,2464,230,696,304,448,697,1684,1626,2322,2132,2461,3686,3222,2164,2917
Madagascar,Czech Republic,514,167,684,404,19504,638,1241,914,1306,613,532,968,1288,1968,1335,2184,984,1319,2122,2626
Madagascar,Slovakia,128,335,426,627,2914,920,875,2640,2365,2529,2202,1701,1914,2572,2023,2326,2884,3469,3094,2459
Madagascar,Luxembourg,1639,2,114,392,326,1603,330,95,117,1004,466,3314,1360,0,268,3320,2086,6248,2685,2148
Madagascar,Greece,4309,7336,2952,2540,2819,1007,911,817,1301,1140,2336,2046,1945,1612,2336,1846,3503,3201,1702,1816
Madagascar,Finland,1075,241,6069,30063,3557,1686,2253,1904,866,1227,504,485,190,1045,408,2543,587,2493,605,1034
Madagascar,Ukraine,70,98,369,1828,309,509,155,162,0,139,91,323,1007,699,1091,2371,1046,12097,828,888
Madagascar,Bulgaria,59,51,1168,258,5351,378,223,84,79,650,1349,1069,180,392,574,370,611,581,700,854
Madagascar,Hungary,264,169,720,1919,801,3092,1238,878,325,956,786,1108,1060,1753,1735,727,275,1423,541,850
Madagascar,Slovenia,317,74,91,94,131,176,33,293,239,254,327,235,478,610,237,584,495,350,439,814
Madagascar,Ireland,57,1081,285,20,2819,88,261,127,805,401,1761,449,280,953,1295,322,1257,2017,857,713
Madagascar,Colombia,294,13,90,150,212,146,141,150,154,323,67,55,310,106,233,313,261,139,274,436
Madagascar,Lithuania,14,9,0,0,6,13,2,2,0,222,283,27,22,680,335,404,337,185,127,363
Madagascar,Serbia,,,58,2,3,0,10,0,0,1,18,69,203,163,62,151,25,128,23,343
Madagascar,Norway,431,709,401,831,327,203,879,2613,394,1368,418,635,141,149,101,291,128,157,19,57
Madagascar,Estonia,273,0,0,2,295,0,0,0,442,115,12,158,20,24,81,42,29,30,11559,55
Madagascar,Bosnia and Herzegovina,11,0,0,3,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,26
Madagascar,Chile,13,48,0,31,838,2083,1476,6,99,131,46,70,38,0,5,38,2,0,0,14
Madagascar,Cyprus,17,78,125,169,61,42,85,97,101,60,263,245,252,151,72,62,97,54,41,13
Madagascar,Ecuador,159,131,119,80,76,11,45,30,109,17,14,305,426,538,124,39,17,325,0,12
Madagascar,Costa Rica,0,0,1,0,0,2,0,0,0,0,0,1,1,0,2,0,0,27,0,9
Madagascar,Peru,508,614,1631,1139,778,1174,237,237,366,243,112,39,119,96,0,51,0,0,213,5
Madagascar,Croatia,0,9,0,0,946,929,2,354,716,0,0,7,0,2,274,3,18,16,134,3
Madagascar,"Bolivia, Plurinational State of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,510,0,0,0
Madagascar,El Salvador,0,2,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,Guatemala,0,0,0,0,0,40,0,31,0,0,0,0,0,197,0,190,0,200,0,0
Madagascar,Iceland,14,44,2,0,19,2,7,2,5,1,0,0,24,0,0,3,0,0,0,0
Madagascar,Uzbekistan,,,,,,,,,,,,,,69,0,0,0,0,0,
Madagascar,"Congo, Democratic Republic of the",,,,,,,,,,,,0,6,36,46,25,905,2048,2321,
Madagascar,Sierra Leone,,,,,,,,,,,0,7,0,0,0,,,,,
Madagascar,Haiti,,,,,,,,,,4,1,21,8,4,,,,,,
Madagascar,Sudan,,,,,,,,,0,0,0,10,10,0,30,,,,,
Madagascar,Myanmar,,,,,,,0,0,20,0,113,0,561,28532,5326,53372,8785,0,6488,
Madagascar,Lao People's Democratic Republic,,,,,,,0,0,0,24,0,5,0,1008,0,656,143,0,,
Madagascar,Nepal,,,,,,0,0,242,0,5,10,0,0,0,0,18,0,38,21,
Madagascar,Djibouti,,,,,,0,,,,,,,,,,,,,,
Madagascar,Congo,,,,8,462,0,0,0,26,0,11,0,87,616,400,36,11,34,44,
Madagascar,Vanuatu,,,0,0,,0,0,4,,,,,,,,,,,,
Madagascar,Montenegro,,,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,
Madagascar,Central African Republic,,,0,0,0,0,0,0,0,0,0,0,0,0,0,38,74,0,1,
Madagascar,Nigeria,,,0,0,168,0,9,0,7736,204,0,10,20,0,0,0,26,0,0,
Madagascar,United Arab Emirates,,15226,,21577,65275,,,,55896,33826,74354,36795,42779,137973,150671,145755,108459,91130,118125,
Madagascar,Lesotho,,0,82,0,2866,3039,121,0,0,0,4,0,41,431,793,322,95,84,109,
Madagascar,Papua New Guinea,0,,,,,,,0,72,,,,,,,97,47,0,,
Madagascar,Andorra,0,,0,0,0,5,0,0,0,0,0,0,0,0,36,0,176,0,0,
Madagascar,Kuwait,5,,2,158,349,69,122,186,87,409,120,4338,51,118,57,48,83,112,245,
Madagascar,Suriname,0,21,,0,,0,0,0,0,0,0,0,0,7,0,0,0,0,0,
Madagascar,Mauritania,0,0,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
Madagascar,Togo,0,0,,2,0,0,0,40,0,26,7,40,16,36,76,142,13,87,128,
Madagascar,Comoros,4,37,,0,131,342,1545,2581,487,1350,6099,645,1056,2995,864,4878,1577,1598,,
Madagascar,Seychelles,0,41,54,,933,2847,16,60,455,1163,379,94,4005,2227,1236,3575,138,567,678,
Madagascar,Angola,0,2,0,0,,0,0,0,0,0,0,0,33,0,3,1,1,18,0,
Madagascar,Saint Lucia,0,0,0,0,0,,,,0,0,0,0,0,0,0,8,0,,,
Madagascar,Mali,92,0,0,0,1,,0,0,107,,,,2,0,52,31,0,96,21,
Madagascar,Bangladesh,369,187,578,477,427,701,485,536,610,333,,444,,,,,,,,
Madagascar,Qatar,709,1947,523,23,0,0,517,10440,24502,47239,57891,59587,,47154,15346,113790,10542,43535,141033,
Madagascar,Sri Lanka,2835,2788,1058,391,499,905,368,221,174,430,892,1657,683,392,,282,273,735,226,
Madagascar,Albania,0,0,125,20,0,0,5,0,0,0,0,0,0,0,0,2,0,3,2,
Madagascar,Bahrain,0,0,0,0,29,80,1366,1,0,0,169932,20953,26,32,71,72,42,25,152,
Madagascar,Barbados,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Madagascar,Botswana,111,89,31,0,69,22,2,0,10,0,52,6,2,10,38,1,6,103,192,
Madagascar,Brunei Darussalam,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Madagascar,Burundi,0,0,0,0,0,9,10,0,0,0,96,5,4,1,3,0,0,58,350,
Madagascar,Cambodia,426,2,7,2,0,4,1,42,57,0,62,81,2,737,20,127,1671,415,149,
Madagascar,Benin,128,392,2,12,78,9,0,229,5,5,87,13,28,429,14,1,4,4,12,
Madagascar,Dominican Republic,0,0,0,0,4,0,0,0,0,3,0,2,17,14,13,6,1,0,13,
Madagascar,Ethiopia,555,33,0,0,6,0,3,0,0,0,0,185,313,142,865,296,152,2004,5206,
Madagascar,Fiji,10,0,0,0,0,0,0,7,0,0,1,0,0,0,72,0,0,0,56,
Madagascar,French Polynesia,21,21,76,42,245,17,3,38,0,193,0,0,190,172,189,167,120,96,41,
Madagascar,Guyana,0,0,0,0,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0,
