reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Malta,Italy,889148,836257,1109898,1203471,1807316,1469899,1492150,2025269,2215081,2067125,2062193,1768254,1781961,1946149,2120317,1914299,1632085,2171684,2205957,2183876
Malta,China,273180,301105,475057,327777,1066464,1262785,1844910,2329586,2245419,2514566,3192859,2376905,1585299,2108031,1434090,1159832,1367804,2201437,1973906,1827969
Malta,Singapore,315976,294876,542899,510075,705991,604513,887460,1045591,1146807,1159263,1499087,866416,835388,1207804,1692307,1224633,1366843,1405447,1939523,1575645
Malta,Türkiye,98543,279338,226760,620669,956354,664109,410433,899715,919083,959443,1036147,494002,238431,539957,479922,955346,432449,741906,854788,1185117
Malta,Germany,484546,392765,428235,469078,519016,412450,552804,449781,415359,476287,767535,737562,660014,720068,801899,990872,560843,752764,1676384,1131074
Malta,Netherlands,124208,141196,189537,225522,261476,344220,327411,352834,340499,310027,345003,345985,332482,327017,501548,422600,426041,554321,521460,983335
Malta,"Korea, Republic of",569649,418436,514911,573730,1748001,1609776,1655154,2457777,2679182,799106,1014352,2194160,652762,659710,961113,711520,2017942,3027587,1762287,899376
Malta,France,820991,597918,720175,988089,750967,510523,603086,549557,518366,805717,410314,399379,436204,661408,442740,825947,414022,506559,694117,839342
Malta,Spain,144122,108927,114250,191758,175229,224830,208515,303823,313075,168405,318497,368048,362844,458494,481187,397708,447240,447129,540024,703745
Malta,United Kingdom,465493,433388,593244,716827,903668,609767,627541,731376,593155,679471,671361,575080,530008,656861,852406,1754288,629321,481583,456373,473604
Malta,Greece,34056,19658,30535,41141,331661,223628,223647,176632,123862,115199,168303,252824,237315,268029,422324,368627,271789,380858,750313,473166
Malta,United States of America,181301,193709,162585,207214,253438,192855,457388,752427,390983,563594,917587,490666,292460,293018,201048,143319,138102,130092,267355,423523
Malta,Croatia,62580,104623,109904,264396,211891,218190,201028,254866,157025,137174,106346,66051,30329,80418,113438,194203,43275,50597,48939,321575
Malta,Belgium,92323,138277,95213,120461,140010,100530,135599,157954,140048,185950,157777,146028,138268,220027,187076,149161,152799,245766,203230,217349
Malta,Switzerland,69246,58843,72133,62948,122933,180273,65922,67871,55855,56343,56607,55277,50915,154055,170824,146759,124613,158093,166210,203901
Malta,Japan,113305,83107,163927,189988,214135,203325,168960,437932,528075,173618,59490,362751,487632,414609,676164,129696,116408,198891,231498,173009
Malta,Brazil,48255,25702,14459,27409,16163,15457,30145,18611,13759,20867,62072,15426,14018,13685,68879,138608,108786,135798,247390,119150
Malta,"Taipei, Chinese",25498,39442,78803,108173,42655,38308,41735,46493,43986,35661,28777,31752,27129,31914,20378,25745,22905,49673,79167,117372
Malta,Poland,47442,8501,14662,22770,37379,22723,29108,86448,46247,71052,89239,57581,43751,46572,73936,48908,64122,107840,89373,116923
Malta,Canada,10935,7824,7336,10685,16500,40385,105890,54622,59923,109005,755536,759425,544885,152193,86404,75162,204157,526660,825680,107970
Malta,Malaysia,22538,26674,30393,34618,45805,26280,29015,28098,32449,40503,54309,49867,24203,41613,51607,36563,23089,24446,48465,71111
Malta,Ukraine,18555,15123,23644,32375,53107,31409,49599,120274,9559,6263,1623,12237,7746,66195,65683,41427,8852,30210,9850,70116
Malta,Denmark,38204,30247,35436,68491,187274,116631,51121,46728,42700,102925,36234,58358,60533,58753,37969,88310,39465,55451,43269,69158
Malta,Portugal,13669,11697,10013,14753,42850,16089,26289,34055,18341,24570,84041,31241,25911,24589,34262,80375,30430,43342,32968,59523
Malta,Ireland,13463,15238,18416,22804,31883,28408,40709,33769,30277,31261,31700,44545,48139,35809,146527,45325,46997,804050,71305,59422
Malta,Austria,26189,39425,271024,61518,62698,44732,43547,43797,43608,60293,53295,42995,41350,50742,54881,80972,40725,49968,66814,56972
Malta,Sweden,27755,19634,23900,35918,39160,27841,44093,38512,74151,170486,139869,100739,69053,30160,49560,59574,50279,67146,82766,49501
Malta,Romania,82937,67787,98463,75458,59658,32859,21013,71735,36765,34742,33177,36554,18713,18887,26779,15643,13626,14122,20127,43293
Malta,Czech Republic,12421,6652,13551,23195,17749,17356,23190,49298,44146,38165,40698,36913,41753,44674,34832,30730,31860,32895,34256,38902
Malta,Hungary,3284,7326,6129,12355,8629,9220,19287,14669,9462,11243,23397,19801,14093,18178,40703,16919,18963,19168,852208,31059
Malta,Thailand,12730,10344,11958,16047,18207,13074,20360,24602,25546,19346,19343,19076,22579,24461,28258,43856,21815,21294,18816,24964
Malta,"Hong Kong, China",21212,22269,24415,27593,26277,17652,18383,20662,24662,19440,16912,25947,26493,16469,18365,15439,12088,16624,22257,21943
Malta,Slovenia,1323,1240,3635,6393,6297,2750,4434,4023,8933,5137,6288,8525,10415,21706,20441,21207,18028,14535,16250,21758
Malta,Norway,15348,72369,150698,58957,31816,39190,17473,6347,42025,160434,71175,10163,11917,39813,62227,11509,29823,16836,8146,20912
Malta,Bulgaria,22053,65995,103964,49633,14901,8925,8412,43488,14282,30184,50332,57493,41419,21198,24683,24922,27351,34130,17876,20813
Malta,South Africa,5053,1617,7511,4890,3887,12988,14794,4216,2632,33075,39007,29307,12418,18398,15186,4049,4373,3091,40073,17139
Malta,Slovakia,2790,1646,1205,3253,10176,11408,9379,16510,25845,22833,17944,11642,10678,17104,12623,12381,21491,16379,19764,17007
Malta,Cyprus,7776,3398,4521,4854,5794,5000,5358,7168,6162,7917,58097,139720,47589,33849,17301,49720,27249,39108,26474,13342
Malta,Finland,3866,8108,17975,7949,8019,35156,29218,27451,4436,5543,41035,24665,50563,90458,14575,19195,11482,33992,11606,12675
Malta,Latvia,844,24530,10679,7763,2496,1644,2295,11004,7563,6903,12719,6585,9947,12966,12192,12391,9278,13553,15563,11759
Malta,Ecuador,42,43,0,0,99,119,175,317,699,1230,1755,1615,2335,2388,3432,5132,5266,9908,11997,8582
Malta,Lithuania,7600,1851,2913,8412,11411,874,2817,3528,984,2358,4044,7741,5857,5635,5360,7731,7182,6413,6108,7765
Malta,Chile,1174,1258,1489,1516,1909,6855,1941,2836,2129,2546,2037,1855,3207,4359,2610,5425,3913,6536,3489,7683
