reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Mauritania,Japan,43453,42254,79253
Mauritania,France,63751,83787,95005
Mauritania,Spain,66785,72264,76461
Mauritania,Germany,33195,64205,47730
Mauritania,Italy,81416,85523,65818
Mauritania,Belgium,45965,58822,52248
Mauritania,Côte d'Ivoire,20599,12358,26652
Mauritania,China,4369,9766,7707
Mauritania,Russian Federation,29449,22002,32679
Mauritania,Cameroon,15588,14324,18977
Mauritania,Ghana,1243,,7901
Mauritania,Algeria,3293,5487,6974
Mauritania,Angola,,,
Mauritania,United Kingdom,7010,2292,1695
Mauritania,Portugal,11234,13503,13851
Mauritania,Norway,4136,4042,4337
Mauritania,United States of America,294,968,938
Mauritania,Egypt,2413,4028,3698
Mauritania,Benin,2722,2830,4818
Mauritania,Türkiye,24,771,1895
Mauritania,Greece,3413,3788,8419
Mauritania,Togo,7696,4521,4168
Mauritania,Netherlands,367,230,2057
Mauritania,Malaysia,217,517,2056
Mauritania,Thailand,9244,3261,2274
Mauritania,Poland,0,97,0
Mauritania,Morocco,16,569,402
Mauritania,Finland,7441,2538,24
Mauritania,"Hong Kong, China",917,1017,1279
Mauritania,Belarus,2616,2823,2185
Mauritania,Ukraine,2112,2434,1359
Mauritania,Lebanon,1200,1374,1057
Mauritania,Niger,79,36,19
Mauritania,India,14,25,15
Mauritania,Mexico,130,186,61
Mauritania,Tunisia,2389,499,1439
Mauritania,Senegal,44,14,35
Mauritania,Jordan,0,64,105
Mauritania,"Korea, Republic of",273,640,617
Mauritania,Canada,293,366,486
Mauritania,Uganda,0,2,0
Mauritania,"Taipei, Chinese",22,16,52
Mauritania,Philippines,0,5239,1547
Mauritania,Mali,29,231,239
Mauritania,Australia,6,12,40
Mauritania,Switzerland,98,44,68
Mauritania,Bangladesh,7,53,0
Mauritania,Croatia,849,1542,198
Mauritania,Romania,2,4,2
Mauritania,Gabon,0,0,3
Mauritania,Sweden,0,0,8
Mauritania,South Africa,80,79,160
Mauritania,Zimbabwe,0,0,3
Mauritania,Kuwait,40,82,63
Mauritania,Rwanda,0,1669,0
Mauritania,Chile,0,0,26
Mauritania,Slovenia,22,34,5
Mauritania,Austria,41,27,19
Mauritania,French Polynesia,35,37,18
Mauritania,Argentina,58,7,6
Mauritania,Israel,68,50,38
Mauritania,Yemen,,,
Mauritania,Denmark,0,41,3
Mauritania,Mozambique,0,0,7
Mauritania,Andorra,8,23,23
Mauritania,Gambia,26,8,5
Mauritania,Guinea,2,13,
Mauritania,Colombia,6,4,1
Mauritania,Burkina Faso,214,136,155
Mauritania,Sri Lanka,0,0,16
Mauritania,Cyprus,229,265,185
Mauritania,Czech Republic,25,4,12
Mauritania,Ethiopia,1,2,5
Mauritania,Iceland,12,16,28
Mauritania,Serbia and Montenegro,51,0,
Mauritania,Latvia,1204,661,349
Mauritania,Peru,11,52,29
Mauritania,Brazil,11,4,34
Mauritania,Honduras,23,148,28
Mauritania,Lithuania,6318,1777,1656
Mauritania,Bosnia and Herzegovina,,,6
Mauritania,Bulgaria,223,228,96
Mauritania,Kazakhstan,0,1,0
Mauritania,New Caledonia,11,3,9
Mauritania,Faroe Islands,1,0,0
Mauritania,Costa Rica,0,0,0
Mauritania,Estonia,115,79,8
Mauritania,Luxembourg,0,1,0
Mauritania,"Tanzania, United Republic of",66,1,237
Mauritania,Oman,4,41,334
Mauritania,Ecuador,0,0,0
Mauritania,Guinea-Bissau,,,9
Mauritania,Burundi,0,0,0
Mauritania,Pakistan,,,5515
Mauritania,Bahrain,26,0,0
Mauritania,Comoros,0,0,0
Mauritania,Ireland,5510,10951,13
Mauritania,Malta,27,14,20
Mauritania,Mauritius,1,1027,0
Mauritania,Nicaragua,0,0,9
Mauritania,Seychelles,0,0,0
Mauritania,Slovakia,1,0,3
Mauritania,Uruguay,0,0,0
Mauritania,Barbados,1,0,0
Mauritania,Cambodia,0,1,1
Mauritania,Mayotte,3,2,0
Mauritania,Cuba,72,18,0
Mauritania,Georgia,35,168,0
Mauritania,Hungary,37,1,11
Mauritania,Indonesia,0,0,78
Mauritania,Kenya,9,34,2342
Mauritania,Madagascar,0,0,8
Mauritania,"Moldova, Republic of",0,0,7
Mauritania,Namibia,1,0,0
Mauritania,Paraguay,0,0,0
Mauritania,Qatar,3,0,8
Mauritania,Saint Lucia,2,0,0
Mauritania,Saint Vincent and the Grenadines,0,1,1
Mauritania,Saudi Arabia,775,0,194
Mauritania,Singapore,320,38,0
Mauritania,Viet Nam,130,15,0
Mauritania,Sudan (before 2012),21,39,0
Mauritania,Syrian Arab Republic,0,0,1421
Mauritania,Zambia,0,7,0
Mauritania,Nepal,,,21
Mauritania,Sierra Leone,,100,
Mauritania,Central African Republic,10,11,0
Mauritania,Nigeria,54229,22239,12425
