reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Mauritius,China,151190,177342,197754,286147,320088,292129,393287,496927,620171,648701,745182,842064,770829,762200,807777,806389,699954,877784,973991,985201
Mauritius,South Africa,269779,337188,285889,269110,402111,299816,342980,321581,318329,306237,329750,295340,327217,412631,462115,431378,281155,352368,605533,642353
Mauritius,France,308073,311882,536818,517109,502798,486162,420424,468399,443046,444673,442283,381679,386715,631903,478715,621289,374399,386483,448022,484834
Mauritius,Germany,122002,154938,138412,109379,115654,108808,123640,140125,125015,124280,121713,97322,133404,137825,154745,161965,124587,120768,143607,194052
Mauritius,Japan,70326,67122,64931,84023,104329,70645,98400,98493,107188,110397,110737,102767,119049,123203,139354,133776,94362,105395,121639,183030
Mauritius,Belgium,50994,56048,61602,54140,58830,56756,76976,88627,88011,109709,140290,128583,103465,110041,135995,139817,90159,128063,163611,148277
Mauritius,Spain,35426,41143,42956,64069,64416,54933,68072,100745,136443,168595,149129,100737,93122,95246,100641,159920,114258,83722,100890,128788
Mauritius,Italy,81229,86722,79395,97759,98660,68688,95246,115965,91299,102055,95086,85888,106837,90259,101019,108633,83061,99408,117011,109626
Mauritius,Malaysia,55154,60359,79130,84541,138923,133600,116129,101153,118988,95109,95627,80211,85620,84092,87890,88417,69299,82411,111182,102554
Mauritius,United Kingdom,80223,87298,83437,104758,96782,83252,90961,115094,110892,98691,97755,87071,91949,105136,104204,100234,63003,67549,84585,95838
Mauritius,United States of America,28437,30860,35608,49794,51293,70031,40028,46370,95987,42055,35219,58435,86957,61489,123359,103482,49617,78377,101470,91070
Mauritius,Netherlands,18775,21499,22029,67060,72435,37117,60111,38798,37173,46316,42372,45089,51569,49123,59360,58377,53349,59123,61234,89840
