reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Mexico ,United States of America,101295130,97470195,97411740
Mexico ,Germany,4742523,4936565,5495351
Mexico ,Japan,4092755,3777381,3641883
Mexico ,China,1790217,2863655,3267030
Mexico ,Brazil,1866454,2340990,2740366
Mexico ,"Korea, Republic of",2148902,2230817,2455014
Mexico ,Spain,1775461,2211012,2513381
Mexico ,Canada,1779821,1542258,1580228
Mexico ,Italy,1754779,1809779,2032223
Mexico ,France,1240194,1389109,1567559
Mexico ,Chile,916979,913814,937718
Mexico ,United Kingdom,1007293,1063195,1133285
Mexico ,Argentina,484272,669804,796212
Mexico ,"Taipei, Chinese",1020092,942081,885337
Mexico ,"Hong Kong, China",1156184,1652588,920826
Mexico ,Switzerland,658216,637550,681457
Mexico ,Singapore,736678,744261,718592
Mexico ,Belgium,641176,793821,712484
Mexico ,Sweden,558777,366398,719340
Mexico ,Netherlands,430765,554861,557876
Mexico ,Malaysia,647204,566689,523992
Mexico ,Ireland,494770,431184,586385
Mexico ,Colombia,261342,306584,358163
Mexico ,Thailand,426810,500186,413521
Mexico ,"Venezuela, Bolivarian Republic of",360861,359248,376400
Mexico ,India,230119,269037,236005
Mexico ,Israel,155688,191655,228780
Mexico ,Australia,209254,238370,294814
Mexico ,Indonesia,229928,264222,238106
Mexico ,New Zealand,225218,216076,239423
Mexico ,Austria,148820,144748,191759
Mexico ,Peru,127919,129739,108077
Mexico ,Ukraine,66576,48437,43908
Mexico ,Russian Federation,91486,100969,98469
Mexico ,Costa Rica,84522,113807,130272
Mexico ,Finland,216933,97130,155378
Mexico ,Türkiye,51773,76674,40422
Mexico ,Trinidad and Tobago,377422,54445,62968
Mexico ,Philippines,162658,301884,110777
Mexico ,Guatemala,79054,75950,106867
Mexico ,Denmark,104170,107922,133481
Mexico ,South Africa,93116,79210,82138
Mexico ,Viet Nam,44016,60485,78293
Mexico ,Hungary,81430,107810,67191
Mexico ,Uruguay,76195,71313,91327
Mexico ,Czech Republic,29099,29743,51591
