reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Mexico ,United States of America,110731247,120246882,134127535,136520317,151524799,128997663,163664583,198288689,215875039,226070227,240247090,236460137,230228834,243608975,265944976,256315828,211481021,276491020,324377863,323227913
Mexico ,China,4972754,5537687,8823554,11717655,13866488,12298991,17872653,23975906,27517963,28966300,32255386,33809860,32447349,35954952,44129450,46382165,44827693,67440744,77534944,81500781
Mexico ,Germany,6073132,7340038,8041438,9014293,10108965,7133905,9148733,10598271,11446026,11947601,12099606,12265035,12278572,14593792,16405187,15325969,12924307,15608783,17157841,20483323
Mexico ,Japan,5192391,6929765,9276276,10251352,9948899,6824116,9574495,10229237,10572160,9691273,10634809,10474193,10673927,11266764,11624117,10641550,8384759,10843937,11039556,13091995
Mexico ,"Korea, Republic of",2993949,3789088,6284571,7482005,9089949,7132760,8845549,9729059,9042360,9727492,10849738,10892170,9726323,10932369,11458759,10927053,8243955,11289115,12654212,12221993
Mexico ,Brazil,3940170,4076225,4455575,4259403,4278344,2674595,3714482,3956543,4002462,3604587,3668565,3588346,3813344,4514103,4505140,4856980,3829385,5560487,7055354,8574547
Mexico ,Italy,2229206,2617211,3221931,4691746,4157871,2451832,3317334,4454173,4808688,4359656,4084820,3859603,4086885,4796157,5074420,4327093,3559415,4559984,5849683,6651294
Mexico ,Canada,2382389,2781854,3858046,4625052,5517021,4220206,4865217,5529809,5391280,5277965,5111184,5204328,5765726,6057081,6344778,5518493,4593122,6544120,6987878,6488045
Mexico ,Spain,2813490,3293295,3790529,4364936,4140903,3448007,3719275,4082756,4205329,4283886,4606837,4727983,4532539,5188702,5393026,4809152,3676791,4871067,5466330,6062183
Mexico ,"Taipei, Chinese",980310,873670,1072826,1498450,1836765,1091137,1514852,1532348,1813179,1780947,1980110,2205734,2037710,2287063,2487052,2847245,2709156,3755606,4836216,4746443
Mexico ,"Hong Kong, China",938919,1172723,1455267,1595102,1736668,1244556,1761574,2086043,2187481,2945627,3721479,3788104,3592115,3716898,4391156,4661526,3540590,5372183,5442990,4588028
Mexico ,Malaysia,656884,672848,916394,1177452,1613644,1222263,1737156,1745866,1481238,1293136,1592864,1611705,1895428,2237024,2074558,2185003,2000249,2797722,3799906,4113259
Mexico ,France,1876730,2062230,2105633,2563151,3270701,1883691,2174421,2906317,2783259,3252411,3374292,3558015,4096421,3821645,3869722,4105930,2985104,3955814,3778976,3874211
Mexico ,Netherlands,718610,863133,1567252,2013951,3382563,2091918,2821353,3135454,3771144,3591133,3582515,2602564,2111233,2575505,3041675,2822521,2456108,3159761,4228331,3429567
Mexico ,Thailand,461234,466520,640346,853779,884667,728526,967033,1277097,1675892,1855635,1995745,2656666,2801379,2977330,2791485,2935684,2311166,2814675,3210506,3403118
Mexico ,Ireland,574946,578915,671279,795921,796165,647902,661495,762221,873917,918863,1615267,1547170,1503298,1612587,1672533,1719365,1827108,2385812,2331801,2855149
Mexico ,Singapore,838132,972003,1009551,1087653,1441597,1381515,1136304,2467283,1192917,947583,1001807,1429787,1179146,1280143,1153417,1416276,1282511,1627514,2191187,2828270
Mexico ,Belgium,802717,872867,890797,1020763,1250291,996789,1175171,1368179,1515128,1403782,1302995,1247543,1417502,1417400,1544280,1596024,1382152,1924401,2665351,2693953
Mexico ,Poland,89269,81222,120781,148728,254584,155879,267439,432368,566749,523725,497839,653591,531082,675529,754680,755510,805731,1844796,2158865,2481532
Mexico ,Switzerland,840632,796224,1019999,1139791,1203138,1088201,1289209,1482795,1457764,1644986,1902175,1504029,1366744,1389336,1483045,1444744,1359439,1533015,1702540,2234641
Mexico ,Austria,255033,269159,350092,525092,566854,386635,507643,566531,595133,655611,731147,755374,930027,1113496,1499792,1494940,1252259,1520187,1768615,2144974
Mexico ,United Kingdom,1147712,1159367,1365817,1533015,1578318,1128982,1430795,1526214,1697337,1735506,1727052,1952465,1710237,1991359,2015326,1804664,1324908,1411997,1640453,1979939
Mexico ,Colombia,525067,610934,581599,495448,616957,535706,638215,704938,835104,863806,914416,914260,936878,1536662,1638112,1408994,1161018,1205307,1752314,1878579
Mexico ,Chile,1312597,1587447,2333331,2377219,2227120,1613281,1883670,1978339,1385974,1366785,1345997,1314766,1219551,1194913,1351084,1393095,1134827,1480146,1876145,1774783
Mexico ,Türkiye,150608,163672,140778,196750,152166,93023,145500,144986,205999,276933,343141,344059,443852,441433,600402,668356,538630,839883,1080948,1243208
Mexico ,Czech Republic,94310,128807,172341,192802,226695,208845,287425,343966,456748,479755,639064,660371,688824,829238,817102,824295,886132,775040,909173,1224403
Mexico ,Hungary,120269,169566,193819,224938,320737,228027,298483,371324,486050,545586,640274,587655,628562,952732,875929,867595,739897,865578,1126080,1155462
Mexico ,Sweden,779917,704958,696446,730711,920431,614719,793635,832870,862349,737094,640132,656250,665994,718122,687267,749775,592851,748655,915307,1078356
Mexico ,Peru,229057,332060,390443,269966,298745,242505,287313,452663,416643,511010,737228,544600,464190,417708,432412,465909,418045,555461,783276,868628
Mexico ,Argentina,1032298,1157631,1519175,1433739,1336504,935186,1230645,921285,889137,970251,907503,817968,779451,650149,737210,669689,437951,695255,1098084,839076
Mexico ,Guatemala,133352,215842,174086,463725,509493,424510,447344,510788,549816,469593,432443,429841,458537,510994,508164,552986,461263,592590,692768,673449
Mexico ,Australia,313892,637343,637841,558408,565336,654621,669227,1162815,877613,352982,442648,409011,354035,129136,141936,159228,110167,225624,364730,660798
Mexico ,Denmark,131550,142313,144703,170289,275307,198514,349127,289450,308931,305587,405936,443689,433857,350478,378651,357659,299912,401214,452271,523843
Mexico ,Finland,159789,164079,222461,272650,265193,156958,244884,237289,298726,453405,501099,346934,278701,345619,498444,426630,290827,385187,655466,465740
Mexico ,South Africa,128366,146734,218581,182916,183916,161560,286234,651950,576173,229698,162380,113004,138322,115341,288280,223055,217927,228444,363824,416217
Mexico ,Portugal,88280,106432,174672,163274,326146,284271,538284,642447,252478,260800,265633,220194,251241,320273,407086,360198,286628,381903,392910,401839
Mexico ,Slovakia,40022,36651,61005,83220,134735,49561,77661,88440,103913,115090,100710,285874,149447,160978,322694,294342,197742,285052,227224,335591
Mexico ,New Zealand,261209,308416,274459,441932,307673,235520,262149,414840,227509,244499,235195,256304,325741,255119,231921,230038,207790,294566,315588,323860
Mexico ,Costa Rica,178426,190116,159645,231922,264634,212830,254431,307056,314873,255321,261878,239525,257204,274361,284998,225731,254229,355288,348301,301387
Mexico ,Romania,11437,18454,60925,30301,58977,19195,28139,40531,88563,212442,222433,186450,173543,189802,205944,301235,207549,240663,260686,283938
Mexico ,El Salvador,35803,41672,44376,47872,51899,59207,76234,86148,83365,81896,64837,52064,48272,80414,65288,77196,78987,108609,188871,220222
Mexico ,Norway,92307,140798,66992,87074,151425,101752,111664,95261,129384,137644,121504,112321,128124,120045,156429,156898,136484,199276,320401,218281
Mexico ,Ecuador,40559,57609,58384,81078,100313,70693,87371,98333,101144,124519,147179,156998,168079,129395,148442,132425,90857,168040,197799,203535
Mexico ,Luxembourg,35598,53766,56032,77855,71863,63007,74186,78125,64570,59479,66210,39976,40417,3857,86904,47422,42199,95739,175213,179287
Mexico ,Slovenia,23648,27896,37424,44677,53076,41965,59804,73310,61723,55729,62476,60947,72903,98730,104840,85766,68454,102249,115457,139410
Mexico ,Greece,24884,20450,32970,60290,124307,49979,139222,116752,117841,158160,173351,188578,188423,186395,189547,190554,154874,163176,148551,131632
Mexico ,Bulgaria,14572,25867,29006,16837,13047,13984,21042,35792,30814,40755,35030,32054,31386,54622,72345,86781,63349,120995,87573,108824
Mexico ,Croatia,3560,2014,3661,1721,2964,2040,2657,5753,8593,10140,22815,13683,17094,14936,14365,13570,8164,10215,11904,79810
Mexico ,Serbia,,,310,1738,584,1736,1227,3684,2068,3368,4235,8278,7670,13199,18222,32136,35275,52949,44825,65532
Mexico ,Lithuania,4240,5211,18517,7360,72675,25179,15122,21455,13844,10891,15628,21327,16564,20053,29884,24795,23122,89807,53576,62012
Mexico ,Estonia,3615,3701,1575,9283,36785,5506,6652,9084,142213,105798,124218,54411,205362,108611,62613,44454,29397,35861,37889,61621
Mexico ,Ukraine,187989,116900,204174,166827,140883,141786,200072,351980,200160,128522,152457,118210,136496,129233,155568,128973,69495,218302,39802,50573
