reporter,Importers,Exported value in 2001,Exported value in 2002,Exported value in 2003
Mongolia,China,239497,223417,283950
Mongolia,United States of America,143790,171793,194558
Mongolia,Switzerland,63464,44774,87966
Mongolia,Canada,3017,6361,11798
Mongolia,Russian Federation,36520,48790,35643
Mongolia,United Kingdom,14476,12331,4549
Mongolia,Germany,1986,3818,6829
Mongolia,Italy,16578,9422,12036
Mongolia,Mexico,5722,7174,8405
Mongolia,Japan,10777,7411,6857
Mongolia,"Hong Kong, China",197,733,1517
Mongolia,Ukraine,4867,5462,8018
Mongolia,"Korea, Republic of",2348,5716,3923
Mongolia,France,1974,1410,1266
Mongolia,Peru,1,0,3
Mongolia,Belgium,1646,1013,914
Mongolia,Papua New Guinea,29,4,14
Mongolia,Kazakhstan,241,808,32
Mongolia,Türkiye,87,303,1755
Mongolia,Austria,253,333,514
Mongolia,Argentina,0,0,295
Mongolia,Netherlands,3573,1501,144
Mongolia,India,5,650,621
Mongolia,Hungary,6,0,19
Mongolia,Pakistan,,,64
Mongolia,Slovenia,1,25,0
Mongolia,Lebanon,986,248,245
Mongolia,Australia,1,109,284
Mongolia,New Caledonia,48,204,192
Mongolia,Greece,0,1,309
Mongolia,"Taipei, Chinese",29,94,65
Mongolia,Indonesia,338,322,68
Mongolia,Bangladesh,0,9,14
Mongolia,Slovakia,4,17,38
Mongolia,Malaysia,55,73,142
Mongolia,Algeria,31,25,8
Mongolia,Singapore,36,42,260
Mongolia,Norway,73,55,4
Mongolia,Sweden,23,14,249
Mongolia,Luxembourg,0,0,18
Mongolia,Finland,7,22,3
Mongolia,Spain,205,855,175
Mongolia,Morocco,0,0,0
Mongolia,Yemen,,,
Mongolia,Czech Republic,118,200,95
Mongolia,New Zealand,0,6,126
Mongolia,Poland,0,59,0
Mongolia,Romania,32,70,0
Mongolia,Seychelles,0,0,0
Mongolia,South Africa,25,231,101
Mongolia,Cambodia,21,1,6
Mongolia,Sri Lanka,6,13,37
Mongolia,Kyrgyzstan,0,28,15
Mongolia,Costa Rica,0,0,18
Mongolia,Kuwait,0,27,0
Mongolia,Uruguay,1,0,3
Mongolia,Brazil,0,1,26
Mongolia,Honduras,0,13,0
Mongolia,Thailand,196,120,22
Mongolia,Serbia and Montenegro,0,1,
Mongolia,Denmark,2,13,9
Mongolia,Estonia,0,1,0
Mongolia,Benin,0,0,0
Mongolia,Bulgaria,4,38,4
Mongolia,Faroe Islands,2,2,7
Mongolia,Croatia,1,196,3
Mongolia,Ireland,540,209,6
Mongolia,"Macao, China",0,0,2
Mongolia,Egypt,339,105,79
Mongolia,Portugal,0,0,0
Mongolia,Bosnia and Herzegovina,,,0
Mongolia,Colombia,31,98,25
Mongolia,French Polynesia,7,2,0
Mongolia,Guatemala,0,0,1
Mongolia,Fiji,,0,1
Mongolia,Albania,0,0,103
Mongolia,Bahrain,0,0,3
Mongolia,Botswana,0,1,11
Mongolia,Belize,61,0,0
Mongolia,Belarus,0,0,5
Mongolia,Chile,0,952,0
Mongolia,Cuba,27,0,0
Mongolia,Cyprus,10,4,19
Mongolia,Dominican Republic,1,0,1
Mongolia,Ethiopia,0,72,0
Mongolia,Iceland,0,0,4
Mongolia,Israel,0,0,4
Mongolia,Jordan,0,0,138
Mongolia,Kenya,3,1,3
Mongolia,Lithuania,0,3,0
Mongolia,Malta,0,3,0
Mongolia,Mozambique,0,0,11
Mongolia,Niger,2,0,0
Mongolia,Paraguay,0,0,0
Mongolia,Philippines,0,0,5
Mongolia,Viet Nam,0,1123,0
Mongolia,Zimbabwe,2,0,0
Mongolia,Trinidad and Tobago,0,1,0
Mongolia,Tunisia,0,2,0
Mongolia,"Tanzania, United Republic of",0,6,0
Mongolia,"Venezuela, Bolivarian Republic of",12,0,0
Mongolia,Samoa,0,1,0
Mongolia,Sierra Leone,,516,
Mongolia,Central African Republic,0,0,3
Mongolia,Nigeria,1,0,0
