reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Mongolia,Russian Federation,215703,231592,284091
Mongolia,China,122845,140026,155888
Mongolia,"Korea, Republic of",76567,87228,99525
Mongolia,Japan,37435,30900,45133
Mongolia,Germany,29641,34067,41512
Mongolia,Kazakhstan,9768,8329,12000
Mongolia,United States of America,12060,66273,20685
Mongolia,"Hong Kong, China",14133,16229,20844
Mongolia,France,7244,5702,8161
Mongolia,Singapore,11872,12244,13102
Mongolia,Ukraine,2246,5698,9513
Mongolia,Australia,1080,10212,16276
Mongolia,Italy,5059,3289,4143
Mongolia,Poland,4399,4868,5355
Mongolia,Austria,728,2344,3720
Mongolia,Canada,336,1858,1624
Mongolia,Czech Republic,6773,4080,5336
Mongolia,Hungary,1589,1804,2553
Mongolia,Belarus,3402,5112,3738
Mongolia,Malaysia,2258,1684,3243
Mongolia,Spain,203,238,8155
Mongolia,Belgium,3183,3479,6730
Mongolia,United Kingdom,3464,3655,4316
Mongolia,Sweden,2106,1041,3118
Mongolia,Indonesia,2609,3071,3924
Mongolia,Türkiye,869,1844,1334
Mongolia,Netherlands,2573,1956,6690
Mongolia,Finland,2585,1551,2153
Mongolia,Viet Nam,1498,1220,1052
Mongolia,Switzerland,4101,2809,4682
Mongolia,Bulgaria,1458,822,1311
Mongolia,India,1095,743,655
Mongolia,Brazil,14,178,104
Mongolia,Kyrgyzstan,1170,1104,958
Mongolia,Denmark,5727,1831,2411
Mongolia,Thailand,336,359,1221
Mongolia,"Taipei, Chinese",4192,4936,1446
Mongolia,Norway,465,160,283
Mongolia,Ireland,3,73,12
Mongolia,Estonia,0,35,320
Mongolia,Israel,387,101,321
Mongolia,Georgia,296,438,501
Mongolia,New Zealand,76,108,277
Mongolia,Slovakia,190,247,150
Mongolia,Greece,245,346,591
Mongolia,Lithuania,50,92,251
Mongolia,Sri Lanka,47,63,149
Mongolia,Slovenia,0,81,245
Mongolia,Argentina,0,81,219
Mongolia,South Africa,3,131,27
Mongolia,Philippines,18,73,201
Mongolia,Pakistan,,,72
Mongolia,Latvia,171,649,686
Mongolia,Serbia and Montenegro,97,28,
Mongolia,Romania,10,49,239
Mongolia,Portugal,70,24,3
Mongolia,Paraguay,0,0,3
Mongolia,Luxembourg,0,43,654
Mongolia,Kuwait,0,20,0
Mongolia,Cyprus,29,35,17
Mongolia,Chile,0,300,0
Mongolia,Iceland,0,2,0
Mongolia,Colombia,0,39,6
Mongolia,"Iran, Islamic Republic of",0,0,0
Mongolia,Albania,0,0,0
Mongolia,Cambodia,0,0,0
Mongolia,Botswana,0,0,10
Mongolia,Dominican Republic,0,1,2
Mongolia,"Moldova, Republic of",0,20,0
Mongolia,Azerbaijan,316,0,0
Mongolia,Bahrain,0,23,0
Mongolia,Barbados,5,0,0
Mongolia,Croatia,8,1,0
Mongolia,Cuba,5,5,8
Mongolia,Guyana,0,11,0
Mongolia,Honduras,0,0,20
Mongolia,Jordan,2,0,0
Mongolia,Kenya,0,0,10
Mongolia,Lebanon,0,0,13
Mongolia,Madagascar,0,143,0
Mongolia,Mexico,0,0,116
Mongolia,Mozambique,0,0,1
Mongolia,Zimbabwe,0,4,0
Mongolia,Syrian Arab Republic,0,0,2
Mongolia,Uganda,0,0,48
Mongolia,Egypt,2,0,0
