reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Mongolia,China,233354,318885,433495,683623,907828,1057931,1449762,2731758,2653509,2449592,2216382,1571983,992268,1261249,1646742,1826590,1618062,2233057,2887363,3476165
Mongolia,Japan,74030,73390,106150,154068,229918,106529,159568,322619,344834,300312,326440,250820,277887,357119,517761,583197,340778,499870,490777,766579
Mongolia,"Korea, Republic of",75320,77621,110306,169758,238231,166887,191631,349874,433457,399581,346863,246089,208717,228376,307744,291106,271143,384986,426344,476439
Mongolia,Germany,48473,51570,57149,75651,102358,55434,118905,202931,195979,233442,158426,102025,109188,116571,157851,166386,179404,175219,170702,190168
Mongolia,Singapore,17008,18520,24641,38612,71315,50810,74517,82438,69053,80882,61881,44908,53388,79673,107410,94338,86029,119761,101631,173860
Mongolia,United States of America,28128,21879,23000,26091,57248,40483,115518,315177,664955,279573,167466,69177,55262,82192,120888,192845,117731,148461,148873,168149
Mongolia,Switzerland,1612,816,753,1736,1986,4463,2700,9932,11322,13238,10517,6615,8945,6460,10046,11229,10537,16537,21765,155210
Mongolia,Türkiye,2527,3772,6178,9514,12948,5629,11151,43423,35883,53125,37046,23124,24218,24426,33850,41645,31827,69687,95848,105660
Mongolia,Poland,7857,9481,12593,23667,30950,17081,29824,49704,47260,59018,47508,40362,41981,48997,58892,54459,52851,81399,87100,92245
Mongolia,Italy,10354,6076,7865,22702,31339,13296,18876,34320,41211,49496,47643,28667,34071,46219,39816,54233,30843,44537,58264,84575
Mongolia,Netherlands,2020,3360,3514,5608,12449,6833,12260,21736,39533,38512,18360,12693,17583,22030,38572,45332,43766,64866,62526,67851
Mongolia,France,24933,15146,12314,16896,21962,34661,45611,66819,48746,42166,23857,16524,10307,24583,27883,23135,18804,37291,35140,66923
Mongolia,Slovenia,358,629,905,1260,1948,3486,3716,6101,10206,15130,10602,11989,11280,12807,21203,15656,15739,20948,23576,44399
Mongolia,Austria,6472,3216,4952,7548,15947,3705,4370,20260,16324,18884,12402,38003,12642,12135,24852,33242,27982,27188,40960,39614
Mongolia,"Hong Kong, China",27122,12800,10344,9334,13553,11191,18988,41420,37161,37419,28316,31691,27351,31862,40727,42765,30354,27688,38898,38871
Mongolia,Finland,1752,2169,3182,7518,3887,3030,14269,10600,15230,21340,5587,6093,11392,16570,5107,10128,11667,22580,20224,37286
Mongolia,Australia,12217,10526,13025,13598,15922,7706,22476,45484,35960,23573,9528,6509,11253,22473,28736,33290,25822,27296,26733,35314
Mongolia,Malaysia,4371,4472,6009,10606,12753,9758,14880,28567,29560,40679,30825,13469,15796,17101,25022,27179,24788,34414,43837,33743
Mongolia,Belgium,3449,6358,2606,7183,16719,9083,10797,36238,22471,26144,12818,10277,10493,10670,16934,11180,13467,30065,21784,30044
Mongolia,Sweden,3039,3453,5667,15339,13809,17513,7525,22223,25141,41346,13990,13500,18314,20712,36221,39534,38440,19566,32945,29918
Mongolia,United Kingdom,3151,8820,6602,7117,10558,6528,17153,31069,17569,32458,20960,13845,7603,34004,25940,23315,20378,37930,24757,25063
Mongolia,Hungary,5241,2605,2967,3491,4046,2412,4151,5699,10012,12053,11420,10251,8790,9261,11527,10322,12313,20364,21511,22754
Mongolia,Canada,6311,11856,7835,9506,9232,4302,26059,92221,71991,35011,7198,6859,7623,21082,21529,33829,13827,11519,11126,22684
Mongolia,Lithuania,431,431,389,4017,3070,1259,2126,17102,8150,17117,12862,8731,9423,13275,14283,19547,7778,13403,16523,21816
Mongolia,Thailand,1067,754,1956,3796,4826,3214,9599,12732,13228,15139,12697,12457,12495,10448,12818,15974,10419,15382,20635,20811
Mongolia,Czech Republic,5359,6451,5051,10383,12721,8751,7900,13067,21183,14903,10332,11424,12415,14520,13026,18948,14332,17994,17279,19004
Mongolia,South Africa,208,696,134,364,2072,5,1104,437,304,3549,3975,288,336,715,885,1239,1726,1885,1849,16271
Mongolia,Spain,3974,670,2284,8334,7823,1867,4636,6440,13064,17442,11684,4931,8756,8922,8927,8160,5418,8814,12156,12541
Mongolia,Latvia,151,289,254,947,954,215,327,1164,4646,1951,1052,830,1087,1284,1925,2451,2690,7570,7310,9871
Mongolia,Ukraine,14735,19518,25929,26080,36483,28567,33283,45272,45484,45849,38035,28198,24590,22251,29158,26113,23114,24288,9215,9297
Mongolia,New Zealand,751,1451,1047,1343,1106,2461,10462,20820,14316,15231,16649,7553,7358,6050,6056,10038,11556,12287,6380,7240
Mongolia,"Taipei, Chinese",1026,1559,1282,1572,3172,1674,2761,4636,5766,6529,7821,3485,3322,3848,9252,4950,4926,7882,7143,5653
Mongolia,Denmark,1115,505,1578,2981,1865,1580,4293,9116,4192,13998,4730,3876,3147,4808,4290,3172,3130,5035,7030,5491
Mongolia,Slovakia,659,596,847,869,1063,1133,1774,1824,2316,2529,4759,2605,1162,1401,1262,1850,2638,4561,7512,5416
Mongolia,Ireland,961,198,361,263,575,483,898,5969,3285,3435,3415,3893,8250,2090,4089,5687,3863,4659,3649,3731
Mongolia,Malta,0,0,0,0,0,29,33,0,1,2026,1,0,2,0,0,3901,3407,0,0,3547
Mongolia,Bulgaria,1570,1740,3679,1867,2380,1249,1483,1833,3859,3655,1730,1561,1885,1996,2067,2340,2301,3252,3042,3434
Mongolia,Serbia,,,97,207,274,118,281,401,296,826,605,284,366,585,201,860,423,1316,575,3188
Mongolia,Brazil,1288,1870,1744,2467,5401,2878,2386,5546,3835,814,1557,1195,1973,5516,4255,4212,2421,1135,1841,2867
Mongolia,Chile,20,0,95,506,483,129,929,12752,10032,1271,2804,458,212,387,1261,1230,961,642,3861,2433
Mongolia,Romania,84,77,68,436,1358,1876,2498,3915,5338,6322,2511,1323,1984,541,1083,901,678,1800,2011,2386
Mongolia,Argentina,236,766,691,902,2265,1041,1803,3240,2440,376,954,1210,720,1964,3129,2731,2717,4386,2956,2035
Mongolia,Estonia,900,2359,1231,9169,577,45,4182,2410,2993,969,818,4314,2324,2639,5087,815,2448,17383,2316,1395
Mongolia,Croatia,0,0,0,6,0,21,0,2,21,296,37,82,95,229,166,1661,816,466,484,1076
Mongolia,Cyprus,23,161,192,472,597,498,1109,1239,761,2139,803,606,406,397,432,569,267,316,648,997
Mongolia,Greece,529,726,702,999,2134,1752,756,262,277,269,381,321,522,710,950,1102,3038,1047,1208,997
Mongolia,Norway,1010,467,102,46,286,95,270,302,235,1879,39,424,184,850,369,475,622,150,364,397
Mongolia,Portugal,66,0,12,68,37,25,35,36,86,211,470,1540,210,285,4013,688,198,396,407,390
Mongolia,Costa Rica,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,28,48,133
Mongolia,Luxembourg,33,47,2,2,14,14,196,177,198,979,822,428,74,0,386,106,93,106,98,128
Mongolia,Bosnia and Herzegovina,0,0,0,84,103,140,115,20,177,89,52,53,24,0,121,3,10,2,23,70
Mongolia,Guatemala,0,0,0,0,0,0,0,0,0,0,0,10,12,0,0,10,0,0,0,34
Mongolia,El Salvador,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,9,9,5,22,6
Mongolia,Ecuador,0,0,0,0,0,0,0,0,0,1,27,102,48,159,167,38,1,0,0,1
Mongolia,"Bolivia, Plurinational State of",0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0
Mongolia,Colombia,13,2,40,0,77,38,0,0,0,0,1,0,0,0,29,15,515,2,42,0
Mongolia,Iceland,15,0,12,7,9,12,10,0,3,5,6,0,1,11,0,0,0,0,0,0
Mongolia,Madagascar,0,0,0,0,2,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0
Mongolia,Paraguay,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0
Mongolia,Peru,0,3,0,0,0,0,0,0,5,0,3,0,0,168,0,0,7,0,0,0
Mongolia,Uzbekistan,,,,,,,,,,,,,,320,1384,1416,1850,2430,4403,
Mongolia,Tajikistan,,,,,,,,,,,0,0,0,0,0,195,0,0,0,
Mongolia,Sudan,,,,,,,,,0,0,0,0,0,0,0,,,,,
Mongolia,Myanmar,,,,,,,0,0,0,0,0,0,383,54,0,374,10,152,358,
Mongolia,Lao People's Democratic Republic,,,,,,,0,0,0,13,37,66,0,3,0,138,58,99,,
Mongolia,Nepal,,,,,,16,19,35,48,60,47,25,27,8,18,54,2,1,14,
Mongolia,Afghanistan,,,,,0,0,0,0,0,10,0,0,0,0,0,0,,,,
Mongolia,Antigua and Barbuda,,18,,0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
Mongolia,United Arab Emirates,,534,,2582,8341,,,,41431,24298,11488,3560,3511,16911,23241,21584,14408,13076,18145,
Mongolia,Papua New Guinea,0,,,,,,,0,0,,,,,,,4,0,0,,
Mongolia,Andorra,0,,0,0,0,0,0,0,0,0,13,1,0,1,2,1,1,1,0,
Mongolia,Kuwait,31,,6,900,457,49,69,551,150,6,2,6,41,1,219,10,0,0,1,
Mongolia,Suriname,0,0,,0,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
Mongolia,Mauritania,0,0,,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,
Mongolia,Cuba,0,6,3,,,,,,,,,,34,39,193,72,0,24,34,
Mongolia,Seychelles,0,0,0,,13,0,15,92,0,0,0,0,0,0,0,0,0,0,0,
Mongolia,Bangladesh,0,26,123,283,228,1870,550,381,265,989,,489,,,,,,,,
Mongolia,Qatar,0,0,0,0,0,0,0,0,0,0,0,0,,54,49,28,0,0,0,
Mongolia,Sri Lanka,388,456,550,1309,1692,1381,1064,2109,1248,991,1293,988,1080,1346,,1113,2452,1337,1237,
Mongolia,Albania,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,56,0,
Mongolia,Azerbaijan,0,60,14,23,28,520,348,484,578,529,276,172,81,65,75,45,109,159,344,
Mongolia,Bahrain,0,0,53,34,0,71,205,268,0,0,0,0,0,0,0,2,19,1,2,
Mongolia,Armenia,0,0,0,20,16,63,19,11,100,0,79,94,0,71,146,1001,218,366,918,
Mongolia,Barbados,0,0,1,25,11,0,0,23,0,0,4,21,38,0,0,0,0,0,0,
Mongolia,Botswana,1,0,9,0,26,29,2,13,6,0,3,0,0,0,4,0,0,0,0,
Mongolia,Brunei Darussalam,0,0,2,1,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,
Mongolia,Cambodia,3,3,19,48,2,0,3,84,73,3,42,6,5,40,0,78,205,41,154,
Mongolia,Benin,0,0,0,0,0,0,0,0,0,0,0,0,310,0,4,0,0,0,0,
Mongolia,Dominican Republic,1,200,0,0,0,21,1,4061,0,0,0,0,6,6,0,0,0,6,8,
Mongolia,Ethiopia,0,11,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,36,0,
Mongolia,Fiji,0,0,0,0,1,0,0,0,15,14,0,0,0,0,0,3,0,4,0,
Mongolia,Georgia,760,391,453,443,242,278,170,847,3171,4603,2332,747,762,1069,1208,1295,1299,2441,2430,
Mongolia,Indonesia,2794,2349,2831,5728,2921,3368,7681,3818,5997,17815,6788,5096,5672,7843,8884,12285,23203,15410,12444,
Mongolia,"Iran, Islamic Republic of",10,0,0,14,22,4,157,158,88,0,0,80,100,828,254,297,413,566,351,
Mongolia,Israel,850,1434,1409,4748,2035,1683,2103,663,1914,1155,577,429,527,528,0,2,1172,750,497,
Mongolia,Côte d'Ivoire,0,0,0,251,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,
Mongolia,Kazakhstan,29316,47035,66381,34948,33298,31319,22671,35431,52772,62829,58303,53527,77054,72494,71620,58247,27463,54689,97089,
Mongolia,Jordan,0,0,0,0,0,2,0,6,4,0,67,49,60,124,47,107,101,131,265,
Mongolia,Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,58,44,5,71,0,0,
Mongolia,Kyrgyzstan,1211,1163,1196,1787,1451,156,1990,1456,1985,4365,4282,2786,2367,1741,2183,2322,425,1069,2398,
Mongolia,Lebanon,0,2,0,12,0,0,0,0,0,5,43,0,0,0,0,0,0,14,132,
Mongolia,"Macao, China",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mongolia,Malawi,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,
Mongolia,Mauritius,0,0,0,0,273,0,0,0,0,0,0,0,0,7,8,8,0,0,0,
Mongolia,Mexico,0,0,11,26,39,2010,3201,1802,4947,1985,0,2105,2747,937,1246,763,510,0,0,
Mongolia,"Moldova, Republic of",1,12,83,139,190,21,184,60,128,107,29,380,260,374,636,951,495,1223,1778,
Mongolia,Morocco,0,0,0,0,39,30,82,291,357,86,33,0,45,41,49,161,0,52,235,
Mongolia,Mozambique,0,0,0,0,0,3,6,109,4,91,788,0,0,0,0,7,0,0,0,
Mongolia,Oman,0,0,0,0,16,0,177,2401,0,1428,435,0,0,0,0,1062,0,0,0,
Mongolia,Namibia,0,0,0,0,0,65,112,0,0,0,0,0,0,61,10,0,2,0,1,
Mongolia,Nicaragua,0,0,0,0,5,0,0,0,3,0,0,0,7,0,0,0,0,0,0,
Mongolia,Pakistan,162,97,57,3,915,21,78,183,115,280,136,149,257,162,546,442,208,544,454,
Mongolia,Philippines,173,784,258,439,520,1274,475,795,811,1299,2236,1435,2817,1880,2572,2311,1946,2396,2408,
Mongolia,Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,8,0,
Mongolia,Saudi Arabia,0,0,0,0,147,106,428,414,89,101,408,2055,218,460,169,500,315,1176,1380,
Mongolia,Senegal,0,0,0,0,0,0,0,0,0,0,11,3,170,0,142,53,0,0,0,
Mongolia,India,1306,1121,2133,1939,15688,8783,19521,19898,41267,15851,7916,8223,9755,13799,28246,15277,15066,27355,27611,
Mongolia,Viet Nam,1716,2406,2991,5060,7463,9828,0,0,15634,18333,17501,13156,19073,14406,0,0,0,0,0,
Mongolia,Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mongolia,Trinidad and Tobago,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mongolia,Uganda,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mongolia,"Macedonia, North",0,0,0,7,24,0,0,0,0,0,226,106,10,0,32,32,0,203,564,
Mongolia,Egypt,0,19,0,17,0,8,54,290,25,1,690,0,73,214,1157,131,71,183,463,
Mongolia,"Tanzania, United Republic of",0,0,0,8,6,0,0,0,181,0,0,0,0,0,0,0,45,63,0,
Mongolia,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,
Mongolia,Uruguay,0,0,0,0,0,460,0,0,0,190,0,0,1,0,99,187,185,381,712,
Mongolia,Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mongolia,Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
Mongolia,Belarus,5107,7665,4712,3824,7487,10604,13162,77447,111364,107731,21664,23150,9827,13517,19116,30940,49176,26269,,
Mongolia,Cameroon,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Mongolia,Gabon,0,0,0,0,0,0,0,0,0,0,0,18,0,0,2,0,0,0,,
Mongolia,Honduras,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Mongolia,Russian Federation,363352,443252,489976,628787,1098488,654025,936566,1485555,1851413,1572137,1460431,1084193,895672,1326861,1606636,1734610,1384752,1817468,,
Mongolia,Eswatini,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,
Mongolia,Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,
Mongolia,Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Mongolia,Guinea,0,0,0,0,0,0,0,11,0,0,0,0,0,,,,,,,
Mongolia,New Caledonia,0,0,0,0,51,0,0,0,0,0,0,0,,,,,,,,
Mongolia,Syrian Arab Republic,0,0,0,0,0,0,2,,,,,,,,,,,,,
Mongolia,Serbia and Montenegro,147,,,,,,,,,,,,,,,,,,,
