reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Myanmar,Thailand,805651,906799,898977
Myanmar,Syrian Arab Republic,0,0,0
Myanmar,India,350415,352856,360233
Myanmar,United Kingdom,145873,145596,157327
Myanmar,China,134188,136889,169520
Myanmar,Japan,102101,109821,138960
Myanmar,Germany,110436,80891,104232
Myanmar,Malaysia,78197,77958,79882
Myanmar,France,91311,82177,73621
Myanmar,Singapore,113335,107047,83869
Myanmar,Italy,34033,37515,43529
Myanmar,Bangladesh,59399,59938,73397
Myanmar,Spain,28080,21919,27356
Myanmar,"Hong Kong, China",27638,24791,28424
Myanmar,"Taipei, Chinese",28955,34385,33528
Myanmar,"Korea, Republic of",50679,56225,29297
Myanmar,Netherlands,19165,17044,19869
Myanmar,Belgium,19682,22228,22893
Myanmar,Viet Nam,3975,5861,18343
Myanmar,Canada,40561,29503,29228
Myanmar,Indonesia,20826,31479,14949
Myanmar,Denmark,19235,17014,16458
Myanmar,Austria,15884,6965,8336
Myanmar,Pakistan,,,9203
Myanmar,Australia,11571,10331,10316
Myanmar,Mexico,2480,2840,4064
Myanmar,Argentina,1898,935,1151
Myanmar,Poland,2706,1467,1103
Myanmar,Egypt,2419,5711,2038
Myanmar,Sweden,2230,3719,4311
Myanmar,Czech Republic,809,820,774
Myanmar,Kuwait,2706,2611,2450
Myanmar,Türkiye,610,1478,1666
Myanmar,Philippines,3389,1918,2516
Myanmar,Ireland,1880,1071,1550
Myanmar,Sri Lanka,1254,1183,2285
Myanmar,Norway,1638,1573,1651
Myanmar,Greece,207,8,1494
Myanmar,Russian Federation,132,12912,318
Myanmar,Slovenia,427,527,765
Myanmar,Switzerland,4599,7037,4225
Myanmar,Croatia,108,668,891
Myanmar,Portugal,395,743,1053
Myanmar,Oman,79,363,0
Myanmar,Mauritius,343,470,384
Myanmar,Finland,1482,930,522
Myanmar,Slovakia,227,331,236
Myanmar,New Zealand,1142,806,808
Myanmar,Senegal,0,1820,5309
Myanmar,Estonia,130,126,294
Myanmar,Lebanon,233,284,127
Myanmar,Iceland,103,138,433
Myanmar,Saudi Arabia,333,483,677
Myanmar,Bahrain,754,444,634
Myanmar,Cambodia,154,99,524
Myanmar,South Africa,115,106,325
Myanmar,Faroe Islands,19,22,216
Myanmar,Qatar,540,355,379
Myanmar,Romania,10,597,52
Myanmar,Brazil,137,175,67
Myanmar,Morocco,0,8,99
Myanmar,Brunei Darussalam,22,126,122
Myanmar,Hungary,1022,998,875
Myanmar,Bulgaria,5,1335,45
Myanmar,Uruguay,32,88,126
Myanmar,Israel,73,123,63
Myanmar,Jordan,27,6,14
Myanmar,"Macao, China",154,202,84
Myanmar,Peru,7,11,61
Myanmar,Tunisia,1,128,208
Myanmar,Trinidad and Tobago,1,6,2
Myanmar,Latvia,79,54,65
Myanmar,Bosnia and Herzegovina,,,31
Myanmar,Serbia and Montenegro,15,184,
Myanmar,Chile,194,584,12
Myanmar,French Polynesia,4,34,15
Myanmar,New Caledonia,62,60,56
Myanmar,Papua New Guinea,0,0,0
Myanmar,Cyprus,326,334,224
Myanmar,Colombia,13,9,0
Myanmar,Ukraine,2,2767,268
Myanmar,Maldives,0,0,0
Myanmar,Dominican Republic,0,19,2
Myanmar,"Moldova, Republic of",0,128,17
Myanmar,Togo,55,62,1
Myanmar,Madagascar,0,0,0
Myanmar,Timor-Leste,,,
Myanmar,Malta,68,16,9
Myanmar,Fiji,,9,15
Myanmar,Malawi,0,0,23
Myanmar,Botswana,0,0,0
Myanmar,Andorra,19,20,13
Myanmar,Ethiopia,12,34,29
Myanmar,"Iran, Islamic Republic of",0,26,332
Myanmar,Costa Rica,13,1,0
Myanmar,Paraguay,0,0,0
Myanmar,Belarus,2,110,0
Myanmar,Cameroon,4706,5090,1297
Myanmar,Mali,1506,1655,590
Myanmar,Albania,0,491,0
Myanmar,Algeria,0,4,1
Myanmar,Mayotte,8,2,0
Myanmar,Cuba,0,0,0
Myanmar,Kazakhstan,0,0,0
Myanmar,"Macedonia, North",3,1,10
Myanmar,"Venezuela, Bolivarian Republic of",0,73,0
Myanmar,Mongolia,0,,2
Myanmar,Guinea,2,3830,
Myanmar,Barbados,0,0,1
Myanmar,Cabo Verde,1,0,0
Myanmar,Benin,77,61,0
Myanmar,Ecuador,4,0,0
Myanmar,Gambia,632,0,0
Myanmar,Greenland,0,0,187
Myanmar,Guatemala,0,0,32
Myanmar,Côte d'Ivoire,10691,21932,3220
Myanmar,Jamaica,3,0,0
Myanmar,Kenya,315,0,0
Myanmar,Lithuania,430,135,149
Myanmar,Luxembourg,0,0,3
Myanmar,Mozambique,677,0,0
Myanmar,Nicaragua,3,0,2
Myanmar,Niger,490,0,562
Myanmar,Sudan (before 2012),0,58,0
Myanmar,United States of America,469888,380061,295276
Myanmar,Burkina Faso,147,1838,0
Myanmar,Nepal,,,661
Myanmar,Sierra Leone,,2455,
Myanmar,Nigeria,39,541,289
