reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Norway,Germany,6547729,6631142,15039156
Norway,United Kingdom,8024408,7842712,10242849
Norway,France,6283572,5712478,6707697
Norway,Sweden,5350449,5267070,6447212
Norway,United States of America,5202755,6088259,5490060
Norway,Netherlands,4033673,3527420,4326782
Norway,Canada,2263592,2506995,3084942
Norway,Denmark,1997131,2345893,2533721
Norway,Belgium,1958196,1566909,2173614
Norway,Spain,795512,788548,1535129
Norway,China,570676,923228,865382
Norway,Poland,476874,658878,1189807
Norway,Finland,1044231,1046146,1133396
Norway,Italy,782567,1247830,1545467
Norway,Japan,1042089,1067613,1285413
Norway,Ireland,843888,681694,860463
Norway,Mauritania,7,1468,0
Norway,Portugal,743502,448819,615481
Norway,"Korea, Republic of",401710,609710,537972
Norway,Türkiye,251388,366429,423183
Norway,Russian Federation,199503,289194,323301
Norway,Austria,212138,194853,278167
Norway,Brazil,236799,223683,277149
Norway,Iceland,177854,181795,195929
Norway,India,45874,60906,217851
Norway,Singapore,304165,271689,267171
Norway,Switzerland,175167,195400,190089
Norway,Saudi Arabia,58064,31485,47902
Norway,"Hong Kong, China",122789,113993,138605
Norway,"Taipei, Chinese",132052,208572,124981
Norway,Australia,124479,139782,144392
Norway,Mexico,142364,93022,95869
Norway,Indonesia,30494,27692,46414
Norway,Faroe Islands,115758,92568,171404
Norway,Thailand,100172,105080,100888
Norway,Lithuania,61256,113749,118483
Norway,Greece,104042,77176,114649
Norway,Czech Republic,360033,694079,432439
Norway,Syrian Arab Republic,0,0,15914
Norway,Latvia,44076,51017,67925
Norway,Romania,31234,45044,52878
Norway,Israel,74782,69475,79136
Norway,Estonia,48824,48925,57023
Norway,Azerbaijan,3646,20235,33627
Norway,Ukraine,55931,60911,65733
Norway,Chile,50398,26811,33516
Norway,Malaysia,51520,54255,55535
Norway,Croatia,38791,41414,72632
Norway,"Iran, Islamic Republic of",9678,9801,16646
Norway,South Africa,29268,32014,48483
Norway,Hungary,44885,56322,69629
Norway,Slovakia,22972,22013,30925
Norway,Morocco,26344,10118,20990
Norway,Bangladesh,15251,6736,8914
Norway,Belarus,24798,19896,25443
Norway,Ecuador,8290,3556,5153
Norway,Angola,,,
Norway,Peru,4211,4372,11646
Norway,Argentina,21644,10540,13081
Norway,Oman,4805,5805,0
Norway,New Zealand,35999,22689,52730
Norway,Slovenia,18767,14526,22737
Norway,Viet Nam,5362,5575,6744
Norway,Kazakhstan,5616,4640,15772
Norway,Dominican Republic,19759,27318,18861
Norway,Colombia,33850,12057,12686
Norway,"Venezuela, Bolivarian Republic of",22176,17581,31477
Norway,Jamaica,13495,17047,15178
Norway,Guatemala,778,970,1435
Norway,Ghana,16332,,12039
Norway,Kuwait,5823,14742,19403
Norway,Côte d'Ivoire,3937,6148,6701
Norway,Bulgaria,4486,6931,10881
Norway,Lebanon,6898,6715,6375
Norway,Egypt,22649,24263,14502
Norway,El Salvador,294,834,424
Norway,Greenland,49711,34148,64992
Norway,Philippines,14933,6365,6471
Norway,Qatar,5177,5554,8598
Norway,Serbia and Montenegro,9311,14417,
Norway,Benin,170,983,1502
Norway,Sri Lanka,5200,5930,4170
Norway,Malta,3365,2206,2960
Norway,Pakistan,,,7890
Norway,Cyprus,8154,12219,4525
Norway,Costa Rica,3107,1232,1174
Norway,Bahrain,5425,6693,4198
Norway,Trinidad and Tobago,83780,2586,6374
Norway,Sudan (before 2012),582,532,598
Norway,Jordan,3707,11095,4759
Norway,Tunisia,2735,7156,4184
Norway,Algeria,8937,18704,9445
Norway,Luxembourg,7526,6851,7056
Norway,Barbados,2516,2964,3130
Norway,Nicaragua,568,451,315
Norway,Ethiopia,2128,1140,4547
