reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Norway,United Kingdom,15494669,21722989,27176735,29361882,40826468,23182420,29761153,38084723,33171589,25860551,27676506,18720635,17473391,23165947,25567260,19784469,2893770,35813367,53228357,32191546
Norway,Sweden,7662562,9080770,10840008,13018302,14962001,10823112,12970540,14994913,14123167,13482148,12719508,10786057,10981841,11768746,14065433,13316326,13481435,19043839,23791132,20104611
Norway,Netherlands,5331914,5138223,4823137,5915324,12569738,9467148,11176635,14391622,16020616,18340047,19772203,13145067,9416416,11701117,16646906,13840876,9654023,17862518,27093030,18149948
Norway,Germany,16371899,18725785,24681264,24296465,17135341,10469657,9855694,11494699,11785353,11886713,12711525,7986071,6454593,7605321,8682701,8398318,5669819,8371620,16016630,14015954
Norway,Denmark,3143591,3355900,3933602,4096101,5128080,4286439,3278967,4705941,5290074,5857492,5560176,3992318,3533031,4591084,5188847,4098217,3182061,4652455,5773244,13648712
Norway,Belgium,2672848,5118163,5149243,4377899,6451443,4330880,4634907,6376743,6689077,8275372,6374696,4911377,3772209,4947542,6436420,3657001,2639751,8559154,18250837,10162992
Norway,Poland,1268251,1597745,1663316,1773892,2861157,1891081,2671431,3337086,2827614,3899271,3033496,2414988,2064931,2393464,3044501,2537527,2395927,3307972,5046923,6616686
Norway,United States of America,6832976,7079303,7380261,7589707,7603974,5889633,7195094,8551727,6781436,5720384,5571377,5000342,4655352,5316948,7093279,6825824,4144922,6996418,6964821,6381666
Norway,Finland,1245879,1294003,2131231,1686465,2441038,1392312,1573398,2435267,2705799,1536210,2157120,1089040,1174337,1639496,2191816,1616485,1601598,1964072,6684953,6311476
Norway,France,8595418,8029679,8538360,8660117,12381513,6629929,6490585,9522104,7266362,7116554,4115950,3392190,3686658,4339027,4400641,3802000,3274761,3446120,6408280,5057781
Norway,Italy,1223209,1272480,3704502,3512728,4508105,2969185,2072822,2641425,2156802,2006181,1576823,1012325,742527,978038,1686563,1244729,1369160,1780856,6339414,4369439
