reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Norway,Sweden,10651367,11305416,13460130,15907048,17471448,13828390,15623284,17507768,17546126,17670764,17036348,14107673,14102309,15441320,17251720,16982088,16337098,20254230,21215960,19047293
Norway,Germany,6421538,7105313,8364908,10395868,11511121,8882086,9986798,11180706,11172987,11116263,11440171,8956518,9576217,9880297,10735017,10226420,9591962,11303349,11760318,9841254
Norway,Netherlands,2745770,3087053,3232475,4167317,4489431,4314555,3981128,4572521,4825618,4956882,5000854,4168019,4361614,4973138,5107313,5456659,5355848,6018678,7219052,8014499
Norway,Denmark,4119327,4317796,5040658,5944484,6906301,5726408,5920544,7040084,6976132,7339244,7396626,6000694,5887766,5905644,6325816,6398838,6153120,7093165,7245493,6482363
Norway,United States of America,1605271,1947529,2400865,3053271,3402281,2752927,3107404,3628450,3501180,4618055,4423773,3570794,3919971,5453066,5427066,3897008,2781597,3957808,4713227,5034621
Norway,Belgium,1193841,1391798,1592053,1824724,2181309,1878970,2023267,2624211,2228526,2469394,2310940,1867732,1836458,1829401,1903690,1928464,1908585,2831200,4042771,4037107
Norway,United Kingdom,3697327,4146967,3996539,5948217,5124685,4218747,4654812,5285978,5769582,5548661,6055438,4844634,4144297,3857717,4599187,4668692,5264726,4124324,4274800,3997631
Norway,China,1028512,1321906,1700841,2202099,2561129,2675353,2836321,3785872,3019832,2737115,2731442,2858078,2605251,2475022,2652394,3448822,3533992,4404092,5191404,3529961
Norway,Poland,1319244,1888923,2122365,2493372,2863963,2556779,2340267,3818975,3139389,4083698,3748420,2731098,2479174,2648834,3090521,2898971,2619320,3266668,3353240,3333959
Norway,Finland,1846580,1624717,1982144,2801503,2910723,1876735,1835550,2179606,2286957,2155139,2028291,1710538,1690032,1776836,1973810,1899660,1747343,2045330,2389767,2432908
Norway,Italy,1400855,1445275,1734442,2133204,2580846,1757699,1692923,1825680,1978916,2102094,2151202,1762404,1699327,1890771,2034803,2105640,1834918,2124164,2122284,2316777
Norway,Canada,1193750,1281182,1665780,3436664,2663207,1549770,2456300,2819340,2322399,1999878,2024459,1464222,1148053,1517481,1849819,1623034,1897369,2499110,2977120,2250049
Norway,France,1597175,1712946,1986276,2286357,2476440,1980288,1952644,2145643,2152995,1966693,2129918,1648229,1647799,1817966,2229078,2077771,1893549,1845483,1865329,1927837
Norway,Spain,883723,1441485,1593687,1939710,1457609,1113131,1073365,2145083,1228159,1307572,1444100,1047714,1295209,1377257,1461541,1307704,1505398,1752614,1607049,1649602
Norway,Brazil,320472,444872,583779,649378,856250,611586,722011,944044,865204,730436,722768,678971,732578,774261,800794,1072191,908485,1206161,1359104,1372190
Norway,Czech Republic,232054,283071,404205,638516,623851,579579,701016,858918,816808,831450,779468,694063,723801,780607,869637,863073,795926,1065282,1168725,1071390
Norway,Lithuania,197031,189139,263684,394350,498140,411115,477871,567755,580780,692212,741516,663616,763266,845423,931480,914165,965921,1074089,1134137,1063810
Norway,Türkiye,206258,245165,260896,375340,391174,388950,343911,379523,450621,625039,562088,454015,559266,546713,513095,729179,733415,937654,744019,988952
Norway,Japan,1133789,1088349,1626508,1123938,1326836,1052461,1104781,1398680,1230410,1166343,1259260,956554,989151,937871,930217,979772,1011219,1009984,1007447,891493
Norway,Switzerland,428599,480485,567543,698495,979120,699300,718744,961829,1116226,1029051,1066961,817127,717598,692504,771380,668833,652837,734332,751680,754698
Norway,Estonia,197968,225015,260725,377478,418947,297052,415287,503897,540354,595902,636936,534278,532805,573884,642831,608284,535104,663570,776523,684086
Norway,Austria,378106,404671,509271,773443,865077,671334,553775,579422,687149,720841,612894,462926,450815,540478,675717,794516,603191,706587,662366,672053
Norway,Singapore,185864,227345,260050,282157,423794,287729,370978,1350825,638846,1320692,582877,339204,1518566,363847,490642,816558,481740,577735,1339626,540162
Norway,"Korea, Republic of",322592,468385,850524,596278,2079816,1606367,2801162,666449,1061736,1539411,1669783,4780760,3508935,4678462,2874937,1802055,1461723,813930,964698,464594
Norway,Iceland,86920,82720,137037,180890,233379,235442,195168,236151,258024,236616,226906,221043,189858,251677,302603,202018,192732,194118,401387,391529
Norway,Latvia,101023,126177,139486,197891,238528,188002,247183,285553,333973,353779,324662,258370,265322,293505,326994,327059,298819,382842,431059,389670
Norway,Romania,98577,171437,338318,418670,466805,558121,413823,485909,507726,794973,771262,555944,243464,264326,635947,434252,526325,634565,424068,364432
Norway,Thailand,78855,90805,197242,158858,191173,118631,176402,184298,479142,193158,386217,186206,176958,487749,192845,206017,184529,206003,284215,338496
Norway,Ireland,609465,775168,779054,804959,733146,660521,563834,566480,383628,457600,424577,332221,282178,446747,412357,257775,335641,917861,418459,314609
Norway,Hungary,187279,183439,196118,255447,254199,224358,210188,220951,232158,242807,291543,235476,201939,180986,188226,197542,200483,269638,286337,266522
Norway,Portugal,119087,116539,137004,133893,153601,114644,107815,125382,133998,141909,198141,229678,195256,204570,215447,221493,189144,290606,327324,249015
Norway,Slovakia,77134,60197,82051,151931,145156,131644,169158,190962,197989,227700,278464,192954,192849,218480,214279,178728,304483,245661,242759,224197
Norway,"Taipei, Chinese",145529,159569,161563,209930,251136,191714,391746,420743,321522,257832,244047,209126,167886,173068,182690,187230,158921,223816,248861,199626
Norway,Malaysia,51292,52317,66817,72291,142778,89816,100342,95677,93611,102760,466151,192362,90451,98884,87737,108523,129993,190545,183701,156089
Norway,Greece,71169,38537,42523,45781,71444,50650,40947,50236,34205,58906,50478,59230,64341,80870,96745,112996,69050,95214,138484,145002
Norway,"Hong Kong, China",338693,367154,362291,364469,381249,305126,356274,362683,300642,323078,309198,288133,221699,185214,187247,178077,120153,163645,173950,118368
Norway,South Africa,40608,46146,70146,187902,223973,202806,277809,256615,298298,257379,144629,146931,128777,161877,195019,168243,185866,128590,204516,118269
Norway,Slovenia,26347,33088,40030,61506,65680,52019,55860,63919,64664,84383,78953,74984,77142,76775,112883,97696,86236,104517,102585,108854
Norway,Chile,28996,36776,28723,49631,66379,83056,93458,50741,50510,51267,42099,60888,50279,44096,50986,46581,57129,63012,62494,97250
Norway,Luxembourg,57884,50931,72432,75664,70382,53248,65733,80166,75172,83365,77737,66449,76339,45,71364,72605,74375,96353,112559,84188
Norway,Colombia,15141,18787,19378,27848,22011,22255,37844,36241,29741,31677,40086,40037,42754,51422,49572,42729,47570,56329,113416,75359
Norway,Australia,69736,92182,94212,95689,150315,52540,115988,137619,52924,87587,178510,41392,49348,48733,98668,131806,46465,79780,75946,71868
Norway,Croatia,6638,11823,16987,13363,31080,22430,26097,204306,56023,62527,73107,55649,62221,75793,87298,67768,59376,84692,90084,71394
Norway,Bulgaria,10423,11344,12884,23358,53563,31773,30998,49573,39381,47067,47446,37785,38835,45543,51829,47773,53015,62102,60512,71153
Norway,Cyprus,4593,4954,3836,3437,3869,2233,6647,9054,10889,10501,7291,51296,1978,217990,275854,73538,22383,114252,30726,58481
Norway,Peru,24123,13074,26269,52306,60412,33101,33180,30079,63206,42203,102268,33398,29547,33234,61363,57256,54435,84139,58491,43071
Norway,New Zealand,10266,48878,11002,69015,49298,15460,21184,36526,30604,31657,35847,28204,33621,28174,29466,35704,23334,33978,28063,29874
Norway,Costa Rica,468,595,204,297,1026,420,259,6465,13646,14368,22912,26257,20463,21241,19956,21172,22270,22371,21882,28714
Norway,Serbia,,,7542,10238,19914,7523,7040,9008,13081,29137,21471,25162,20875,22440,25181,24045,21342,30704,28214,28584
Norway,Ukraine,23049,46854,87025,114902,139450,153818,84111,61376,72494,60559,20164,12796,15338,19296,27977,26902,27032,40826,24337,26900
Norway,Argentina,22578,29630,28567,24077,46078,23925,31083,41390,35969,20139,15627,16635,13748,17861,20082,22052,23258,20390,17862,24109
Norway,Bosnia and Herzegovina,957,1791,3879,4642,9720,5503,5423,8038,8156,9140,9682,9102,9941,11164,15563,14340,14709,24394,26618,22072
Norway,Ecuador,2058,1182,1675,2360,3748,6370,6502,11328,13418,11372,8915,12474,11576,15047,12525,16497,18592,16782,18677,15131
Norway,Guatemala,5243,7526,7891,9902,11404,10183,13225,17535,15052,11987,11071,10458,15724,11529,8777,9869,8875,8833,9808,11737
Norway,Malta,3365,2923,3991,5388,8225,3591,7495,7211,4624,3982,5078,7502,3713,5173,4918,3565,3844,5175,5850,7071
Norway,Madagascar,333,151,129,161,174,188,256,10,84,1046,1207,871,102,180,230,128,1374,437,104,962
Norway,El Salvador,146,484,280,187,347,904,277,1395,1211,4767,2825,732,1141,2507,405,4172,187,3755,260,374
Norway,"Bolivia, Plurinational State of",133,459,800,622,744,1015,650,1460,1119,1804,457,733,791,910,1535,2062,648,644,352,372
Norway,Paraguay,65,168,305,278,73,232,9,44,125,203,12,3,9,145,2111,341,204,181,212,294
Norway,Belize,29,0,0,0,0,0,0,0,0,0,1612,7,0,272,205,3,6,7,6,3
Norway,Cabo Verde,0,1,3,0,1,20,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Norway,Liberia,,,,,,,,,,,,,,15,15,0,67,0,0,
Norway,Uzbekistan,,,,,,,,,,,,,,0,7,38,0,0,13,
Norway,Curaçao,,,,,,,,,,,,,,25,5,0,1,,,
