reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Pakistan,United States of America,3090377,3492929,3964457,3830622,3828338,3361197,3727939,4025928,3828393,3887604,3869193,3909901,3617847,3762096,3896455,4115703,4114379,5673688,6559922,5186861
Pakistan,China,594749,833169,1007214,1104226,1006800,1260256,1730949,2118460,3140394,3196840,2753870,2477066,1906332,1830041,2179816,1806126,2124874,3584866,3413278,3466200
Pakistan,Germany,782498,723829,773835,880047,1019111,930268,1139207,1584720,1269540,1416334,1697144,1583581,1670175,1881971,2007282,2015117,2123784,2562402,3053891,2516503
Pakistan,United Kingdom,1130784,893100,995529,1105436,1207967,1142890,1317668,1545481,1307307,1450648,1788403,1675348,1574707,1634755,1719642,1721898,1622000,2083589,2284548,2124491
Pakistan,France,520271,509002,523887,619283,705379,622392,682517,876508,713552,806770,935131,823363,863228,973379,1039926,1024878,1063500,1319334,1554941,1411379
Pakistan,Spain,366043,365180,444160,523190,559845,470071,486737,601926,523476,592397,849540,864872,922049,1047518,1102560,1085581,939349,1173086,1674587,1379201
Pakistan,Italy,525424,508688,536283,624893,727737,587965,650443,810714,553259,632918,739890,641319,663022,711102,772913,826575,714081,902862,1260356,1182879
Pakistan,Netherlands,248637,208744,250093,288449,394112,333792,326838,409990,335123,420245,461182,415508,421547,511865,609214,673538,645408,851970,987481,1080328
Pakistan,Ukraine,9076,10055,10497,14499,29632,24564,55220,68184,121545,93826,100719,61323,47648,56692,64110,77703,81277,92843,63809,554593
Pakistan,Belgium,277812,292633,315204,362708,403439,340996,391546,499161,388815,432496,481902,443032,467369,481941,523804,484372,424267,539488,673597,540223
Pakistan,Canada,188527,204475,248331,226867,231260,213317,263292,263481,277776,285996,286302,275062,274826,316768,336764,338749,326994,434025,561502,461580
Pakistan,Türkiye,240720,315463,379642,531618,586235,619219,749931,873131,555012,435241,438795,310545,263352,323117,330748,306310,268751,314843,432349,455473
Pakistan,Malaysia,54005,57151,59300,80535,125817,149626,148156,253272,252378,218961,227398,229565,171987,167505,187837,257261,260829,458533,415706,445055
Pakistan,Poland,65251,65602,78820,104073,143286,119196,140037,194564,153280,175827,260321,255637,299720,360572,424263,435130,514093,711451,761672,370213
Pakistan,Australia,122677,114998,122135,136914,152602,136404,158540,178131,189818,187995,190645,220151,255357,233723,228565,246209,227599,284228,374551,281341
Pakistan,Thailand,60973,83780,102906,68078,92140,113432,80354,117239,104656,99406,140019,118743,119177,148282,205460,294471,127879,203939,387684,266362
Pakistan,Switzerland,34071,36982,52571,59849,64730,58049,60459,82067,114928,105320,117911,109644,124974,147796,169798,169983,214723,268099,269566,259606
Pakistan,"Korea, Republic of",280547,315591,340925,490835,631013,382133,399661,736984,776018,522093,401922,284377,283013,317497,380001,418945,226337,328217,487122,257411
Pakistan,Japan,170531,142180,208705,246588,436677,236203,353054,459179,426674,475284,331193,259885,264246,431906,353376,305311,226396,268409,311164,239522
Pakistan,Denmark,57330,51228,61724,74559,104032,81746,84796,102440,93866,104410,112952,116221,148653,166442,183189,208486,219088,272742,325452,229730
Pakistan,Portugal,98600,90971,125412,144909,130884,113079,105733,113427,78832,121993,125758,113081,112320,129624,192324,178991,168207,236269,279421,216430
Pakistan,Singapore,47804,36755,46005,53441,49724,53585,90798,75938,64848,120049,193498,232537,77009,69146,64438,80078,74963,71162,70551,193776
Pakistan,South Africa,85848,104525,132099,136499,128377,124929,202115,263460,252639,272546,279549,222326,163389,161281,160656,167403,158830,193033,201469,182351
Pakistan,Ireland,44858,43490,51003,48894,52476,63161,55325,65505,66404,71815,70572,66273,73713,84974,89636,93728,84609,164752,187119,156550
Pakistan,Sweden,78733,81183,95240,100223,111109,87069,109777,135537,114202,130306,149263,138939,146393,162831,150410,155473,147399,181703,202887,156123
Pakistan,Brazil,7157,12093,31762,53016,76696,46687,64936,83113,96588,89430,96428,70843,45066,54650,67055,79387,65892,95684,108116,131694
Pakistan,Greece,99090,82097,74265,89145,91321,72782,58882,55833,44303,52645,62469,57563,61217,64361,75363,84725,73302,78693,116311,125474
Pakistan,Czech Republic,28826,31806,42170,61311,86350,56481,81705,105617,93859,97929,117176,119848,144516,188692,192872,216001,220882,274697,300973,125097
Pakistan,Norway,46222,56079,67106,71564,84157,78036,83933,98193,73889,86701,93928,77488,81303,94029,102886,103938,105415,125701,130106,122188
Pakistan,Madagascar,20899,24964,27404,60186,60539,42636,65062,91124,64705,96648,133502,93898,97205,144156,181808,109427,65520,124309,158942,118550
Pakistan,"Taipei, Chinese",63338,83207,114225,169479,125752,98714,219436,403993,200391,295380,526046,224414,155212,136974,182740,101731,84042,159421,287487,86382
Pakistan,Austria,65037,70006,77969,86644,91178,83411,87510,118276,100918,105887,174550,137889,167235,188099,199418,352007,271465,258256,300480,70508
Pakistan,Chile,43728,51777,61994,65371,68518,49302,65938,68941,73986,74273,71538,63703,54635,61657,67926,60474,45933,96209,111901,59161
Pakistan,Argentina,27291,29542,40190,45478,53421,37954,48762,64408,52213,61602,55127,55809,55202,45161,55963,35441,35300,46972,60758,57755
Pakistan,New Zealand,43205,42680,39166,42358,42443,38741,40843,60253,47607,48349,52665,48607,50666,50968,48164,51061,48667,64825,67879,57312
Pakistan,"Hong Kong, China",601666,583776,653127,633493,456451,366576,500461,446545,427065,407907,324182,243975,140384,116302,107055,94385,54773,67796,67051,52978
Pakistan,Bulgaria,2433,2848,3061,9031,18746,14039,10940,19214,14714,13954,20306,16050,15812,21326,20616,30916,35618,44276,51655,50040
Pakistan,Romania,13305,18650,21843,16708,26113,24433,26407,30651,28804,24671,26772,21260,22447,25326,28388,27942,32905,48675,58115,47731
Pakistan,Colombia,5954,20586,34121,43801,36950,34395,44244,61990,68325,58239,63719,53610,41841,45239,48834,47860,32980,55305,69252,46296
Pakistan,Hungary,21364,17539,19578,17279,21053,13779,14746,14991,12355,11204,15123,15105,13633,17092,18955,22146,28840,35082,38876,45753
Pakistan,Lithuania,13353,11149,12336,16589,17998,12148,13046,19046,18862,24492,27779,21537,21707,20563,26235,22705,21107,23999,39344,40347
Pakistan,Peru,4171,6360,9045,13936,18759,15510,17785,33676,33283,33137,34170,32598,31736,37247,40852,37888,24449,34813,48615,34753
Pakistan,Finland,30382,27779,33774,42195,55211,45432,48910,36440,52277,55751,65377,52333,55700,65770,63767,71165,66770,72204,83492,30748
Pakistan,Slovakia,13226,9309,17148,19373,26358,29530,30855,51777,35493,50096,64940,54975,73848,71590,66564,67824,71102,85450,104598,29546
Pakistan,Serbia,,,5735,9054,9893,8856,9209,8573,9727,9816,14806,10956,13610,13262,13561,14830,15450,21241,26028,27955
Pakistan,Slovenia,7028,8931,11593,14826,17434,13640,14016,15427,17251,17178,25626,23270,25608,32296,31199,29784,24860,33966,42265,26620
Pakistan,Ecuador,2552,3574,2892,3249,5990,6699,6377,26670,6962,9596,45783,6925,4893,12098,13995,14646,7444,11595,15617,20838
Pakistan,Bosnia and Herzegovina,1337,3148,3676,4687,6598,6338,5483,6825,6035,7258,9833,9154,8823,9113,10265,11301,10345,14012,18139,19439
Pakistan,Croatia,8711,9458,13978,19667,24124,19152,17513,21483,20772,7047,9210,9702,11389,14139,13955,13426,11953,12056,22543,18877
Pakistan,Guatemala,5868,17001,15475,11969,14494,25150,13507,17985,10353,9303,5920,8965,3802,4836,10965,3674,4540,8516,26928,11686
Pakistan,El Salvador,1247,17313,20744,23405,26413,13732,12359,6200,3200,3422,4014,3577,4012,2617,4159,3122,2641,4669,11258,11625
Pakistan,Cyprus,6672,6608,6243,7191,9111,5434,5195,5984,4300,3317,4573,4064,4861,6108,6132,7136,5212,7025,10064,11493
Pakistan,Estonia,15880,13836,17040,15946,26345,18276,16786,17906,16472,20269,19713,17744,19938,18743,22956,23300,20098,22195,27274,11473
Pakistan,Paraguay,2370,2094,1319,2383,3566,4571,4270,12590,9462,10681,11621,10215,9073,10836,12006,7076,4916,9064,12433,10965
Pakistan,Costa Rica,1569,5368,10076,17446,13461,2515,2318,3060,4693,4334,6465,7358,8457,8355,8041,7668,6808,5982,7841,7947
Pakistan,Iceland,2287,2283,2967,3161,2723,2154,2320,2670,2837,2901,3345,3519,4278,4763,5180,4685,4933,7198,7492,7657
Pakistan,Latvia,843,1180,2828,4172,4092,1909,3969,3838,3753,4354,4938,3682,4446,5726,4673,6446,8239,6719,8888,6011
Pakistan,Malta,2497,3413,3639,2103,1571,1651,1493,2542,2508,2522,2996,3038,3072,3209,3273,3621,3730,3951,5075,5095
Pakistan,"Bolivia, Plurinational State of",233,212,351,364,1129,665,565,585,671,2079,1608,2545,1887,2407,1932,1997,1715,2727,4149,2810
Pakistan,Belize,8,3,6,56,84,83,44,22,93,146,55,130,59,61,44,68,14,42,73,397
Pakistan,Luxembourg,625,528,583,357,2461,3397,3013,5038,5933,5533,5838,5457,5039,5507,5862,5411,4805,6664,7425,320
Pakistan,Cabo Verde,6,91,167,4,16,48,523,161,63,95,20,385,243,48,126,0,111,190,0,0
Pakistan,Cayman Islands,,,,,,,,,,,,,,,,,48,80,,
Pakistan,Liberia,,,,,,,,,,,,,,505,1502,1365,1066,2115,16301,
Pakistan,Uzbekistan,,,,,,,,,,,,,,24705,63645,22657,24032,50729,110763,
Pakistan,Curaçao,,,,,,,,,,,,,,11,32,22,19,,,
Pakistan,"Congo, Democratic Republic of the",,,,,,,,,,,,30449,47880,15535,22870,37573,25680,232254,36856,
Pakistan,Tajikistan,,,,,,,,,,,117867,85923,25181,24638,52444,45895,11552,17088,19397,
Pakistan,Sierra Leone,,,,,,,,,,,0,34434,41331,50489,36531,,,,,
Pakistan,Iraq,,,,,,,,,,,20208,,,,,,,,,
Pakistan,Haiti,,,,,,,,,,1414,1574,509,1217,2082,,,,,,
Pakistan,Palau,,,,,,,,,0,,0,0,0,1,1,,,,,
