reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
Panama,China,2186951,3151121,3867163,5647806,7893907,6522357,11967279,14555810,15305692,10992734,9307389,8529293,6403851,6654978,6947567,7944501,8793631,10179466,12646743
Panama,United States of America,1772470,2161666,2704080,3734047,4910266,4357705,6064986,8246942,9822506,10557240,10462658,7668880,6069072,6289883,6733398,7536459,5659952,8133223,12032280
Panama,Singapore,1299361,1911285,2696289,3836483,6527787,5979251,7507200,11406829,12261395,11316094,9207224,5433371,4911203,5351568,6232302,4184969,3616268,4304912,6210888
Panama,Colombia,216490,264140,257484,246322,318980,309589,936345,1956816,2916011,3219265,3615462,2394166,1912114,2699759,3597082,2360822,1510555,2468201,5834436
Panama,Ecuador,1088490,678156,337310,464938,879419,1963836,2139170,1041441,923548,628362,1398083,441576,662275,941803,1243473,1918549,2431353,3969542,4990307
Panama,Japan,6067353,7365100,8099730,8636555,10915471,12834337,15524879,14939491,14198468,9665174,7009390,4713180,5669218,5479379,5921070,6098605,4601325,4810184,3467409
Panama,Belgium,157530,115381,71955,92202,116362,133632,90743,124175,223733,143568,136412,158973,143792,134327,207047,153762,226513,171756,500446
Panama,Spain,151079,330435,652187,391495,322316,226419,308635,461957,507961,687410,561484,420832,372406,425066,536308,516965,239667,357837,627703
Panama,"Korea, Republic of",1263797,1622651,2226691,3145006,6463703,4476617,4053509,3798253,3977303,3484528,2764670,2230263,1440826,1642007,2007641,1708040,1370796,1570146,1170475
Panama,Brazil,213975,278545,312318,385777,391096,210100,367051,418654,397114,432123,361753,304716,308604,632979,1926224,1815886,428305,650553,854897
Panama,Costa Rica,178888,184239,250736,311608,387512,341245,430186,559892,583899,580114,593223,558580,561017,573764,580684,591618,485342,582802,588408
Panama,Peru,173226,265219,337461,397218,296069,91353,254507,332604,496294,622625,570792,444006,556942,930897,226128,475185,197636,553334,603571
Panama,Germany,120153,132337,156831,330888,426988,357173,437865,438864,406844,568965,565995,446948,422853,443871,479027,645926,405074,441049,473638
Panama,Canada,55983,49696,73928,79661,115904,75689,122834,103107,91014,91952,85151,108365,92654,116059,121638,176027,96648,164377,305173
Panama,France,497300,222076,761684,901017,1704305,1049266,849433,313234,1122561,1084246,392188,401876,319235,374939,540413,645482,411110,590742,370406
Panama,Italy,808747,610164,246302,891841,325263,914077,306720,421580,353392,475909,579636,389222,315193,268495,296058,342297,185423,285074,379299
Panama,Türkiye,36598,83798,77883,117420,228088,94975,140632,217072,225062,234931,231902,166125,96046,197813,238076,255842,171515,304869,360383
Panama,Netherlands,36107,64800,56841,69048,78778,92735,122421,208019,210672,131301,142776,171772,156961,176972,189539,153661,157879,209219,397503
Panama,Guatemala,107561,80497,82001,118693,161215,183858,222023,247479,246625,237410,282681,261541,248692,288755,242997,243428,227274,296188,308849
Panama,Chile,169872,124325,185533,194288,329752,143996,144469,140574,242184,206427,271050,233582,204772,287401,240397,178246,165576,285586,365373
Panama,United Kingdom,131938,143414,198988,340074,276592,183698,262390,270962,306890,289219,297528,263523,174209,175334,222214,210634,130554,206213,501494
Panama,Switzerland,167754,185132,198551,289681,326170,276843,248710,207015,262277,320863,284185,224689,231952,231125,234326,234679,207279,167200,220094
Panama,"Hong Kong, China",582852,547642,476193,494124,465616,263670,342648,420002,320507,281446,280752,267321,217151,197665,262043,211865,153389,210753,173262
Panama,Greece,11146,34662,57187,74064,222635,149495,166714,101456,13476,10070,24573,112221,107877,120190,160982,215979,110518,165881,213842
Panama,Denmark,74144,20539,85512,69957,55994,244482,475562,95701,58337,74205,61701,58185,68190,53569,51856,49030,55064,58373,374765
Panama,Argentina,78030,64168,106691,132527,89065,69977,57999,169640,170841,94969,77355,68328,89452,148489,148242,179303,163505,156569,223646
Panama,Thailand,58520,102510,118875,160997,192209,136756,223075,208814,239416,237753,265213,248701,248748,172127,169413,140443,85154,123322,164092
Panama,El Salvador,46145,52716,64884,92433,125389,110860,102358,108686,124597,135796,142538,131088,124121,120784,121683,120998,91818,124767,144366
Panama,"Taipei, Chinese",247391,225940,181107,205465,233416,153064,288478,196232,223113,178510,227813,143337,133076,127520,111632,106433,79970,92898,114334
Panama,Malaysia,72439,72489,94418,139004,126151,76645,148739,159474,168483,115757,108998,124337,111549,118609,127952,107559,87341,144372,87490
Panama,Australia,7966,11437,5305,9850,10985,11105,13179,22184,36407,51561,38270,41570,33404,89152,102284,62189,37739,51344,74033
Panama,Portugal,4310,7018,7036,5867,6504,7270,6684,12279,13507,17801,20426,20378,25084,25095,21581,16832,12614,19727,140420
Panama,Sweden,41691,35443,52258,78843,80616,60650,79890,161022,55688,45001,40725,37347,32306,31316,33926,32675,49171,74260,68450
Panama,Poland,73640,27894,65051,70307,196445,37826,23479,97380,24802,183265,110870,109089,57120,45773,135500,34695,94652,103148,88668
Panama,New Zealand,16287,22994,24372,31895,39724,30099,31971,33536,30860,23410,35208,36106,32694,32062,37272,28958,37042,29528,32165
Panama,Austria,8285,38762,13417,27693,28634,21567,25523,33309,41250,23664,26958,23469,54636,30190,23321,27808,22571,22000,20195
Panama,Ireland,21399,14749,19517,17627,21188,18840,16938,16332,18877,17871,17801,26417,18798,13845,16646,20123,35359,75133,16928
Panama,South Africa,20872,18866,40006,21335,5736,5167,79617,30911,49786,47544,37965,46906,56841,91034,101114,56701,17212,21328,43711
Panama,Hungary,726,628,1814,1828,3394,1066,1086,3322,4652,5547,7511,16830,28860,18271,17219,17857,10504,13055,18306
Panama,Finland,8972,12357,10816,21919,18949,14220,22036,20028,9922,12209,25298,21162,7848,18738,12744,11153,10160,11564,16148
Panama,Norway,156939,37560,13448,26996,87215,5298,40962,116737,94189,68023,68801,32965,13766,67440,7510,34818,8099,33029,41184
Panama,Slovenia,1189,2196,1600,1610,2791,2076,2402,3321,4006,6894,7546,7052,11026,14382,9556,11787,9775,9068,8529
Panama,"Bolivia, Plurinational State of",7954,325,44638,66146,24682,58163,39674,48118,39276,27729,27791,6314,7224,7241,6335,5747,1834,6061,7894
Panama,Slovakia,1187,1037,1048,852,734,504,844,489,4367,6448,5697,6777,3999,3729,5354,5595,2040,5370,4797
Panama,Czech Republic,4115,8450,7802,84121,17655,6840,10834,18238,17720,14465,43388,5239,9131,11007,6526,6706,8764,5323,7736
Panama,Bulgaria,14116,7073,3217,4042,8193,6346,4794,3057,3407,4377,3574,4418,4354,7216,5856,6103,2187,3050,6989
Panama,Paraguay,2352,975,1594,5056,4812,5905,12264,7484,5215,4354,7781,4386,2087,1810,39245,3333,7643,8140,5597
Panama,Latvia,7943,8162,2907,6767,6021,10778,5696,2383,2978,4902,3336,1632,1207,1241,1672,1595,1211,2661,2332
Panama,Croatia,675,1993,45462,85149,46415,933,460,63996,527,1723,1955,300,995,67,1519,887,474,1018,1001
Panama,Iceland,0,0,363,401,1603,366,636,905,1208,578,798,2092,229,487,256,250,167,226,1052
Panama,Ukraine,49226,15677,39241,10344,23752,34883,27401,22500,29826,28945,31531,9908,13905,28125,7232,5123,2672,4907,1525
Panama,Lithuania,6069,12905,6599,16977,10493,8769,7558,11140,5054,4536,4450,2047,3891,12029,26196,687,514,391,1644
Panama,Estonia,1913,1382,222,463,2256,1491,1765,184,298,3146,2774,308,210,303,246,234,24987,535,15201
Panama,Romania,3493,3874,2901,85443,165543,103339,62650,632,1158,15387,13060,61933,3964,13286,1818,1055,1073,614,3498
Panama,Serbia,,,170,335,57,160,540,40,195,648,172,501,516,757,350,1983,705,875,1922
Panama,Cyprus,635,1089,34,51,423,38,196,173,75,37,9482,2451,33771,6321,7984,27202,4547,8699,12665
Panama,Luxembourg,1705,1161,119,67,210,1812,222,3350,1889,611,1990,573,1363,0,257,1481,621,1246,1351
Panama,Belize,231,259,8550,38072,31,1990,492,357,793,1781,965,1154,4242,3789,709,825,1754,987,733
Panama,Madagascar,1,104,303,466,610,395,164,47,118,1769,288,1093,27,119,33,30,3,18,24
Panama,Malta,291,0,0,40,0,0,87,86,86,584,6866,848,328,178,43,59,20,66,93
Panama,Bosnia and Herzegovina,14,4,0,0,0,0,0,0,0,0,7,6,223,31,0,1,0,34,54
Panama,Cabo Verde,0,0,0,0,0,0,1,0,1718,0,0,0,0,0,0,0,0,0,2
Panama,Liberia,,,,,,,,,,,,,,0,0,0,394,0,0
Panama,Uzbekistan,,,,,,,,,,,,,,0,0,0,0,0,1144
Panama,Curaçao,,,,,,,,,,,,,,870,726,1824,1798,,
Panama,"Congo, Democratic Republic of the",,,,,,,,,,,,0,4,0,1,4,30,0,0
Panama,Haiti,,,,,,,,,,507,1726,219,344,181,,,,,
Panama,Palau,,,,,,,,,0,,1,0,0,0,401,,,,
Panama,Sudan,,,,,,,,,0,0,0,0,0,3643,0,,,,
