reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Papua New Guinea,Australia,662565,676997,1003538
Papua New Guinea,Japan,299009,276893,296317
Papua New Guinea,China,122383,159665,231108
Papua New Guinea,Germany,116701,84587,149410
Papua New Guinea,United Kingdom,59794,73204,97868
Papua New Guinea,Indonesia,12213,66058,117965
Papua New Guinea,Philippines,67540,15907,76246
Papua New Guinea,India,187,332,615
Papua New Guinea,United States of America,39296,96584,70406
Papua New Guinea,Italy,30911,50263,54913
Papua New Guinea,Singapore,21998,20397,62562
Papua New Guinea,"Korea, Republic of",86236,32197,52579
Papua New Guinea,Thailand,70567,30489,55033
Papua New Guinea,Netherlands,15728,14858,28553
Papua New Guinea,New Zealand,37200,37795,55752
Papua New Guinea,Viet Nam,1398,1,10200
Papua New Guinea,Malaysia,9063,5974,9975
Papua New Guinea,Spain,3387,6207,21758
Papua New Guinea,"Taipei, Chinese",12440,12642,13230
Papua New Guinea,Belgium,8079,14831,15456
Papua New Guinea,France,2159,2505,16503
Papua New Guinea,Solomon Islands,8424,5910,8930
Papua New Guinea,"Hong Kong, China",5836,5732,7369
Papua New Guinea,Greece,981,736,3865
Papua New Guinea,Switzerland,31499,31546,278
Papua New Guinea,Fiji,,841,1122
Papua New Guinea,Russian Federation,508,758,1476
Papua New Guinea,French Polynesia,684,615,559
Papua New Guinea,Poland,2626,1690,1363
Papua New Guinea,Austria,641,438,558
Papua New Guinea,New Caledonia,1624,1403,1283
Papua New Guinea,Canada,5072,637,2220
Papua New Guinea,South Africa,10,38,227
Papua New Guinea,Ireland,740,469,774
Papua New Guinea,Cameroon,1338,661,1125
Papua New Guinea,Denmark,501,542,1533
Papua New Guinea,Finland,471,627,169
Papua New Guinea,Bangladesh,102,84,781
Papua New Guinea,Portugal,1461,901,723
Papua New Guinea,Samoa,15,466,1085
Papua New Guinea,Sweden,15906,56,7939
Papua New Guinea,"Micronesia, Federated States of",,0,164
Papua New Guinea,Malta,0,0,0
Papua New Guinea,Pakistan,,,154
Papua New Guinea,Norway,6,5,0
Papua New Guinea,Czech Republic,59,173,106
Papua New Guinea,Serbia and Montenegro,4,35,
Papua New Guinea,Mexico,7,32,3
Papua New Guinea,Colombia,0,3,0
Papua New Guinea,Tunisia,2,0,0
Papua New Guinea,Israel,3,0,8
Papua New Guinea,Bulgaria,318,9,1
Papua New Guinea,Guatemala,0,0,35
Papua New Guinea,Croatia,0,16,10
Papua New Guinea,Ukraine,70,29,22
Papua New Guinea,Brazil,0,0,0
Papua New Guinea,Sri Lanka,145,15,105
Papua New Guinea,Argentina,0,0,0
Papua New Guinea,"Macao, China",3,1,3
Papua New Guinea,Romania,2,9,1
Papua New Guinea,Togo,0,0,0
Papua New Guinea,Cambodia,0,0,3
Papua New Guinea,Iceland,13,9,4
Papua New Guinea,Albania,0,0,0
Papua New Guinea,Cuba,0,0,6
Papua New Guinea,Timor-Leste,,,
Papua New Guinea,Slovenia,1,4,23
Papua New Guinea,Lebanon,5,0,0
Papua New Guinea,Honduras,0,2,0
Papua New Guinea,Morocco,95,0,0
Papua New Guinea,Namibia,0,0,3
Papua New Guinea,Peru,0,0,1
Papua New Guinea,Faroe Islands,0,0,0
Papua New Guinea,Brunei Darussalam,17,4,1
Papua New Guinea,Chile,0,0,0
Papua New Guinea,Dominican Republic,0,70,0
Papua New Guinea,Guyana,0,0,0
Papua New Guinea,Senegal,0,0,0
Papua New Guinea,Slovakia,25,155,18
Papua New Guinea,Ghana,0,,1
Papua New Guinea,Algeria,0,0,83
Papua New Guinea,Bahrain,0,1,0
Papua New Guinea,Belarus,0,5,0
Papua New Guinea,Costa Rica,2,0,0
Papua New Guinea,Cyprus,1,175,100
Papua New Guinea,Ethiopia,0,186,23
Papua New Guinea,Estonia,1,1,33
Papua New Guinea,Gabon,13,0,4
Papua New Guinea,Greenland,0,0,28
Papua New Guinea,Hungary,153,230,53
Papua New Guinea,Côte d'Ivoire,3,3,95
Papua New Guinea,Kenya,219,185,371
Papua New Guinea,Latvia,0,0,2
Papua New Guinea,Lithuania,1,2,1
Papua New Guinea,Malawi,3,0,10
Papua New Guinea,Mali,1,0,0
Papua New Guinea,Mauritius,13,0,0
Papua New Guinea,Oman,0,0,78
Papua New Guinea,Saint Kitts and Nevis,5,0,0
Papua New Guinea,Saint Lucia,2,0,0
Papua New Guinea,Syrian Arab Republic,0,0,65
Papua New Guinea,Trinidad and Tobago,0,19,40
Papua New Guinea,Türkiye,665,0,6
Papua New Guinea,Uganda,0,0,4
Papua New Guinea,"Tanzania, United Republic of",0,5,0
Papua New Guinea,Burkina Faso,220,164,11
Papua New Guinea,"Venezuela, Bolivarian Republic of",0,9,0
Papua New Guinea,Nigeria,10,0,0
Papua New Guinea,Tonga,27,29,209
