reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Paraguay,Brazil,1434012,1525007,1521536
Paraguay,Argentina,302804,255397,294712
Paraguay,Chile,90087,99312,74579
Paraguay,Italy,39849,39422,96341
Paraguay,Netherlands,74988,51382,66946
Paraguay,Germany,35669,21725,80141
Paraguay,Peru,44039,52919,79909
Paraguay,"Venezuela, Bolivarian Republic of",18956,36222,64846
Paraguay,United States of America,32620,48191,60370
Paraguay,Morocco,3148,0,20005
Paraguay,Colombia,45060,70546,66460
Paraguay,China,2832,7874,12739
Paraguay,Mexico,2018,1738,3670
Paraguay,Ecuador,3114,3915,31925
Paraguay,Russian Federation,3077,4522,2181
Paraguay,Türkiye,4963,44112,3527
Paraguay,France,10250,13051,15347
Paraguay,"Bolivia, Plurinational State of",22978,18132,16748
Paraguay,"Hong Kong, China",17480,21863,20061
Paraguay,Japan,21336,23261,28479
Paraguay,Portugal,5123,2185,5555
Paraguay,Greece,404,62,1700
Paraguay,Uruguay,18330,13666,10661
Paraguay,Canada,2145,6706,8841
Paraguay,Israel,1081,1240,801
Paraguay,Spain,56371,11016,59717
Paraguay,Indonesia,3129,842,759
Paraguay,Thailand,5675,6168,5144
Paraguay,Lebanon,64,64,2770
Paraguay,"Taipei, Chinese",11270,7714,10507
Paraguay,Saudi Arabia,979,443,5997
Paraguay,Tunisia,181,227,57
Paraguay,Algeria,0,1668,4
Paraguay,"Korea, Republic of",403,563,947
Paraguay,Cameroon,0,7,0
Paraguay,Belgium,626,2591,2608
Paraguay,Croatia,701,2,313
Paraguay,India,16923,2155,754
Paraguay,South Africa,1270,1990,2231
Paraguay,Switzerland,2126,2183,1993
Paraguay,United Kingdom,3947,3626,2726
Paraguay,Albania,0,0,868
Paraguay,Jamaica,26,104,14
Paraguay,Viet Nam,216,9,118
Paraguay,Bangladesh,541,177,576
Paraguay,Poland,4269,913,168
Paraguay,Serbia and Montenegro,2054,53,
Paraguay,Guatemala,468,464,947
Paraguay,Angola,,,
Paraguay,Denmark,125,478,538
Paraguay,Kuwait,0,2040,200
Paraguay,Dominican Republic,212,883,913
Paraguay,Nicaragua,168,198,278
Paraguay,Bosnia and Herzegovina,,,0
Paraguay,Malaysia,143,7,27
Paraguay,Singapore,437,171,1146
Paraguay,Austria,198,227,404
Paraguay,Pakistan,,,124
Paraguay,Mongolia,0,,6
Paraguay,Bulgaria,1255,2,153
Paraguay,Norway,450,132,139
Paraguay,Mayotte,0,0,491
Paraguay,Sweden,31,73,74
Paraguay,El Salvador,28,81,136
Paraguay,Iceland,53,89,107
Paraguay,Honduras,93,126,138
Paraguay,Australia,39,37,107
Paraguay,Finland,256,146,120
Paraguay,Côte d'Ivoire,18,87,0
Paraguay,Egypt,385,1372,1065
Paraguay,Czech Republic,146,655,156
Paraguay,Philippines,217,361,342
Paraguay,Oman,2,0,0
Paraguay,Gabon,89,0,115
Paraguay,Bahamas,4,7,24
Paraguay,Madagascar,102,52,58
Paraguay,Ghana,14,,101
Paraguay,Senegal,388,42,155
Paraguay,Armenia,0,0,0
Paraguay,Ireland,218,77,57
Paraguay,Comoros,0,0,0
Paraguay,Namibia,0,5,50
Paraguay,"Macao, China",42,12,30
Paraguay,Cuba,0,94,138
Paraguay,Costa Rica,28,133,121
Paraguay,Trinidad and Tobago,0,72,49
Paraguay,Cabo Verde,0,0,14
Paraguay,Cyprus,0,4,572
Paraguay,Panama,15,25,34
Paraguay,Slovakia,131,122,143
Paraguay,Romania,9957,68,31
Paraguay,Hungary,797,187,14
Paraguay,New Zealand,38,94,34
Paraguay,Ukraine,0,422,13
Paraguay,Estonia,0,3,0
Paraguay,Grenada,0,1,0
Paraguay,Belize,0,0,7
Paraguay,Malta,925,0,0
Paraguay,Togo,1,19,2
Paraguay,Mozambique,3,7,14
Paraguay,French Polynesia,3,14,27
Paraguay,Lithuania,7,13,0
Paraguay,Luxembourg,0,34,0
Paraguay,Mauritius,0,3,0
Paraguay,Slovenia,987,44,11
Paraguay,Fiji,,2,0
Paraguay,Guinea,71,0,
Paraguay,Faroe Islands,6,0,2
Paraguay,Barbados,0,7,0
Paraguay,Burundi,0,22,0
Paraguay,Belarus,0,4,0
Paraguay,Cambodia,76,80,0
Paraguay,Sri Lanka,21,0,0
Paraguay,Benin,14,0,4
Paraguay,Ethiopia,94,29,78
Paraguay,Guyana,0,5,0
Paraguay,"Iran, Islamic Republic of",12853,0,24
Paraguay,Jordan,0,0,1
Paraguay,Kenya,0,0,42
Paraguay,Malawi,1,0,0
Paraguay,Mali,0,0,6
Paraguay,Mauritania,0,0,233
Paraguay,Qatar,23,13,3
Paraguay,Sudan (before 2012),0,45,0
Paraguay,Syrian Arab Republic,0,0,33609
Paraguay,"Tanzania, United Republic of",0,0,0
Paraguay,Samoa,0,13,0
Paraguay,Nigeria,425,609,918
