reporter,Exporters,Imported value in 2001,Imported value in 2002,Imported value in 2003
Peru,United States of America,1564292,1562464,1698527
Peru,Brazil,285940,435379,487583
Peru,Chile,586741,512684,469272
Peru,Ecuador,341414,373712,632891
Peru,Colombia,277458,347314,395374
Peru,Argentina,393954,444305,414431
Peru,China,176520,246644,353741
Peru,Germany,196794,194836,218548
Peru,"Korea, Republic of",187837,195833,204397
Peru,Japan,275843,273455,233534
Peru,Spain,164187,149436,160378
Peru,Mexico,193260,232842,193640
Peru,Italy,121895,155759,156420
Peru,"Bolivia, Plurinational State of",67517,73752,89923
Peru,Canada,122670,107801,95633
Peru,"Venezuela, Bolivarian Republic of",295719,203650,237715
Peru,"Taipei, Chinese",87908,101677,115362
Peru,France,103568,105833,106095
Peru,United Kingdom,59345,65853,73791
Peru,Belgium,57733,53178,53144
Peru,Russian Federation,34705,48753,59564
Peru,"Hong Kong, China",53629,54781,56158
Peru,Netherlands,41825,41362,60913
Peru,Malaysia,12550,16506,22342
Peru,India,34778,47411,39976
Peru,Switzerland,38637,43739,46426
Peru,Australia,31175,32711,35759
Peru,Sweden,30443,26919,35622
Peru,Finland,41674,32302,29358
Peru,Thailand,13557,22471,19568
Peru,Ukraine,5782,24738,14877
Peru,New Zealand,35695,21030,22037
Peru,Indonesia,21221,25103,22192
Peru,Uruguay,16891,11404,8931
Peru,Austria,14286,19260,21565
Peru,Singapore,14126,14828,11486
Peru,South Africa,14944,16965,27403
Peru,Ireland,8574,8801,8181
Peru,Paraguay,15617,17927,19364
Peru,Denmark,12087,16839,14978
Peru,Israel,15059,14757,11336
Peru,Czech Republic,5757,5258,3392
Peru,Romania,10056,6793,8955
Peru,Poland,2018,3232,4365
Peru,Costa Rica,8659,7107,9586
Peru,Portugal,5284,3114,4519
Peru,Türkiye,8889,14327,7336
Peru,Bulgaria,7070,7430,6170
Peru,Viet Nam,1672,1243,2487
Peru,Guatemala,6515,6092,1440
Peru,Trinidad and Tobago,5917,5743,10429
Peru,Norway,2973,3977,9409
Peru,Philippines,9914,3575,3687
Peru,Latvia,3162,5787,10561
Peru,Pakistan,,,4721
Peru,Slovakia,974,808,1046
Peru,Saudi Arabia,0,9660,458
Peru,Sri Lanka,3732,2662,5107
Peru,Hungary,892,5776,1678
Peru,Morocco,1955,3656,4436
Peru,Belarus,1451,44,13
Peru,Greece,722,418,2689
Peru,Qatar,847,364,565
Peru,Panama,592,620,333
Peru,Bangladesh,270,281,63
Peru,Cuba,674,837,913
Peru,Jordan,395,529,818
Peru,Syrian Arab Republic,0,0,6793
Peru,Honduras,42,144,98
Peru,Cambodia,0,19,10
Peru,Jamaica,692,782,567
Peru,Luxembourg,196,937,2155
Peru,Croatia,141,193,44
Peru,Mozambique,0,0,0
Peru,Egypt,87,0,704
Peru,Côte d'Ivoire,350,157,106
Peru,Slovenia,144,305,266
Peru,Estonia,1064,31,24
Peru,Malta,0,16,0
Peru,El Salvador,179,396,466
Peru,Dominican Republic,521,207,302
Peru,Cyprus,102,182,730
Peru,Nicaragua,120,153,232
Peru,Guyana,72,79,66
Peru,"Iran, Islamic Republic of",24,40,522
Peru,Ethiopia,0,0,641
Peru,Tunisia,0,94,70
Peru,Malawi,0,0,0
Peru,Algeria,0,0,0
Peru,"Macedonia, North",0,0,0
Peru,Lithuania,222,140,253
Peru,Mongolia,0,,0
Peru,Barbados,3,0,9
Peru,"Macao, China",52,113,147
Peru,Fiji,,0,0
Peru,Bahamas,0,6,18
Peru,Serbia and Montenegro,27,23,
Peru,Ghana,66,,4
Peru,Namibia,0,1,0
Peru,Kenya,34,16,4
Peru,"Tanzania, United Republic of",0,0,0
Peru,Senegal,0,13,0
Peru,Mauritius,0,0,0
Peru,Benin,1417,0,0
Peru,Suriname,348,,
Peru,Andorra,0,0,0
Peru,Bahrain,0,0,77
Peru,Botswana,0,0,6
Peru,Cameroon,0,4,0
Peru,French Polynesia,0,0,0
Peru,Georgia,0,6,0
Peru,Grenada,0,0,0
Peru,Iceland,12,18,22
Peru,Kazakhstan,5676,2026,0
Peru,Lebanon,2,0,11
Peru,Madagascar,12,0,0
Peru,Mali,1139,77,0
Peru,Saint Lucia,0,0,0
Peru,Zimbabwe,0,133,21
Peru,Togo,0,119,281
Peru,Zambia,7,0,58
Peru,Nigeria,23859,27772,115291
