reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Romania,Italy,3016878,3591918,4394160
Romania,Germany,2098567,2304850,2998556
Romania,France,995204,1220054,1551116
Romania,Türkiye,481140,661765,955971
Romania,United Kingdom,690836,936110,1152408
Romania,United States of America,519855,744561,785229
Romania,Hungary,362043,432083,600568
Romania,Austria,377998,477580,671188
Romania,Belgium,280120,277817,426732
Romania,Greece,339761,323346,444385
Romania,Netherlands,328874,328788,505731
Romania,Spain,220350,301604,378144
Romania,Syrian Arab Republic,306267,350144,394874
Romania,Bulgaria,172764,163731,261830
Romania,Poland,122675,135106,213748
Romania,China,103760,390941,470103
Romania,Czech Republic,56700,80736,137869
Romania,Serbia and Montenegro,175484,149876,
Romania,Croatia,21834,44708,132144
Romania,Switzerland,61599,80309,121937
Romania,"Moldova, Republic of",93464,90358,97994
Romania,Sweden,68364,71992,102408
Romania,"Korea, Republic of",33973,56516,64860
Romania,Slovakia,31839,44182,96615
Romania,Egypt,131187,108238,102927
Romania,India,42961,45291,62251
Romania,Russian Federation,90955,61848,68708
Romania,Canada,59667,81071,101074
Romania,Slovenia,85356,98339,93731
Romania,Norway,86083,114416,156315
Romania,Saudi Arabia,66975,80889,72776
Romania,"Macedonia, North",13193,9749,14378
Romania,Japan,45760,51063,62968
Romania,Lebanon,36603,56692,76997
Romania,Israel,87662,79026,76661
Romania,"Iran, Islamic Republic of",42727,32517,63175
Romania,Ukraine,28073,28985,46014
Romania,Romania,31775,39412,66005
Romania,Jordan,31377,41148,31847
Romania,Ireland,63742,36095,56864
Romania,"Taipei, Chinese",38431,57030,70701
Romania,Finland,18788,24737,46663
Romania,Algeria,21321,39908,60195
Romania,Singapore,20961,20152,47323
Romania,Portugal,19599,33878,41616
Romania,Cyprus,6851,8275,22200
Romania,Denmark,36949,28849,32761
Romania,Morocco,38287,54437,41959
Romania,Bosnia and Herzegovina,,,22595
Romania,Kazakhstan,16147,41547,22876
Romania,Kuwait,15664,26357,33275
Romania,Tunisia,36073,20645,30424
Romania,Mexico,24043,40968,20163
Romania,Australia,7073,8219,14766
Romania,Argentina,15297,5989,9424
Romania,Thailand,26654,28772,19740
Romania,Indonesia,7278,10635,5846
Romania,Pakistan,,,12091
