reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Rwanda,Indonesia,0,58959,66106
Rwanda,China,6370,5191,7117
Rwanda,Germany,4852,4948,8133
Rwanda,Malaysia,1730,915,473
Rwanda,United States of America,7221,3339,2849
Rwanda,Netherlands,6916,3106,3291
Rwanda,Belgium,2704,4863,2470
Rwanda,"Hong Kong, China",13548,10121,4226
Rwanda,Spain,1268,1774,933
Rwanda,Thailand,1881,542,1920
Rwanda,Romania,1132,1802,1529
Rwanda,United Kingdom,1424,2962,1901
Rwanda,France,773,943,718
Rwanda,Denmark,471,529,1041
Rwanda,Pakistan,,,1169
Rwanda,Burundi,535,847,692
Rwanda,India,23,0,0
Rwanda,Uganda,352,1367,536
Rwanda,Kazakhstan,361,4831,0
Rwanda,Switzerland,1537,44,724
Rwanda,Hungary,445,232,362
Rwanda,Austria,413,749,459
Rwanda,Italy,653,1077,681
Rwanda,Sweden,90,732,360
Rwanda,Guatemala,0,0,0
Rwanda,Ethiopia,159,11,33
Rwanda,Ireland,389,37,261
Rwanda,South Africa,8886,400,190
Rwanda,Türkiye,7,8,551
Rwanda,"Tanzania, United Republic of",78,45,811
Rwanda,Morocco,0,22,37
Rwanda,Greece,111,161,214
Rwanda,Poland,0,618,382
Rwanda,Slovakia,0,81,65
Rwanda,Israel,0,0,0
Rwanda,"Korea, Republic of",30,25,2
Rwanda,Lebanon,10,51,86
Rwanda,"Venezuela, Bolivarian Republic of",0,0,0
Rwanda,Tunisia,0,18,25
Rwanda,Canada,1,526,16
Rwanda,Côte d'Ivoire,8,14,21
Rwanda,Sao Tome and Principe,0,0,0
Rwanda,Guinea,1,0,
Rwanda,Ghana,0,,0
Rwanda,Zambia,10,5,7
Rwanda,Burkina Faso,3,0,59
Rwanda,Mali,0,0,25
Rwanda,Niger,0,0,5
Rwanda,Madagascar,0,0,0
Rwanda,Togo,0,17,0
Rwanda,Serbia and Montenegro,0,0,
Rwanda,Luxembourg,13,5,0
Rwanda,Cyprus,2,0,1
Rwanda,Japan,2257,12,344
Rwanda,Mozambique,0,0,4
Rwanda,Russian Federation,42,47,1
Rwanda,Czech Republic,51,31,96
Rwanda,Brazil,0,8,0
Rwanda,Finland,0,5,11
Rwanda,Viet Nam,0,637,7
Rwanda,Sri Lanka,0,0,0
Rwanda,Mayotte,0,0,0
Rwanda,Dominican Republic,0,0,0
Rwanda,Mexico,0,0,0
Rwanda,Portugal,214,6,0
Rwanda,Timor-Leste,,,
Rwanda,Ukraine,25,0,0
Rwanda,Australia,84,69,29
Rwanda,Bangladesh,0,0,1912
Rwanda,Botswana,0,3,0
Rwanda,Bulgaria,0,0,0
Rwanda,Belarus,0,41,0
Rwanda,Cameroon,0,0,0
Rwanda,Comoros,0,0,3
Rwanda,Croatia,0,1,0
Rwanda,Cuba,2,0,0
Rwanda,Estonia,11,0,0
Rwanda,Honduras,0,0,3
Rwanda,Iceland,29,0,0
Rwanda,Kenya,30,66,129
Rwanda,Malawi,11,1,0
Rwanda,Mauritius,0,1,4
Rwanda,"Taipei, Chinese",75,0,0
Rwanda,Oman,4,36,0
Rwanda,Namibia,1,0,0
Rwanda,Norway,0,0,0
Rwanda,Philippines,0,0,22
Rwanda,Singapore,145,1398,0
Rwanda,Slovenia,40,16,14
Rwanda,Egypt,0,2,0
Rwanda,Eritrea,,,15
Rwanda,Nigeria,3,931,91
