reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Saudi Arabia,United States of America,13272217,13898558,19524636
Saudi Arabia,Japan,12322021,11631050,14596737
Saudi Arabia,"Korea, Republic of",8160832,8322776,9267844
Saudi Arabia,China,2715895,3435351,5172322
Saudi Arabia,"Taipei, Chinese",2745435,2415249,4284252
Saudi Arabia,Singapore,4221208,3817142,3917884
Saudi Arabia,France,2187645,2117471,2395100
Saudi Arabia,Netherlands,2079466,1481217,2277536
Saudi Arabia,Italy,1914717,1791536,2490286
Saudi Arabia,South Africa,1745050,1299980,1959024
Saudi Arabia,Spain,1214938,1531333,1819589
Saudi Arabia,Thailand,1352524,1224837,1715580
Saudi Arabia,Indonesia,1314136,1103519,1498197
Saudi Arabia,United Kingdom,1337739,948136,988507
Saudi Arabia,Pakistan,,,1416666
Saudi Arabia,Jordan,156490,144572,647934
Saudi Arabia,Greece,1048809,883942,1232530
Saudi Arabia,Syrian Arab Republic,661635,737219,837103
Saudi Arabia,Philippines,929422,1028566,1248741
Saudi Arabia,Germany,848209,792012,1053669
Saudi Arabia,Brazil,872659,682253,920941
Saudi Arabia,India,504321,469161,687397
Saudi Arabia,Malaysia,636491,398388,583131
Saudi Arabia,Kuwait,508699,581207,745754
Saudi Arabia,Morocco,521915,694718,717395
Saudi Arabia,Canada,517034,477333,657389
Saudi Arabia,Australia,770353,714637,663158
Saudi Arabia,Belgium,204712,244495,306815
Saudi Arabia,Qatar,201229,252079,291103
Saudi Arabia,Egypt,678674,344360,252824
Saudi Arabia,Sudan (before 2012),199121,300940,398051
Saudi Arabia,Lebanon,259529,138879,219641
Saudi Arabia,Ethiopia,200250,106389,42901
Saudi Arabia,Bahrain,247316,292171,325302
Saudi Arabia,Austria,125277,156981,339706
Saudi Arabia,Portugal,369954,328253,357606
Saudi Arabia,"Hong Kong, China",183410,221919,261043
Saudi Arabia,Switzerland,112358,341995,551122
Saudi Arabia,Türkiye,729645,120828,208521
Saudi Arabia,Mexico,187419,186691,182056
Saudi Arabia,Yemen,,,
Saudi Arabia,"Iran, Islamic Republic of",162970,261504,397986
Saudi Arabia,New Zealand,169774,179767,145984
Saudi Arabia,Seychelles,10,59495,64800
Saudi Arabia,Oman,185042,220467,127453
Saudi Arabia,Sri Lanka,35645,155616,75352
Saudi Arabia,Tunisia,44291,60480,103927
Saudi Arabia,Sweden,149187,24421,37462
Saudi Arabia,Bangladesh,151957,98761,96955
Saudi Arabia,Viet Nam,23154,28818,38373
Saudi Arabia,Algeria,37543,29819,39739
Saudi Arabia,Poland,11857,13915,28421
Saudi Arabia,"Tanzania, United Republic of",58169,47791,51973
Saudi Arabia,Mauritius,38140,50607,58790
Saudi Arabia,Madagascar,6965,3669,8963
Saudi Arabia,Rwanda,29598,23293,28826
Saudi Arabia,Ecuador,17187,118,385
Saudi Arabia,Côte d'Ivoire,23503,15649,18628
Saudi Arabia,Cyprus,16240,11415,19543
Saudi Arabia,Ghana,31872,,10864
Saudi Arabia,Togo,2109,4048,9602
Saudi Arabia,Uganda,8089,7332,12270
Saudi Arabia,"Macao, China",506,9761,9957
Saudi Arabia,Norway,4597,5589,4296
Saudi Arabia,Argentina,13772,11974,4989
Saudi Arabia,Romania,4294,5112,2848
Saudi Arabia,Finland,1641,2216,4195
Saudi Arabia,Benin,6531,4671,1834
Saudi Arabia,Croatia,1055,1905,3510
Saudi Arabia,Czech Republic,1163,3472,4159
Saudi Arabia,Zambia,2852,4566,1638
Saudi Arabia,Mozambique,656,903,18404
Saudi Arabia,Senegal,9840,8601,14382
Saudi Arabia,Russian Federation,593,2109,2185
Saudi Arabia,Niger,1338,278,1102
Saudi Arabia,Zimbabwe,881,2367,802
Saudi Arabia,Denmark,4002,4992,3271
Saudi Arabia,Luxembourg,981,691,1514
Saudi Arabia,Malawi,2873,26414,20025
Saudi Arabia,Burkina Faso,15403,729,929
Saudi Arabia,Slovakia,390,1194,2060
Saudi Arabia,Mali,2073,1514,5085
Saudi Arabia,Cameroon,16995,12127,2965
Saudi Arabia,Peru,10316,642,1216
Saudi Arabia,Slovenia,1236,2170,3277
Saudi Arabia,Ireland,2843,24697,7425
Saudi Arabia,Mauritania,1631,2993,2251
Saudi Arabia,Chile,5252,4085,479
