reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Saudi Arabia,China,2775458,3824415,5055834,7839959,10823468,8977852,10366445,14849707,18452901,18739814,20575242,21683665,19266738,18320971,17560589,23876506,28094808,30321535,37990175,43002177
Saudi Arabia,United States of America,5256748,6805402,7808243,10399222,12477995,10803684,11505551,13923665,17961238,18960148,18704865,19791575,17993678,16355446,13597010,14482987,11109264,11132973,11565255,13873176
Saudi Arabia,Germany,3801957,5023655,5846064,7311409,7679110,6866302,7768058,9608612,10627977,12338480,11901919,10999829,8036914,7374342,7399019,6610835,6653926,6575907,7012594,8772084
Saudi Arabia,Switzerland,1061684,1170923,1076595,1601350,2284483,1775907,1568789,1846816,3904483,5279343,5010210,4953302,2808642,1864000,1985339,1819005,1718582,2501281,5039339,6785149
Saudi Arabia,Japan,3673578,4174424,4642475,6728216,7850441,5384681,6486304,6495947,8228300,6847345,7600955,6828410,5035586,3735333,4113639,5107984,4240698,4457161,5115079,6347864
Saudi Arabia,United Kingdom,2975470,2907494,3080003,3755720,4240751,4150995,4757624,4930243,5165375,6600495,6873329,8300479,6615580,5411599,4905993,4187362,3573671,3786438,4623660,5496551
Saudi Arabia,"Korea, Republic of",1708143,2093147,2978298,4025836,5253426,3856582,4556673,6964299,9112041,8824019,8286928,9482222,5645029,5159526,3952078,3701568,3301838,3323890,4865150,5324700
Saudi Arabia,Italy,1819997,2226457,3045508,4153043,4878203,3407944,3531983,5166941,5194764,5950178,6398652,5665535,4633173,4442693,3654286,3667732,3654332,3947855,4302842,5016988
Saudi Arabia,Netherlands,1168982,1436922,1867483,2045214,2309956,2212314,2215884,2408926,2871386,3007525,3342111,2789473,2362201,2846936,3703290,3760911,3608538,3362187,3766287,4849906
Saudi Arabia,France,1628227,2054108,2293380,2689900,3329846,3511415,5190531,4375119,4140106,4532922,3927818,3491518,4583250,5087012,4095483,3339001,2653556,3238515,4072867,4312807
Saudi Arabia,Brazil,824769,1203511,1485727,1477631,2560750,1950909,3096329,3475690,2996851,2836102,2540897,2750367,2487253,2656719,2107637,2036095,1886920,2070485,2924845,3205269
Saudi Arabia,Belgium,898350,970106,1181295,1310094,1783481,1466374,1437475,2209939,2052300,2429939,2280858,2217923,1903781,2019444,1880700,1987319,1904852,2448890,2818325,2878698
Saudi Arabia,Spain,699448,769747,863158,1273789,1434685,1228320,1387808,1866291,2123909,3152878,3023970,3434383,2616669,2552750,2763063,2060704,1983221,2255683,3112624,2780847
Saudi Arabia,Türkiye,768519,962156,983227,1486918,2201875,1768216,2217646,2763476,3676612,3262257,3137937,3472634,3174965,2734522,2636039,3293057,2507787,265400,1071805,2620074
