reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Serbia,"Korea, Republic of",17888,18208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Ukraine,239822,250762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Argentina,2112,2837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Australia,1612,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Austria,543907,539296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Bosnia and Herzegovina,261887,371200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Brazil,27101,22962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Belize,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Bulgaria,269372,349856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Canada,10025,8799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,China,163199,201084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Colombia,74,8704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Costa Rica,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Croatia,294039,393366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Cyprus,5160,9331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Czech Republic,214276,207492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Denmark,39865,32360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,El Salvador,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Estonia,2197,2392,2936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Finland,20982,14809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,France,309668,317180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Germany,1285786,1373378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Greece,259453,239522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,"Hong Kong, China",12620,12397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Hungary,507025,623634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Iceland,59,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Ireland,18439,9178,4858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Italy,1136592,1154031,1400988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Japan,11789,10248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Latvia,425,1235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Lithuania,5905,3281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Luxembourg,4432,7629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Madagascar,93,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Malaysia,7082,10593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Malta,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Netherlands,277572,264563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,New Zealand,232,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Norway,5596,11042,16008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Peru,869,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Poland,141722,164371,221563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Portugal,2106,1760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Romania,226589,317264,497783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Slovakia,114802,133298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Slovenia,567203,646765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,South Africa,793,1239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Spain,107474,99376,106254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Sweden,182375,113890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Switzerland,175646,156401,167135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Thailand,3771,1730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,Türkiye,211944,257879,278784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,United Kingdom,121126,105077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,United States of America,142933,132496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,United Arab Emirates,,635,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Lesotho,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Andorra,79,,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Kuwait,29,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Mauritania,2165,4939,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Togo,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Cuba,205,2,0,,,,,,,,,,0,0,0,0,0,0,0,
Serbia,Mongolia,0,14,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Bangladesh,38,23,0,0,0,0,0,0,0,0,,0,,,,,,,,
Serbia,Albania,29491,32647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Bahrain,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Armenia,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Barbados,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Botswana,22,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Burundi,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Cambodia,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Dominican Republic,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Ethiopia,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Georgia,319,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,Guyana,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
