reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Serbia,Germany,0,0,658729,910194,1145442,836092,994467,1280748,1297357,1645124,1714948,1597541,1879531,2141260,2400178,2531069,2580129,3360330,4263220,4845400
Serbia,Hungary,0,0,196151,255005,359064,320896,368481,506312,457771,625628,580728,597863,694605,987476,1100416,1047982,1098404,1842561,2532305,2577312
Serbia,China,0,0,6981,13116,12281,28643,55116,77891,101566,180127,112741,133912,161821,211537,224519,360613,498177,984890,1375034,1658261
Serbia,Italy,0,0,0,1125450,1098059,916980,1147267,1309105,1219160,2241661,2428581,2039361,1974830,2047849,2150493,1783784,1422063,1746667,1630011,1535030
Serbia,Romania,0,0,0,334656,361644,260610,336538,397879,296098,360897,466146,426915,518910,641488,891989,911259,855191,1083427,1234934,1419802
Serbia,Slovenia,0,0,308029,489926,575564,368646,483451,594776,476330,564149,571848,458754,504312,587535,776994,741692,681506,967398,919827,1262813
Serbia,Croatia,0,0,243320,329479,428151,281788,305048,400594,362372,408996,480328,484986,554922,668091,714773,667834,675323,958731,1536995,1240832
Serbia,Bulgaria,0,0,211563,239363,281064,210224,275534,354407,321031,350991,406103,401542,444394,695245,754395,716952,712978,931588,1011919,1180021
Serbia,Czech Republic,0,0,104100,127441,260785,153634,182784,272734,240542,429178,384951,300954,332441,372572,581202,605369,663400,922831,945027,958782
Serbia,Poland,0,0,0,135550,149465,67444,101178,142162,138619,212755,247558,237297,281911,369037,466688,535498,603604,837359,812796,892613
Serbia,France,0,0,217854,287932,266395,208935,246178,286393,265824,377213,459029,431489,433989,505046,570376,568048,559529,696893,866945,878666
Serbia,United States of America,0,0,72149,60779,74199,64573,168205,138210,150466,530255,285282,282419,322328,307482,340677,356068,469046,679727,903614,869956
Serbia,Austria,0,0,191197,316259,455862,325093,379583,439014,342913,445324,463508,445195,472280,562146,622282,768230,652229,844744,956256,819883
Serbia,Türkiye,0,0,2014,73755,66853,66075,123130,223407,214631,268980,343218,246162,296744,422882,335683,446288,445909,471001,598093,690384
Serbia,Slovakia,0,0,38222,91065,190595,122969,167235,182453,205077,261765,293126,282755,351081,403152,470606,489454,390535,510035,588267,658314
Serbia,United Kingdom,0,0,105817,134622,135372,102797,129343,141525,118116,149791,137884,172480,250975,291492,305411,347379,328616,371180,552214,550226
Serbia,Sweden,0,0,32129,57526,55677,36258,44257,52294,47265,56875,63510,67488,86063,169689,218262,227062,267669,366059,382736,505191
Serbia,Switzerland,0,0,0,36166,59241,52202,65727,77355,103677,116952,123056,112187,142434,178946,217347,229267,261274,333164,375721,433634
Serbia,Spain,0,0,667,77851,83439,172069,108159,136318,165235,128687,171845,204081,203623,186148,232607,237327,303890,390916,550625,412028
Serbia,Netherlands,0,0,2795,113258,155381,126502,112674,127507,175876,130237,164895,125412,167013,178556,264322,361481,392557,397125,381428,400366
Serbia,Japan,0,0,3268,9448,37980,4288,3986,12545,47791,18887,42597,200962,256209,279492,364234,348615,610299,753196,564768,382458
Serbia,Greece,0,0,164915,192114,223051,143417,207287,254583,165113,235089,204384,176841,167309,191245,232785,228524,244966,304235,316760,351480
Serbia,Belgium,53338,64782,84942,120464,151697,78370,106733,148723,144004,152621,185324,168126,154987,175366,192197,204294,209817,297638,269663,282903
Serbia,Ukraine,0,0,0,66321,87934,49580,75935,115306,126734,141415,140740,83250,106502,132423,162150,173709,165239,195113,166981,184071
Serbia,"Korea, Republic of",0,0,616,1871,951,532,40523,161082,224773,70587,100654,115625,43505,64692,60928,240698,167748,210122,181170,122300
Serbia,Canada,0,0,11166,12883,12170,9084,12469,15173,14045,55779,76336,61808,48329,54813,49250,50759,58092,89509,79300,108504
Serbia,Denmark,0,0,8486,10284,16992,9582,17381,25920,25700,35524,49338,65649,50545,57133,62418,59095,68521,70222,79050,74954
Serbia,Australia,0,0,3233,4082,3566,3667,4417,5846,7371,9448,10013,13099,17476,19736,22238,24267,32645,51807,50442,63716
Serbia,Norway,0,0,0,6059,16147,4273,10649,8183,10458,31254,26133,25665,24332,29857,36370,38318,41735,57765,54390,55286
Serbia,Finland,0,0,6860,12314,14460,10628,10912,13707,15570,14454,18098,18516,23442,30240,40267,38307,44628,61856,213443,48930
Serbia,Portugal,0,0,55813,11094,16454,76449,7995,18831,11603,26415,32327,38552,29228,18554,16001,19647,33643,63577,42057,42630
Serbia,Cyprus,0,0,24017,12916,6776,12198,17412,25079,5417,3653,18072,17203,19066,18476,20608,22654,25471,28291,40815,42019
Serbia,Brazil,0,0,619,5913,4009,1429,4787,24428,36514,26138,24846,17318,26119,21293,26143,22573,30379,38796,67379,41909
Serbia,South Africa,0,0,1664,1296,2711,1770,2359,2767,5283,8400,6125,5523,7074,9760,14550,18925,15662,26325,29713,38618
Serbia,Lithuania,0,0,1257,2241,6289,1035,2561,5210,5978,12845,15715,9564,11734,12290,33445,46460,38226,45789,27110,31981
Serbia,Estonia,0,0,0,3688,2401,1876,3449,1793,5159,5573,4804,4234,5383,6132,6678,12474,16139,12396,19246,28573
Serbia,"Hong Kong, China",0,0,427,175,335,869,2881,19769,76985,103516,145359,166626,163996,63059,12289,6982,9146,13120,30261,26822
Serbia,Singapore,0,0,0,0,0,0,0,3521,7586,34757,35889,40922,49179,54640,45513,21636,15881,22643,25466,26613
Serbia,Ireland,0,0,10556,12664,14165,1435,4004,641,3125,3339,6563,5422,4516,6985,5768,16740,16735,64738,32877,22597
Serbia,Argentina,0,0,553,456,473,408,643,831,1133,1018,15995,3960,4364,8270,8663,9223,10930,15625,26016,20771
Serbia,Thailand,0,0,1239,267,356,4853,6198,6341,7233,13450,9643,7509,5516,9321,12074,13138,12054,8512,11541,14168
Serbia,"Taipei, Chinese",204,10621,771,611,560,244,785,1204,3702,1914,4316,3295,13310,20875,11434,7842,8269,8744,12416,13213
Serbia,Latvia,0,0,7045,14489,6023,4538,4052,4673,3190,4149,7370,4433,3278,4933,4841,7528,7808,14163,13821,12536
Serbia,Luxembourg,0,0,330,429,633,246,353,1111,1366,1974,3806,5289,11805,8596,5307,7953,6885,7601,10195,9694
Serbia,Iceland,0,0,860,404,783,374,945,471,761,1253,1697,1156,1480,3004,2130,2742,4392,5564,7241,8060
Serbia,New Zealand,0,0,381,446,336,341,663,1045,564,724,1173,1648,2449,2401,3468,3539,5484,7866,9684,7096
