reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Singapore,United States of America,17651440,16217778,16560120
Singapore,Malaysia,14912904,15964090,16522635
Singapore,Japan,14708196,14191440,14846929
Singapore,China,5790711,6984217,8863772
Singapore,Thailand,5245139,5549361,5871727
Singapore,"Taipei, Chinese",4051251,4381828,4973675
Singapore,Indonesia,5363831,5349084,5399658
Singapore,"Hong Kong, China",3852148,4164099,4638547
Singapore,"Korea, Republic of",4079566,4221468,4635988
Singapore,Germany,3630305,3532582,4319870
Singapore,India,926002,1380394,1701905
Singapore,France,1798859,1787555,2367382
Singapore,United Kingdom,2351309,2199286,2617230
Singapore,Philippines,2307655,2471745,2431068
Singapore,Australia,2764993,2697271,2283471
Singapore,Italy,1526466,1338926,1578222
Singapore,Qatar,735688,1017086,1273637
Singapore,Netherlands,977528,1202508,1113445
Singapore,Viet Nam,1043734,961126,1024709
Singapore,Switzerland,1051344,1048052,1046304
Singapore,Ireland,574371,698219,830308
Singapore,Saudi Arabia,304674,359549,436793
Singapore,Sweden,472247,507997,672756
Singapore,Canada,255334,367138,317529
Singapore,Brazil,213165,469075,336970
Singapore,Belgium,428270,463113,492168
Singapore,Norway,298174,376336,732897
Singapore,Malta,228920,351480,414260
Singapore,Israel,261735,276287,293859
Singapore,Spain,367744,458627,314246
Singapore,South Africa,233915,168879,228531
Singapore,Portugal,77414,114899,261758
Singapore,Denmark,181213,174359,269933
Singapore,Finland,239580,145413,205514
Singapore,Ukraine,93093,124857,132209
Singapore,Mexico,232027,198505,189326
Singapore,New Zealand,167498,179536,178508
Singapore,Austria,200290,190778,173845
Singapore,Yemen,,,
Singapore,Russian Federation,574520,521838,158181
Singapore,Oman,513612,428451,34989
Singapore,Czech Republic,84171,85719,118364
Singapore,Egypt,86125,60486,50734
Singapore,Brunei Darussalam,295578,146744,185191
Singapore,Pakistan,,,137804
Singapore,Sudan (before 2012),141973,53585,51548
Singapore,Greece,25550,54160,54890
Singapore,Bulgaria,2420,3182,44372
Singapore,Sri Lanka,57113,72198,59960
Singapore,Türkiye,104576,98734,100482
Singapore,Chile,31093,36686,42568
Singapore,Hungary,148515,119420,45048
Singapore,Poland,50282,52054,92177
Singapore,Bangladesh,53932,29802,51575
Singapore,"Iran, Islamic Republic of",38301,63026,73426
Singapore,Romania,15933,16265,32848
Singapore,Papua New Guinea,168758,81970,27423
Singapore,Colombia,9243,7176,10849
Singapore,Madagascar,66644,21242,24922
Singapore,Costa Rica,11953,15190,23542
Singapore,Bahrain,5961,6797,14682
Singapore,Algeria,9476,47206,0
Singapore,Uganda,7278,8719,13859
Singapore,Slovakia,11281,14089,27975
Singapore,Mongolia,203,,35036
Singapore,Morocco,34777,8049,1620
Singapore,Kuwait,351683,9130,6463
Singapore,"Tanzania, United Republic of",5956,3992,13388
Singapore,Luxembourg,11978,8582,14048
Singapore,Côte d'Ivoire,1588,6925,19782
Singapore,Argentina,28468,15965,9763
Singapore,Lithuania,1007,409,1035
Singapore,Maldives,2048,2525,3264
Singapore,Peru,7916,6746,16156
Singapore,Cambodia,28055,26551,29330
Singapore,Trinidad and Tobago,6480,4529,1114
Singapore,Zimbabwe,927,5630,4402
Singapore,Guinea-Bissau,,,30918
Singapore,Mauritius,1797,7748,8300
Singapore,"Venezuela, Bolivarian Republic of",56397,105206,200819
Singapore,Guatemala,4161,7180,5733
Singapore,Solomon Islands,1391,2065,3755
Singapore,Ghana,443,,2625
Singapore,Slovenia,3608,3264,3218
Singapore,Uruguay,2516,2578,2305
Singapore,Mali,19,1274,36425
Singapore,Benin,593,1332,1186
Singapore,Cyprus,3399,3433,3387
Singapore,Gabon,1483,57840,82684
Singapore,Namibia,440,1390,1320
Singapore,"Macao, China",12547,8777,11542
Singapore,Fiji,,6949,733
Singapore,Georgia,244,231,1113
Singapore,Croatia,1155,1843,1831
Singapore,Azerbaijan,33,821,101
Singapore,Jordan,1812,1986,564
Singapore,Ethiopia,1437,1448,1083
Singapore,"Macedonia, North",40,4,151
Singapore,Mozambique,1173,4780,501
Singapore,Belarus,998,2152,1477
Singapore,Estonia,1239,5081,1653
Singapore,Kenya,6751,1470,2617
Singapore,Lebanon,346,735,483
Singapore,French Polynesia,882,587,815
Singapore,Timor-Leste,,,
Singapore,Burkina Faso,11337,9204,37
Singapore,Latvia,118,1704,157
Singapore,Dominican Republic,13,402,1070
