reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Singapore,"Hong Kong, China",14268944,17420469,21259347,25387043,25167817,22716508,30828779,33000893,34614822,32619587,34930539,34574829,35457863,37688513,40415944,37628887,41235811,54205647,51405790,44586283
Singapore,United States of America,15658391,15379366,18068466,18692293,16161164,15856691,17695832,19367940,20462919,18102078,16651709,18526733,18062549,19620200,26791148,26690408,31125739,29910096,32145061,40711733
Singapore,Malaysia,11651658,13356095,15313893,16715262,17007216,13622423,18731505,23995387,25978492,25432068,26200004,21145608,17494758,21581763,25510360,21620587,17534569,22624611,30871517,31473457
Singapore,China,13994473,16514596,17672616,17550373,20171265,17796637,24728920,28139649,28529563,30064515,30828733,27557900,25938742,34133663,33638316,35237819,31616282,38803060,33958353,31408345
Singapore,"Korea, Republic of",4460496,5317585,5886659,6859610,8361728,7871715,7849429,8966595,9676321,10365523,11306787,7943531,6805668,8904384,7977520,6659093,8444688,10691521,10347783,11178605
Singapore,Australia,4796864,6902213,8433882,9182734,14230994,8792367,10079073,14596109,14834957,12509440,11506710,6964746,5244129,6174137,8597190,7070901,5248180,9366033,13532646,10678969
Singapore,"Taipei, Chinese",4312350,4960393,5112418,4791201,4802989,4797351,7673159,7960448,8135756,8548089,8360374,7098839,7506116,8737593,8419337,7926319,9032490,12109382,12524416,9517340
Singapore,Japan,6291718,6694676,7477483,7052664,7886222,6114724,8169189,8677248,8768236,7455741,7883744,7911906,7479222,8528136,9744608,7804111,8550162,8876375,9892044,8628872
Singapore,Thailand,4156890,5380776,5725774,6294987,7142014,5723493,6294236,7787266,7831972,8226214,7879010,7148814,6547047,8022420,7746218,7745333,7596839,7366707,8307070,8223886
Singapore,Germany,5471888,4930764,5925820,5317528,5605465,4576401,6255277,6764077,6549998,6459574,6691703,6507801,5929744,7369859,7780537,6444294,5512946,5011857,7438709,6617789
Singapore,Netherlands,4250497,3699302,4030946,4244566,3783149,3140570,3547626,3687465,4476591,3542776,3555453,2187535,2878074,4131996,4585136,5019475,4729528,5045509,5336238,5894671
Singapore,Switzerland,277462,345375,453803,542464,682394,992952,831063,751408,2242274,1448947,1711640,2016542,3495848,2466108,2735665,2630813,4079040,5058762,4583852,3912378
Singapore,Belgium,576180,713942,1042201,1487497,1856180,2642324,3844012,4026343,5243803,5175195,5658319,6179842,6204833,4980313,5660540,3557861,4296570,3789750,4481248,2913467
Singapore,United Kingdom,5778566,6565488,6344742,6973420,5355641,3935724,4628615,4790347,4453409,2676996,2137151,1484674,2035407,2503761,1678179,2210200,2560720,1890987,2494987,2833487
Singapore,New Zealand,646294,872542,1200580,1585095,1593058,1033225,1172270,2163267,1707690,1656587,1709113,1265993,998644,1372802,1474460,1218765,1006716,1133284,2717724,2780906
Singapore,France,3089347,4274151,3726638,4798127,3963806,3313476,4070017,5502622,5919907,4141564,3696713,2806350,2374610,2443977,2812326,3967610,2472008,2491321,2589803,2548932
Singapore,Canada,752207,803689,870118,1395043,1184170,1009086,1104653,1571769,1425840,1260484,1044324,747130,746636,775649,981838,924889,880491,822657,1032629,1063436
Singapore,Ireland,1100339,1050777,1528860,1146034,1097047,748969,674327,430990,383051,571190,464627,467040,436006,189876,549136,411305,534001,589921,810681,1030483
Singapore,Brazil,440851,842323,1227387,1239426,1804057,683261,883153,853367,891405,1123402,826359,631922,426374,645949,645696,632641,823563,842712,996495,937692
Singapore,Denmark,163864,167757,282943,180642,304193,1557338,609353,124975,167818,146135,124155,157481,518947,569571,479999,214365,186040,145985,93882,888525
Singapore,Norway,143888,192018,225608,162480,379226,257608,438086,526114,465212,530294,584906,467583,338455,371248,409951,359311,460935,366291,1170014,881231
Singapore,South Africa,405287,453427,1041121,654714,887929,575785,870996,1134804,1253483,1973733,1827071,1307316,381647,510436,579102,523125,365238,348340,1109212,828866
Singapore,Finland,239224,160063,172276,189296,142146,127705,108924,110838,243440,156717,76211,117282,107883,198678,196925,144517,130469,294073,317852,744317
Singapore,Italy,335630,374094,329613,370564,350100,258386,306560,394759,328109,302261,303571,279839,289775,377285,488445,462522,536646,639339,785923,725382
Singapore,Poland,377271,348665,356332,342996,441433,381399,708443,435628,808033,953415,915658,1023376,693889,569016,506083,503601,540560,794099,549145,467941
Singapore,Türkiye,174741,216747,254221,284602,241255,202473,210769,354254,222535,369901,354964,365286,363236,400178,352145,286385,299749,395138,473366,406062
Singapore,Hungary,529820,697699,582620,669949,797749,1010061,952658,854222,583518,622610,514374,331429,441080,420460,443556,436579,363007,615528,685177,402267
Singapore,Austria,174023,155198,162489,209589,139898,139250,180792,197444,159488,148897,137435,119430,167535,159141,212807,236743,236459,498193,505876,359182
Singapore,Spain,550010,463407,736380,597339,616761,484345,537210,581608,496165,539786,563739,421271,361974,376792,524763,559682,365182,586849,543704,345358
Singapore,Portugal,64854,34195,55982,72951,57720,26088,40966,32827,25570,19438,47515,46718,61685,404541,72162,75455,59654,208562,233013,261527
Singapore,Slovenia,25298,25367,25406,30353,49709,19449,19645,23865,47246,19148,13152,21721,13237,19161,22256,102953,683053,467735,281509,211046
Singapore,Czech Republic,223638,179396,221272,432507,836089,720868,1057847,913219,751294,621599,644239,659328,464037,424818,534527,503387,360139,404766,341136,158974
Singapore,Colombia,46713,52818,61514,54558,65847,56615,86811,111793,135769,112504,146150,95748,95580,111556,106102,147729,115573,147076,155208,142324
Singapore,Argentina,64645,140462,142504,126186,156427,109272,165953,168833,147411,123287,191434,114215,157460,116555,103610,156379,120369,140120,120830,121814
Singapore,Sweden,107890,204931,183593,168060,179890,187762,144464,246673,97219,68440,118133,151718,121289,136505,187870,150984,155583,136635,116866,106428
Singapore,Costa Rica,19072,18705,30487,26369,27129,29598,31645,32340,43503,36129,74963,46345,32213,56665,65236,65171,94502,76097,106742,98247
Singapore,Peru,32873,27289,27496,32231,45499,32379,38972,50826,60002,57482,52835,60662,92766,78765,68013,69798,64602,94280,112859,86793
Singapore,Chile,28473,35306,163984,191375,212225,63619,65645,67940,80074,74436,59499,73883,64730,69981,85259,75167,73776,80005,80164,83529
Singapore,Ukraine,10977,18296,22292,21978,41133,26850,23868,43596,823035,57865,41821,21313,21573,28640,31886,38338,45636,44690,44434,61403
Singapore,Ecuador,10792,8203,9719,15609,38663,35810,37671,133054,49686,52190,55067,39240,45766,67967,91541,82102,71425,106713,56715,54747
Singapore,Romania,57075,57194,65344,17966,24273,16761,47546,31713,34594,53013,32617,16051,19169,24325,55494,40849,53668,100245,148037,54220
Singapore,Greece,132655,28520,28507,46561,114343,52478,29382,25717,20355,28728,35939,38555,45540,40183,46565,22587,43223,47642,49025,52848
Singapore,"Bolivia, Plurinational State of",772,1242,1787,3551,3849,2466,3905,4948,70996,95940,120056,30196,42770,26518,166693,141397,55168,96601,252913,49689
Singapore,Malta,155266,147913,269352,239982,296288,148478,168799,139623,98413,107145,79501,78913,34901,122793,46434,32359,26885,51617,69475,41090
Singapore,Bulgaria,16082,18950,21959,20293,25838,18826,10817,20956,19043,17338,27931,30989,31020,39799,46334,44639,38946,48434,59965,39609
Singapore,Slovakia,41061,56851,88185,76306,137102,84040,69963,72750,60760,58605,45024,66710,43683,45750,49866,46825,56425,55160,65620,36777
Singapore,Guatemala,5208,24426,9638,72202,26988,10093,27299,84685,35937,27666,47666,37672,21673,24321,15254,13582,26175,78585,58469,30870
Singapore,Serbia,,,13396,12826,10636,10306,8548,9346,11247,10471,9924,13462,14822,22388,16829,16009,17302,27951,28848,30807
Singapore,Croatia,20296,25299,29948,22018,22421,21275,17092,18023,14723,10372,4094,4176,6118,5439,21421,7592,11236,16441,21878,30407
Singapore,Paraguay,2689,9261,30003,32664,36947,24355,15673,17896,74303,46022,40310,18603,16374,13294,9425,31257,25449,23477,383205,30379
Singapore,Iceland,4906,5295,5252,7227,4662,3293,3736,4451,3512,9357,5447,28374,46198,48676,127744,62662,42702,36619,14266,29641
Singapore,Latvia,4075,2166,5199,3413,5209,2455,2853,6487,6459,6893,5541,3423,4666,12182,6166,7782,7442,11461,13912,18928
Singapore,Cyprus,39907,28881,28164,47611,42713,26571,20033,17731,12137,10832,12759,15529,21433,26797,41523,65290,61127,40916,261233,18383
Singapore,Lithuania,12979,6057,8406,7173,9548,5952,7035,9950,8525,8248,3478,3297,2410,2061,5084,11403,5201,12880,48558,10845
Singapore,El Salvador,11234,18870,9016,25081,9186,12099,5238,7067,19434,13294,11047,43951,40279,19887,18374,14437,13585,184976,24283,9382
Singapore,Bosnia and Herzegovina,2147,3200,2148,2849,2935,4105,1985,3166,2816,4804,3532,2597,3629,3529,5885,4265,4264,6277,8833,6591
Singapore,Madagascar,11941,23705,6272,10140,21105,82936,96585,83766,37824,18829,9966,39707,5225,6266,29453,35375,3214,3771,69306,5767
Singapore,Estonia,25544,18637,23096,13457,13061,10494,14822,12205,9620,26473,7810,6100,7661,10909,12196,16338,10009,15338,7841,3195
Singapore,Luxembourg,13311,10928,19441,13814,7812,18048,7375,6287,12948,7837,15445,10913,9102,10018,12064,6137,6029,6871,6222,2972
Singapore,Belize,299,325,173,378,425,237,305,668,835,1071,1185,1718,798,1498,1155,742,777,638,1035,975
Singapore,Cabo Verde,6,3880,146,132,821,480,60,1172,376,303,11157,217,310,403,516,822,580,557,424,348
Singapore,Cayman Islands,,,,,,,,,,,,,,,,,927,773,,
Singapore,Liberia,,,,,,,,,,,,,,2350,3953,2465,1231,19818,22299,
Singapore,Uzbekistan,,,,,,,,,,,,,,2960,7630,127088,23636,6187,8826,
Singapore,Curaçao,,,,,,,,,,,,,,742,1056,457,2247,,,
Singapore,"Congo, Democratic Republic of the",,,,,,,,,,,,26976,12775,6573,6103,15657,15161,66846,133135,
Singapore,Tajikistan,,,,,,,,,,,3493,344,159,108,235,419,193,725,1225,
Singapore,Sierra Leone,,,,,,,,,,,12293,5971,1694,3312,3163,,,,,
Singapore,Iraq,,,,,,,,,,,12326,,,,,,,,,
Singapore,Haiti,,,,,,,,,,3097,4675,6339,3468,2709,,,,,,
Singapore,Palau,,,,,,,,,6667,,32467,22283,17466,24094,26283,,,,,
Singapore,Bermuda,,,,,,,,,375,220,153,380,297,308,158,414,1486,280,80,
Singapore,Sudan,,,,,,,,,38246,6400,7683,36820,3198,6170,6935,,,,,
Singapore,Myanmar,,,,,,,1122186,2529650,2076382,2276368,3755145,3659898,2268281,2931134,3693544,3391696,2454362,2738797,4322081,
Singapore,Lao People's Democratic Republic,,,,,,,27408,7814,11653,6940,9362,8001,25035,96096,47470,87954,63429,64543,,
Singapore,Nepal,,,,,,91000,52174,37483,26624,40553,38857,28692,36537,45528,38078,47309,35247,54571,57058,
Singapore,Djibouti,,,,,,4053,,,,,,,,,,,,,,
Singapore,Tonga,,,,,42676,26603,32458,43137,45736,51342,46102,,,2719,2102,3614,30667,45421,62557,
Singapore,Afghanistan,,,,,4370,2507,2394,5199,6937,10012,5249,4604,5559,3677,3438,2251,,,,
Singapore,"Libya, State of",,,,10666,12050,22693,34032,,,,,20693,11050,14489,21596,22350,,,,
Singapore,Congo,,,,91579,71620,459185,441263,573497,128686,116947,735863,1413739,500488,86731,282856,17067,44084,9463,10953,
Singapore,"Palestine, State of",,,,2351,1216,2439,1378,3772,3831,4388,3159,4273,8525,9357,11232,14823,23681,31359,39786,
Singapore,Vanuatu,,,8627,25066,,27784,35211,51064,,,,,,,,,,,,
Singapore,Montenegro,,,961,1960,1352,622,1022,3164,376,707,891,821,624,790,649,862,870,1432,1297,
Singapore,Central African Republic,,,0,246,1867,772,944,193,283,29,7,974,61,310,641,807,131,260,554,
Singapore,Nigeria,,,359657,241159,321917,546720,513755,790056,397995,350540,227769,171088,191077,156448,212132,300661,555125,355675,560954,
Singapore,Antigua and Barbuda,,87,,52,,142,47,84,100,128,75,140,44,4873,245,234,306,489,118,
Singapore,United Arab Emirates,,1236822,,1182815,1141993,,,,2203541,1801545,1782253,2253644,1642185,1997183,1773496,2379023,1505242,1751842,2438144,
Singapore,Kiribati,,1940,,323,261,1205,7793,16273,16721,20485,12298,8300,8647,7027,13830,,12929,22504,,
Singapore,Lesotho,,0,3,0,0,0,1138,594,1354,12509,2262,1321,1205,1148,1109,803,1186,1016,1221,
Singapore,Aruba,,263,138,209,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Singapore,Bhutan,,10160,11350,23596,21251,15359,19731,39845,14634,,,,,,,,,,,
Singapore,Netherlands Antilles,,3360,95,77,155,,,,,,,,,,,,,,,
Singapore,Cook Islands,,413,,,,,,,,,,,,,,,,,,
Singapore,Papua New Guinea,113410,,,,,,,675650,1192375,,,,,,,817792,588029,678875,,
Singapore,Turks and Caicos Islands,0,,,,,,,15,0,,,,,,,,,,,
Singapore,Andorra,820,,309,172,774,231,2408,54,120,675,468,81,85,294,430,967,379,82,268,
Singapore,Kuwait,66457,,92109,146163,125692,106871,106297,80162,155748,113478,92894,110476,103941,145838,151287,132909,107722,104218,120071,
Singapore,Timor-Leste,15154,14796,,,,,,,,65840,,,,76998,76245,70117,51839,71907,89873,
Singapore,Guinea-Bissau,0,145,,,,,,,,635,1246,5658,735,2177,273,,,,,
Singapore,Suriname,1690,1200,,358,,1145,2510,6228,4735,10856,19711,5386,1548,2357,1452,1831,2168,2228,2587,
Singapore,Mauritania,3847,5367,,15612,15651,9149,78505,8407,12625,22439,29889,28056,26381,56040,38724,61687,55130,35997,41034,
Singapore,Togo,5255,2972,,2970,4128,2828,6550,7065,1266,1465,3169,11542,3211,7604,2253,4937,25897,1420,25056,
Singapore,Comoros,1086,799,,381,1251,1135,1018,1278,832,2991,598,923,828,1023,1334,1380,1462,988,,
Singapore,Cuba,8003,6974,2868,,,,,,,,,,2829,4777,3033,2281,682,1696,534,
Singapore,Seychelles,37265,51582,85663,,80968,182560,60466,63451,41660,33452,23891,31951,56161,39491,34900,26937,23076,31613,34847,
Singapore,Mongolia,14995,16276,20727,45895,,,51040,69454,69240,66634,52764,22109,14745,17492,27629,22280,16795,23137,33596,
Singapore,Angola,26095,48138,52611,66635,,192192,136351,354507,2212482,1402074,2515381,1182389,487848,470833,1813290,223415,94952,61906,73534,
Singapore,Saint Lucia,170,365,158,213,288,,,,215,1184,246,461,1326,531,243,260,255,,,
