reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
South Africa,United Kingdom,6606392,6269714,7485322
South Africa,United States of America,4428373,4178679,4786684
South Africa,Japan,2786511,2892465,3593977
South Africa,Germany,2845426,2968053,3202459
South Africa,China,1173201,1268766,1839993
South Africa,Botswana,1403805,2694650,3362768
South Africa,Italy,1808057,1920653,1731204
South Africa,Namibia,1290901,1013340,1148891
South Africa,India,1403487,1952492,1945744
South Africa,Belgium,1018801,1042425,1218532
South Africa,Eswatini,740149,847828,1199341
South Africa,Spain,765330,896418,1060419
South Africa,Zimbabwe,651160,1077498,551387
South Africa,France,882971,865185,972497
South Africa,Switzerland,839784,715744,1064558
South Africa,Netherlands,930793,758686,968883
South Africa,"Taipei, Chinese",628079,639300,746445
South Africa,Zambia,612039,816943,782476
South Africa,Türkiye,345028,211027,335713
South Africa,"Korea, Republic of",688605,603127,781629
South Africa,Australia,477841,563597,786391
South Africa,Mozambique,380671,448810,587720
South Africa,"Hong Kong, China",484261,452030,584773
South Africa,Angola,,,
South Africa,Canada,290751,311437,359671
South Africa,Thailand,242416,234255,276863
South Africa,Saudi Arabia,230994,206027,189617
South Africa,Austria,215685,233086,267362
South Africa,Malaysia,222757,193526,224020
South Africa,"Tanzania, United Republic of",203226,190837,277084
South Africa,Singapore,217775,178518,281922
South Africa,Mauritius,275362,272463,288771
South Africa,Malawi,240753,291388,316573
South Africa,Brazil,301908,195007,217686
South Africa,Israel,345765,234711,287954
South Africa,Portugal,107832,117396,137405
South Africa,Indonesia,141094,126104,158109
South Africa,Mexico,194656,127287,114398
South Africa,Sweden,88828,88400,137392
South Africa,Ireland,90203,106784,175183
South Africa,Ghana,102591,,145919
South Africa,Denmark,45200,92086,170634
South Africa,Morocco,144913,152416,139574
South Africa,Uganda,72850,83665,98984
South Africa,Russian Federation,75712,92402,112675
South Africa,Poland,76206,81021,88462
South Africa,Czech Republic,32176,52963,62921
South Africa,Norway,58724,71893,86192
South Africa,New Zealand,48617,59103,75828
South Africa,Madagascar,53947,37300,93078
South Africa,Pakistan,,,83670
