reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
South Sudan,China,0,0,0,0,0,0,0,0,34312,75087,66079,155333,45680,51852,77076,122242,156083,139817,156518,161001
South Sudan,Netherlands,0,0,0,0,0,0,0,0,0,9726,18200,23101,9823,11159,21985,25532,12626,19328,15689,19695
South Sudan,Germany,0,0,0,0,0,0,0,0,0,14828,6347,10231,5629,4506,5852,10640,9250,9576,5547,9446
South Sudan,United Kingdom,0,0,0,0,0,0,0,0,0,3132,3938,4563,2180,3100,2721,7810,6549,7583,5925,7821
South Sudan,Thailand,0,0,0,0,0,0,0,0,0,390,1118,2839,1090,3261,20832,5528,6445,3151,4409,7310
South Sudan,Malta,0,0,0,0,0,0,0,0,0,0,238,385,600,1697,1077,2732,2308,2765,4827,5413
South Sudan,Denmark,0,0,0,0,0,0,0,0,0,1042,2975,3017,4514,3880,3983,3850,4312,5244,4462,4339
South Sudan,Austria,0,0,0,0,0,0,0,0,0,612,1763,1757,1908,844,790,850,946,3446,3269,4138
South Sudan,Spain,0,0,0,0,0,0,0,0,0,1595,1076,2760,2910,2775,820,1106,3122,2506,3174,4079
South Sudan,Belgium,0,0,0,0,0,0,0,0,0,2043,1603,820,2525,2172,1008,2886,3145,3881,3013,3061
South Sudan,"Korea, Republic of",0,0,0,0,0,0,0,0,108,264,349,771,149,307,345,414,974,2867,2290,2713
South Sudan,Singapore,0,0,0,0,0,0,0,0,0,152,2505,1228,2,5,279,2895,1588,1504,1848,2180
South Sudan,Poland,0,0,0,0,0,0,0,0,0,73,137,178,96,42,5,631,487,3317,1146,2147
South Sudan,Italy,0,0,0,0,0,0,0,0,0,1186,1332,1563,3150,10072,1277,3147,2957,5605,22043,1940
South Sudan,Slovenia,0,0,0,0,0,0,0,0,0,232,0,0,1,0,28,362,538,419,41,1838
South Sudan,Canada,0,0,0,0,0,0,0,0,0,0,2471,1975,1318,1053,7845,449,960,1771,1642,1774
South Sudan,Cyprus,0,0,0,0,0,0,0,0,0,0,376,653,589,703,7,0,822,1013,798,1740
South Sudan,Ukraine,0,0,0,0,0,0,0,0,0,3809,2517,22290,4009,1732,2955,2648,1531,5035,1665,1233
South Sudan,"Hong Kong, China",0,0,0,0,0,0,0,0,1580,3226,2071,9271,2419,1265,1536,2180,5817,3306,3308,1222
South Sudan,Portugal,0,0,0,0,0,0,0,0,0,28,156,0,3,0,6,0,22,0,242,1008
South Sudan,Czech Republic,0,0,0,0,0,0,0,0,0,755,1438,347,58,366,270,179,581,180,1566,792
South Sudan,Sweden,0,0,0,0,0,0,0,0,0,12188,1371,1938,387,178,105,76,1050,705,1240,447
South Sudan,Australia,0,0,0,0,0,0,0,0,193,175,29,256,210,193,145,92,379,461,305,376
South Sudan,Croatia,0,0,0,0,0,0,0,0,0,993,6717,67,375,7,95,52,62,22,40,348
South Sudan,"Taipei, Chinese",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,343
South Sudan,Ireland,0,0,0,0,0,0,0,0,0,0,214,187,166,187,12,82,177,294,337,215
South Sudan,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,92,0,4,0,317,88,117,151,121
South Sudan,Greece,0,0,0,0,0,0,0,0,0,0,107,43,15,9,1,150,60,6,0,79
South Sudan,Romania,0,0,0,0,0,0,0,0,0,271,4,40,0,0,69,0,80,26,582,71
South Sudan,Latvia,0,0,0,0,0,0,0,0,0,49,42,128,21,26,3,23,41,25,10,44
South Sudan,Serbia,,,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,32
South Sudan,Lithuania,0,0,0,0,0,0,0,0,0,0,16,1,0,7,28,54,2,8,0,15
South Sudan,Slovakia,0,0,0,0,0,0,0,0,0,0,94,0,12,11,0,13,21,9,9,10
South Sudan,Finland,0,0,0,0,0,0,0,0,0,422,51,404,6,8,1,2,71,6,27,7
South Sudan,Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
South Sudan,Estonia,0,0,0,0,0,0,0,0,0,15,3,0,4,0,0,0,0,13,56,3
South Sudan,Argentina,0,0,0,0,0,0,0,0,0,587,505,102,30,59,0,0,0,0,0,0
South Sudan,Brazil,0,0,0,0,0,0,0,0,0,29,1279,0,0,0,0,0,0,0,0,0
South Sudan,France,0,0,0,0,0,0,0,0,0,17317,0,0,0,0,0,0,0,0,0,0
South Sudan,Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,117,0
South Sudan,Japan,0,0,0,0,0,0,0,0,11639,15242,11384,0,0,0,0,0,0,0,0,0
South Sudan,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,0,0,0
South Sudan,Norway,0,0,0,0,0,0,0,0,249,355,526,0,0,0,0,0,0,0,0,0
South Sudan,South Africa,0,0,0,0,0,0,0,0,0,23,125,0,0,0,0,0,0,0,0,0
South Sudan,Switzerland,0,0,0,0,0,0,0,0,26,103,465,0,0,0,0,0,0,0,0,0
South Sudan,United States of America,0,0,0,0,0,0,0,0,32541,13417,46615,0,0,0,0,0,0,0,0,0
South Sudan,Sudan,,,,,,,,,0,0,4438,2961,3012,1372,8819,,,,,
South Sudan,Nigeria,,,0,0,0,0,0,0,0,0,0,0,0,0,28,0,320,764,865,
South Sudan,United Arab Emirates,,0,,0,0,,,,0,3,176,1296,97,832,165043,248430,192949,337308,365898,
South Sudan,Papua New Guinea,0,,,,,,,0,0,,,,,,,3,0,0,,
South Sudan,Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,3,0,5,
South Sudan,Barbados,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
South Sudan,Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,38,278,2,0,0,2,
South Sudan,Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
South Sudan,Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
South Sudan,Israel,0,0,0,0,0,0,0,0,0,0,463,271,11,0,0,0,3,36,280,
South Sudan,Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
South Sudan,Jordan,0,0,0,0,0,0,0,0,0,0,424,159,395,337,1595,252,1240,820,713,
South Sudan,Kenya,0,0,0,0,0,0,0,0,212808,193669,225399,174229,160919,162036,127925,122920,216558,155445,199019,
South Sudan,Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,43,0,
South Sudan,Oman,0,0,0,0,0,0,0,0,0,0,0,0,93,0,37,175,119,10,35,
South Sudan,Pakistan,0,0,0,0,0,0,0,0,29607,82595,45820,39224,38360,35164,16727,0,0,0,8,
South Sudan,Rwanda,0,0,0,0,0,0,0,0,0,16,169,5439,1413,676,2883,20205,12757,7937,19911,
South Sudan,Saudi Arabia,0,0,0,0,0,0,0,0,0,2181,2380,2152,90,0,835,519,2013,3587,5413,
South Sudan,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17566,22966,28280,30381,
South Sudan,Uganda,0,0,0,0,0,0,0,0,17740,175432,280295,265027,239560,299883,355752,351629,357339,483888,606045,
South Sudan,Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,1761,3981,
South Sudan,"Tanzania, United Republic of",0,0,0,0,0,0,0,0,1716,2593,4475,101,0,0,0,0,0,8947,13115,
South Sudan,Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,
South Sudan,Zambia,0,0,0,0,0,0,0,0,0,0,26,21,92,0,0,2,0,0,0,
South Sudan,Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,41,336,94,175,0,,
South Sudan,Russian Federation,0,0,0,0,0,0,0,0,0,20,21501,1123,741,945,2810,3087,4246,7748,,
South Sudan,Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,11,4,14,0,0,0,,
South Sudan,Algeria,0,0,0,0,0,0,0,0,0,0,11890,32,19868,0,,,,,,
