reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Spain,Total,172504817,185021486,208767960,246205667,270599309,211896455,237878386,277066534,269864471,283737825,292292212,262500073,269458570,299160347,320110265,310157476,290676908,362325667,398310731,358759233
Spain,France,32026363,33837472,36359196,42665915,45316840,34255167,37184798,42533044,40059524,40939305,39600474,35370532,36157055,39742064,43036686,41528753,40424170,49894575,55728443,54302301
Spain,Germany,21534244,22495764,24902610,28956451,30482455,26416071,29085288,31301047,29837449,31389321,32956432,29036272,30822670,35430483,38313611,37100139,35745151,40400384,39807277,41731227
Spain,Portugal,17092701,19615728,21822729,25540697,29095116,23516768,24886916,26674916,23086446,24427597,25516988,22100896,22508078,25424361,30059800,27325132,25230363,32288592,36817619,38343405
Spain,Italy,16504857,16274332,18846461,22203236,24463803,18328916,22152936,25167153,21831847,21716943,22893728,20612176,21925751,24159569,24537418,25745658,23303416,30110945,32720888,35376410
Spain,United Kingdom,16341154,17426481,20484910,21371581,19332457,14760471,15785021,18889339,17444694,19698864,22037264,21605507,21251196,20175995,21119101,21209778,18300361,19959110,23461750,26109421
Spain,United States of America,7805304,9125459,10401727,11074635,11572987,8190323,8905307,11461146,12199507,12090927,14901316,14682879,13964762,16264241,17805935,17450074,15945146,19438020,24308118,24083997
Spain,Belgium,5529941,5705953,6500476,7532062,8912855,7192203,8175859,9061569,8020774,8480048,7998409,6865150,9020575,9513187,10194484,10102015,9123397,16577614,25415769,17648708
Spain,Netherlands,6113745,6019741,6759199,8213750,8823250,6693401,9329575,9132063,8626060,8701942,9065489,7555567,7638749,8845026,10327475,9993768,9618740,12656806,13234894,12866019
Spain,Switzerland,2781551,3234018,3303489,3453942,3617189,3622720,4724403,5871367,6667483,6425493,5366214,4756753,5179941,5434483,5690433,6407663,7466843,9076012,9525036,10339884
Spain,Türkiye,3253675,3555068,3831733,4342994,4548182,3776917,4840127,6196466,6023718,6624006,6293257,5588528,5678913,6372911,5492454,4446670,5039416,6311613,7003994,9483760
Spain,Poland,2351651,2193720,2472955,3503713,4557209,3344768,3490241,4071470,3703781,4396221,4286926,4059121,4117300,4851937,5948704,5691995,5637228,7258295,6925208,8945823
Spain,China,1745936,2081639,3003142,4430019,5423982,4292253,6236378,7551576,6334673,5971878,6203607,5606122,6127564,7974254,8794347,8603882,10387624,12290214,9764501,8897716
Spain,Japan,1744384,1762502,1942922,1982731,2503835,2348536,2617824,3391419,3821452,3746766,4096958,3675609,3698579,3348932,3355342,3399985,3154546,5408347,6910513,5037717
Spain,Ireland,845132,1050905,1243363,1435888,1377575,793219,883063,927600,848263,1030361,1163993,1065389,1241887,1475568,1696244,1577085,1950645,2124327,2828141,4075838
Spain,Brazil,1235508,1405063,1504943,1922366,2588202,2041804,2936705,3470111,3740244,4746326,4130652,3498702,2565485,2851286,2941628,2829617,2632579,3316797,3770824,3983713
Spain,Czech Republic,1343998,1485466,1790353,2262676,2592233,1988487,2252897,2493675,2224853,2363725,2637548,2463504,2642030,2884792,3171871,3090532,3043474,3763928,3820515,3966441
Spain,Romania,717285,902220,1206980,1422346,1647352,1027039,1303386,1740795,1674082,1725066,2029778,1786142,2035505,2303832,2607161,2702486,2281308,2927005,3388757,3708644
Spain,Sweden,1609041,1797875,1960188,2161770,2268425,1538874,1817768,2294057,2056615,2076293,2198580,1861922,1889796,2164322,2419110,2226067,2493615,3122003,3673357,3696427
Spain,Greece,2026451,2151445,2256946,2742426,3303094,2579738,2065777,1941061,1682621,1784179,2085272,1711881,1729501,1914715,2345135,2173950,1830222,2623491,2766450,3276358
Spain,Austria,1735042,1725008,1955193,2313833,2504673,2261511,2348140,2809871,2441993,2665089,2723824,2396719,2683540,2561418,2984546,3017808,2775575,3043130,3111304,3048528
Spain,Canada,970957,990655,1237918,1183389,1618982,1169376,1421804,1766055,1749818,1632524,1995771,1833695,1779315,2165750,2295008,2643666,2307565,3040797,2892688,2944423
Spain,"Korea, Republic of",561933,653330,778074,856260,1129870,875667,955130,1161697,1293229,1596804,2891631,2335658,2004542,1952480,2504896,2649782,1925615,2405236,2590359,2491014
Spain,Hungary,860560,915724,1085786,1443855,1598972,1152250,1096815,1190092,1124961,1323678,1539102,1444681,1594080,1749227,1933958,1983059,1816855,2105277,2206774,2282149
Spain,Denmark,1116660,1382988,1602218,1762840,1799228,1107614,1183153,1393451,1362017,1518608,1508190,1436323,1385848,1479668,1811083,1819409,1675392,2229176,2256044,2223241
Spain,Norway,837740,1261670,1448183,1757376,1794541,1522727,1014714,1769506,1183307,1424916,1586882,1379578,1646299,1583241,1787636,1777328,1968594,2330589,2195003,2111859
Spain,Australia,991245,1035702,1092748,1606279,1831796,1313176,1586882,1859998,2941693,2403484,2742913,1524998,1556516,1661880,1905726,1568944,1426723,2250736,1961471,2101832
Spain,Chile,583145,656927,756206,904712,1043420,1087712,943780,1053670,1350832,1693234,1419454,1506666,1494945,1373172,1626616,1821678,1475292,2228650,2063632,1816736
Spain,South Africa,670475,880733,1035337,1112679,1063684,756871,1263024,1383349,1234477,1886324,1719776,1433677,1334198,1581813,1398425,1618219,1488840,1576666,1720179,1772704
Spain,Slovakia,587776,584154,664565,861292,888823,613373,647002,862608,864229,894376,988131,936714,1068947,1264969,1435979,1395098,1332327,1569125,1549176,1763902
Spain,Singapore,337532,385997,498661,607712,751088,583262,640670,806191,1012088,1052427,1178860,772909,817571,898902,1246589,1171699,957601,1323149,1943785,1737398
Spain,Finland,819700,876397,1010620,1318605,1186737,764715,896886,943660,937167,1152053,1261317,1279191,1364743,1366186,1421389,1270214,1445071,1843614,1770384,1378345
Spain,Colombia,268812,333314,387240,455753,567613,441576,501562,613706,775851,963310,966858,915251,918494,967440,991618,977257,798063,1289324,1467679,1256349
Spain,Argentina,516320,645052,613091,812646,1053976,788041,1024147,1395640,1317203,1371192,1077958,957153,920999,1451870,1430822,977231,705567,1083613,1176115,1194895
Spain,Croatia,300249,281542,343823,456506,475304,342035,300174,358095,358916,304672,372665,430042,440955,513527,597717,641859,532025,689738,759833,1032064
Spain,Bulgaria,303735,336425,406450,546589,658916,433819,478865,1630155,1458657,1777470,1697909,1378797,1148688,1803525,1761879,1419873,667634,875912,1219174,1017914
Spain,"Taipei, Chinese",371701,441542,405707,451717,482556,421223,570745,651906,631696,657705,1007598,903624,674024,696548,681023,768950,755771,882262,940027,920340
Spain,Slovenia,496153,659255,706290,841688,1002895,715417,704566,750682,616941,579031,628709,531786,485417,666437,732908,687666,629753,736421,790810,904604
Spain,Ukraine,171752,233508,354863,429301,659623,372152,468573,685295,746736,863356,607326,440720,500924,579002,636690,844165,735129,975870,700553,888023
Spain,"Hong Kong, China",470067,501127,551102,653156,819560,694533,870527,1134684,1074634,1009113,1023388,857423,945286,1013440,1017365,997541,737111,864804,738805,849973
Spain,Lithuania,118574,157412,228212,412412,447717,274142,281141,331135,351904,597130,658771,549095,540114,637014,682836,672558,656080,739837,738674,822979
Spain,Peru,214855,193376,255772,286365,421963,310421,404251,562500,798502,878808,762269,704692,644164,1053773,945859,890443,669877,861929,905170,793260
Spain,Thailand,271347,336634,352731,423993,536803,394384,465943,571637,630204,689527,676789,499466,626003,693630,837326,766307,665663,764416,761914,778868
Spain,Ecuador,122913,139858,146879,176802,222318,167851,268831,322080,610836,698519,618931,430107,357283,594652,506335,617195,477927,609544,796121,741147
Spain,Serbia,,,117609,170131,238829,181322,157046,210837,238198,230853,241574,237257,261965,324854,383950,395379,427026,543432,643007,721173
Spain,Malaysia,216622,255742,331219,419470,367842,246670,321727,395722,416952,591165,716975,491381,507390,589763,738290,668556,535527,543245,575123,688059
Spain,Cyprus,208368,207352,204149,308452,387224,284674,237637,275292,274255,275755,370149,213578,228392,257276,512207,369532,273814,353915,410239,684975
Spain,Malta,119495,126516,136142,135946,159797,139138,144075,229706,271727,222680,310727,255353,220684,269321,367829,291503,315800,416736,483754,555602
Spain,New Zealand,112237,129154,149690,199644,244198,140220,182795,266888,196098,274665,458529,369809,276878,319810,348234,304973,357581,350077,423856,438793
Spain,Latvia,66360,106548,107234,210878,168938,126657,131918,168674,228573,199224,230263,178664,192429,243020,247454,265646,241071,287847,303246,427492
Spain,Guatemala,104011,126559,126022,161359,181939,137195,151422,171937,186450,222120,304993,289637,264540,276116,322521,264612,253591,351169,402325,412497
Spain,Costa Rica,110496,115637,118231,138433,146824,112759,145542,183066,193361,207781,206000,218074,222737,281922,259689,258465,248950,353552,376269,388924
Spain,Luxembourg,152265,155862,167894,231513,302002,263200,238893,259698,242800,248849,287336,242869,273230,332202,331969,373930,539234,343128,398338,331666
Spain,Estonia,78625,106622,138300,162101,175481,118402,122567,150223,160320,192385,184321,224355,212545,228543,252610,269053,281392,345084,373916,326162
Spain,El Salvador,104658,68344,81544,72312,99027,66653,69642,91845,91158,118765,108983,131034,113433,139302,238728,183344,180994,246126,213351,196752
Spain,Bosnia and Herzegovina,37432,53107,49577,72836,89880,90683,101340,163468,105998,96912,118530,87134,102997,106564,147748,124723,117751,148242,171104,196590
Spain,Paraguay,19239,24883,20440,28668,46122,43420,67267,92609,92004,113111,123532,111653,115194,132331,157698,128924,111652,140461,163784,173317
Spain,Iceland,61635,65383,82365,89129,72122,44075,44777,48555,56316,62864,78838,69297,83014,110761,123314,128464,102855,152289,147865,152117
Spain,"Bolivia, Plurinational State of",27780,36225,39909,53709,55352,48823,74457,101852,100915,192989,253580,178499,126951,158144,281603,245774,147382,98913,131572,128548
Spain,Cabo Verde,16725,30743,31877,33976,53925,60124,49904,95112,57884,57695,64798,44018,35899,100032,118201,83985,78950,56660,71299,98299
Spain,Madagascar,31481,19771,29540,54535,28918,15657,15305,17404,40908,42325,53649,34615,32119,41514,45901,50895,40303,46916,61836,56897
