reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Sri Lanka,United States of America,1984163,1923541,1926449
Sri Lanka,United Kingdom,722596,793113,840836
Sri Lanka,India,55036,92276,123128
Sri Lanka,Belgium,204528,230289,250440
Sri Lanka,Germany,233834,220280,258196
Sri Lanka,Syrian Arab Republic,197185,226137,226389
Sri Lanka,Japan,204534,167256,194903
Sri Lanka,Russian Federation,78203,101869,120072
Sri Lanka,France,112506,111705,138081
Sri Lanka,Italy,68674,65427,105313
Sri Lanka,Canada,76902,70983,74024
Sri Lanka,Netherlands,86514,72748,76755
Sri Lanka,Singapore,32567,49960,52319
Sri Lanka,Maldives,50600,59520,64689
Sri Lanka,Spain,45330,45866,49278
Sri Lanka,Australia,46336,50252,61169
Sri Lanka,"Hong Kong, China",46968,47466,81386
Sri Lanka,Mexico,40722,51205,51513
Sri Lanka,Pakistan,,,43248
Sri Lanka,Switzerland,23262,20365,28256
Sri Lanka,"Korea, Republic of",41232,38762,30636
Sri Lanka,Israel,30446,32183,33647
Sri Lanka,Saudi Arabia,27130,25009,28884
Sri Lanka,Poland,16422,13618,19719
Sri Lanka,Sweden,16155,19384,23563
Sri Lanka,Ireland,20526,18620,19820
Sri Lanka,Austria,19050,16038,19742
Sri Lanka,China,10141,14336,19802
Sri Lanka,Türkiye,5167,10398,16755
Sri Lanka,Kuwait,14786,16355,18016
Sri Lanka,Ukraine,18405,17397,18819
Sri Lanka,Chile,14553,15990,14448
Sri Lanka,Jordan,15090,14638,12468
Sri Lanka,New Zealand,9001,9554,14328
Sri Lanka,"Iran, Islamic Republic of",21172,941,2171
Sri Lanka,"Taipei, Chinese",10632,11080,14134
Sri Lanka,Czech Republic,6242,6646,7958
Sri Lanka,Denmark,9802,11427,10860
Sri Lanka,South Africa,9691,10555,11685
Sri Lanka,Norway,8986,9400,9767
Sri Lanka,Thailand,38927,6716,8104
Sri Lanka,Bangladesh,12002,10288,9540
Sri Lanka,Azerbaijan,18306,10716,6011
Sri Lanka,Tunisia,12510,11034,8907
Sri Lanka,Egypt,9407,8062,7755
Sri Lanka,Finland,4515,4581,6225
Sri Lanka,Malaysia,4886,6099,5775
Sri Lanka,Philippines,3039,5629,7186
Sri Lanka,Brazil,4089,2117,3090
Sri Lanka,Viet Nam,6576,8239,10687
Sri Lanka,Lebanon,8330,6743,7410
Sri Lanka,Bahrain,2511,3424,4331
Sri Lanka,Indonesia,6805,6313,2823
Sri Lanka,Greece,3787,4071,5060
Sri Lanka,Oman,5950,5087,9614
Sri Lanka,Argentina,4138,2201,2851
Sri Lanka,Peru,3854,3588,4059
Sri Lanka,Portugal,4918,2989,5544
Sri Lanka,Colombia,3315,3382,3363
Sri Lanka,Mauritius,1849,2304,3781
Sri Lanka,Qatar,2252,2462,3541
Sri Lanka,Cyprus,3245,4880,5219
Sri Lanka,Kazakhstan,3012,2989,2744
Sri Lanka,Madagascar,150,306,4235
Sri Lanka,Lithuania,3945,3516,3439
Sri Lanka,Belarus,1534,2094,2133
Sri Lanka,Estonia,1678,2045,2354
Sri Lanka,Ecuador,1789,1978,1831
Sri Lanka,Slovenia,1902,2296,2494
Sri Lanka,Morocco,1746,1205,1465
Sri Lanka,Hungary,4591,4631,7864
Sri Lanka,Slovakia,1548,1392,2246
Sri Lanka,Croatia,569,709,1119
Sri Lanka,Romania,827,1175,1332
Sri Lanka,Serbia and Montenegro,1109,634,
Sri Lanka,Mali,386,308,313
Sri Lanka,Kyrgyzstan,3506,1464,1741
Sri Lanka,Fiji,,1443,3948
Sri Lanka,Latvia,1066,1194,1342
Sri Lanka,Iceland,500,606,872
Sri Lanka,"Macedonia, North",802,1126,1144
Sri Lanka,Trinidad and Tobago,1086,721,572
Sri Lanka,Guatemala,725,790,889
Sri Lanka,Bulgaria,436,378,472
Sri Lanka,"Macao, China",654,536,1060
Sri Lanka,Jamaica,995,1222,598
Sri Lanka,"Moldova, Republic of",527,551,758
Sri Lanka,"Tanzania, United Republic of",189,402,480
Sri Lanka,El Salvador,413,600,481
Sri Lanka,Côte d'Ivoire,634,227,682
Sri Lanka,Angola,,,
Sri Lanka,Uruguay,1022,660,678
Sri Lanka,Guinea,430,542,
Sri Lanka,Ethiopia,1145,144,482
Sri Lanka,Nicaragua,374,477,427
Sri Lanka,"Bolivia, Plurinational State of",871,802,464
Sri Lanka,French Polynesia,231,330,408
Sri Lanka,Yemen,,,
Sri Lanka,Ghana,23,,104
Sri Lanka,Algeria,760,336,445
Sri Lanka,Seychelles,866,199,313
Sri Lanka,Malta,452,837,743
Sri Lanka,Armenia,87,443,316
Sri Lanka,Georgia,67,62,86
Sri Lanka,Panama,157,253,326
Sri Lanka,Cambodia,134,56,275
Sri Lanka,Botswana,0,457,298
Sri Lanka,Honduras,276,338,328
Sri Lanka,Mongolia,23,,69
Sri Lanka,Niger,10,6,8
Sri Lanka,Uganda,56,351,234
Sri Lanka,New Caledonia,165,160,125
Sri Lanka,Costa Rica,320,265,201
Sri Lanka,Bosnia and Herzegovina,,,88
Sri Lanka,Andorra,156,181,117
Sri Lanka,"Venezuela, Bolivarian Republic of",112,178,93
Sri Lanka,Brunei Darussalam,167,131,197
Sri Lanka,Paraguay,104,155,207
Sri Lanka,Faroe Islands,160,261,268
Sri Lanka,Belize,198,143,228
Sri Lanka,Suriname,120,,
Sri Lanka,Zambia,5,64,55
Sri Lanka,Namibia,0,0,0
Sri Lanka,Sudan (before 2012),2,33,95
Sri Lanka,Malawi,39,67,51
Sri Lanka,Benin,0,0,11
Sri Lanka,Guyana,170,57,30
Sri Lanka,Samoa,38,17,110
Sri Lanka,Luxembourg,120,63,199
Sri Lanka,Saint Lucia,59,86,113
Sri Lanka,Barbados,933,88,277
Sri Lanka,Papua New Guinea,160,119,0
Sri Lanka,Cabo Verde,9,0,21
Sri Lanka,Senegal,18,32,29
Sri Lanka,Cameroon,321,112,203
Sri Lanka,Saint Vincent and the Grenadines,30,26,30
Sri Lanka,Bahamas,105,1,34
Sri Lanka,Dominica,24,9,12
Sri Lanka,Burkina Faso,30,68,5
Sri Lanka,Cuba,105,14,26
Sri Lanka,Zimbabwe,76,171,0
Sri Lanka,Togo,15,39,22
Sri Lanka,Grenada,22,4,8
Sri Lanka,Rwanda,36,52,53
Sri Lanka,Albania,0,0,0
Sri Lanka,Mauritania,5,4,0
Sri Lanka,Saint Kitts and Nevis,9,13,9
Sri Lanka,Burundi,50,0,0
Sri Lanka,Timor-Leste,,,
Sri Lanka,Mayotte,9,20,4
Sri Lanka,Solomon Islands,17,0,0
Sri Lanka,Dominican Republic,14855,6,0
Sri Lanka,Gabon,90,0,38
Sri Lanka,Greenland,0,0,66
Sri Lanka,Kenya,1195,1854,1364
Sri Lanka,Mozambique,0,19,234
Sri Lanka,Nepal,,,1991
Sri Lanka,Sierra Leone,,151,
Sri Lanka,Lesotho,0,73,8
Sri Lanka,Nigeria,342,401,43
