reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Sudan,Serbia,,,225,6,24,503,1082,1861,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,"Korea, Republic of",99876,165192,260453,211568,168402,232857,168234,177936,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Ukraine,47730,51278,36990,32161,39141,69005,96461,136967,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Argentina,4584,13384,4088,5177,5566,21359,8268,8395,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Australia,141641,166423,221921,117561,212833,243880,168660,208519,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Austria,23200,29506,113261,65635,43261,42563,56834,31271,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Belgium,62245,123023,147849,60497,65285,50103,71928,79881,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,"Bolivia, Plurinational State of",94,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Bosnia and Herzegovina,27,863,105,72,2,174,274,385,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Brazil,48940,69369,79597,46819,50831,97230,100472,96706,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Belize,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Bulgaria,4026,15617,4718,4805,18810,12380,1602,2835,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Canada,59911,92878,80085,196082,210771,98778,114238,139104,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Chile,421,563,65,146,0,0,205,263,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,China,815887,1293592,1410329,1554461,1874334,1705392,1950773,1994640,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Colombia,23,158,0,16,108,369,201,12,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Croatia,5581,7623,245,1110,265,749,377,330,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Cyprus,9048,7604,8706,9568,10288,12240,11369,9773,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Czech Republic,5286,21504,11191,9980,14138,7489,11115,9847,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Denmark,17557,21634,17533,18202,33823,9276,13282,15812,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Ecuador,27,260,0,99,34,62,27,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,El Salvador,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Estonia,446,3,1,0,4,102,3,73,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Finland,55033,59597,7282,38295,70563,11133,56300,30890,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,France,94818,178514,322068,185797,190364,130480,139867,129292,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Germany,176623,283850,408519,318349,334979,285341,316426,435807,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Greece,5598,5842,7012,9097,5958,10522,6019,6645,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Guatemala,158,88,585,37,493,663,0,499,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,"Hong Kong, China",6775,8708,9517,11844,10423,11591,11756,16992,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Hungary,191,1344,2653,24113,8664,12692,3020,3116,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Iceland,2,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Ireland,14426,20444,20417,16380,16924,16397,21695,18914,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Italy,143229,265297,228090,232889,377685,228852,206666,192420,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Japan,123159,179184,207979,130622,123423,104675,92604,56204,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Latvia,7,0,566,666,56,4,152,286,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Lithuania,0,119,12,478,1,64,191,165,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Luxembourg,137,46,34,174,84,419,428,259,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Madagascar,131,203,411,176,256,171,62,101,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Malaysia,39182,128138,51707,52512,52551,39939,34245,93913,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Malta,382,105,4,229,5344,1737,1508,7237,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,"Taipei, Chinese",15330,13153,17500,19735,13840,15087,20731,36466,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Netherlands,122385,188618,160054,107699,131884,110244,111322,146413,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,New Zealand,3284,6868,11644,27240,28007,52497,82551,101108,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Norway,5068,13520,12190,8207,6260,2610,2853,2063,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Paraguay,0,116,0,0,0,178,735,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Peru,952,225,498,402,605,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Poland,6528,10800,15496,10019,9728,11770,18466,7837,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Portugal,7333,7842,6235,2860,4137,5421,8414,9284,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Romania,2428,11437,29091,9082,17300,2853,6011,7792,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Singapore,30658,40771,29549,27315,24219,26864,20987,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Slovakia,2211,1326,3102,3715,2365,2230,2441,2544,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Slovenia,329,4415,2538,986,5549,3186,4130,7738,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,South Africa,47353,66349,58286,92553,57893,76025,62814,74662,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Spain,22021,34588,31006,35816,33208,37476,33453,34404,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Sweden,46679,91812,130373,115020,212932,88636,95761,307118,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Switzerland,26817,33677,49126,43568,48382,40255,42221,52026,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Thailand,26396,46012,88872,121557,108949,72296,150384,111900,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Türkiye,88442,145232,216967,179697,234223,247190,227743,243723,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,United Kingdom,167895,255389,285075,231340,264390,192575,213701,194335,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,United States of America,68358,108105,76924,66940,143305,78726,115618,82056,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,Lao People's Democratic Republic,,,,,,,73,154,0,0,0,0,0,0,0,0,0,0,,
Sudan,Nepal,,,,,,909,61,54,0,0,0,0,0,0,0,0,0,0,0,
Sudan,Djibouti,,,,,,628,,,,,,,,,,,,,,
Sudan,"Libya, State of",,,,12766,40784,0,0,,,,,0,0,0,0,0,,,,
Sudan,Congo,,,,0,0,15,14,0,0,0,0,0,0,0,0,0,0,0,0,
Sudan,"Palestine, State of",,,,0,0,5,21,45,0,0,0,0,0,0,0,0,0,0,0,
Sudan,Vanuatu,,,0,0,,2,0,0,,,,,,,,,,,,
Sudan,Central African Republic,,,10,11,9,10,209,17,0,0,0,0,0,0,0,0,0,0,0,
Sudan,Nigeria,,,15803,4266,5247,11835,10349,2708,0,0,0,0,0,0,0,0,0,0,0,
Sudan,United Arab Emirates,,344054,,462817,414931,,,,0,0,0,0,0,0,0,0,0,0,0,
Sudan,Lesotho,,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,
Sudan,Bhutan,,0,0,0,0,1,0,0,0,,,,,,,,,,,
Sudan,Netherlands Antilles,,25,26,142,18,,,,,,,,,,,,,,,
Sudan,Andorra,0,,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sudan,Kuwait,8760,,50740,13767,234,14893,18002,8887,0,0,0,0,0,0,0,0,0,0,0,
Sudan,Timor-Leste,15,274,,,,,,,,0,,,,0,0,0,0,0,0,
Sudan,Suriname,0,0,,0,,0,5,0,0,0,0,0,0,0,0,0,0,0,0,
Sudan,Mauritania,0,0,,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,
Sudan,Togo,0,0,,54,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,
Sudan,Comoros,0,9,,16,0,81,44,21,0,0,0,0,0,0,0,0,0,0,,
Sudan,Cuba,30,77,69,,,,,,,,,,0,0,0,0,0,0,0,
Sudan,Seychelles,0,0,0,,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,
Sudan,Angola,0,20,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sudan,Saint Lucia,0,0,0,11,0,,,,0,0,0,0,0,0,0,0,0,,,
Sudan,Grenada,0,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,0,
Sudan,Bangladesh,18821,32645,12950,23234,42016,62347,44682,47664,0,0,,0,,,,,,,,
Sudan,Qatar,8990,20864,17124,22182,7957,30915,49028,46726,0,0,0,0,,0,0,0,0,0,0,
Sudan,Sri Lanka,286,418,129,235,2062,775,1133,6367,0,0,0,0,0,0,,0,0,0,0,
Sudan,Albania,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Sudan,Azerbaijan,0,109,20,1160,340,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
